===========================================================================

Validation data set for Square v1.0

===========================================================================

Encryption of the null data block with every key where a single bit is set:

00000000000000000000000000000000 plaintext
00000000000000000001000000000000 key
801f29d5462365735a6ca7a64288f48c ciphertext


00000000000000000000800000000000 key
7933733c4daab746ef048edba2d05538 ciphertext


00000000000000000000400000000000 key
4127c1d95431fd2632f2b5e5085a3dd8 ciphertext


00000000000000000000200000000000 key
0588168ca7525333460c4030af266388 ciphertext


00000000000000000000100000000000 key
32b3f193d7237b48883de002b3cbe1c3 ciphertext


00000000000000000000080000000000 key
7ca557bc05b845a233c01412022da825 ciphertext


00000000000000000000040000000000 key
54f11361ad6dfbb069be67536cc98d81 ciphertext


00000000000000000000020000000000 key
a9df031b4e25e89f527efff89cb0beba ciphertext


00000000000000000000010000000000 key
7da4d0d6309906d935ba27ae00cfaf33 ciphertext


00000000000000000000008000000000 key
e231ea0fec29d983d3236bb15e7cd1da ciphertext


00000000000000000000004000000000 key
fe1b963a4f596422a6cd7787f4ab3377 ciphertext


00000000000000000000002000000000 key
848833f2f7a247d2e1d0c8614694139f ciphertext


00000000000000000000001000000000 key
630bb1dc4e60d3272b6b673bdb918b20 ciphertext


00000000000000000000000800000000 key
500251a5c6ad5a6d2f218a3fd5765727 ciphertext


00000000000000000000000400000000 key
d019ef316e84149cfd0e85665aa2fff5 ciphertext


00000000000000000000000200000000 key
db0b5ac0e8ef011d710323fa3b8bb3a7 ciphertext


00000000000000000000000100000000 key
207e46a533617374d2c9da0c92ffd620 ciphertext


00000000000000000000000080000000 key
8273ca155249f9f1ad8cc2ca114984f3 ciphertext


00000000000000000000000040000000 key
82a73a18aae84ad671e226470f246e1a ciphertext


00000000000000000000000020000000 key
3e0e1206e333917d4c250bd82fef6afd ciphertext


00000000000000000000000010000000 key
2182f67239be15c796439ea3791202e1 ciphertext


00000000000000000000000008000000 key
486fb3fa7b1fe1a304cb4e8960c3c6bb ciphertext


00000000000000000000000004000000 key
c1de50e456c4308d5d70da141cef0b4f ciphertext


00000000000000000000000002000000 key
a623f24515a27cee3dad277429000218 ciphertext


00000000000000000000000001000000 key
02fa5762f9cd90201565bce71140c6f4 ciphertext


00000000000000000000000000800000 key
a643a0ca5154a7d10b251d562d58ea53 ciphertext


00000000000000000000000000400000 key
48660e32b1c7ee7085e5b5e9f719c790 ciphertext


00000000000000000000000000200000 key
a96366bb17b67e161fd8e33c3e1f3d2a ciphertext


00000000000000000000000000100000 key
5659ab825fc2de031a6998cacd741ff6 ciphertext


00000000000000000000000000080000 key
1253e9e4079e9b573a73cf4ce08dc015 ciphertext


00000000000000000000000000040000 key
28205442270c735d4ba79042dce81509 ciphertext


00000000000000000000000000020000 key
98cfb10f3ed70bb82cc90597b463a1f6 ciphertext


00000000000000000000000000010000 key
cab40433631fe3a272fc401255a58064 ciphertext


00000000000000000000000000008000 key
abb041d85114da88e65e8bdcf1c67cc8 ciphertext


00000000000000000000000000004000 key
00f0926f0f9eaa0a6238dfce79c8f596 ciphertext


00000000000000000000000000002000 key
7c662d01b12d9845705b2bd4d7aef43d ciphertext


00000000000000000000000000001000 key
8f1cc7a0fbe7d70a894d09e12fb22bb8 ciphertext


00000000000000000000000000000800 key
ebe03d0c6752d0edfebff879c33d8c07 ciphertext


00000000000000000000000000000400 key
b74ce7f67bbd969e8ff8862d1fb1715c ciphertext


00000000000000000000000000000200 key
63ad5ea9d599ec848a40d489c0b85e8a ciphertext


00000000000000000000000000000100 key
4e4167f091ea5776e80fb2fca38c2a04 ciphertext


00000000000000000000000000000080 key
dbf0cea3a5ed5b884ac13a2a62c32d51 ciphertext


00000000000000000000000000000040 key
7e86285068a376a3b9fe8641a38e3f90 ciphertext


00000000000000000000000000000020 key
aec1ef8d651a2cf7b5475fcc7fb7a81a ciphertext


00000000000000000000000000000010 key
fda539d910181ce1a1e1db4c3459600b ciphertext


00000000000000000000000000000008 key
f8072bf053d5b5163949ff0b9bb3f81a ciphertext


00000000000000000000000000000004 key
a31eb966d34ed6a6132a6b6e9128e997 ciphertext


00000000000000000000000000000002 key
673aebbff82091a19e758ece151811d0 ciphertext


00000000000000000000000000000001 key
369bdb6f102d6bfea7645b1a6753bf37 ciphertext


===========================================================================

Encryption of a sample data block with every key where a single bit is set:

0f1e2d3c4b5a69788796a5b4c3d2e1f0 plaintext

80000000000000000000000000000000 key
ffd90e8a92a1b025108168714f7923f7 ciphertext


40000000000000000000000000000000 key
64e10ab587bc5d996cf2186c2ff2dd58 ciphertext


20000000000000000000000000000000 key
eaa404b51336a16c963735588b0b2a0c ciphertext


10000000000000000000000000000000 key
51aaa1e37cb08cf5c6ec9241ac36b4c5 ciphertext


08000000000000000000000000000000 key
c21b34c3c077b30add67d0e2e75e59ec ciphertext


04000000000000000000000000000000 key
f33ccd4771932f5e467552e93ae367ab ciphertext


02000000000000000000000000000000 key
b70b9f3a5814ddeb6d3549d88c5b4656 ciphertext


01000000000000000000000000000000 key
5c01c66e9bf9617b155d3902722ccadc ciphertext


00800000000000000000000000000000 key
1f47def31d2e7e286172b38119fde307 ciphertext


00400000000000000000000000000000 key
bd3c2f005cf0eb5ef737c29f457ed549 ciphertext


00200000000000000000000000000000 key
1d409243f79ce876d13b0fdfea26ccf8 ciphertext


00100000000000000000000000000000 key
b879e37c2f435b0cb941f74892c1476f ciphertext


00080000000000000000000000000000 key
58c6a8884bf8b110c9127893976a9e4e ciphertext


00040000000000000000000000000000 key
7a258ac14cb88a31432ba1b320d254f6 ciphertext


00020000000000000000000000000000 key
ff382f1b4bbb54c9f42b73b256f80d25 ciphertext


00010000000000000000000000000000 key
0cef334bcbe5d38e23a9780d2e3e9097 ciphertext


00008000000000000000000000000000 key
3225e13778d2a3bab1eb375e034478c4 ciphertext


00004000000000000000000000000000 key
4ef73320931377f64e296e49c286e5c9 ciphertext


00002000000000000000000000000000 key
adbf2c07f2f42eb7d92acc07f9df7a5f ciphertext


00001000000000000000000000000000 key
bfca14ad6925ddb4f563048db1c6b485 ciphertext


00000800000000000000000000000000 key
63f01ea46c82dc3b1d81eac5e4f1d687 ciphertext


00000400000000000000000000000000 key
b2f6eb69ce81accc720e705146cfc2a2 ciphertext


00000200000000000000000000000000 key
85b1ff06090504848fdda74dd830e960 ciphertext


00000100000000000000000000000000 key
5bcb44ab29d7c31def58c902c2491333 ciphertext


00000080000000000000000000000000 key
4d982cbc7c1455cde7c0de3f83fcbc5e ciphertext


00000040000000000000000000000000 key
32f08276e0633e1d819fc6227e631503 ciphertext


00000020000000000000000000000000 key
e6bebd4cddc205399126bfda486ed37c ciphertext


00000010000000000000000000000000 key
afe39df4f356aea5f07069455010d9ce ciphertext


00000008000000000000000000000000 key
a8c7b2c1e8e1ade5e28e4104ff716ba5 ciphertext


00000004000000000000000000000000 key
fbb3e4ca3e710a5bd94b50726de5fdb1 ciphertext


00000002000000000000000000000000 key
2091d65d6fbb8672d84655f33dc1473a ciphertext


00000001000000000000000000000000 key
9c74519acc53498333791febfd0e5e8b ciphertext


00000000800000000000000000000000 key
ed44022a82468ed54203b5863b63061f ciphertext


00000000400000000000000000000000 key
eae325499a1a9e8e1bd4d6f018e65551 ciphertext


00000000200000000000000000000000 key
b134fe1498d7a1d926d3a623ffa5723e ciphertext


00000000100000000000000000000000 key
343f8d08a35c272c5cd4064a42a7b6d8 ciphertext


00000000080000000000000000000000 key
79230ea5d7f6b5d85922ed7679aebe08 ciphertext


00000000040000000000000000000000 key
d3f799e3579c68e10fb1c770b1cbb7c7 ciphertext


00000000020000000000000000000000 key
90c24054dc24772ecd92a67a43335320 ciphertext


00000000010000000000000000000000 key
bf38cfda7b75a478fa73316801883d34 ciphertext


00000000008000000000000000000000 key
4323a85f7921a4a1fc072b72b6b46f50 ciphertext


00000000004000000000000000000000 key
3e10218fdefd9a0b91d9032d793aecc8 ciphertext


00000000002000000000000000000000 key
66a759ec5e5cdd9c27a4e97ff0b5aab8 ciphertext


00000000001000000000000000000000 key
3730876a26727d44a46404f69ba99f09 ciphertext


00000000000800000000000000000000 key
b277bd5a0e78eafc049bd9aa3393870f ciphertext


00000000000400000000000000000000 key
af05cdd3a6dd19fb0199933bdea3c20f ciphertext


00000000000200000000000000000000 key
0d962ec5f824d922924f3c39339fa934 ciphertext


00000000000100000000000000000000 key
de695dab525ffebc039f63c3defb200b ciphertext


00000000000080000000000000000000 key
f8ce4303ff6a523a60e3526a28c1c1de ciphertext


00000000000040000000000000000000 key
c00c5250a33165254408992f6aa1fb97 ciphertext


00000000000020000000000000000000 key
7e81d9c10bc3ac8fcac65079867183ff ciphertext


00000000000010000000000000000000 key
42f91fe46e5f6485973123b586cc2517 ciphertext


00000000000008000000000000000000 key
0900c5c4bb963e1e421571056aeda9f0 ciphertext


00000000000004000000000000000000 key
933312932700ef9c82333913782fc8fb ciphertext


00000000000002000000000000000000 key
d78181179ac4cc05f38a1d134b29b70a ciphertext


00000000000001000000000000000000 key
411b9bd8a8c3d3c9a2c375d28a336c4a ciphertext


00000000000000800000000000000000 key
632433f8708bd47d6a083adbdf3a8982 ciphertext


00000000000000400000000000000000 key
f037e3fcd3db611bd777420b8170df1b ciphertext


00000000000000200000000000000000 key
31da207bfbdbb93157408ad2d7e559df ciphertext


00000000000000100000000000000000 key
2837b13cb713b5fde1bc07cb7b2613d9 ciphertext


00000000000000080000000000000000 key
c31906513814506753848c50ab7c8d13 ciphertext


00000000000000040000000000000000 key
014b54ca9f1d87c7711af20119b03afc ciphertext


00000000000000020000000000000000 key
060903be7b215ee51fbce79205b0515a ciphertext


00000000000000010000000000000000 key
f91da002995fe07969ff63b8673fa75a ciphertext


00000000000000008000000000000000 key
65a8b07ad4f77c8be4f27f975a42f2e7 ciphertext


00000000000000004000000000000000 key
31a157653449da846b5dade80e2f3ae8 ciphertext


00000000000000002000000000000000 key
1be98428352aeab7534e12463898bde5 ciphertext


00000000000000001000000000000000 key
a7a50bec385145e784486d6d70552fbf ciphertext


00000000000000000800000000000000 key
eaacafae73701d566b24ab68350c4cb7 ciphertext


00000000000000000400000000000000 key
deef8a7a5de90caaa0e3412356518d9a ciphertext


00000000000000000200000000000000 key
8d4373f4933353f589e42471ef35836c ciphertext


00000000000000000100000000000000 key
01436b7d351b9ff0fe85dab7ef77a020 ciphertext


00000000000000000080000000000000 key
a6b2b93c4c6dafea4db5a4ecfee2c561 ciphertext


00000000000000000040000000000000 key
7b0f7781683d890db4582d4399b07fab ciphertext


00000000000000000020000000000000 key
01c82b395331de265555d72df29c7efc ciphertext


00000000000000000010000000000000 key
5d9ba76d5b20b4b88b70b80c20c5e350 ciphertext


00000000000000000008000000000000 key
92b2a69dd8a75d2edb01644a0b975c15 ciphertext


00000000000000000004000000000000 key
e2f6e46a2a899615969f4b751d55d57f ciphertext


00000000000000000002000000000000 key
97427298315d058eb2f7cdabd4a851c8 ciphertext


00000000000000000001000000000000 key
8f0f710a0cc1d6049ebb01974b76caad ciphertext


00000000000000000000800000000000 key
2cf62d9d02afb40eed66fedb53c2db5c ciphertext


00000000000000000000400000000000 key
fb215ab9ec3fafc5fd91cd9ad3cee2be ciphertext


00000000000000000000200000000000 key
4a37472335edaf7393a304d45a233085 ciphertext


00000000000000000000100000000000 key
d22a878d2ca3a88f34acc92a4e26c738 ciphertext


00000000000000000000080000000000 key
f1a95970638dcbc69c4675e895370904 ciphertext


00000000000000000000040000000000 key
1660060085c0e241f88462bffbe67602 ciphertext


00000000000000000000020000000000 key
a097acb2eb5f779090f886beae746ae1 ciphertext


00000000000000000000010000000000 key
9ffe05163407ba53b62a35d857f58bc6 ciphertext


00000000000000000000008000000000 key
dfed8392eec1b389cbc261faf97c5c9e ciphertext


00000000000000000000004000000000 key
d2c1b3159129d86959f3aa9b70219a74 ciphertext


00000000000000000000002000000000 key
98c043b2e86cff626abf5fbc745d98a6 ciphertext


00000000000000000000001000000000 key
35c5aed481c801a0ca78842273e0186d ciphertext


00000000000000000000000800000000 key
ddaac5c7f13943e80d2244a4a19e9980 ciphertext


00000000000000000000000400000000 key
51dbf12fc81e5ffe9b1ce9963636205f ciphertext


00000000000000000000000200000000 key
38ee89874d644ccdf9694280a6c48182 ciphertext


00000000000000000000000100000000 key
c3bc93ca8e8800622c92c56b99262ae2 ciphertext


00000000000000000000000080000000 key
dc2c2b7558f75b71a9db34e971892171 ciphertext


00000000000000000000000040000000 key
609bd72078f92ae345dcde14e6aba0e0 ciphertext


00000000000000000000000020000000 key
cabc8bdda6e1979199f5010c3f8b8a31 ciphertext


00000000000000000000000010000000 key
c993d659ba4426dc30f8dc7ea03cd2ee ciphertext


00000000000000000000000008000000 key
5dd47466cbb15dca1485e04231d7491c ciphertext


00000000000000000000000004000000 key
e1351ce84ded187e0f5aab9bb7198387 ciphertext


00000000000000000000000002000000 key
e5222c68fda26e5e62929c70233ad097 ciphertext


00000000000000000000000001000000 key
78cc456147db73850328241bdff861c0 ciphertext


00000000000000000000000000800000 key
4f10436e3ba4f38cd96744b897d5a136 ciphertext


00000000000000000000000000400000 key
12b698464abcb67c3956c5d1b9c62dfd ciphertext


00000000000000000000000000200000 key
49de5db3e7d997c56dd2f82935e6617f ciphertext


00000000000000000000000000100000 key
71ea115e54775680f16b1b9d7b2ee367 ciphertext


00000000000000000000000000080000 key
45b7e46c664a472af948b0c393f92af1 ciphertext


00000000000000000000000000040000 key
db3678b993ef5e48931b5bf84cece6eb ciphertext


00000000000000000000000000020000 key
051c9a17d4ca77eabd8b9d9a1bce52d6 ciphertext


00000000000000000000000000010000 key
e805aeeac134761ff7b3260bb4308a10 ciphertext


00000000000000000000000000008000 key
3301700109b460c7e41a51059f33004f ciphertext


00000000000000000000000000004000 key
d71f178093314e188bae26dde5a78927 ciphertext


00000000000000000000000000002000 key
31bb9cb46fbf607fcaa5932851899420 ciphertext


00000000000000000000000000001000 key
ea77bcd0ce469ab47a828dc6324c3651 ciphertext


00000000000000000000000000000800 key
e4596b0d33bdeb062a7ddb93e6efae94 ciphertext


00000000000000000000000000000400 key
24d04f34b837461cd3b8d9c13afe6fe5 ciphertext


00000000000000000000000000000200 key
ffb68c9ae4d7d2642bf5bee57d2bd914 ciphertext


00000000000000000000000000000100 key
c008d35eb9de15700c0491319e6415f0 ciphertext


00000000000000000000000000000080 key
92bfbbfcd2bbf54fff06af097893e9a3 ciphertext


00000000000000000000000000000040 key
d2475279191bc4da183ee2dba75fce6d ciphertext


00000000000000000000000000000020 key
7b8adf2ef0e1f5fbb19cbd4b8fab1426 ciphertext


00000000000000000000000000000010 key
0b07b9c4385bdc86447f535e09a9f424 ciphertext


00000000000000000000000000000008 key
e7308875d8d6645719c076dd1660924b ciphertext


00000000000000000000000000000004 key
bc50d54a891d6102d0c02f471f1f0567 ciphertext


00000000000000000000000000000002 key
2b14534ca7d9821a40b101035f681f0d ciphertext


00000000000000000000000000000001 key
69bd984641e0aa887bc23738f60070db ciphertext


===========================================================================

