ink	noun	withdef.30	Tattoo work.	https://en.wiktionary.org/wiki/ink
hog	noun	withdef.31	A large motorcycle, particularly a Harley-Davidson.	https://en.wiktionary.org/wiki/hog
wasteoid	noun	withdef.32	Someone who is habitually wasted (drunk or stoned)	https://en.wiktionary.org/wiki/wasteoid
wing nut	noun	withdef.33	One who advocates extreme measures or changes; a radical.	https://en.wiktionary.org/wiki/wing_nut
banhammer	noun	withdef.34	The power of a sysop to block a user from participating at a website. 	https://en.wiktionary.org/wiki/banhammer
homewrecker	noun	withdef.35	A person (male or female) who engages in romantic relations with a person who is married or engaged to be married with the result of breaking up the marriage or engagement.	https://en.wiktionary.org/wiki/homewrecker
cougar	noun	withdef.36	A woman of middle age who actively seeks the casual, often sexual, companionship of younger men, typically less than 35 years old; by implication a female “sexual predator”.	https://en.wiktionary.org/wiki/cougar
crackhead	noun	withdef.37	A person who is addicted to or regularly uses crack cocaine.	https://en.wiktionary.org/wiki/crackhead
man-eater	noun	withdef.38	A woman with a threatening attitude, often readily taking and discarding male romantic partners.	https://en.wiktionary.org/wiki/man-eater
cheese	noun	withdef.39	money.	https://en.wiktionary.org/wiki/cheese
space cadet	noun	withdef.40	One who deals with reality in a way consistent with being under the influence of (or "spaced out on") drugs.	https://en.wiktionary.org/wiki/space_cadet
zero	noun	withdef.41	A person of little or no importance.	https://en.wiktionary.org/wiki/zero
dudette	noun	withdef.42	The female equivalent of dude (in the slang senses).	https://en.wiktionary.org/wiki/dudette
asshat	noun	withdef.43	An obnoxiously ignorant person; a fool.	https://en.wiktionary.org/wiki/asshat
baller	noun	withdef.44	One who lives an extravagant, money-driven lifestyle.	https://en.wiktionary.org/wiki/baller
bubbles	noun	withdef.45	Sparkling wine; champagne.	https://en.wiktionary.org/wiki/bubbles
burnout	noun	withdef.46	A marijuana addict; one whose brains have been burned out.	https://en.wiktionary.org/wiki/burnout
heat	noun	withdef.47	The police.	https://en.wiktionary.org/wiki/heat
sugar	noun	withdef.48	a kiss.	https://en.wiktionary.org/wiki/sugar
sleazeball	noun	withdef.49	A morally reprehensible, disreputable, or sleazy person; a cad.	https://en.wiktionary.org/wiki/sleazeball
gangbanger	noun	withdef.50	A member of a violent gang.	https://en.wiktionary.org/wiki/gangbanger
eat	verb	withdef.51	To damage, destroy, or fail to eject a removable part or an inserted object.	https://en.wiktionary.org/wiki/eat
pack	verb	withdef.52	To carry weapons, especially firearms, on one's person.	https://en.wiktionary.org/wiki/pack
score	verb	withdef.53	To acquire or gain.	https://en.wiktionary.org/wiki/score
bomb	verb	withdef.54	To cover an area in many graffiti tags. 	https://en.wiktionary.org/wiki/bomb
cockblock	verb	withdef.55	To make impossible another's intended goal of sexual intercourse.	https://en.wiktionary.org/wiki/cockblock
chug	verb	withdef.56	to drink a large amount (especially of beer) in a single action; to chugalug.	https://en.wiktionary.org/wiki/chug
rock	verb	withdef.57	To be very favourable or skilful; to excel.	https://en.wiktionary.org/wiki/rock
half-ass	verb	withdef.58	To perform a task incompletely or carelessly.  Usually considered derogatory or insulting.	https://en.wiktionary.org/wiki/half-ass
mack	verb	withdef.59	To seduce or flirt with.	https://en.wiktionary.org/wiki/mack
scarf	verb	withdef.60	To eat very quickly.	https://en.wiktionary.org/wiki/scarf
scope	verb	withdef.61	To perform arthroscopic surgery.	https://en.wiktionary.org/wiki/scope
depants	verb	withdef.62	to remove the trousers from someone, often by force or surprise.	https://en.wiktionary.org/wiki/depants
hurl	verb	withdef.63	To vomit.	https://en.wiktionary.org/wiki/hurl
clock	verb	withdef.64	To hit (someone) heavily.	https://en.wiktionary.org/wiki/clock
brick	verb	withdef.65	To make an electronic device nonfunctional and usually beyond repair, essentially making it no more useful than a brick.	https://en.wiktionary.org/wiki/brick
bake	verb	withdef.66	To smoke marijuana.	https://en.wiktionary.org/wiki/bake
stunt	verb	withdef.67	To show off; to posture.	https://en.wiktionary.org/wiki/stunt
nick	verb	withdef.68	to steal.	https://en.wiktionary.org/wiki/nick
caffeinate	verb	withdef.69	To drink caffeinated beverages in order to increase energy levels in the body, enhance physical or mental performance, or simply to wake up.	https://en.wiktionary.org/wiki/caffeinate
chillax	verb	withdef.70	To relax; to be laid back.	https://en.wiktionary.org/wiki/chillax
shop	verb	withdef.71	(transitive, Internet slang) Shorthand for photoshop; to digitally edit a picture or photograph.	https://en.wiktionary.org/wiki/shop
gobsmack	verb	withdef.72	to astonish.	https://en.wiktionary.org/wiki/gobsmack
lol	verb	withdef.73	laugh out loud.	https://en.wiktionary.org/wiki/lol
pwn	verb	withdef.74	To beat someone or something by a wide margin, usually in relation to a game.	https://en.wiktionary.org/wiki/pwn
pitch	noun	withdef.75	A sticky, gummy substance secreted by trees; sap.	https://en.wiktionary.org/wiki/pitch
ring	noun	withdef.76	A formation of various pieces of material orbiting around a planet.	https://en.wiktionary.org/wiki/ring
rock	noun	withdef.77	A lump or cube of ice.	https://en.wiktionary.org/wiki/rock
station	noun	withdef.78	One of the Stations of the Cross.	https://en.wiktionary.org/wiki/station
franchise	noun	withdef.79	The collection of organizations in the history of a sports team; the tradition of a sports team as an entity, extending beyond the contemporary organization.	https://en.wiktionary.org/wiki/franchise
group	noun	withdef.80	A (usually small) group of people who perform music together.	https://en.wiktionary.org/wiki/group
football	noun	withdef.81	(figuratively, countable) An item of discussion, particularly in a back-and-forth manner	https://en.wiktionary.org/wiki/football
room	noun	withdef.82	With possessive pronoun: one's bedroom.	https://en.wiktionary.org/wiki/room
main	noun	withdef.83	That which is chief or principal; the chief or main portion; the gross; the bulk; the greater part.	https://en.wiktionary.org/wiki/main
root	noun	withdef.84	The fundamental tone of any chord; the tone from whose harmonics, or overtones, a chord is composed.	https://en.wiktionary.org/wiki/root
kick	noun	withdef.85	An increase in speed in the final part of a running race.	https://en.wiktionary.org/wiki/kick
show	noun	withdef.86	A broadcast program/programme.	https://en.wiktionary.org/wiki/show
car	noun	withdef.87	A rough unit of quantity approximating the amount which would fill a railroad car.	https://en.wiktionary.org/wiki/car
house	noun	withdef.88	House music.	https://en.wiktionary.org/wiki/house
race	noun	withdef.89	(figuratively) A category or species of something that has emerged or evolved from an older one (with an implied parallel to animal breeding or evolutionary science).	https://en.wiktionary.org/wiki/race
class	noun	withdef.90	A category of seats in an airplane, train or other means of mass transportation.	https://en.wiktionary.org/wiki/class
track	noun	withdef.91	A session talk on a conference.	https://en.wiktionary.org/wiki/track
fat	noun	withdef.92	That part of an organization deemed wasteful.	https://en.wiktionary.org/wiki/fat
son	noun	withdef.93	A male person considered to have been significantly shaped by some external influence.	https://en.wiktionary.org/wiki/son
act	noun	withdef.94	A performer or performers in a show.	https://en.wiktionary.org/wiki/act
tour	noun	withdef.95	A guided visit to a particular place, or virtual place.	https://en.wiktionary.org/wiki/tour
tom	noun	withdef.96	A type of drum.	https://en.wiktionary.org/wiki/tom
beer	noun	withdef.97	A fermented extract of the roots and other parts of various plants, as spruce, ginger, sassafras, etc.	https://en.wiktionary.org/wiki/beer
banner	noun	withdef.98	By extension, a cause or purpose; a campaign or movement.	https://en.wiktionary.org/wiki/banner
park	noun	withdef.99	An area zoned for a particular (industrial or technological) purpose.	https://en.wiktionary.org/wiki/park
person	noun	withdef.100	Someone who likes or has an affinity for (a specified thing).	https://en.wiktionary.org/wiki/person
cycle	noun	withdef.101	A programme on a washing machine, dishwasher, or other such device.	https://en.wiktionary.org/wiki/cycle
widow	noun	withdef.102	A venomous spider, of the genus Latrodectus.	https://en.wiktionary.org/wiki/widow
vacation	noun	withdef.103	A period during which official activity or business is formally suspended; an official holiday from university, law courts etc.	https://en.wiktionary.org/wiki/vacation
home	noun	withdef.104	The grave; the final rest; also, the native and eternal dwelling place of the soul.	https://en.wiktionary.org/wiki/home
river	noun	withdef.105	Any large flow of a liquid in a single body.	https://en.wiktionary.org/wiki/river
season	noun	withdef.106	(Canada, US, broadcasting) A group of episodes of a television or radio program broadcast in regular intervals with a long break between each group, usually with one year between the beginning of each.	https://en.wiktionary.org/wiki/season
round	noun	withdef.107	A single individual portion or dose of medicine.	https://en.wiktionary.org/wiki/round
collection	noun	withdef.108	A gathering of money for charitable or other purposes, as by passing a contribution box for donations.	https://en.wiktionary.org/wiki/collection
governor	noun	withdef.109	A member of a decision-making for an organization or entity (including some public agencies) similar to or equivalent to a board of directors (used especially for banks); a member of the board of governors.	https://en.wiktionary.org/wiki/governor
chamber	noun	withdef.110	(firearms) The portion of the weapon that holds the ammunition round immediately prior to (and during initiation of) its discharge; each of the cylindrical compartments of a revolver that can hold a bullet.	https://en.wiktionary.org/wiki/chamber
achievement	noun	withdef.111	A great or heroic deed or feat; something accomplished by valor or boldness.	https://en.wiktionary.org/wiki/achievement
fellowship	noun	withdef.112	A period of supervised, sub-specialty medical training in the United States and Canada that a physician may undertake after completing a specialty training program or residency.	https://en.wiktionary.org/wiki/fellowship
myth	noun	withdef.113	A commonly-held but false belief, a common misconception; a fictitious or imaginary person or thing; a popular conception about a real person or event which exaggerates or idealizes reality.	https://en.wiktionary.org/wiki/myth
ultimate	noun	withdef.114	The sport of ultimate frisbee.	https://en.wiktionary.org/wiki/ultimate
swing	noun	withdef.115	The amount of change towards or away from something.	https://en.wiktionary.org/wiki/swing
wildcat	noun	withdef.116	(American football) An offensive formation with an unbalanced line and a snap directly to the running back rather than the quarterback.	https://en.wiktionary.org/wiki/wildcat
reach	noun	withdef.117	(boxing) The distance a boxer's arm can extend to land a blow.	https://en.wiktionary.org/wiki/reach
dub	verb	withdef.118	To clothe or invest; to ornament; to adorn.	https://en.wiktionary.org/wiki/dub
marry	verb	withdef.119	(transitive) Figuratively, to unite in the closest and most endearing relation.	https://en.wiktionary.org/wiki/marry
tend	verb	withdef.120	To wait (upon), as attendants or servants; to serve; to attend. 	https://en.wiktionary.org/wiki/tend
sleep	verb	withdef.121	To be, or appear to be, in repose; to be quiet; to be unemployed, unused, or unagitated; to rest; to lie dormant.	https://en.wiktionary.org/wiki/sleep
accelerate	verb	withdef.122	To enable a student to finish a course of study in less than normal time.	https://en.wiktionary.org/wiki/accelerate
divide	verb	withdef.123	(intransitive, biology) Of a cell, to reproduce by dividing.	https://en.wiktionary.org/wiki/divide
collect	verb	withdef.124	(intransitive) To come together in a group or mass.	https://en.wiktionary.org/wiki/collect
wind	verb	withdef.125	(transitive) To cause (someone) to become breathless, often by a blow to the abdomen.	https://en.wiktionary.org/wiki/wind
code	verb	withdef.126	(computing) To write software programs.	https://en.wiktionary.org/wiki/code
publish	verb	withdef.127	To announce to the public.	https://en.wiktionary.org/wiki/publish
