Cbegsbyvb;Glcr;Vafgehzrag;Haqreylvat;Cbf;CI Fcbg BA/S;Qrygn;Tnzzn;IrtnY;Rkcvel;Fgevxr;VafPhee;P/C;BGP;Vfva;HaqCep;PbagenpgFvmr;-70,00;-60,00;-50,00;-40,00;-30,00;-25,00;-20,00;-15,00;-10,00;-5,00;-4,00;-3,00;-2,00;-1,00;0,00;1,00;2,00;3,00;4,00;5,00;10,00;15,00;20,00;25,00;30,00;40,00;50,00;60,00;70,00;1 Z;6 Z;12 Z;Erfg;-100,00;100,00;-10,00X;10,00X;
NCF_NXGRZ_RBEH;Bcgvba;FK5R_BGP_1407_C1322.81/#1;FK5R;8.312629;24.574900;-0.070074;0.000202;4.724240;14.07.2014 18:00:00;1322.8100;RHE;Chg;gehr;;2888.763;1.00;4626.738951;2668.204154;1365.912849;645.716010;291.411335;193.843925;128.469953;84.970387;56.158920;37.128481;34.183328;31.473429;28.980022;26.685821;24.574900;22.632595;20.845403;19.200895;17.687631;16.295083;10.829930;7.217300;4.824372;3.235409;2.177308;0.996850;0.463302;0.218643;0.104770;;2.064495;2.658252;;18.534765;32.611054;24.750781;24.400330;
NCF_NXGRZ_RBEH;Bcgvba;FK5R_BGP_1408_P1354.365_QP;FK5R;-9720.000000;-9551.621986;-0.364697;0.000999;21.612616;11.08.2014 17:50:00;1354.3650;RHE;Pnyy;gehr;;2888.763;1.00;-499.190642;-2383.761685;-4954.361983;-7049.917985;-8352.691160;-8759.886628;-9049.615928;-9252.120609;-9391.758590;-9487.067173;-9502.079346;-9515.961665;-9528.796118;-9540.659151;-9551.621986;-9561.750938;-9571.107707;-9579.749662;-9587.730119;-9595.098595;-9624.258577;-9643.759339;-9656.774890;-9665.451358;-9671.231558;-9677.646045;-9680.494307;-9681.761617;-9682.326742;;6.139287;15.469324;;-9583.914949;-9508.990104;-9558.943806;-9544.307815;
NCF_NXGRZ_RBEH;Bcgvba;FK5R_BGP_1408_C1354.365_QP;FK5R;81000.000000;1092.982627;-3.039144;0.008323;180.105133;11.08.2014 17:50:00;1354.3650;RHE;Chg;gehr;;2888.763;1.00;76529.910497;60825.151805;39403.482652;21940.515973;11084.072846;7690.777282;5276.366444;3588.827438;2425.177597;1630.939401;1505.837960;1390.151965;1283.198190;1184.339590;1092.982627;1008.574692;930.601621;858.585325;792.081517;730.677549;487.677707;325.171353;216.708432;144.404524;96.236191;42.782135;19.046618;8.485702;3.776329;;51.160726;128.911030;;823.874604;1448.248309;1101.359354;1084.670745;
NCF_NXGRZ_RBEH;Bcgvba;FK5R_BGP_1408_C1354.37/#1;FK5R;59.806625;245.544555;-0.665146;0.001820;45.328396;11.08.2014 18:00:00;1354.3700;RHE;Chg;gehr;;2888.763;1.00;35199.390374;20873.625258;11075.173813;5450.287637;2565.506447;1743.298352;1180.256541;797.378846;538.243742;363.372825;335.943282;310.597725;287.178326;265.538997;245.544555;227.069938;209.999474;194.226203;179.651235;166.183161;112.704171;76.623267;52.237613;35.720057;24.503431;11.647638;5.614605;2.745356;1.361719;;12.874682;32.442678;;186.620303;323.323910;247.383328;243.719976;
NCF_NXGRZ_RBEH;Bcgvba;FK5R_BGP_1408_C0_QB-50_SJQC_1208;FK5R;-100000.000000;-3567.357634;9.077866;-0.019730;-316.601931;22.08.2014 17:50:00;2434.2300;RHE;Chg;gehr;;2888.763;1.00;;;-15444.636172;-23660.882468;-19832.624014;-16319.245642;-12817.788869;-9703.911315;-7126.250429;-5099.167082;-4755.651175;-4431.393232;-4125.723508;-3837.948371;-3567.357634;-3313.231151;-3074.844589;-2851.474504;-2642.402741;-2446.920278;-1649.539648;-1095.204790;-717.526987;-464.509571;-297.673145;-119.204926;-46.503468;-17.803222;-6.727820;;;;;-2743.741334;-4593.802927;-3593.687499;-3541.205418;
NCF_NXGRZ_RBEH;Bcgvba;FK5R_BGP_1408_C2434.23;FK5R;41.080752;3578.468071;-9.144100;0.020136;323.146411;22.08.2014 17:50:00;2434.2300;RHE;Chg;gehr;;2888.763;1.00;68022.373687;56107.714610;44210.600080;32536.814863;21835.748797;17199.908394;13192.194222;9859.703731;7190.457725;5125.696051;4777.911196;4450.083040;4141.426627;3851.151893;3578.468071;3322.587699;3082.730265;2858.125465;2648.016102;2451.660601;1651.578758;1096.052388;717.827276;464.695263;297.794695;119.255248;46.523569;17.811045;6.730808;;72.393825;250.742392;;2748.789447;4615.480469;3604.961968;3552.153648;
NCF_NXGRZ_RBEH;Bcgvba;FK5R_BGP_1409_P1390.2_QP;FK5R;-4600.000000;-4501.072825;-0.208943;0.000546;12.381908;08.09.2014 17:50:00;1390.2000;RHE;Pnyy;gehr;;2888.763;1.00;-212.627164;-1040.783302;-2216.310043;-3216.272875;-3864.938503;-4074.457248;-4226.605939;-4335.093672;-4411.377384;-4464.448443;-4472.907343;-4480.758759;-4488.044469;-4494.803611;-4501.072825;-4506.886383;-4512.276320;-4517.272558;-4521.903032;-4526.193799;-4543.346628;-4555.020156;-4562.946177;-4568.319262;-4571.958103;-4576.087953;-4577.979574;-4578.846765;-4579.244766;;1.623276;10.757471;;-4519.720442;-4476.755867;-4504.731179;-4497.417710;
NCF_NXGRZ_RBEH;Bcgvba;FK5R_BGP_1409_C1390.2/#1;FK5R;28.772838;158.071054;-0.409612;0.001071;28.177929;08.09.2014 18:00:00;1390.2000;RHE;Chg;gehr;;2888.763;1.00;17908.396171;10897.670953;5970.828445;3043.603808;1485.473034;1027.842323;708.506326;487.269649;334.756332;229.955519;213.330295;197.913553;183.617931;170.362240;158.071054;146.674315;136.106974;126.308643;117.223276;108.798866;75.019654;51.841214;35.913637;24.947854;17.381136;8.515582;4.226604;2.125984;1.083810;;3.693665;24.480662;;121.506345;205.771880;159.308067;156.843918;
NCF_NXGRZ_RBEH;Bcgvba;FK5R_BGP_1409_C1390.2_QP;FK5R;40000.000000;682.668941;-1.816895;0.004746;107.668766;08.09.2014 17:50:00;1390.2000;RHE;Chg;gehr;;2888.763;1.00;37973.500774;30772.143053;20550.171394;11854.842416;6214.271735;4392.369610;3069.337511;2125.965923;1462.629297;1001.141825;927.586177;859.312991;795.958995;737.183845;682.668941;632.116263;585.247247;541.801693;501.536707;464.225688;315.070650;213.561711;144.639793;97.917316;66.275214;30.363479;13.914602;6.373806;2.912927;;14.115444;93.543222;;520.515746;894.120750;688.138575;677.243043;
NCF_NXGRZ_RBEH;Bcgvba;FK5R_BGP_1409_C1123.71525;FK5R;16.352007;37.743007;-0.094785;0.000246;7.378493;16.09.2014 17:50:00;1123.7153;RHE;Chg;gehr;;2888.763;1.00;6260.516369;3295.363199;1610.410661;760.023929;354.818192;242.555452;166.125698;114.085452;78.604368;54.358996;50.517492;46.955094;43.651082;40.586293;37.743007;35.104837;32.656629;30.384366;28.275083;26.316792;18.429792;12.963866;9.159931;6.501239;4.634877;2.387066;1.250756;0.666355;0.360728;;0.644720;6.732984;;29.269764;48.770998;38.037415;37.450978;
NCF_NXGRZ_RBEH;Bcgvba;FK5R_BGP_1409_C1123.71525_QP;FK5R;16625.000000;140.345699;-0.361667;0.000942;24.981057;16.09.2014 17:50:00;1123.7153;RHE;Chg;gehr;;2888.763;1.00;13809.695773;9235.178026;5219.369279;2680.684774;1309.878817;906.634759;625.320420;430.470252;296.132836;203.768398;189.107184;175.508430;162.895326;151.196508;140.345699;130.281357;120.946353;112.287663;104.256086;96.805973;66.898315;46.329824;32.160590;22.380056;15.613640;7.658476;3.794565;1.898007;0.957491;;2.183049;22.795834;;108.042744;182.440503;141.465513;139.234986;
NCF_NXGRZ_RBEH;Bcgvba;FK5R_BGP_1411_C1127;FK5R;22.182786;71.273972;-0.167034;0.000406;13.532737;11.11.2014 17:50:00;1127.0000;RHE;Chg;gehr;;2888.763;1.00;8793.451878;4753.311806;2408.706436;1186.027378;579.718873;405.810792;284.694641;200.300238;141.398839;100.190507;93.563576;87.389002;81.635131;76.272559;71.273972;66.613999;62.269070;58.217287;54.438306;50.913227;36.523291;26.313117;19.039056;13.835176;10.096629;5.445391;2.985270;1.662549;0.939973;;;10.573296;2.956509;54.778108;92.971899;71.878965;70.674224;
NCF_NXGRZ_RBEH;Bcgvba;FK5R_BGP_1411_C1127_QP;FK5R;25000.000000;289.520479;-0.689292;0.001664;49.190979;11.11.2014 17:50:00;1127.0000;RHE;Chg;gehr;;2888.763;1.00;20826.993403;14209.893388;8314.759459;4463.393157;2292.370900;1628.874736;1154.066267;816.492871;577.480572;408.651932;381.390927;355.966903;332.256209;310.143350;289.520479;270.286921;252.348711;235.618171;220.013503;205.458408;146.097646;104.124070;74.392427;53.288199;38.272995;19.904459;10.464029;5.558895;2.982408;;;38.434682;10.747956;221.416632;378.955644;292.011858;287.050640;
NCF_NXGRZ_RBEH;Bcgvba;FK5R_BGP_1806_C0_QB-61_SJQC_1307;FK5R;-50000.000000;-6734.891844;4.646960;-0.000825;-34.696408;27.06.2018 17:50:00;2622.6200;RHE;Chg;gehr;;2888.763;1.00;;-1195.288690;-5379.896969;-8556.237329;-9628.950660;-9553.744162;-9212.133080;-8695.785897;-8077.308932;-7410.863401;-7275.440961;-7139.918855;-7004.519549;-6869.447848;-6734.891844;-6601.023381;-6467.999517;-6335.963368;-6205.044448;-6075.360104;-5448.787909;-4864.795888;-4328.122563;-3840.159808;-3400.088937;-2653.980420;-2064.706755;-1604.255686;-1246.696645;-34.696408;-34.696408;-34.696408;-34.696408;-4560.504117;-9233.952362;-6826.271528;-6644.356558;
NCF_NXGRZ_RBEH;Bcgvba;FK5R_BGP_1806_C2622.62;FK5R;19.064905;8407.575747;-7.709142;0.006667;407.136476;27.06.2018 17:50:00;2622.6200;RHE;Chg;gehr;;2888.763;1.00;39537.294636;33685.359088;27984.979579;22691.088285;18031.609302;15978.173842;14113.664969;12433.974260;10930.761735;9592.884308;9344.043006;9101.199617;8864.246303;8633.074623;8407.575747;8187.640648;7973.160291;7764.025801;7560.128618;7361.360650;6440.724212;5632.576285;4924.551882;4305.187292;3764.005193;2879.294123;2206.167862;1694.223109;1304.576032;;;;407.136476;5435.794320;12861.261369;8542.820916;8274.097200;
NCF_NXGRZ_RBEH;Bcgvba;FK5R_BGP_1902_P2619.78;FK5R;-26.719801;-15385.775015;-18.396830;-0.008780;-601.194275;28.02.2019 17:50:00;2619.7800;RHE;Pnyy;gehr;;2888.763;1.00;-0.683494;-46.601376;-384.968438;-1403.147468;-3383.922754;-4770.936844;-6420.632185;-8322.797475;-10462.778882;-12823.284820;-13320.226826;-13825.097798;-14337.746664;-14858.022554;-15385.775015;-15920.854211;-16463.111116;-17012.397676;-17568.566972;-18131.473356;-21042.068289;-24100.167894;-27289.570372;-30595.400586;-34004.152782;-41083.084030;-48444.045926;-56022.381159;-63767.928650;;;;-601.194275;-25457.543245;-7474.109586;-15213.527098;-15558.641566;
NCF_NXGRZ_RBEH;Bcgvba;FK5R_BGP_1902_P3405.714;FK5R;26.719801;7639.047580;11.973970;0.009941;625.847720;28.02.2019 17:50:00;3405.7140;RHE;Pnyy;gehr;;2888.763;1.00;0.015976;3.743735;59.129903;324.242178;1036.741333;1632.349404;2416.571539;3403.669773;4601.931993;6014.269614;6322.352129;6638.911593;6963.910186;7297.304850;7639.047580;7989.085703;8347.362149;8713.815730;9088.381390;9470.990474;11502.062580;13722.262871;16120.306907;18684.188181;21401.623910;27248.608610;33568.356443;40277.436899;47303.768620;;;;625.847720;14733.159976;2953.338507;7514.558606;7764.670962;
NCF_NXGRZ_RBEH;Bcgvba;NQF_BGP_1412_C67.167;NQF;372.206590;1396.847747;-88.611168;5.003435;99.490468;12.12.2014 17:45:00;67.1670;RHE;Chg;gehr;;80.180;1.00;16416.245435;13437.649785;10513.619039;7786.631683;5444.960452;4461.196598;3610.022265;2888.227531;2287.161296;1794.664446;1707.984253;1624.977210;1545.528404;1469.523239;1396.847747;1327.388876;1261.034750;1197.674905;1137.200499;1079.504496;829.099981;633.372932;481.627363;364.802709;275.401165;155.735426;87.414091;48.844778;27.233252;;;60.889015;38.598801;1281.914120;1520.864233;1407.063401;1386.700408;
NCF_NXGRZ_RBEH;Bcgvba;NYI_BGP_1401_C86.7425;NYI;749.346000;175.035164;-22.506913;2.695361;34.450381;31.01.2014 17:45:00;86.7425;RHE;Chg;gehr;;116.200;1.00;38828.891686;30121.512397;21433.807138;13105.713570;6393.626145;4054.358163;2412.422087;1351.948987;717.178321;362.135338;314.169793;272.093304;235.261079;203.085899;175.035164;150.627690;129.430351;111.054659;95.153332;81.416925;36.625999;16.006633;6.823278;2.847217;1.166687;0.187514;0.028857;0.004313;0.000633;14.099058;20.341744;;;175.035164;175.035164;176.012052;174.064019;
NCF_NXGRZ_RBEH;Bcgvba;NYI_BGP_1407_C93.56;NYI;534.416417;1433.427059;-95.915487;5.651600;141.047482;25.07.2014 17:45:00;93.5600;RHE;Chg;gehr;;116.200;1.00;33698.617163;27488.902382;21294.932467;15271.787912;9897.144430;7642.440041;5741.249109;4201.252429;3000.015789;2094.788744;1944.730211;1803.993168;1672.146825;1548.764826;1433.427059;1325.721257;1225.244385;1131.603819;1044.418351;963.318996;637.124691;415.508837;267.677199;170.616482;107.756405;42.027937;16.023143;6.013415;2.233896;;53.177542;87.861349;;1041.333379;1950.075607;1443.735304;1423.188173;
NCF_NXGRZ_RBEH;Bcgvba;NYI_BGP_1412_C98.728;NYI;313.994004;1786.848216;-85.059669;3.500123;127.472248;15.12.2014 17:45:00;98.7280;RHE;Chg;gehr;;116.200;1.00;21362.729461;17715.034239;14088.368040;10591.448807;7453.956010;6096.476948;4905.922500;3887.990453;3038.027561;2343.483691;2221.739240;2105.362517;1994.195362;1888.077697;1786.848216;1690.345026;1598.406239;1510.870520;1427.577589;1348.368673;1008.181303;747.751570;550.689337;403.078672;293.475632;153.573772;79.321169;40.605608;20.669930;;;75.924766;51.544828;1424.596244;2226.116053;1800.823418;1772.970423;
NCF_NXGRZ_RBEH;Bcgvba;NYI_BGP_1501_C99.416;NYI;281.644806;1745.405069;-79.466057;3.123387;120.289251;12.01.2015 17:45:00;99.4160;RHE;Chg;gehr;;116.200;1.00;19352.773355;16081.101709;12830.478607;9700.724260;6892.216917;5673.433179;4600.274391;3677.653556;2901.879449;2262.645872;2149.952240;2042.014658;1938.700696;1839.876042;1745.405069;1655.151370;1568.978250;1486.749186;1408.328244;1333.580473;1010.325836;759.743273;567.602404;421.663927;311.724830;168.351480;89.838250;47.552126;25.042045;;;53.241708;67.045392;1405.517922;2154.007517;1759.369635;1731.539345;
NCF_NXGRZ_RBEH;Bcgvba;ONF_BGP_1408_C57.103;ONF;612.927517;1080.398619;-108.714658;9.720101;102.654018;15.08.2014 17:35:00;57.1030;RHE;Chg;gehr;;70.900;1.00;23046.054779;18701.272407;14382.985446;10252.054478;6663.205321;5182.555283;3939.625211;2931.160398;2138.205685;1532.120172;1430.479027;1334.745905;1244.659383;1159.961499;1080.398619;1005.722199;935.689437;870.063830;808.615646;751.122301;515.720090;350.250802;235.630063;157.229319;104.182555;44.973814;19.089393;8.011530;3.339165;;26.923163;75.725893;;881.852325;1317.705625;1088.110518;1072.738356;
NCF_NXGRZ_RBEH;Bcgvba;ONLA_BGP_1411_C69.808;ONLA;558.675223;1542.372347;-103.564483;6.282785;134.083923;05.11.2014 17:45:00;69.8080;RHE;Chg;gehr;;87.160;1.00;25027.357294;20167.215622;15405.373787;11013.652571;7343.595570;5850.332943;4591.661290;3555.208462;2719.403745;2057.749529;1943.856080;1835.588437;1732.728135;1635.059944;1542.372347;1454.457950;1371.113843;1292.141914;1217.349098;1146.547596;846.223563;620.736164;452.952360;329.059608;238.170393;123.701274;63.736505;32.688889;16.732429;;;109.170039;24.909650;1394.187521;1704.643209;1554.011920;1530.814371;
NCF_NXGRZ_RBEH;Bcgvba;ONLA_BGP_1411_C75.234;ONLA;305.712843;1323.572495;-80.650094;4.277313;91.480443;21.11.2014 17:35:00;75.2340;RHE;Chg;gehr;;87.160;1.00;15343.895445;12681.055168;10043.729217;7528.693576;5304.400634;4350.323444;3516.082379;2803.271723;2207.065956;1717.945699;1631.915847;1549.572342;1470.806826;1395.510093;1323.572495;1254.884319;1189.336140;1126.819140;1067.225405;1010.448186;765.183712;575.344584;429.924175;319.531322;236.382517;127.906981;68.425259;36.322489;19.188616;;;66.484979;24.993850;1207.526293;1449.206635;1333.130413;1314.077056;
NCF_NXGRZ_RBEH;Bcgvba;ONLA_BGP_1412_C72.395;ONLA;497.271911;1825.302053;-112.178998;6.142446;140.168462;12.12.2014 17:35:00;72.3950;RHE;Chg;gehr;;87.160;1.00;23551.460778;19224.120415;14969.751348;10996.412589;7591.973440;6169.580636;4946.012443;3916.029523;3065.822607;2376.165839;2255.602510;2140.412543;2030.417374;1925.439316;1825.302053;1729.831083;1638.854114;1552.201434;1469.706212;1391.204797;1053.126549;792.502568;593.350839;442.320964;328.525662;179.664083;97.441442;52.578154;28.297032;;;85.783892;54.380028;1664.088314;2000.285294;1839.240834;1811.460399;
NCF_NXGRZ_RBEH;Bcgvba;OZJ_BGP_1408_C61.353;OZJ;814.956074;1455.490422;-124.782605;9.705409;135.557671;01.08.2014 17:45:00;61.3530;RHE;Chg;gehr;;79.470;1.00;32417.741359;25946.797934;19568.679114;13640.986114;8714.601484;6748.404391;5125.685037;3825.024931;2809.484264;2034.717911;1904.636436;1782.013348;1666.504291;1557.772685;1455.490422;1359.338450;1269.007244;1184.197183;1104.618838;1029.993172;722.126885;502.251152;346.953885;238.300757;162.888361;75.258602;34.410037;15.637128;7.086506;;45.922430;89.626816;;1172.832601;1798.619469;1465.049042;1445.992181;
NCF_NXGRZ_RBEH;Bcgvba;OZJ_BGP_1411_C64.107;OZJ;327.577332;1071.527168;-70.894850;4.222457;79.059382;21.11.2014 17:45:00;64.1070;RHE;Chg;gehr;;79.470;1.00;13897.858897;11299.970359;8754.780293;6398.656296;4403.537287;3576.965613;2869.009628;2274.942203;1785.487940;1388.691129;1319.308257;1253.004696;1189.675698;1129.217419;1071.527168;1016.503634;964.047077;914.059513;866.444858;821.109068;625.476990;474.032557;357.706594;268.947570;201.603147;112.498198;62.382485;34.474139;19.028707;;;57.457371;21.599837;907.303277;1262.037783;1079.162910;1063.941835;
NCF_NXGRZ_RBEH;Bcgvba;OZJ_BGP_1501_C68.493;OZJ;335.800739;1714.945435;-97.604163;4.871380;100.408178;12.01.2015 17:45:00;68.4930;RHE;Chg;gehr;;79.470;1.00;15708.527587;13043.911270;10418.717352;7940.642783;5761.200419;4821.683263;3992.126979;3272.737741;2659.018744;2143.077045;2050.767644;1961.887377;1876.349019;1794.064550;1714.945435;1638.902891;1565.848135;1495.692604;1428.348175;1363.727354;1078.480008;848.825675;665.323815;519.654467;404.665594;243.653888;145.708026;86.767224;51.556669;;;44.442347;55.964597;1486.168381;1974.036080;1727.047679;1702.920212;
NCF_NXGRZ_RBEH;Bcgvba;PBA_BGP_1402_C75.1825;PBA;2660.193530;278.881791;-26.396802;2.431694;54.099364;14.02.2014 17:35:00;75.1825;RHE;Chg;gehr;;125.300;1.00;99835.244040;67097.022563;38344.060290;18306.793951;7464.711782;4544.367168;2696.337052;1565.736296;893.115575;502.040757;446.736789;397.345046;353.261057;313.937992;278.881791;247.646610;219.830574;195.071839;173.044944;153.457444;83.816411;45.519779;24.617628;13.274458;7.144635;2.065477;0.598272;0.174362;0.051286;17.057336;37.026900;;;278.881791;278.881791;280.277657;277.493605;
NCF_NXGRZ_RBEH;Bcgvba;PBA_BGP_1408_C99.96;PBA;440.176070;1779.882325;-81.519506;3.381799;133.934949;08.08.2014 17:45:00;99.9600;RHE;Chg;gehr;;125.300;1.00;28206.390660;22703.814551;17325.342312;12387.918284;8279.528173;6610.547096;5203.468075;4043.456989;3106.057558;2361.784472;2233.387277;2111.236770;1995.092767;1884.718743;1779.882325;1680.355726;1585.916112;1496.345922;1411.433138;1330.971496;988.632932;730.143836;536.616789;392.769661;286.502170;151.246852;79.271238;41.381377;21.569405;;40.251140;93.678742;;1616.305077;1958.313297;1790.215345;1769.607498;
NCF_NXGRZ_RBEH;Bcgvba;QNV_BGP_1401_C36.6265;QNV;1365.130000;104.658264;-21.307714;4.181193;16.223707;09.01.2014 17:30:00;36.6265;RHE;Chg;gehr;;57.620;1.00;26374.645870;18567.320985;11343.813185;5823.560205;2531.173070;1582.228925;960.120271;567.956726;328.787120;186.907282;166.625512;148.458308;132.197955;117.655280;104.658264;93.050727;82.691074;73.451106;65.214909;57.877806;31.684264;17.204158;9.281690;4.982717;2.665034;0.757181;0.214374;0.060797;0.017338;9.035394;7.184367;;;104.658264;104.658264;105.044998;104.273190;
NCF_NXGRZ_RBEH;Bcgvba;QNV_BGP_1405_C41.102;QNV;4038.730200;3024.520671;-395.770651;48.235870;313.818910;27.05.2014 17:45:00;41.1020;RHE;Chg;gehr;;57.620;1.00;104251.919139;81028.655807;58435.268224;38318.572807;22769.487163;16968.504543;12396.988138;8898.843536;6289.902467;4386.755036;4075.866141;3785.327569;3513.986919;3260.737911;3024.520671;2804.321721;2599.173699;2408.154837;2230.388240;2065.040986;1398.380014;940.449633;628.895932;418.610822;277.606260;121.109379;52.494407;22.697402;9.819518;;219.488095;94.303501;;2293.032346;3968.786707;3041.595947;3007.542975;
