 Count  Type        Name                  Value
   178  attribute   fill                  grey
   179  raw         points                207.879,-206.837 213.085,-197.609 203.261,-201.577 207.879,-206.837
   180  float       1                     207.879
   181  float       2                     -206.837
   182  float       3                     213.085
   183  float       4                     -197.609
   184  float       5                     203.261
   185  float       6                     -201.577
   186  float       7                     207.879
   187  float       8                     -206.837
   188  attribute   stroke                grey
   189  content     polygon               
   190  tag         polygon               close
   191  content     g                     


   192  tag         g                     close
   193  tag         g                     open
   194  attribute   class                 node
   195  attribute   id                    node3
   196  tag         title                 open
   197  content     title                 Two
   198  tag         title                 close
   199  tag         ellipse               open
   200  attribute   cx                    82
   201  attribute   cy                    -106
   202  attribute   fill                  none
   203  attribute   rx                    36.096
   204  attribute   ry                    18
   205  attribute   stroke                black
   206  content     ellipse               
   207  tag         ellipse               close
   208  tag         text                  open
   209  attribute   font-family           Times,serif
   210  attribute   font-size             14.00
   211  attribute   text-anchor           middle
   212  attribute   x                     82
   213  attribute   y                     -102.3
   214  content     text                  Böhme
   215  tag         text                  close
   216  content     g                     


   217  tag         g                     close
   218  tag         g                     open
   219  attribute   class                 edge
   220  attribute   id                    edge3
   221  tag         title                 open
   222  content     title                 One->Two
   223  tag         title                 close
   224  tag         path                  open
   225  raw         d                     M72.0808,-161.937C73.5865,-153.598 75.4343,-143.364 77.1253,-133.998
   226  command     M                     -
   227  float       1                     72.0808
   228  float       2                     -161.937
   229  command     C                     -
   230  float       1                     73.5865
   231  float       2                     -153.598
   232  float       3                     75.4343
   233  float       4                     -143.364
   234  float       5                     77.1253
   235  float       6                     -133.998
   236  attribute   fill                  none
   237  attribute   stroke                grey
   238  content     path                  
   239  tag         path                  close
   240  tag         polygon               open
   241  attribute   fill                  grey
   242  raw         points                80.6087,-134.403 78.9413,-123.941 73.7201,-133.159 80.6087,-134.403
   243  float       1                     80.6087
   244  float       2                     -134.403
   245  float       3                     78.9413
   246  float       4                     -123.941
   247  float       5                     73.7201
   248  float       6                     -133.159
   249  float       7                     80.6087
   250  float       8                     -134.403
   251  attribute   stroke                grey
   252  content     polygon               
   253  tag         polygon               close
   254  content     g                     


   255  tag         g                     close
   256  tag         g                     open
   257  attribute   class                 node
   258  attribute   id                    node6
   259  tag         title                 open
   260  content     title                 Five
   261  tag         title                 close
   262  tag         ellipse               open
   263  attribute   cx                    158
   264  attribute   cy                    -18
   265  attribute   fill                  none
   266  attribute   rx                    102.061
   267  attribute   ry                    18
   268  attribute   stroke                black
   269  content     ellipse               
   270  tag         ellipse               close
   271  tag         text                  open
   272  attribute   font-family           Times,serif
   273  attribute   font-size             14.00
   274  attribute   text-anchor           middle
   275  attribute   x                     158
   276  attribute   y                     -14.3
   277  content     text                  ΔΔΔΔΔΔΔΔΔΔΔΔΔΔΔΔΔ
   278  tag         text                  close
   279  content     g                     


   280  tag         g                     close
   281  tag         g                     open
   282  attribute   class                 edge
   283  attribute   id                    edge5
   284  tag         title                 open
   285  content     title                 Two->Five
   286  tag         title                 close
   287  tag         path                  open
   288  raw         d                     M86.5455,-88.0167C90.0243,-77.3811 95.6611,-63.8704 104,-54 107.926,-49.3529 112.625,-45.0992 117.591,-41.2818
   289  command     M                     -
   290  float       1                     86.5455
   291  float       2                     -88.0167
   292  command     C                     -
   293  float       1                     90.0243
   294  float       2                     -77.3811
   295  float       3                     95.6611
   296  float       4                     -63.8704
   297  float       5                     104
   298  float       6                     -54
   299  float       7                     107.926
   300  float       8                     -49.3529
   301  float       9                     112.625
   302  float       10                    -45.0992
   303  float       11                    117.591
   304  float       12                    -41.2818
   305  attribute   fill                  none
   306  attribute   stroke                grey
   307  content     path                  
   308  tag         path                  close
   309  tag         polygon               open
   310  attribute   fill                  grey
   311  raw         points                119.953,-43.8991 126.11,-35.2769 115.92,-38.1777 119.953,-43.8991
   312  float       1                     119.953
   313  float       2                     -43.8991
   314  float       3                     126.11
   315  float       4                     -35.2769
   316  float       5                     115.92
   317  float       6                     -38.1777
   318  float       7                     119.953
   319  float       8                     -43.8991
   320  attribute   stroke                grey
   321  content     polygon               
   322  tag         polygon               close
   323  tag         text                  open
   324  attribute   font-family           Times,serif
   325  attribute   font-size             14.00
   326  attribute   text-anchor           middle
   327  attribute   x                     143
   328  attribute   y                     -58.3
   329  content     text                  Label has a ☃
   330  tag         text                  close
   331  content     g                     



   332  tag         g                     close
   333  tag         g                     open
   334  attribute   class                 node
   335  attribute   id                    node5
   336  tag         title                 open
   337  content     title                 Four
   338  tag         title                 close
   339  tag         ellipse               open
   340  attribute   cx                    225
   341  attribute   cy                    -106
   342  attribute   fill                  none
   343  attribute   rx                    87.613
   344  attribute   ry                    18
   345  attribute   stroke                black
   346  content     ellipse               
   347  tag         ellipse               close
   348  tag         text                  open
   349  attribute   font-family           Times,serif
   350  attribute   font-size             14.00
   351  attribute   text-anchor           middle
   352  attribute   x                     225
   353  attribute   y                     -102.3
   354  content     text                  Πηληϊάδεω Ἀχιλῆος
   355  tag         text                  close
   356  content     g                     


   357  tag         g                     close
   358  tag         g                     open
   359  attribute   class                 edge
   360  attribute   id                    edge4
   361  tag         title                 open
   362  content     title                 Three->Four
   363  tag         title                 close
   364  tag         path                  open
   365  raw         d                     M230.341,-161.937C229.542,-153.719 228.564,-143.66 227.664,-134.406
   366  command     M                     -
   367  float       1                     230.341
   368  float       2                     -161.937
   369  command     C                     -
   370  float       1                     229.542
   371  float       2                     -153.719
   372  float       3                     228.564
   373  float       4                     -143.66
   374  float       5                     227.664
   375  float       6                     -134.406
   376  attribute   fill                  none
   377  attribute   stroke                grey
   378  content     path                  
   379  tag         path                  close
   380  tag         polygon               open
   381  attribute   fill                  grey
   382  raw         points                231.147,-134.055 226.696,-124.441 224.18,-134.732 231.147,-134.055
   383  float       1                     231.147
   384  float       2                     -134.055
   385  float       3                     226.696
   386  float       4                     -124.441
   387  float       5                     224.18
   388  float       6                     -134.732
   389  float       7                     231.147
   390  float       8                     -134.055
   391  attribute   stroke                grey
   392  content     polygon               
   393  tag         polygon               close
   394  content     g                     


   395  tag         g                     close
   396  tag         g                     open
   397  attribute   class                 edge
   398  attribute   id                    edge6
   399  tag         title                 open
   400  content     title                 Four->Five
   401  tag         title                 close
   402  tag         path                  open
   403  raw         d                     M211.763,-88.0092C201.944,-75.4058 188.405,-58.0272 177.37,-43.8632
   404  command     M                     -
   405  float       1                     211.763
   406  float       2                     -88.0092
   407  command     C                     -
   408  float       1                     201.944
   409  float       2                     -75.4058
   410  float       3                     188.405
   411  float       4                     -58.0272
   412  float       5                     177.37
   413  float       6                     -43.8632
   414  attribute   fill                  none
   415  attribute   stroke                grey
   416  content     path                  
   417  tag         path                  close
   418  tag         polygon               open
   419  attribute   fill                  grey
   420  raw         points                180.116,-41.6931 171.21,-35.9555 174.594,-45.9952 180.116,-41.6931
   421  float       1                     180.116
   422  float       2                     -41.6931
   423  float       3                     171.21
   424  float       4                     -35.9555
   425  float       5                     174.594
   426  float       6                     -45.9952
   427  float       7                     180.116
   428  float       8                     -41.6931
   429  attribute   stroke                grey
   430  content     polygon               
   431  tag         polygon               close
   432  tag         text                  open
   433  attribute   font-family           Times,serif
   434  attribute   font-size             14.00
   435  attribute   text-anchor           middle
   436  attribute   x                     237.5
   437  attribute   y                     -58.3
   438  content     text                  Label has a ✔
   439  tag         text                  close
   440  content     g                     



   441  tag         g                     close
   442  content     g                     


























   443  tag         g                     close
   444  content     svg                   

   445  tag         svg                   close
