"Journal Report 1 (R2)","Number of Successful Article Requests by Month and Journal","","","","","","","","","","","","","","","","","",""
"University of Fishwick","","","","","","","","","","","","","","","","","","",""
"Date run:","","","","","","","","","","","","","","","","","","",""
"2008-06-30","","","","","","","","","","","","","","","","","","",""
"","Publisher","Platform","Print ISSN","Online ISSN","Jan-2006","Feb-2006","Mar-2006","Apr-2006","May-2006","Jun-2006","Jul-2006","Aug-2006","Sep-2006","Oct-2006","Nov-2006","Dec-2006","YTD Total","YTD HTML","YTD PDF"
"American Art Journal","Kennedy Galleries Inc.","JSTOR","0002-7359","","6","1","6","55","21","3","0","0","0","2","4","3","101","74","21"
"American Economic Review","American Economic Association","JSTOR","0002-8282","","48","110","140","118","57","4","2","21","67","91","63","72","793","571","200"
"American Educational Research Journal","American Educational Research Association","JSTOR","0002-8312","","3","0","1","18","2","0","1","0","0","2","8","7","42","37","5"
"American Ethnologist","University of California Press","JSTOR","0094-0496","1548-1425","22","71","158","207","46","21","1","1","13","51","44","22","657","475","167"
"American Fern Journal","American Fern Society","JSTOR","0002-8444","","0","0","0","0","0","2","0","2","0","0","1","0","5","4","1"
"American Historical Review","University of Chicago Press","JSTOR","0002-8762","","27","275","86","123","125","22","35","50","191","213","199","90","1436","1094","314"
"American Indian Quarterly","University of Nebraska Press","JSTOR","0095-182X","","0","48","1","23","5","1","0","0","1","10","8","7","104","49","53"
"American Journal of Agricultural Economics","Blackwell Publishing","JSTOR","0002-9092","","3","19","18","29","8","0","3","1","6","17","26","5","135","110","22"
"American Journal of Archaeology","Archaeological Institute of America","JSTOR","0002-9114","","0","35","22","85","62","10","3","5","19","26","35","22","324","264","57"
"American Journal of Botany","Botanical Society of America","JSTOR","0002-9122","","1","17","5","59","43","2","8","2","6","41","2","18","204","157","46"
"American Journal of Comparative Law","American Society of Comparative Law","JSTOR","0002-919X","","0","18","0","8","9","0","0","0","1","18","9","6","69","60","9"
"American Journal of Economics and Sociology","The American Journal of Economics and Sociology, Inc.","JSTOR","0002-9246","","0","0","0","0","0","0","0","0","3","23","19","7","52","46","6"
"American Journal of Education","University of Chicago Press","JSTOR","0195-6744","1549-6511","0","27","50","35","13","0","1","0","2","19","9","13","169","129","39"
"American Journal of International Law","American Society of International Law","JSTOR","0002-9300","","10","70","53","239","51","6","13","4","26","22","39","24","557","425","121"
"American Journal of Legal History","Temple University","JSTOR","0002-9319","","3","3","2","8","4","4","5","0","40","3","14","7","93","65","28"
"American Journal of Mathematics","The Johns Hopkins University Press","JSTOR","0002-9327","1080-6377","1","3","0","2","0","0","0","0","0","1","0","0","7","5","2"
"American Journal of Nursing","Lippincott Williams &amp; Wilkins","JSTOR","0002-936X","","0","0","0","0","0","0","0","0","1","36","29","13","79","69","10"
"American Journal of Philology","The Johns Hopkins University Press","JSTOR","0002-9475","1086-3168","2","65","21","59","71","1","0","2","7","45","17","39","329","266","60"
"American Journal of Police Science","Northwestern University","JSTOR","1547-6154","","0","0","1","0","0","0","0","0","0","1","0","0","2","2","0"
"American Journal of Political Science","Midwest Political Science Association","JSTOR","0092-5853","","20","74","12","133","127","12","1","11","333","63","127","31","944","617","308"
"American Journal of Psychology","The University of Illinois Press","JSTOR","0002-9556","","6","6","5","16","86","2","0","2","0","16","131","34","304","252","50"
"American Journal of Sociology","University of Chicago Press","JSTOR","0002-9602","1537-5390","8","23","34","41","43","10","17","13","234","138","71","52","684","507","176"
"American Literary History","Oxford University Press","JSTOR","0896-7148","1468-4365","6","5","31","23","63","4","3","3","17","100","42","38","335","272","62"
"American Literature","Duke University Press","JSTOR","0002-9831","1527-2117","10","146","110","105","149","0","10","6","55","134","95","88","908","714","166"
"American Mathematical Monthly","Mathematical Association of America","JSTOR","0002-9890","","6","27","5","18","11","3","1","0","1","24","20","11","127","110","17"
"American Midland Naturalist","University of Notre Dame","JSTOR","0003-0031","","0","7","11","8","9","0","0","0","19","38","19","11","122","95","27"
"American Music","The University of Illinois Press","JSTOR","0734-4392","","2","2","6","22","4","0","1","0","4","13","13","43","110","84","21"
"American Naturalist","University of Chicago Press","JSTOR","0003-0147","1537-5323","42","78","65","33","52","11","3","10","28","113","118","45","598","404","187"
"American Political Science Review","American Political Science Association","JSTOR","0003-0554","","45","119","229","163","141","17","5","16","56","159","146","60","1156","845","292"
"American Quarterly","The Johns Hopkins University Press","JSTOR","0003-0678","1080-6490","3","51","69","92","49","3","25","11","94","139","95","88","719","522","185"
"American Sociological Review","American Sociological Association","JSTOR","0003-1224","","59","131","52","68","75","5","20","13","37","269","248","62","1039","727","295"
"American Speech","Duke University Press","JSTOR","0003-1283","1527-2133","1","2","5","19","21","1","0","1","15","32","15","32","144","125","18"
"American Statistician","American Statistical Association","JSTOR","0003-1305","","0","1","1","0","8","1","4","11","1","8","0","3","38","30","8"
"Americas","Academy of American Franciscan History","JSTOR","0003-1615","","0","16","14","18","22","16","2","11","3","11","13","2","128","104","23"
"Analysis","Blackwell Publishing","JSTOR","0003-2638","","0","0","0","1","5","6","0","0","5","6","18","6","47","33","14"
"Anatolian Studies","British Institute of Archaeology at Ankara","JSTOR","0066-1546","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Annals of Applied Probability","Institute of Mathematical Statistics","JSTOR","1050-5164","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Annals of Mathematical Statistics","Institute of Mathematical Statistics","JSTOR","0003-4851","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Annals of Mathematics","Annals of Mathematics","JSTOR","0003-486X","","0","3","0","6","0","0","2","0","0","5","2","0","18","14","4"
"Annals of Probability","Institute of Mathematical Statistics","JSTOR","0091-1798","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Annals of Statistics","Institute of Mathematical Statistics","JSTOR","0090-5364","","0","1","0","1","0","0","1","0","0","0","0","0","3","1","2"
"Annals of the American Academy of Political and Social Science","Sage Publications","JSTOR","0002-7162","","13","105","86","250","177","21","14","12","103","153","167","108","1209","940","252"
"Annals of the Association of American Geographers","Blackwell Publishing","JSTOR","0004-5608","","2","17","19","38","16","0","8","0","12","16","33","29","190","152","38"
"Annals of the Missouri Botanical Garden","Missouri Botanical Garden Press","JSTOR","0026-6493","","0","1","0","7","2","0","0","0","1","1","1","0","13","10","2"
"Annual Review of Anthropology","Annual Reviews","JSTOR","0084-6570","","2","15","25","122","37","2","7","3","18","20","46","14","311","251","58"
"Annual Review of Ecology and Systematics","Annual Reviews","JSTOR","0066-4162","","4","12","7","7","19","0","0","1","9","35","15","31","140","113","26"
"Annual Review of Sociology","Annual Reviews","JSTOR","0360-0572","","3","15","12","56","34","0","4","3","10","33","52","22","244","191","51"
"Anthropological Quarterly","The George Washington University Institute for Ethnographic Research","JSTOR","0003-5491","","0","0","0","23","13","7","0","5","7","6","12","7","80","59","20"
"Anthropology &amp; Education Quarterly","American Anthropological Association","JSTOR","0161-7761","1548-1492","0","7","7","33","12","0","1","4","11","24","4","3","106","87","19"
"Anthropology Today","Royal Anthropological Institute of Great Britain and Ireland","JSTOR","0268-540X","","1","7","10","22","9","4","0","13","10","20","20","4","120","98","22"
"Applied Statistics","Royal Statistical Society","JSTOR","0035-9254","","0","0","10","0","0","0","0","0","0","6","0","0","16","14","2"
"Applied Vegetation Science","Opulus Press AB","JSTOR","1402-2001","","0","0","0","1","0","0","0","0","4","0","0","1","6","4","2"
"APT Bulletin","Association for Preservation Technology International","JSTOR","0848-8525","","0","0","3","15","5","3","0","0","3","2","4","1","36","30","6"
"Arab Law Quarterly","Brill Academic Publishers","JSTOR","0268-0556","","0","0","0","0","0","0","0","0","13","3","24","34","74","54","20"
"Archaeological Reports","Society for the Promotion of Hellenic Studies","JSTOR","0570-6084","","0","1","0","2","7","0","0","0","1","0","0","0","11","8","3"
"Architectural History","SAHGB Publications Limited","JSTOR","0066-622X","","0","0","0","4","6","3","0","2","2","4","3","0","24","17","7"
"Archiv f&uuml;r Musikwissenschaft","Franz Steiner Verlag","JSTOR","0003-9292","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Archives of American Art Journal","The Smithsonian Institution","JSTOR","0003-9853","","3","5","0","31","8","0","0","3","1","3","2","1","57","46","9"
"Arctic, Antarctic, and Alpine Research","INSTAAR","JSTOR","1523-0430","","0","0","0","1","0","6","0","0","0","11","2","12","32","22","10"
"Art Bulletin","College Art Association","JSTOR","0004-3079","","29","177","54","174","30","4","3","4","46","116","139","63","839","624","188"
"Art Education","National Art Education Association","JSTOR","0004-3125","","0","2","17","29","14","1","0","2","4","46","16","6","137","112","24"
"Art Journal","College Art Association","JSTOR","0004-3249","","21","74","49","214","102","3","1","2","12","52","122","25","677","548","116"
"Artibus Asiae","Artibus Asiae Publishers","JSTOR","0004-3648","","1","24","18","30","1","7","1","0","0","6","3","1","92","69","22"
"Artibus Asiae. Supplementum","Artibus Asiae Publishers","JSTOR","1423-0526","","0","3","0","0","0","0","0","0","0","0","0","0","3","3","0"
"Artibus et Historiae","IRSA s.c.","JSTOR","0391-9064","","2","2","30","16","14","0","2","3","4","7","20","8","108","82","25"
"ASA Review of Books","African Studies Association","JSTOR","0364-1686","","1","4","0","2","0","0","0","0","0","1","0","0","8","7","1"
"Asian Folklore Studies","Asian Folklore Studies, Nanzan University ","JSTOR","0385-2342","","6","9","0","8","6","0","2","0","3","6","9","3","52","44","8"
"Asian Music","University of Texas Press","JSTOR","0044-9202","","0","7","1","1","0","0","3","0","1","8","8","3","32","26","6"
"Asian Survey","University of California Press","JSTOR","0004-4687","","11","59","108","214","114","1","12","5","45","140","116","82","907","685","211"
"Asian Theatre Journal","University of Hawai'i Press","JSTOR","0742-5457","","0","2","2","2","0","1","0","0","3","3","5","3","21","17","4"
"Assemblage","MIT Press","JSTOR","0889-3012","","2","0","0","2","2","0","0","14","81","5","61","34","201","127","74"
"Athenian Agora","American School of Classical Studies at Athens","JSTOR","1558-8610","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Avian Diseases","American Association of Avian Pathologists","JSTOR","0005-2086","","0","0","0","7","2","0","0","0","0","0","0","5","14","13","1"
"Bernoulli","International Statistical Institute (ISI) and Bernoulli Society for Mathematical Statistics and Probability","JSTOR","1350-7265","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Biogeochemistry","Springer Science + Business Media","JSTOR","0168-2563","","0","0","2","0","9","0","0","1","0","1","1","0","14","10","4"
"Biographical Memoirs of Fellows of the Royal Society","The Royal Society","JSTOR","0080-4606","","0","1","0","0","0","0","0","0","1","0","4","1","7","6","1"
"Biological Bulletin","Marine Biological Laboratory","JSTOR","0006-3185","","0","31","44","211","99","12","2","6","162","18","71","33","689","519","168"
"Biometrics","The International Biometric Society","JSTOR","0006-341X","","1","4","3","2","0","0","0","0","1","3","0","0","14","14","0"
"Biometrika","Biometrika Trust","JSTOR","0006-3444","","0","1","0","3","4","6","5","0","2","1","1","0","23","13","10"
"BioScience","American Institute of Biological Sciences","JSTOR","0006-3568","","5","25","51","110","24","4","5","4","21","32","58","37","376","293","82"
"Biotropica","Association for Tropical Biology","JSTOR","0006-3606","","0","2","2","10","3","1","0","0","2","15","0","2","37","30","7"
"Black Music Research Journal","Center for Black Music Research Columbia College Chicago","JSTOR","0276-3605","","0","3","12","18","10","11","0","0","1","12","3","5","75","61","12"
"Black Perspective in Music","Foundation for Research in the Afro-American Creative Arts","JSTOR","0090-7790","","0","2","1","12","8","0","0","0","1","0","6","3","33","25","6"
"boundary 2","Duke University Press","JSTOR","0190-3659","1527-2141","6","5","10","21","44","0","15","2","7","21","11","29","171","137","34"
"Britannia","Society for the Promotion of Roman Studies","JSTOR","0068-113X","","0","53","9","2","1","0","0","0","0","4","0","1","70","38","32"
"British Educational Research Journal","Taylor &amp; Francis, Ltd. ","JSTOR","0141-1926","","2","1","2","7","0","0","0","0","0","4","3","1","20","19","1"
"British Journal for the Philosophy of Science","Oxford University Press","JSTOR","0007-0882","","0","1","1","4","4","0","0","0","2","14","1","2","29","24","5"
"British Journal of Educational Studies","Society for Educational Studies","JSTOR","0007-1005","","1","9","1","9","5","0","0","0","17","21","6","4","73","62","11"
"British Journal of Ethnomusicology","British Forum For Ethnomusicology","JSTOR","0968-1221","","0","0","0","0","0","1","0","0","0","2","5","7","15","8","5"
"British Journal of Middle Eastern Studies","Taylor &amp; Francis, Ltd. ","JSTOR","1353-0194","","0","0","2","3","1","0","0","2","5","3","35","3","54","43","11"
"British Journal of Political Science","Cambridge University Press","JSTOR","0007-1234","","4","48","12","34","16","2","1","10","117","43","13","8","308","198","103"
"British Journal of Sociology","London School of Economics","JSTOR","0007-1315","","5","13","6","9","27","1","2","0","8","18","27","23","139","114","23"
"British Journal of Sociology of Education","Taylor &amp; Francis, Ltd. ","JSTOR","0142-5692","","0","0","0","8","2","0","0","0","2","4","1","7","24","21","3"
"Brittonia","New York Botanical Garden Press","JSTOR","0007-196X","","0","0","0","2","0","0","0","0","0","0","0","1","3","3","0"
"Brookings Papers on Economic Activity","The Brookings Institution","JSTOR","0007-2303","1533-4465","0","0","2","0","5","0","0","0","0","8","6","0","21","16","5"
"Brookings Papers on Economic Activity. Microeconomics","The Brookings Institution","JSTOR","1057-8641","","0","0","1","2","0","2","0","0","0","1","1","0","7","6","1"
"Bryologist","American Bryological and Lichenological Society","JSTOR","0007-2745","","0","1","1","0","1","0","0","0","9","1","2","1","16","13","3"
"Buddhist-Christian Studies","University of Hawai'i Press","JSTOR","0882-0945","","7","18","2","34","1","1","1","0","0","0","0","3","67","62","5"
"Bulletin of Latin American Research","Society for Latin American Research","JSTOR","0261-3050","","0","0","0","0","12","0","0","0","5","8","4","1","30","24","4"
"Bulletin of Symbolic Logic","Association for Symbolic Logic","JSTOR","1079-8986","","0","0","3","0","0","0","0","0","0","0","0","0","3","2","1"
"Bulletin of the American Schools of Oriental Research","American Schools of Oriental Research","JSTOR","0003-097X","","0","0","8","17","10","0","1","0","10","10","0","1","57","49","4"
"Bulletin of the School of Oriental and African Studies, University of London","School of Oriental and African Studies","JSTOR","0041-977X","","1","10","14","20","6","0","3","0","3","8","15","26","106","93","13"
"Burlington Magazine","The Burlington Magazine Publications, Ltd. ","JSTOR","0007-6287","","11","43","46","258","105","22","10","16","144","143","312","88","1198","1028","165"
"Business History Review","The President and Fellows of Harvard College","JSTOR","0007-6805","","4","11","9","26","35","0","6","1","16","9","14","4","135","112","20"
"California Law Review","California Law Review, Inc.","JSTOR","0008-1221","","0","0","0","0","0","0","0","0","2","10","23","6","41","33","8"
"Callaloo","The Johns Hopkins University Press","JSTOR","0161-2492","1080-6512","7","10","13","19","19","22","5","6","12","72","108","132","425","339","86"
"Cambridge Opera Journal","Cambridge University Press","JSTOR","0954-5867","","2","2","0","1","0","0","3","0","2","1","9","2","22","18","4"
"Canadian Journal of African Studies &#47; Revue Canadienne des &Eacute;tudes Africaines","Canadian Association of African Studies","JSTOR","0008-3968","","12","12","13","64","13","3","0","0","4","9","28","13","171","135","35"
"Canadian Journal of Economics &#47; Revue canadienne d'Economique","Canadian Public Policy","JSTOR","0008-4085","","5","2","3","9","6","0","0","1","4","2","0","2","34","30","3"
"Canadian Journal of Economics and Political Science &#47; Revue canadienne d'Economique et de Science politique ","Canadian Economics Association","JSTOR","0315-4890","","0","3","0","1","4","0","1","0","1","0","8","2","20","19","1"
"Canadian Journal of Education &#47; Revue canadienne de l'&#233;ducation","Canadian Society for the Study of Education","JSTOR","0380-2361","","0","0","2","6","5","1","0","0","2","6","4","0","26","20","6"
"Canadian Journal of Political Science &#47; Revue canadienne de science politique","Canadian Political Science Association","JSTOR","0008-4239","","0","3","8","6","9","4","0","2","2","8","15","3","60","49","11"
"Canadian Journal of Sociology &#47; Cahiers canadiens de sociologie","Canadian Journal of Sociology","JSTOR","0318-6431","","0","0","0","0","1","0","1","2","3","3","0","2","12","9","3"
"Canadian Journal of Statistics &#47; La Revue Canadienne de Statistique","Statistical Society of Canada","JSTOR","0319-5724","","0","0","0","0","0","0","0","0","0","3","0","0","3","2","1"
"Canadian Public Policy &#47; Analyse de Politiques","Canadian Public Policy","JSTOR","0317-0861","","0","0","0","0","0","0","0","0","0","0","10","0","10","8","2"
"Cancer Causes &amp; Control","Springer Science + Business Media","JSTOR","0957-5243","","0","0","0","0","0","0","0","0","0","0","4","4","8","8","0"
"Cell Stress &amp; Chaperones","Alliance Communications Group","JSTOR","1355-8145","","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0"
"Child Development","The Society for Research in Child Development","JSTOR","0009-3920","","14","3","41","124","106","14","0","1","17","8","52","54","434","311","118"
"China Journal","Contemporary China Center, Australian National University","JSTOR","1324-9347","","1","0","2","56","3","0","0","5","7","31","45","34","184","144","39"
"China Quarterly","School of Oriental and African Studies","JSTOR","0305-7410","","6","35","44","64","13","0","2","2","5","96","115","84","466","357","107"
"Chinese Literature: Essays, Articles, Reviews (CLEAR)","Chinese Literature: Essays, Articles, Reviews (CLEAR)","JSTOR","0161-9705","","1","0","0","0","0","0","1","5","1","7","0","3","18","13","5"
"Church History","American Society of Church History","JSTOR","0009-6407","","1","85","9","26","47","3","4","6","7","57","17","36","298","231","65"
"Cinema Journal","University of Texas Press","JSTOR","0009-7101","1527-2087","2","7","7","44","47","1","1","6","3","9","57","89","273","236","35"
"Classical Journal","Classical Association of the Middle West and South, Inc. (CAMWS)","JSTOR","0009-8353","","0","0","3","52","177","12","1","6","46","72","30","14","413","301","106"
"Classical Philology","University of Chicago Press","JSTOR","0009-837X","1546-072X","3","28","14","44","57","3","0","3","10","22","18","19","221","179","38"
"Classical Quarterly","The Classical Association","JSTOR","0009-8388","","4","26","4","22","67","1","2","1","22","43","32","14","238","182","54"
"Classical Review","The Classical Association","JSTOR","0009-840X","","4","61","8","38","62","1","2","3","11","28","26","23","267","231","34"
"Cognition and Instruction","Taylor &amp; Francis, Ltd. ","JSTOR","0737-0008","","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0"
"College Composition and Communication","National Council of Teachers of English","JSTOR","0010-096X","","2","5","6","4","8","0","0","5","169","16","46","5","266","185","80"
"College English","National Council of Teachers of English","JSTOR","0010-0994","","13","85","40","74","111","6","4","6","180","54","24","90","687","553","128"
"College Mathematics Journal","Mathematical Association of America","JSTOR","0746-8342","","0","2","0","1","3","0","0","0","0","7","5","5","23","23","0"
"Columbia Law Review","Columbia Law Review Association, Inc.","JSTOR","0010-1958","","2","6","2","71","39","5","9","2","210","142","17","13","518","355","157"
"Comparative Education","Taylor &amp; Francis, Ltd. ","JSTOR","0305-0068","","0","4","1","24","2","0","0","2","7","7","6","0","53","40","13"
"Comparative Education Review","University of Chicago Press","JSTOR","0010-4086","1545-701X","2","9","7","17","4","1","0","1","13","14","5","7","80","66","14"
"Comparative Literature","University of Oregon","JSTOR","0010-4124","","7","5","13","36","12","2","2","4","2","16","21","31","151","129","21"
"Comparative Politics","Ph.D. Program in Political Science, City University of New York","JSTOR","0010-4159","","8","51","24","77","35","5","12","9","18","29","28","11","307","200","100"
"Comparative Studies in Society and History","Cambridge University Press","JSTOR","0010-4175","","161","34","23","48","45","9","5","6","59","33","57","78","558","419","127"
"Condor","Cooper Ornithological Society","JSTOR","0010-5422","","0","1","2","2","0","0","0","0","9","1","30","3","48","38","10"
"Conservation Biology","Blackwell Publishing","JSTOR","0888-8892","","3","15","16","49","12","4","15","13","11","42","26","24","230","169","60"
"Contemporary Literature","University of Wisconsin Press","JSTOR","0010-7484","","2","15","8","25","43","2","3","4","2","16","45","53","218","182","34"
"Contemporary Sociology","American Sociological Association","JSTOR","0094-3061","","10","83","18","62","92","1","4","5","15","51","69","33","443","343","92"
"Copeia","American Society of Ichthyologists and Herpetologists (ASIH)","JSTOR","0045-8511","","0","6","20","16","7","2","3","9","2","22","54","42","183","144","39"
"Crime and Justice","University of Chicago Press","JSTOR","0192-3234","","0","2","5","16","5","3","0","0","1","3","6","8","49","45","4"
"Criminal Science Monographs","Ceased Publication","JSTOR","1547-626X","","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0"
"Critical Inquiry","University of Chicago Press","JSTOR","0093-1896","1539-7858","135","57","3","32","55","2","2","15","24","66","72","55","518","379","131"
"Cultural Anthropology","University of California Press","JSTOR","0886-7356","1548-1360","8","48","20","42","29","5","5","5","6","11","28","31","238","175","61"
"Cultural Critique","University of Minnesota Press","JSTOR","0882-4371","","2","5","5","22","36","0","0","0","3","46","17","19","155","134","18"
"Current Anthropology","Wenner Gren Foundation","JSTOR","0011-3204","1537-5382","18","45","116","152","132","4","5","9","15","24","78","17","615","419","182"
"Curriculum Inquiry","Ontario Institute for Studies in Education/University of Toronto","JSTOR","0362-6784","","0","1","2","7","5","0","0","0","0","8","0","6","29","21","7"
"Dance Chronicle","Taylor &amp; Francis, Ltd. ","JSTOR","0147-2526","","0","0","0","1","1","0","11","2","0","2","4","0","21","17","3"
"Dance Research Journal","Congress on Research in Dance","JSTOR","0149-7677","","1","0","0","0","0","0","4","0","3","1","7","15","31","27","4"
"Dance Research: The Journal of the Society for Dance Research","Edinburgh University Press","JSTOR","0264-2875","","0","0","0","0","0","0","1","0","0","7","3","1","12","12","0"
"Demography","Population Association of America","JSTOR","0070-3370","","0","3","6","27","23","0","7","2","3","63","55","99","288","204","83"
"Desarrollo Econ&#243;mico","Instituto de Desarrollo Econ&#243;mico y Social","JSTOR","0046-001X","","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0"
"Design Issues","MIT Press","JSTOR","0747-9360","","0","5","0","6","0","0","0","1","2","2","7","4","27","20","7"
"Diacritics","The Johns Hopkins University Press","JSTOR","0300-7162","1080-6539","1","10","5","14","6","0","2","3","14","30","28","24","137","114","21"
"Diversity and Distributions","Blackwell Publishing","JSTOR","1366-9516","1472-4642","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0"
"Duke Law Journal","Duke University School of Law","JSTOR","0012-7086","","0","1","2","16","15","3","6","2","0","11","15","7","78","63","15"
"Dumbarton Oaks Papers","Dumbarton Oaks, Trustees for Harvard University","JSTOR","0070-7546","","0","0","0","4","6","0","0","0","1","5","12","7","35","30","5"
"Early Music","Oxford University Press","JSTOR","0306-1078","","1","0","1","3","14","14","8","0","8","23","17","12","101","78","23"
"Early Music History","Cambridge University Press","JSTOR","0261-1279","","0","0","0","0","0","0","0","0","1","3","1","1","6","6","0"
"Ecological Applications","Ecological Society of America","JSTOR","1051-0761","","11","17","18","8","18","8","4","11","30","19","10","18","172","129","43"
"Ecological Monographs","Ecological Society of America","JSTOR","0012-9615","","1","111","93","32","68","4","6","8","18","207","19","12","579","434","140"
"Ecology","Ecological Society of America","JSTOR","0012-9658","","7","103","246","116","201","19","9","30","56","296","139","70","1292","988","303"
"Econometric Theory","Cambridge University Press","JSTOR","0266-4666","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Econometrica","Econometric Society","JSTOR","0012-9682","","0","6","6","0","4","7","7","2","25","10","3","8","78","44","34"
"Economic Development and Cultural Change","University of Chicago Press","JSTOR","0013-0079","1539-2988","10","27","20","14","10","1","0","5","44","58","16","13","218","85","129"
"Economic Geography","Clark University","JSTOR","0013-0095","","3","24","12","17","12","1","7","0","20","39","17","7","159","129","27"
"Economic History Review","Economic History Society","JSTOR","0013-0117","","3","23","17","29","25","7","2","6","6","13","44","18","193","156","37"
"Economic Journal","Royal Economic Society","JSTOR","0013-0133","","4","2","5","33","16","2","2","1","5","13","9","4","96","79","17"
"Economic Policy","Maison des Sciences de l&#x92;Homme","JSTOR","0266-4658","","0","0","3","4","0","3","0","0","0","2","0","1","13","10","3"
"Economica","London School of Economics","JSTOR","0013-0427","","11","88","4","2","7","0","1","0","0","7","9","4","133","83","42"
"Educational Evaluation and Policy Analysis","American Educational Research Association","JSTOR","0162-3737","","0","0","5","55","14","2","0","0","0","19","3","3","101","85","15"
"Educational Researcher","American Educational Research Association","JSTOR","0013-189X","","5","3","78","34","40","1","0","0","1","51","6","14","233","168","61"
"Educational Studies in Mathematics","Springer Science + Business Media","JSTOR","0013-1954","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eighteenth-Century Studies","The Johns Hopkins University Press","JSTOR","0013-2586","1086-315X","2","15","0","33","4","1","1","0","27","35","38","23","179","148","28"
