form,kind,meaning,name,original,rating,sex,source
"variant spelling",English,"""favor; grace""",ANNITTA,Anita,meaning,female,Spanish
spelling,Variant,"""favor; grace,"" and ""obstinate, rebellious""",ANNMARIE,Annemarie,meaning,female,English
"variant form",English,"""honor""",ANNORA,Honora,meaning,female,Latin
spelling,Variant,"""honor""",ANORA,Annora,meaning,female,English
spelling,Variant,"""resurrection""",ANSTACE,Anstice,meaning,female,English/Scottish
form,Pet,"""resurrection""",ANSTEY,Anstice,meaning,female,English/Irish
"variant spelling",English,"""flower""",ANTHIA,Anthea,meaning,female,Latin
"diminutive form",Feminine,"""invaluable""",ANTOINETTE,Antoine,"possibly meaning",female,French
"diminutive form",English,"""invaluable""",ANTONETTE,Antonia,"possibly meaning",female,Latin
form,Feminine,"""invaluable""",ANTONIA,"Latin Antonius","possibly meaning",female,Roman
form,Latin,"""utterly pure""",ARIADNE,Ariadnê,meaning,female,Greek
"variant spelling",English,"""utterly pure""",ARIANA,Arianna,meaning,female,Italian
form,Anglicized,"""lion of god."" In the bible, this is a name applied to the city of Jerusalem, and the name of a chief of the returning exiles. In the Apocrypha, this is the name of an archangel who rules the waters. It is also the name of a moon of Uranus, and the name of a spirit in Shakespeare's play ""The Tempest""",ARIEL,"unisex Ari'el",meaning,female,Hebrew
form,Feminine,"""lion of God""",ARIELLA,"unisex Ariel",meaning,female,English
form,Feminine,"""lion of God""",ARIELLE,"unisex Ariel",meaning,female,English
spelling,Variant,"""Ireland""",ARIN,Erin,meaning,female,English
form,Feminine,"""excellence""",ARISTA,Aristaeus,meaning,female,Latin
"variant spelling",Modern,"""utterly pure""",ARYANA,Ariana,meaning,female,English
form,Elaborated,"""little noble one""",ASCELINA,Aceline,meaning,female,English
form,Elaborated,"""little noble one""",ASCELINE,Aceline,meaning,female,English
form,Anglicized,"""belonging to the goddess Neith""",ASENATH,"Acĕnath",meaning,female,Hebrew
form,Short,"""ash-tree grove""",ASH,"unisex Ashley",meaning,female,English
"variant spelling",Feminine,"""ash-tree grove""",ASHLEE,"unisex Ashley",meaning,female,English
"variant spelling",Feminine,"""ash-tree grove""",ASHLEIGH,"unisex Ashley",meaning,female,English
form,Anglicized,"""dream; vision""",ASHLING,"Gaelic Aisling",meaning,female,Irish
spelling,Variant,"""ash tree lake""",ASHLYNN,Ashlyn,meaning,female,English
form,Anglicized,"""star""",ASHTAROTH,Ashtarowth,meaning,female,Hebrew
spelling,Variant,"""star""",ASTAROTH,Ashtaroth,meaning,female,English
"variant spelling",Feminine,"""elf ruler""",AUBREE,"unisex Aubrey",meaning,female,English
"unisex form",English,"""elf ruler""",AUBREY,"French Alberi",meaning,female,Norman
"variant spelling",Feminine,"""elf ruler""",AUBRIE,"unisex Aubrey",meaning,female,English
spelling,Variant,"""noble strength""",AUDRA,Audrey,meaning,female,English
spelling,Variant,"""noble strength""",AUDREA,Audrey,meaning,female,English
form,"Modern English","""noble strength""",AUDREY,"Æthelthryth",meaning,female,Anglo-Saxon
form,Feminine,"""August (the month)""",AUGUSTA,August,meaning,female,English
spelling,Variant,"""man; warrior""",AUNDRIA,Andrea,meaning,female,English
form,Unisex,"""venerable""",AUSTYN,Austin,meaning,female,English
spelling,Variant,"""alive; living""",AVA,Eve,meaning,female,English
spelling,Variant,"""little Eve""",AVALINA,Avaline,meaning,female,English
"variant spelling",English,"""little Eve""",AVALINE,Aveline,meaning,female,French
"elaborated form","Modern English","""island of apples""",AVALONA,Avalon,meaning,female,Celtic
form,Latin,"""little Eve""",AVELINA,"French Aveline",meaning,female,Norman
spelling,Variant,"""bird""",AVICE,Avis,meaning,female,English
"diminutive form",Medieval,"""little Eve""",AVILA,Ava,meaning,female,English
"variant spelling",English,"""island of apples""",AVILON,Avalon,meaning,female,Celtic
spelling,Variant,"""my father is dew""",AVITAL,Abital,meaning,female,English
"variant spelling",English,"""alive""",AYEESHA,Aisha,meaning,female,Arabic
form,Anglicized,"""forsaken""",AZUBAH,Azuwbah,meaning,female,Hebrew
spelling,Variant,"""sky blue""",AZURA,Azure,meaning,female,English
"pet form",English,"""foreign; strange""",BAB,Barbara,meaning,female,Greek
"pet form",English,"""foreign; strange""",BABE,Barbara,meaning,female,Greek
form,Pet,"""God is my oath""",BABETTE,Elizabeth,meaning,female,English
"pet form",English,"""foreign; strange""",BABS,Barbara,meaning,female,Greek
"variant spelling",Feminine,"""bailiff""",BAILEE,"unisex Bailey",meaning,female,English
spelling,Variant,"""bailiff""",BAILIE,"unisex Bailey",meaning,female,English
spelling,Variant,"""bailiff""",BAILY,"unisex Bailey",meaning,female,English
spelling,Variant,"""child""",BAMBIE,"unisex Bambi",meaning,female,English
"short form",English,"""foreign; strange""",BARB,Barbara,meaning,female,Greek
form,"Medieval English","""foreign; strange""",BARBARY,Barbara,meaning,female,Greek
"pet form",English,"""foreign; strange""",BARBIE,Barbara,meaning,female,Greek
"contracted form",English,"""foreign; strange""",BARBRA,Barbara,meaning,female,Greek
form,Anglicized,"""spice"" or ""sweet smelling""",BASEMATH,Bosmath,meaning,female,Hebrew
form,Anglicized,"""spice"" or ""sweet smelling""",BASHEMATH,Bosmath,meaning,female,Hebrew
form,Anglicized,"""spice"" or ""sweet smelling""",BASMATH,Bosmath,meaning,female,Hebrew
"variant spelling",Feminine,"""bailiff""",BAYLEE,"unisex Bailey",meaning,female,English
form,Short,"""voyager (through life)""",BEA,Beatrix,meaning,female,English
form,Pet,"""voyager (through life)""",BEATIE,Beatrix,meaning,female,English
form,Italian,"""voyager (through life)""",BEATRICE,Viatrix,meaning,female,Latin
form,English,"""voyager (through life)""",BEATRIX,Viatrix,meaning,female,Latin
form,Short,"""ensnarer""",BECCA,Rebecca,meaning,female,English
form,Pet,"""ensnarer""",BECCI,Rebecca,meaning,female,English
form,Short,"""ensnarer""",BECKA,Rebecka,meaning,female,English
form,Short,"""ensnarer""",BECKAH,Rebeckah,meaning,female,English
form,Pet,"""ensnarer""",BECKY,Rebecka,meaning,female,English
form,Pet,"""voyager (through life)""",BEE,Beatrix,meaning,female,English
spelling,Variant,"""ensnarer""",BEKKI,Becky,meaning,female,English
spelling,Variant,"""beautiful""",BELL,Belle,meaning,female,English
"variant spelling",English,"""bright serpent"" or ""bright linden tree""",BELLINDA,Belinda,meaning,female,German
"variant spelling",English,"""bright serpent"" or ""bright linden tree""",BELYNDA,Belinda,meaning,female,German
form,Feminine,"""blessed""",BENEDICTA,Benedictus,meaning,female,Latin
