"id","name","derivation","form","kind","meaning","rating","original","sex","source"
"21","Abbot","Variant spelling of English Abbott, meaning "abbot, father, priest"","spelling","Variant",""abbot, father, priest"","Abbott","meaning","male","English"
"22","Abby","Pet form of English Abigail, meaning "father rejoices"","form","Pet",""father rejoices"","Abigail","meaning","female","English"
"23","Abbye","Pet form of English Abigail, meaning "father rejoices"","form","Pet",""father rejoices"","Abigail","meaning","female","English"
"24","Abbygael","Variant spelling of English Abigail, meaning "father rejoices"","spelling","Variant",""father rejoices"","Abigail","meaning","female","English"
"25","Abbygail","Variant spelling of English Abigail, meaning "father rejoices"","spelling","Variant",""father rejoices"","Abigail","meaning","female","English"
"26","Abbygale","Variant spelling of English Abigail, meaning "father rejoices"","spelling","Variant",""father rejoices"","Abigail","meaning","female","English"
"27","Abdon","Anglicized form of Hebrew Abdown, meaning "servant, worshiper"","form","Anglicized",""servant, worshiper"","Abdown","meaning","male","Hebrew"
"28","Abe","Short form of Hebrew Abraham, meaning "father of a multitude"","form","Short",""father of a multitude"","Abraham","meaning","male","Hebrew"
"29","Abegail","Variant spelling of English Abigail, meaning "father rejoices"","spelling","Variant",""father rejoices"","Abigail","meaning","female","English"
"30","Abegayle","Variant spelling of English Abigail, meaning "father rejoices"","spelling","Variant",""father rejoices"","Abigail","meaning","female","English"
"31","Abell","Variant spelling of English Abel, meaning "vanity," i.e. "transitory"","spelling","Variant",""vanity," i.e. "transitory"","Abel","meaning","male","English"
"32","Abi","Anglicized form of Hebrew Abiy, meaning "my father"","form","Anglicized",""my father"","Abiy","meaning","female","Hebrew"
"33","Abia","Anglicized form of Hebrew unisex Abiyah, meaning "Yahweh is my father"","form","Anglicized",""Yahweh is my father"","unisex Abiyah","meaning","female","Hebrew"
"34","Abia","Anglicized form of Hebrew unisex Abiyah, meaning "Yahweh is my father"","form","Anglicized",""Yahweh is my father"","unisex Abiyah","meaning","male","Hebrew"
"35","Abiah","Anglicized form of Hebrew unisex Abiyah, meaning "Yahweh is my father"","form","Anglicized",""Yahweh is my father"","unisex Abiyah","meaning","female","Hebrew"
"36","Abiah","Anglicized form of Hebrew unisex Abiyah, meaning "Yahweh is my father"","form","Anglicized",""Yahweh is my father"","unisex Abiyah","meaning","male","Hebrew"
"37","Abida","Anglicized form of Hebrew Abiyda, meaning "father of knowledge"","form","Anglicized",""father of knowledge"","Abiyda","meaning","male","Hebrew"
"38","Abidah","Variant spelling of English Abida, meaning "father of knowledge"","spelling","Variant",""father of knowledge"","Abida","meaning","male","English"
"39","Abidan","Anglicized form of Hebrew Abiydan, meaning "my father is judge"","form","Anglicized",""my father is judge"","Abiydan","meaning","male","Hebrew"
"40","Abiel","Anglicized form of Hebrew Abiy'el, meaning "El (God) is (my) father"","form","Anglicized",""El (God) is (my) father"","Abiy'el","meaning","male","Hebrew"
"41","Abigail","Anglicized form of Hebrew Abigayil, meaning "father rejoices." In the bible, this is the name of the wife of King David. Anglicized form of Irish Gobnait, meaning "little smith"","form","Anglicized",""father rejoices." In the bible, this is the name of the wife of King David. Anglicized form of Irish Gobnait, meaning "little smith"","Abigayil","meaning","female","Hebrew"
"42","Abigale","Variant spelling of English Abigail, meaning "father rejoices"","spelling","Variant",""father rejoices"","Abigail","meaning","female","English"
"43","Abigall","Variant spelling of English Abigail, meaning "father rejoices"","spelling","Variant",""father rejoices"","Abigail","meaning","female","English"
"44","Abigayle","Variant spelling of English Abigail, meaning "father rejoices"","spelling","Variant",""father rejoices"","Abigail","meaning","female","English"
"45","Abigil","Variant spelling of English Abigail, meaning "father rejoices"","spelling","Variant",""father rejoices"","Abigail","meaning","female","English"
"46","Abihail","Anglicized form of Hebrew unisex Abiyhayil, meaning "father of might"","form","Anglicized",""father of might"","unisex Abiyhayil","meaning","female","Hebrew"
"47","Abihail","Anglicized form of Hebrew unisex Abiyhayil, meaning "father of might"","form","Anglicized",""father of might"","unisex Abiyhayil","meaning","male","Hebrew"
"48","Abihu","Anglicized form of Hebrew Abiyhuw, meaning "he is (my) father"","form","Anglicized",""he is (my) father"","Abiyhuw","meaning","male","Hebrew"
"49","Abijah","Anglicized form of Hebrew unisex Abiyah, meaning "Yahweh is my father"","form","Anglicized",""Yahweh is my father"","unisex Abiyah","meaning","female","Hebrew"
"50","Abijah","Anglicized form of Hebrew unisex Abiyah, meaning "Yahweh is my father"","form","Anglicized",""Yahweh is my father"","unisex Abiyah","meaning","male","Hebrew"
"51","Abimael","Anglicized form of Hebrew Abiyma'el, meaning "my father is El (God)"","form","Anglicized",""my father is El (God)"","Abiyma'el","meaning","male","Hebrew"
"52","Abimelech","Anglicized form of Hebrew Abiymelek, meaning "Melek is father" or "my father is king"","form","Anglicized",""Melek is father" or "my father is king"","Abiymelek","meaning","male","Hebrew"
"53","Abinoam","Anglicized form of Hebrew Abiyno'am, meaning "father of pleasantness"","form","Anglicized",""father of pleasantness"","Abiyno'am","meaning","male","Hebrew"
"54","Abiram","Anglicized form of Hebrew Abiyram, meaning "my father is exalted"","form","Anglicized",""my father is exalted"","Abiyram","meaning","male","Hebrew"
"55","Abishag","Anglicized form of Hebrew Abiyshag, meaning "my father is a wanderer" or "father of error"","form","Anglicized",""my father is a wanderer" or "father of error"","Abiyshag","meaning","female","Hebrew"
"56","Abishai","Anglicized form of Hebrew Abiyshay, meaning "my father is Jesse" or "my father is a gift"","form","Anglicized",""my father is Jesse" or "my father is a gift"","Abiyshay","meaning","male","Hebrew"
"57","Abishalom","Anglicized form of Hebrew Abiyshalowm, meaning "father of peace"","form","Anglicized",""father of peace"","Abiyshalowm","meaning","male","Hebrew"
"58","Abital","Anglicized form of Hebrew Abiytal, meaning "my father is dew"","form","Anglicized",""my father is dew"","Abiytal","meaning","female","Hebrew"
"59","Abiud","Anglicized form of Greek Abioud, meaning "my father is majesty"","form","Anglicized",""my father is majesty"","Abioud","meaning","male","Greek"
"60","Able","Variant spelling of English Abel, meaning "vanity," i.e. "transitory"","spelling","Variant",""vanity," i.e. "transitory"","Abel","meaning","male","English"
"61","Abnar","English variant spelling of Hebrew Abner, meaning "father of light"","variant spelling","English",""father of light"","Abner","meaning","male","Hebrew"
"62","Abner","Hebrew name, meaning "father of light"","name","Hebrew",""father of light"","-","meaning","male","-"
"63","Abnor","English variant spelling of Hebrew Abner, meaning "father of light"","variant spelling","English",""father of light"","Abner","meaning","male","Hebrew"
"64","Abnur","English variant spelling of Hebrew Abner, meaning "father of light"","variant spelling","English",""father of light"","Abner","meaning","male","Hebrew"
"65","Abot","Variant spelling of English Abbott, meaning "father"","spelling","Variant",""father"","Abbott","meaning","male","English"
"66","Abott","Variant spelling of English Abbott, meaning "father"","spelling","Variant",""father"","Abbott","meaning","male","English"
"67","Abra","Short form of Hebrew Abrahamit, meaning "father of a multitude"","form","Short",""father of a multitude"","Abrahamit","meaning","female","Hebrew"
"68","Abraham","Hebrew name, meaning "father of a multitude"","name","Hebrew",""father of a multitude"","-","meaning","male","-"
"69","Abrianna","English feminine form of Hebrew Abraham, meaning "father of a multitude"","feminine form","English",""father of a multitude"","Abraham","meaning","female","Hebrew"
"70","Absalom","Contracted form of English Abishalom, meaning "father of peace"","form","Contracted",""father of peace"","Abishalom","meaning","male","English"
"71","Acer","Pet form of English Ace, meaning "number one"","form","Pet",""number one"","Ace","meaning","male","English"
"72","Acey","Pet form of English Ace, meaning "number one"","form","Pet",""number one"","Ace","meaning","male","English"
"73","Achan","Anglicized form of Hebrew Akan, meaning "one who troubles"","form","Anglicized",""one who troubles"","Akan","meaning","male","Hebrew"
"74","Achar","Anglicized form of Hebrew Akar, meaning "one who troubles"","form","Anglicized",""one who troubles"","Akar","meaning","male","Hebrew"
"75","Acheflour","Old English name, meaning "suffering flower"","name","Old English",""suffering flower"","-","meaning","female","-"
"76","Acie","Pet form of English Ace, meaning "number one"","form","Pet",""number one"","Ace","meaning","male","English"
"77","Acke","Short form of English Ackerley, meaning "oak meadow"","form","Short",""oak meadow"","Ackerley","meaning","male","English"
"78","Ackerlea","Variant spelling of English Ackerley, meaning "oak meadow"","spelling","Variant",""oak meadow"","Ackerley","meaning","male","English"
"79","Ackerly","Variant spelling of English Ackerley, meaning "oak meadow"","spelling","Variant",""oak meadow"","Ackerley","meaning","male","English"
"80","Acklea","Variant spelling of English Ackley, meaning "oak meadow"","spelling","Variant",""oak meadow"","Ackley","meaning","male","English"
"81","Ackley","Contracted form of English Ackerley, meaning "oak meadow"","form","Contracted",""oak meadow"","Ackerley","meaning","male","English"
"82","Acklie","Variant spelling of English Ackley, meaning "oak meadow"","spelling","Variant",""oak meadow"","Ackley","meaning","male","English"
"83","Ada","Short form of English Adelaide, meaning "noble sort," and Adela "noble"","form","Short",""noble sort," and Adela "noble"","Adelaide","meaning","female","English"
"84","Adalia","Anglicized form of Hebrew Adalya, of Persian derivation, meaning "I shall be drawn up of God"","form","Anglicized",""I shall be drawn up of God"","Adalya, of Persian derivation","meaning","male","Hebrew"
"85","Adaliah","Variant spelling of English Adalia, meaning "I shall be drawn up of God"","spelling","Variant",""I shall be drawn up of God"","Adalia","meaning","male","English"
"86","Adaline","English variant spelling of French Adeline, meaning "little noble"","variant spelling","English",""little noble"","Adeline","meaning","female","French"
"87","Adallina","English variant spelling of Italian Adelina, meaning "noble"","variant spelling","English",""noble"","Adelina","meaning","female","Italian"
"88","Adamina","Scottish feminine form of Hebrew Adam, meaning "earth" or "red"","feminine form","Scottish",""earth" or "red"","Adam","meaning","female","Hebrew"
"89","Adare","English variant spelling of Scottish Adair, meaning "the ford of the oaks"","variant spelling","English",""the ford of the oaks"","Adair","meaning","male","Scottish"
"90","Addam","English variant spelling of Hebrew Adam, meaning "earth" or "red"","variant spelling","English",""earth" or "red"","Adam","meaning","male","Hebrew"
"91","Addie","Pet form of English Adelaide, meaning "noble sort"","form","Pet",""noble sort"","Adelaide","meaning","female","English"
"92","Addy","Pet form of English Adelaide, meaning "noble sort"","form","Pet",""noble sort"","Adelaide","meaning","female","English"
"93","Adela","Latin form of German Adala, meaning "noble"","form","Latin",""noble"","Adala","meaning","female","German"
"94","Adelia","Variant form of Latin Adela, meaning "noble"","form","Variant",""noble"","Adela","meaning","female","Latin"
"95","Adelice","English variant form of French Adelais, meaning "noble sort"","variant form","English",""noble sort"","Adelais","meaning","female","French"
"96","Adelicia","Elaborated form of English Adelice, meaning "noble sort"","form","Elaborated",""noble sort"","Adelice","meaning","female","English"
"97","Adelle","French form of German Adala, meaning "noble"","form","French",""noble"","Adala","meaning","female","German"
"98","Adelphie","English form of French Adelphe, meaning "born of the same womb; sibling"","form","English",""born of the same womb; sibling"","Adelphe","meaning","female","French"
"99","Adelyna","English variant spelling of Italian/Spanish Adelina, meaning "little noble"","variant spelling","English",""little noble"","Adelina","meaning","female","Italian/Spanish"
"100","Aden","Anglicized form of Gaelic ÃedÃ¡n, meaning "fire." Variant spelling of English Adin, meaning "dainty, delicate"","form","Anglicized",""fire." Variant spelling of English Adin, meaning "dainty, delicate"","ÃedÃ¡n","meaning","male","Gaelic"
"101","Adena","Feminine form of English Aden, meaning "fire"","form","Feminine",""fire"","Aden","meaning","female","English"
"102","Adenah","Variant spelling of English Adena, meaning "fire"","spelling","Variant",""fire"","Adena","meaning","female","English"
"103","Adene","Variant spelling of English Adena, meaning "fire"","spelling","Variant",""fire"","Adena","meaning","female","English"
"104","Adeno","Variant spelling of English Adino, meaning "soft, delicate" or "his ornament"","spelling","Variant",""soft, delicate" or "his ornament"","Adino","meaning","male","English"
"105","Adilene","English variant spelling of French Adeline, meaning "noble"","variant spelling","English",""noble"","Adeline","meaning","female","French"
"106","Adin","Anglicized form of Hebrew Adiyn, meaning "dainty, delicate"","form","Anglicized",""dainty, delicate"","Adiyn","meaning","male","Hebrew"
"108","Adina","Anglicized form of Hebrew unisex Adiyna, meaning "slender"","form","Anglicized",""slender"","unisex Adiyna","meaning","male","Hebrew"
"107","Adina","Anglicized form of Hebrew unisex Adiyna, meaning "slender"","form","Anglicized",""slender"","unisex Adiyna","meaning","female","Hebrew"
"109","Adino","Anglicized form of Hebrew Adiynow, meaning "soft, delicate" or "his ornament"","form","Anglicized",""soft, delicate" or "his ornament"","Adiynow","meaning","male","Hebrew"
"111","Adison","Variant spelling of English unisex Addison, meaning "son of Adam"","spelling","Variant",""son of Adam"","unisex Addison","meaning","male","English"
"110","Adison","Variant spelling of English unisex Addison, meaning "son of Adam"","spelling","Variant",""son of Adam"","unisex Addison","meaning","female","English"
"112","Adisson","Variant spelling of English unisex Addison, meaning "son of Adam"","spelling","Variant",""son of Adam"","unisex Addison","meaning","female","English"
"113","Adisson","Variant spelling of English unisex Addison, meaning "son of Adam"","spelling","Variant",""son of Adam"","unisex Addison","meaning","male","English"
"114","Adlai","Anglicized form of Hebrew Adlay, meaning "justice of God"","form","Anglicized",""justice of God"","Adlay","meaning","male","Hebrew"
"115","Admiranda","Elaborated form of English Miranda, meaning "worthy of admiration"","form","Elaborated",""worthy of admiration"","Miranda","meaning","female","English"
"116","Adolph","English form of Latin Adolphus, meaning "noble wolf"","form","English",""noble wolf"","Adolphus","meaning","male","Latin"
"117","Adolpha","Feminine form of Latin Adolphus, meaning "noble wolf"","form","Feminine",""noble wolf"","Adolphus","meaning","female","Latin"
"118","Adonia","Variant spelling of English Adonijah, meaning "my Lord is Jehovah"","spelling","Variant",""my Lord is Jehovah"","Adonijah","meaning","male","English"
"119","Adonijah","Anglicized form of Hebrew Adoniyah, meaning "my Lord is Jehovah"","form","Anglicized",""my Lord is Jehovah"","Adoniyah","meaning","male","Hebrew"
"120","Adrea","Variant spelling of English Adria, meaning "from Hadria"","spelling","Variant",""from Hadria"","Adria","meaning","female","English"
"121","Adreana","Variant spelling of Latin Adriana, meaning "from Hadria"","spelling","Variant",""from Hadria"","Adriana","meaning","female","Latin"
"122","Adreea","Variant spelling of English Adria, meaning "from Hadria"","spelling","Variant",""from Hadria"","Adria","meaning","female","English"
"123","Adria","Feminine form of English Adrian, meaning "from Hadria"","form","Feminine",""from Hadria"","Adrian","meaning","female","English"
"124","Adrianah","English variant spelling of Latin Adriana, meaning "from Hadria"","variant spelling","English",""from Hadria"","Adriana","meaning","female","Latin"
"125","Adriane","Feminine form of English Adrian, meaning "from Hadria"","form","Feminine",""from Hadria"","Adrian","meaning","female","English"
"126","Adrianna","Polish feminine form of Latin Adrianus, meaning "from Hadria"","feminine form","Polish",""from Hadria"","Adrianus","meaning","female","Latin"
"127","Adriannah","Feminine form of English Adrian, meaning "from Hadria"","form","Feminine",""from Hadria"","Adrian","meaning","female","English"
"128","Adrianne","Feminine form of English Adrian, meaning "from Hadria"","form","Feminine",""from Hadria"","Adrian","meaning","female","English"
"129","Adrie","Pet form of English Adriane, meaning "from Hadria"","form","Pet",""from Hadria"","Adriane","meaning","female","English"
"130","Aengus","Irish Anglicized form of Gaelic Aonghas, meaning "excellent valor"","form","Irish Anglicized",""excellent valor"","Aonghas","meaning","male","Gaelic"
"131","Aeron","Welsh unisex form of Celtic Agrona, the name a goddess of war and death who was portrayed as a masculine figure in Welsh mythology, meaning "carnage, slaughter"","unisex form","Welsh",""carnage, slaughter"","Agrona, the name a goddess of war and death who was portrayed as a masculine figure in Welsh mythology","meaning","female","Celtic"
"132","Aerynn","Variant spelling of English Aeryn, meaning "Ireland"","spelling","Variant",""Ireland"","Aeryn","meaning","female","English"
"133","Affrica","Variant spelling of English Africa, meaning "land of the Afri"","spelling","Variant",""land of the Afri"","Africa","meaning","female","English"
"134","Affricah","Variant spelling of English Africa, meaning "land of the Afri"","spelling","Variant",""land of the Afri"","Africa","meaning","female","English"
"135","Affrika","Variant spelling of English Africa, meaning "land of the Afri"","spelling","Variant",""land of the Afri"","Africa","meaning","female","English"
"136","Affrikah","Variant spelling of English Africa, meaning "land of the Afri"","spelling","Variant",""land of the Afri"","Africa","meaning","female","English"
"137","Africah","Variant spelling of English Africa, meaning "land of the Afri"","spelling","Variant",""land of the Afri"","Africa","meaning","female","English"
"138","Afrika","Variant spelling of English Africa, meaning "land of the Afri"","spelling","Variant",""land of the Afri"","Africa","meaning","female","English"
"139","Afrikah","Variant spelling of English Africa, meaning "land of the Afri"","spelling","Variant",""land of the Afri"","Africa","meaning","female","English"
"140","Agas","Medieval English form of Latin Agatha, meaning "good"","form","Medieval English",""good"","Agatha","meaning","female","Latin"
"141","Agatha","Latin form of Greek Agathe, meaning "good"","form","Latin",""good"","Agathe","meaning","female","Greek"
"142","Aggi","Variant spelling of English Aggie, meaning "chaste" and "good"","spelling","Variant",""chaste" and "good"","Aggie","meaning","female","English"
"143","Aggie","Pet form of English Agnes, meaning "chaste," and Latin Agatha, "good"","form","Pet",""chaste," and Latin Agatha, "good"","Agnes","meaning","female","English"
"144","Aggy","Variant spelling of English Aggie, meaning "chaste" and "good"","spelling","Variant",""chaste" and "good"","Aggie","meaning","female","English"
"145","Aggye","Variant spelling of English Aggie, meaning "chaste" and "good"","spelling","Variant",""chaste" and "good"","Aggie","meaning","female","English"
"146","Agnus","Variant spelling of English Agnes, meaning "chaste; holy"","spelling","Variant",""chaste; holy"","Agnes","meaning","female","English"
"147","Ahab","Anglicized form of Hebrew Ach'ab, meaning "brother of father; uncle"","form","Anglicized",""brother of father; uncle"","Ach'ab","meaning","male","Hebrew"
"148","Ahaziah","Anglicized form of Hebrew Achazyah, meaning "God holds" or "whom God holds"","form","Anglicized",""God holds" or "whom God holds"","Achazyah","meaning","male","Hebrew"
"149","Ahearn","Variant spelling of English Ahern, meaning "lord of horses"","spelling","Variant",""lord of horses"","Ahern","meaning","male","English"
"150","Aherin","Variant spelling of English Ahern, meaning "lord of horses"","spelling","Variant",""lord of horses"","Ahern","meaning","male","English"
"151","Aherne","Variant spelling of English Ahern, meaning "lord of horses"","spelling","Variant",""lord of horses"","Ahern","meaning","male","English"
"152","Ahiam","Anglicized form of Hebrew Achiyam, meaning "mother's brother," i.e. "uncle"","form","Anglicized",""mother's brother," i.e. "uncle"","Achiyam","meaning","male","Hebrew"
"153","Ahian","Anglicized form of Hebrew Achyan, meaning "brotherly" or "fraternal"","form","Anglicized",""brotherly" or "fraternal"","Achyan","meaning","male","Hebrew"
"154","Ahiram","Anglicized form of Hebrew Achiyram, meaning "brother of height"","form","Anglicized",""brother of height"","Achiyram","meaning","male","Hebrew"
"155","Aiah","Anglicized form of Hebrew unisex Ayah, meaning "falcon" or "vulture"","form","Anglicized",""falcon" or "vulture"","unisex Ayah","meaning","female","Hebrew"
"156","Aiah","Anglicized form of Hebrew unisex Ayah, meaning "falcon" or "vulture"","form","Anglicized",""falcon" or "vulture"","unisex Ayah","meaning","male","Hebrew"
"157","Aidan","Anglicized form of Gaelic ÃedÃ¡n, meaning "little fire"","form","Anglicized",""little fire"","ÃedÃ¡n","meaning","male","Gaelic"
"158","Aiden","Variant spelling of English Aidan, meaning "little fire"","spelling","Variant",""little fire"","Aidan","meaning","male","English"
"159","Aila","Pet form of English Aileen, meaning "little Eve"","form","Pet",""little Eve"","Aileen","meaning","female","English"
"160","Ailee","Short form of English Aileen, meaning "little Eve"","form","Short",""little Eve"","Aileen","meaning","female","English"
"161","Ailene","Variant spelling of English Aileen, meaning "little Eve"","spelling","Variant",""little Eve"","Aileen","meaning","female","English"
"162","Ailey","Pet form of English Aileen, meaning "little Eve"","form","Pet",""little Eve"","Aileen","meaning","female","English"
"163","Ailie","Pet form of English Aileen, meaning "little Eve"","form","Pet",""little Eve"","Aileen","meaning","female","English"
"164","Ailsa","Anglicized form of Scottish Gaelic Ealasaid, meaning "God is my oath." The name was derived from Ailsa Craig, the name of an island off Scotland, also known by the Gaelic names Allasa Creag and Creag Ealasaid ("Elisabeth's Rock" or Elspeth's Rock"). The island is known by many other names, including Old Norse Alfsigesey, meaning "Alfsigr's Island"","form","Anglicized",""God is my oath." The name was derived from Ailsa Craig, the name of an island off Scotland, also known by the Gaelic names Allasa Creag and Creag Ealasaid ("Elisabeth's Rock" or Elspeth's Rock"). The island is known by many other names, including Old Norse Alfsigesey, meaning "Alfsigr's Island"","Gaelic Ealasaid","meaning","female","Scottish"
"165","Ailse","Variant spelling of English Ailsa, meaning "elf victory"","spelling","Variant",""elf victory"","Ailsa","meaning","female","English"
"166","Ailsie","Variant spelling of English Ailsa, meaning "elf victory"","spelling","Variant",""elf victory"","Ailsa","meaning","female","English"
"167","Ailward","Variant spelling of Middle English Aylward, meaning either "noble guard" or "elf guard"","spelling","Variant",""noble guard" or "elf guard"","English Aylward","meaning either","male","Middle"
"168","Aimerey","English variant spelling of French Aimery, meaning "home-ruler"","variant spelling","English",""home-ruler"","Aimery","meaning","male","French"
"169","Aimery","English variant spelling of Norman French Aimeri, meaning "home-ruler"","variant spelling","English",""home-ruler"","French Aimeri","meaning","male","Norman"
"170","Aimey","Variant spelling of English Amy, meaning "much loved"","spelling","Variant",""much loved"","Amy","meaning","female","English"
"171","Aimie","Variant spelling of English Amy, meaning "much loved"","spelling","Variant",""much loved"","Amy","meaning","female","English"
"172","Ainslie","Variant spelling of Scottish unisex Ainsley, meaning "hermitage meadow"","spelling","Variant",""hermitage meadow"","unisex Ainsley","meaning","female","Scottish"
"173","Airlea","Elaborated form of English Airla, possibly meaning "ethereal"","form","Elaborated",""ethereal"","Airla","possibly meaning","female","English"
"174","Airlia","Elaborated form of English Airla, possibly meaning "ethereal"","form","Elaborated",""ethereal"","Airla","possibly meaning","female","English"
"175","Aislin","Variant spelling of Irish Gaelic Aisling, meaning "dream; vision"","spelling","Variant",""dream; vision"","Gaelic Aisling","meaning","female","Irish"
"176","Aisling","Irish Gaelic name, meaning "dream; vision"","name","Irish Gaelic",""dream; vision"","-","meaning","female","-"
"177","Aislinn","Variant spelling of Irish Gaelic Aisling, meaning "dream; vision"","spelling","Variant",""dream; vision"","Gaelic Aisling","meaning","female","Irish"
"178","Aladdin","Anglicized form of Arabic Ala Al-din, meaning "nobility of faith"","form","Anglicized",""nobility of faith"","Ala Al-din","meaning","male","Arabic"
"179","Alana","English feminine form of Celtic Alan, possibly meaning "little rock"","feminine form","English",""little rock"","Alan","possibly meaning","female","Celtic"
"180","Alanis","English feminine form of Celtic Alan, possibly meaning "little rock"","feminine form","English",""little rock"","Alan","possibly meaning","female","Celtic"
"181","Alann","English variant spelling of Celtic Alan, possibly meaning "little rock"","variant spelling","English",""little rock"","Alan","possibly meaning","male","Celtic"
"182","Alanna","Variant spelling of English Alana, possibly meaning "little rock"","spelling","Variant",""little rock"","Alana","possibly meaning","female","English"
"183","Alannah","Variant spelling of English Alanna, possibly meaning "little rock"","spelling","Variant",""little rock"","Alanna","possibly meaning","female","English"
"184","Alannis","Variant spelling of English Alanis, possibly meaning "little rock"","spelling","Variant",""little rock"","Alanis","possibly meaning","female","English"
"185","Albert","Middle English form of Anglo-Saxon Ãthelbert, meaning "bright nobility"","form","Middle English",""bright nobility"","Ãthelbert","meaning","male","Anglo-Saxon"
"186","Alberta","Feminine form of English Albert, meaning "bright nobility"","form","Feminine",""bright nobility"","Albert","meaning","female","English"
"187","Albertine","Feminine form of French Albert, meaning "bright nobility"","form","Feminine",""bright nobility"","Albert","meaning","female","French"
"188","Albina","Feminine form of English Albin, meaning "like Albus," i.e. "white"","form","Feminine",""like Albus," i.e. "white"","Albin","meaning","female","English"
"189","Alby","Pet form of English Alban, meaning "like Albus," i.e. "white"","form","Pet",""like Albus," i.e. "white"","Alban","meaning","male","English"
"190","Alden","Variant spelling of Middle English Aldin, meaning "old friend." Or from the surname Alden, having several possible meanings: "old hill," "high castle" or "high town"","spelling","Variant",""old friend." Or from the surname Alden, having several possible meanings: "old hill," "high castle" or "high town"","English Aldin","meaning","male","Middle"
"191","Aldford","Variant spelling of Old English Alford, meaning "old river-ford"","spelling","Variant",""old river-ford"","English Alford","meaning","male","Old"
"192","Aldin","Variant spelling of Middle English Aldine, meaning "old friend"","spelling","Variant",""old friend"","English Aldine","meaning","male","Middle"
"193","Aldine","Middle English form of Anglo-Saxon Ealdwine, meaning "old friend"","form","Middle English",""old friend"","Ealdwine","meaning","male","Anglo-Saxon"
"194","Aldis","Variant spelling of Old English Aldous, possibly meaning "from the old house"","spelling","Variant",""from the old house"","English Aldous","possibly meaning","male","Old"
"195","Aldon","Variant spelling of Middle English Alden, meaning "old friend"","spelling","Variant",""old friend"","English Alden","meaning","male","Middle"
"196","Aldred","Middle English form of Anglo-Saxon Ealdred, meaning "old counsel"","form","Middle English",""old counsel"","Ealdred","meaning","male","Anglo-Saxon"
"197","Aldrich","Middle English form of Anglo-Saxon Ãthelric, meaning "noble ruler"","form","Middle English",""noble ruler"","Ãthelric","meaning","male","Anglo-Saxon"
"198","Aldus","Variant spelling of Old English Aldous, probably, meaning "from the old house"","spelling","Variant",""from the old house"","English Aldous, probably","meaning","male","Old"
"199","Aldwen","Variant spelling of Middle English Aldwin, meaning "old friend"","spelling","Variant",""old friend"","English Aldwin","meaning","male","Middle"
"200","Aldwin","Middle English form of Anglo-Saxon Ealdwine, meaning "old friend"","form","Middle English",""old friend"","Ealdwine","meaning","male","Anglo-Saxon"
"201","Alea","English variant spelling of Arabic Aliya, meaning "the high, exalted one"","variant spelling","English",""the high, exalted one"","Aliya","meaning","female","Arabic"
