1: 18th century elaborated form of English Dora, meaning "gift." | female. DORINDA
1: Compare with another form of Levi.Anglicized form of Greek Leui (Hebrew Leviy), meaning "adhesion, joined to" or "crown, garland." In the bible, this is the name of several characters, including the third son of Jacob.Anglicized form of Greek Leuis, meaning "joined." In the bible, this is the name of the son of Alphaeus, a collector of customs. | male. LEVI
1: Compare with another form of Merit.English name derived from the vocabulary word, from Latin meritus, meaning "deserving." Variant spelling of English unisex Merritt, meaning "boundary gate." | female. MERIT
1: Compare with another form of Mona.Anglicized form of Irish Gaelic Muadhnait, meaning "little noble one."Short form of English Monica, possibly meaning "advise, counsel." | female. MONA
1: Compare with another form of Rachel.Anglicized form of Scottish Gaelic Raghnaid, meaning "battle counsel."Anglicized form of Greek Rhachel, meaning "ewe." In the bible, this is the name of Jacob's wife. | female. RACHEL
1: Compare with another form of Roy.Short form of English Royal "king" or Royle "rye hill."Scottish Anglicized form of Irish Gaelic Ruadh, meaning "red." | male. ROY
1: Compare with another form of Wynne.English surname transferred to forename use, derived from the Old English personal name Wine, meaning "friend." | male. WYNNE
1: Compare with feminine Florence. Anglicized form of Irish Gaelic Flaithrí, meaning "prince-king."English and French form of Latin Florentius, meaning "blossoming." | male. FLORENCE
1: Compare with feminine Terry.English form of Norman French Thierri, meaning "first of the people; king of nations."Pet form of English Terence, possibly meaning "rub, turn, twist." | male. TERRY
1: Compare with other forms of Hadad.Anglicized form of Hebrew Adad, meaning "I shall move softly: I shall love." In the bible, this is the name of an Edomite enemy God raised up to punish Solomon for his sins.Anglicized form of Hebrew Chadad, meaning "mighty" or "sharpness." In the bible, this is the name of one of the twelve sons of Ishmael. | male. HADAD
1: Compound name composed of English Rebecca "ensnarer" and French Anne "favor, grace." | female. REBECCANNE
1: Cornish and English form of French Degaré, probably meaning "strayed, lost." | male. DIGORY
1: Created by author Edward Bulwer-Lytton for the heroine of his 1834 novel The Last Days of Pompeii, possibly derived from the Latin word nidus, meaning "nest." | female. NYDIA
1: Czech and Polish form of German Bertha, meaning "bright." | female. BERTA
1: Danish form of Greek Aikaterine, meaning "pure." This name was brought to America by Scandinavian settlers. | female. KAREN
1: Diminutive form of French Adï��le, meaning "little noble." | female. ADELINE
1: Dutch surname transferred to English unisex forename use, meaning "protection, shelter." | female. SCHUYLER
1: Dutch surname transferred to English unisex forename use, meaning "protection, shelter." | male. SCHUYLER
1: Early form of Roman Latin Juliana, meaning "descended from Jupiter (Jove)." | female. JILLIAN
1: Either a Middle English form of Anglo-Saxon ï��thelgyth, meaning"noble war," or a variant spelling of Scottish Gaelic Alyth, meaning "ascending, rising." | female. AILITH
1: Either a variant spelling of English Chanel "pipe" or an elaborated form of English Shan "God is gracious." | female. SHANELLE
1: Either from the Italian city name, of unknown meaning, or a feminine form of English unisex Raven, meaning "raven (the bird)." | female. RAVENNA
1: English abbreviated form of French Christine or Latin Christina, meaning "believer" or "follower of Christ." | female. CHRISTIN
1: English adopted use of German Avis ("refuge in war"). But its popularity in the Middle Ages was due to its association with the Latin noun avis, meaning "bird." | female. AVIS
1: English altered form of Russian Natasha, meaning "birthday," or in Church Latin "Christmas day." | female. NATISHA
1: English altered spelling of French Leroy, meaning "the king." | male. ELROY
1: English and German name derived from Greek Philon, meaning "to love." Also used as a short form of other names beginning with Philo-. | male. PHILO
1: English and Scottish name derived from Latin Anastasia, meaning "resurrection." Popular in the 13th century. | female. ANSTICE
1: English and Scottish name derived from Old Norse Rögnvaldr, meaning "wise ruler." | male. RONALD
1: English and Scottish patronymic surname transferred to forename use, meaning "son of Jamie." | male. JAMIESON
1: English and Scottish short form of longer names ending with -ina, such as Christina and Dolina. Compare with another form of Ina. | female. INA
1: English and Scottish surname transferred to forename use, derived from a byname for an ungracious person, from Anglo-Norman French maltalent/mautalent, meaning "bad tempered." | male. MAITLAND
1: English Arthurian legend name of a Knight of the Round Table, known as "the Knight Valiant." He was the illegitimate son of Lancelot and Elaine of Carbonek, renowned for his gallantry and purity, as well as being one of the three achievers of the Holy Grail. The name was invented by the author of La Queste del Saint Graal and was probably derived from Gilead, the Anglicized form of Hebrew Gilad, meaning "hard, stony region." | male. GALAHAD
1: English bird name meaning simply "heron bird." | male. HERON
1: English bird name, meaning "song thrush." | female. MAVIS
1: English blend of German Carla "man" and English Lisa "God is my oath." | female. CARLISA
1: English byname for a quarrelsome person. It became a surname, then transferred to a forename, derived from Middle English barat, a derivative of barater, meaning "to haggle," hence "haggler." | male. BARRET
1: English byname for a tall, skinny person, turned surname turned forename, from Middle English hoit, meaning "long stick." | male. HOYT
1: English byname for someone with splayed feet, transferred to surname then to forename, composed of the Old English elements crawe "crow" and fot "foot," hence "crow-foot." | male. CRAWFORD
1: English byname transferred to forename use, meaning "blonde." | female. BLONDIE
1: English byname transferred to forename use, meaning "number one." Compare with another form of Ace. | male. ACE
1: English byname transferred to forename use, meaning "spiky hair." | male. SPIKE
1: English color and flower name derived from the vocabulary word, from Anglo-Saxon lavendre, from Late Latin lavendula which may ultimately derive from lividus, meaning "bluish, livid." Since 1840, the word has had the meaning "pale purple." | female. LAVENDER
1: English color name meaning "scarlet red."Variant spelling of English Scarlett, meaning "dyer" or "seller of fabrics." | female. SCARLET
1: English color name meaning "sky blue." | female. AZURE
1: English compound name composed of Ash "ash tree" and Lyn, "lake," hence "ash tree lake." | female. ASHLYN
1: English compound name composed of Brook "brook, stream" and Lyn "lake." | female. BROOKLYN
1: English compound name composed of Cheri "darling" and Lyn "lake," hence "darling lake." | female. CHERILYN
1: English compound name composed of Dee (having various meanings), and Ann, "favor; grace." | female. DEEANN
1: English compound name composed of Dulcie "sweet" and the Italian word Bella, "beautiful," hence "sweet beauty." | female. DULCIBELLA
1: English compound name composed of English Lys "freer; liberator" and French Anne "favor; grace." | female. LYSANNE
1: English compound name composed of French Anne "favor; grace" and Lisa "God is my oath." | female. ANNELISA
1: English compound name composed of French Anne, "favor; grace" and Mae, meaning "pearl," "obstinate, rebellious," or the month of May. | female. ANNEMAE
1: English compound name composed of French Christine "believer" or "follower of Christ" and French Belle "beautiful." | female. CHRISTABELLE
1: English compound name composed of French Christine "believer" or "follower of Christ" and Latin Bella "beautiful." | female. CHRISTABELLA
1: English compound name composed of Georgia "earth-worker, farmer" and Anna "favor; grace." | female. GEORGEANNA
1: English compound name composed of Hebrew Sarah "noble lady, princess" and French Jeanne "God is gracious." | female. SARAHJEANNE
1: English compound name composed of Hebrew Sarah "noble lady, princess" and Latin Anna "favor, grace." | female. SARANNA
1: English compound name composed of Jo "God is gracious" and Beth "God is my oath." | female. JOBETH
1: English compound name composed of Latin Anna "favor; grace," and Beth "God is my oath." | female. ANNABETH
1: English compound name composed of Latin Anna "favor; grace," and German Belinda, "beautiful serpent," hence "gracious beautiful serpent." | female. ANNABELINDA
1: English compound name composed of Latin Anna "favor; grace," and Lee "meadow," hence "graceful meadow." | female. ANNALEE
1: English compound name composed of Latin Anna "favor; grace," and Maria "obstinate, rebellious." | female. ANNAMARIA
1: English compound name composed of Latin Anna "favor; grace," and the French word belle "beautiful," hence "gracious beauty." Compare with another form of Annabelle. | female. ANNABELLE
1: English compound name composed of Latin Anna "favor; grace," and the Italian word bella "beautiful," hence "gracious beauty." | female. ANNABELLA
1: English compound name composed of Latin Clara "clear, bright" and Bella "beautiful," hence "bright beauty." | female. CLARABELLA
1: English compound name composed of Latin Clara, "clear; bright," and English Mae "pearl" or "obstinate, rebellious." | female. CLARAMAE
1: English compound name composed of Latin Maria "obstinacy, rebelliousness" or "their rebellion," and Bella "God is my oath" or "beautiful." | female. MARIABELLA
1: English compound name composed of Lea "meadow" and Anna "favor; grace," hence "graceful meadow." | female. LEANNA
1: English compound name composed of Lea "meadow" and Anne "favor; grace," hence "graceful meadow." | female. LEANNE
1: English compound name composed of Lea "meadow" and Ann "favor; grace," hence "graceful meadow." | female. LEANN
1: English compound name composed of Lee "meadow" and Ann "favor; grace," hence "graceful meadow." | female. LEEANN
1: English compound name composed of Lis "God is my oath" and Anne "favor; grace." | female. LISANNE
1: English compound name composed of Lou "famous warrior" and Anna "favor; grace." | female. LOUANNA
1: English compound name composed of Lou "famous warrior" and Ann "favor; grace." | female. LUANN
1: English compound name composed of Mary "obstinacy, rebelliousness" or "their rebellion" and Anna "favor; grace." | female. MARYANNA
1: English compound name composed of Mary "obstinacy, rebelliousness" or "their rebellion" and Anne "favor; grace." | female. MARYANNE
1: English compound name composed of Mary "obstinacy, rebelliousness" or "their rebellion" and Beth "God is my oath." | female. MARYBETH
1: English compound name composed of Mary "obstinacy, rebelliousness" or "their rebellion" and Lou "famous warrior." | female. MARILOU
1: English compound name composed of Mary "obstinacy, rebelliousness" or "their rebellion" and Lou "famous warrior." | female. MARYLOU
1: English compound name composed of Mary "obstinacy, rebelliousness" or "their rebellion" and Yvonne "yew tree." | female. MARYVONNE
1: English compound name composed of Polly "obstinate, rebellious" and Anna "favor, grace." | female. POLLYANNA
1: English compound name composed of Rae "sunbeam" and Lyn "lake," hence "sunbeam lake." | female. RAELYN
1: English compound name composed of Rose "rose" and French Anne "favor-grace," hence "rose of grace." | female. ROSANNE
1: English compound name composed of Sue "lily" and Ellen, possibly meaning "torch." | female. SUELLEN
1: English elaborated form of Latin Lora ("sorrowful") or German Lora "laurel." | female. LORINDA
1: English feminine variant spelling of Scottish unisex Cameron, meaning "crooked nose." | female. CAMRYN
1: English flower name meaning "Rose of Sharon." This was the name of a character in John Steinbeck's novel The Grapes of Wrath. | female. ROSASHARN
1: English form of French Adï��laï��de, meaning "noble sort." | female. ADELAIDE
1: English form of French Adï��le, meaning "noble sort." | female. ADELE
1: English form of French Agnï��s, meaning "chaste; holy." | female. AGNES
1: English gem name derived from the vocabulary word, from Latin perla, meaning "pearl." The pearl is the birthstone for the month of June. | female. PEARL
1: English gem name meaning "beryl," from Greek beryllos, a word applied to all green gemstones. | female. BERYL
1: English habitational surname transferred to forename use, composed of the name Will and the word ford "ford," hence "Will's river crossing." | male. WILFORD
1: English habitational surname transferred to forename use, composed of the Old English elements ac "oak" and denu "valley," hence "oak valley." | male. OGDEN
1: English habitational surname transferred to forename use, composed of the Old English elements be(o)rc "birch" and leah "clearing, meadow, pasture," hence "birch tree meadow." | male. BERKELEY
1: English habitational surname transferred to forename use, composed of the Old English elements brád "broad" and ford "ford, river crossing" hence "broad river crossing." | male. BRADFORD
1: English habitational surname transferred to forename use, composed of the Old English elements brád "broad" and leah "meadow, woodland clearing," broad meadow." | male. BRADLEY
1: English habitational surname transferred to forename use, composed of the Old English elements clæg "clay" and tun "enclosure, settlement," hence "clay settlement." | male. CLAYTON
1: English habitational surname transferred to forename use, composed of the Old English elements croft "paddock, vegetable garden," and tun "enclosure, settlement," hence "garden settlement." | male. CROFTON
1: English habitational surname transferred to forename use, composed of the Old English elements lang "long" and ford "ford," hence "long river crossing." | male. LANGFORD
1: English habitational surname transferred to forename use, composed of the Old English elements wæll "spring" and tun "enclosure, settlement," hence "spring settlement." | male. WALTON
1: English habitational surname transferred to forename use, composed of the Old English elements wær "dam" and wic "dairy farm," hence "lives by the dam near the dairy farm." | male. WARWICK
1: English habitational surname transferred to forename use, composed of the Old English elements wella "spring, stream" and dun "hill," hence "spring hill." | male. WELDON
1: English habitational surname transferred to forename use, composed of the Old English elements west "west" and tun "enclosure, settlement," hence "western settlement." | male. WESTON
1: English habitational surname transferred to forename use, composed of the Old English elements wudu "wood" and raw "line, row," hence "lives in a row of houses by the wood." | male. WOODROW
1: English habitational surname transferred to forename use, composed of the Old English name Wine and the word hlaw "barrow, mound, hill," hence "Wine's hill." | male. WINSLOW
1: English habitational surname transferred to forename use, derived from the name of a place in Staffordshire, composed of Old English Ealdgyth and leah "meadow, woodland clearing," hence "Ealdgyth's meadow." | male. AUDLEY
1: English habitational surname transferred to forename use, from a contracted form of Westley, meaning "western meadow." | male. WESLEY
1: English habitational surname transferred to forename use, from the name of a place in Cheshire named after the river Weaver which got its name form Old English wefer, meaning "winding."English occupational surname transferred to forename use, from Middle English weven, meaning "to weave," hence "weaver." | male. WEAVER
1: English habitational surname transferred to forename use, from the name of various places called Westley, composed of the Old English elements west "west" and leah "meadow, pasture," hence "western meadow." | male. WESTLEY
1: English habitational surname transferred to forename use, from the name of various places called Winthorpe, composed of the Old English personal name Wine and Old Norse þorp "settlement, village," hence "Wine's village." | male. WINTHROP
1: English habitational surname transferred to forename use, from the name of various places composed of the Old English elements lang "long" and dun "hill," hence "long hill." | male. LANGDON
1: English habitational surname transferred to forename use, from various place names composed of the Old English elements hwit "white" and æcer "cultivated land," hence "white acres." | male. WHITAKER
1: English habitational surname transferred to forename use, probably from the name of a lost place composed of the Old English elements wella "well, spring" and burn "boiling, bubbling, running water," hence "bubbling stream" or perhaps "boiling spring." | male. WILBURN
1: English habitational surname transferred to unisex forename use, composed of the Old English elements æsc "ash" and lēah "wood," hence "ash-tree grove." | female. ASHLEY
1: English habitational surname transferred to unisex forename use, composed of the Old English elements fearn "fern" and leah "clearing, meadow," hence "fern meadow." | female. FARLEY
1: English habitational surname transferred to unisex forename use, composed of the Old English elements fearn "fern" and leah "clearing, meadow," hence "fern meadow." | male. FARLEY
1: English habitational surname transferred to unisex forename use, derived from Celtic ard, meaning "high," hence "from the high place." | male. ARDEN
1: English habitational surname transferred to unisex forename use, from the name of various places composed of the Old English elements æsc "ash tree" and tun "settlement," hence "ash tree settlement." | male. ASHTON
1: English habitational surname transferred to unisex forename use, from the name of various places composed of the Old English elements east "east" and tun "settlement," hence "east settlement." | male. ASTON
1: English habitational surname transferred to unisex forename use, from the name of various places derived from the Middle English phrase atten whiten ey ("by the white island"), hence "white island." | female. WHITNEY
1: English habitational surname transferred to unisex forename use, from the name of various places derived from the Middle English phrase atten whiten ey ("by the white island"), hence "white island." | male. WHITNEY
1: English jewelry name, derived from the Italian word cammeo, from either Arabic qamaa'il "flower buds" or Persian chumahan, meaning "agate." | female. CAMEO
1: English literary name composed of the Greek elements eu "good, well" and angeles "angel, messenger," and the French diminutive suffix -ine, hence "good little angel." It is a feminine form of Latin Evangelus. | female. EVANGELINE
1: English literary name created by Fanny Burney, author of the 1778 novel Evelina, probably intended to mean "golden city." | male. ORVILLE
1: English literary name, created by playwright Colley Cibber in the 17th century, derived from Latin amanda, meaning "lovable." | female. AMANDA
1: English literary name from Astrophel and Stella, a famous sonnet composed by Philip Sidney in the 1580s, composed of the Greek elements aster "star" and phil "friend, lover," hence "star lover." | male. ASTROPHEL
1: English literary name from Spencer's Faerie Queene, compounded of the Latin bella "beautiful" and Phoebe ("shining one"), hence "beautiful shining one." | female. BELPHOEBE
1: English masculine form of French unisex Cyrille, meaning "lord." | male. CYRIL
1: English masculine form of Scottish unisex Cameron, meaning "crooked nose." | male. KAMERON
1: English masculine variant spelling of Scottish Cameron, meaning "crooked nose." | male. CAMRON
1: English name based on the vocabulary word divine, meaning "goddess-like" or "from heaven." | female. DIVINA
1: English name borrowed from the name of an Italian island where Napoleon was exiled, derived from Latin Ilva, from Greek Aethale, meaning "soot, grime." | female. ELBA
1: English name coined by Oscar Wilde for a character in his novel The Portrait of Dorian Gray, 1891. Probably derived from Latin Dorianus, meaning "of the Dorian tribe." | male. DORIAN
1: English name coined by Sir Walter Scott for a character in his novel Ivanhoe, thought to possibly be a variant spelling of Anglo-Saxon Cerdic, meaning "war chief." | male. CEDRIC
1: English name composed of Latin bella "beautiful" and a diminutive suffix, hence "little beauty." | female. BELITA
1: English name composed of Latin pruna "plum" and a diminutive suffix, hence "little prune." | female. PRUNELLA
1: English name composed of Lora "laurel" and the Irish diminutive suffix -een, hence "little laurel tree." | female. LOREEN
1: English name composed of the Greek elements kallos "beauty" and doron "gift," hence "gift of beauty." | female. CALLIDORA
1: English name composed of the Old English elements eald "old" and bric "bridge," hence "old bridge." This was the name of the fifth vice president of the United States, Elbridge Thomas Gerry. | male. ELBRIDGE
1: English name created by Shakespeare and thought to probably have been inspired by Italian Thorello ("young bull"), perhaps changing only the first element from Thor- to Otho, hence "rich youth." | male. OTHELLO
1: English name created by Shakespeare, derived from the Latin word perditus, meaning "lost." | female. PERDITA
1: English name created by Shakespeare who may have intended it to be a feminine form of Oliver, probably meaning "elf army." | female. OLIVIA
1: English name created by Sir Philip Sidney for his 1590 poem "Arcadia." It is composed of the Greek elements pan "all" and meli "honey," hence "all honey." | female. PAMELA
1: English name derived from a diminutive form of the French word mignon ("charming, delicate, pretty"), hence "little delicate one." | female. MIGNONETTE
1: English name derived from a Latin title of the Virgin Mary, meaning "my lady." | female. MADONNA
1: English name derived from an Irish county name, from Gaelic Tir Eoghain, meaning "land of Owen." | male. TYRONE
1: English name derived from a Norman French byname for someone given to stirring up trouble, from the word hareler, meaning "to create a disturbance," hence "trouble-maker."Variant spelling of English Harlan, meaning "hare's land." | male. HARLAND
1: English name derived from a Norman French surname, meaning "from the forest." | male. DEFOREST
1: English name derived from a Welsh place name, Rhondda Valley, which was named after the river running through it, meaning "noisy." | female. RHONDA
1: English name derived from Dutch Diederik, meaning "first of the people; king of nations." | male. DEREK
1: English name derived from French Arnaud, meaning "eagle power." | male. ARNOLD
1: English name derived from French Mirabelle, meaning "wonderful." | female. MIRABEL
1: English name derived from German Adelinda, meaning "noble serpent." | female. DELINDA
1: English name derived from Greek aster, meaning "star." | female. ASTRA
1: English name derived from Greek charma, meaning "delight." | female. CHARMIAN
1: English name derived from Greek oide, meaning "song." Compare with another form of Oda. | female. ODA
1: English name derived from Greek pneuma, meaning "breath," or, metaphorically, a non-material being or influence, i.e. "spirit." | female. PNEUMA (� νεῦμα)
1: English name derived from Hebrew Shoshannah, meaning "lily." | female. SHANNAH
1: English name derived from Italian Orabella, meaning "golden beautiful." | female. ORABEL
1: English name derived from Latin Adrianus, meaning "from Hadria." | male. ADRIAN
1: English name derived from Latin Albanus, meaning "like Albus," i.e. "white." | male. ALBAN
1: English name derived from Latin Albinus, meaning "like Albus," i.e. "white." | male. ALBIN
1: English name derived from Latin Alfonsus, meaning "noble and ready." | male. ALFONZO
1: English name derived from Latin amabilis, meaning "lovable." | female. AMABEL
1: English name derived from Latin amicitia, meaning "friendship." | female. AMICE
1: English name derived from Latin blanda, meaning "cherishing." | female. BLANDA
1: English name derived from Latin Calvinus, meaning "little bald one." | male. CALVIN
1: English name derived from Latin candida, meaning "clear and white," like pure quartz rather than the whiteness of milk. George Bernard Shaw used this name for his 1895 play of the same name. | female. CANDIDA
1: English name derived from Latin Catigernus, meaning "battle lord." In Arthurian legend, this is the name of a son of Vortigern. | male. CATIGERN
1: English name derived from Latin Christianus, meaning "believer" or "follower of Christ." In the bible, this is the name first given to the worshippers of Jesus by the Gentiles, but from the second century onward accepted by them as a title of honor. | male. CHRISTIAN
1: English name derived from Latin Crispinus, meaning "curly(-headed)." | male. CRISPIN
1: English name derived from Latin Damianus, meaning "to tame, to subdue" and euphemistically "to kill." | male. DAMIAN
1: English name derived from Latin Dominicus, meaning "belongs to the Lord." This is a name traditionally given to a child born on Sunday. | male. DOMINIC
1: English name derived from Latin Emilia, meaning "rival." | female. EMILY
1: English name derived from Latin Eusebius, meaning "pious." | male. EUSEBY
1: English name derived from Latin Franciscus, meaning "French." This name is sometimes mistakenly given to girls instead of the identically pronounced feminine form, Frances. | male. FRANCIS
1: English name derived from Latin Hermanus, meaning "army man." Compare with another form of Herman. | male. HERMAN
1: English name derived from Latin Innocentius, meaning "harmless, innocent." | male. INNOCENT
1: English name derived from Latin Liliana, meaning "lily." | female. LILIAN
1: English name derived from Latin Peregrinus, meaning "wanderer." | male. PEREGRINE
1: English name derived from Latin Philandrus, meaning "with love for people. | male. PHILANDER
1: English name derived from Latin Placidus, meaning "calm, placid." | male. PLACID
1: English name derived from Latin prima, meaning "first, prime." | female. PRIMULA
1: English name derived from Latin Prosperus, meaning "fortunate, successful." | male. PROSPER
1: English name derived from Latin Reginaldus, meaning "wise ruler." | male. REGINALD
1: English name derived from Latin Romanus, meaning "Roman." Compare with other forms of Roman. | male. ROMAN
1: English name derived from Latin Rudolphus, meaning "famous wolf." | male. RUDOLPH
1: English name derived from Latin stella, meaning "star." | female. STELLA
1: English name derived from Latin Vincentius, meaning "conquering." | male. VINCENT
1: English name derived from Latin Virgilius, possibly meaning "flourishing." | male. VIRGIL
1: English name derived from Middle Latin Theobaldus, meaning "people-bold." | male. THEOBALD
1: English name derived from Norman Germanic Hunfrid, meaning "giant peace." | male. HUMPHREY
1: English name derived from Philadelphia, the name of a city in the state of Pennsylvania and a city in Asia Minor, composed of the Greek elements phileo "to love" and adelphos "born of the same womb," hence "sibling." | female. DELPHIA
1: English name derived from Roman Galenus, meaning "calm, seas." Compare with another form of Galen. | male. GALEN
1: English name derived from Roman Latin Horatius, meaning "has good eyesight." | male. HORATIO
