Date,Open,High,Low,Close,Volume,Adj Close
2011-12-28,406.89,408.25,401.34,402.64,8166500,402.64
2011-12-27,403.10,409.09,403.02,406.53,9467000,406.53
2011-12-23,399.69,403.59,399.49,403.33,9621400,403.33
2011-12-22,397.00,399.13,396.10,398.55,7209900,398.55
2011-12-21,396.69,397.30,392.01,396.45,9367000,396.45
2011-12-20,387.76,396.10,387.26,395.95,12043400,395.95
2011-12-19,382.47,384.85,380.48,382.21,8388500,382.21
2011-12-16,380.36,384.15,379.57,381.02,15052800,381.02
2011-12-15,383.33,383.74,378.31,378.94,9150000,378.94
2011-12-14,386.70,387.38,377.68,380.19,14531700,380.19
2011-12-13,393.00,395.40,387.10,388.81,12104600,388.81
2011-12-12,391.68,393.90,389.45,391.84,10693500,391.84
2011-12-09,392.85,394.04,391.03,393.62,10606900,393.62
2011-12-08,391.45,395.50,390.23,390.66,13428900,390.66
2011-12-07,389.93,390.94,386.76,389.09,10883800,389.09
2011-12-06,392.51,394.63,389.38,390.95,10128500,390.95
2011-12-05,393.49,396.41,390.39,393.01,12757500,393.01
2011-12-02,389.83,393.63,388.58,389.70,13537700,389.70
2011-12-01,382.54,389.00,380.75,387.93,13709400,387.93
2011-11-30,381.29,382.28,378.30,382.20,14497800,382.20
2011-11-29,375.84,378.83,370.20,373.20,13423400,373.20
2011-11-28,372.35,376.72,370.33,376.12,12371900,376.12
2011-11-25,368.42,371.15,363.32,363.57,9098600,363.57
2011-11-23,374.51,375.84,366.88,366.99,15295400,366.99
2011-11-22,371.02,377.93,370.94,376.51,14607900,376.51
2011-11-21,370.40,371.68,365.91,369.01,15999300,369.01
2011-11-18,378.92,379.99,374.88,374.94,13283500,374.94
2011-11-17,383.98,384.58,375.50,377.41,17139300,377.41
2011-11-16,389.25,391.14,384.32,384.77,12449900,384.77
2011-11-15,380.80,389.50,379.45,388.83,15386100,388.83
2011-11-14,383.52,385.25,378.20,379.26,15460900,379.26
2011-11-11,386.61,388.70,380.26,384.62,23338400,384.62
2011-11-10,397.03,397.21,382.15,385.22,26598300,385.22
2011-11-09,396.97,400.89,394.23,395.28,19926700,395.28
2011-11-08,402.21,408.00,401.56,406.23,14278400,406.23
2011-11-07,399.91,400.00,396.13,399.73,9641000,399.73
2011-11-04,402.03,403.44,399.16,400.24,10772400,400.24
2011-11-03,399.07,403.40,395.36,403.07,15763800,403.07
2011-11-02,400.09,400.44,395.11,397.41,11691100,397.41
2011-11-01,397.41,399.50,393.22,396.51,18974200,396.51
2011-10-31,402.42,409.33,401.05,404.78,13767900,404.78
2011-10-28,403.00,406.35,402.51,404.95,11515200,404.95
2011-10-27,407.56,409.00,401.89,404.69,17666600,404.69
2011-10-26,401.76,402.55,393.15,400.60,16279000,400.60
2011-10-25,405.03,406.55,397.38,397.77,15372400,397.77
2011-10-24,396.18,406.50,395.40,405.77,17933500,405.77
2011-10-21,398.10,399.14,390.75,392.87,22161600,392.87
2011-10-20,400.00,400.35,394.21,395.31,19616800,395.31
2011-10-19,401.35,408.42,397.80,398.62,39407100,398.62
2011-10-18,421.76,424.81,415.99,422.24,31232500,422.24
2011-10-17,421.74,426.70,415.94,419.99,24501600,419.99
2011-10-14,416.83,422.00,415.27,422.00,20477400,422.00
2011-10-13,404.98,408.43,402.85,408.43,15177900,408.43
2011-10-12,407.34,409.25,400.14,402.19,22224500,402.19
2011-10-11,392.57,403.18,391.50,400.29,21631700,400.29
2011-10-10,379.09,388.81,378.21,388.81,15804100,388.81
2011-10-07,375.78,377.74,368.49,369.80,19123500,369.80
2011-10-06,373.33,384.78,371.80,377.37,29020800,377.37
2011-10-05,367.86,379.82,360.30,378.25,28088200,378.25
2011-10-04,374.57,381.80,354.24,372.50,44059900,372.50
2011-10-03,380.37,382.64,373.17,374.60,23896400,374.60
2011-09-30,387.12,388.89,381.18,381.32,19558600,381.32
2011-09-29,401.92,402.21,386.21,390.57,23253100,390.57
2011-09-28,400.19,403.74,396.51,397.01,15344200,397.01
2011-09-27,408.73,409.25,398.06,399.26,22589200,399.26
2011-09-26,399.86,403.98,391.30,403.17,29031300,403.17
2011-09-23,400.28,406.74,399.85,404.30,19509900,404.30
2011-09-22,401.03,409.82,396.70,401.82,34588600,401.82
2011-09-21,419.64,421.59,412.00,412.14,21642000,412.14
2011-09-20,415.25,422.86,411.19,413.45,27705500,413.45
2011-09-19,397.00,413.23,395.20,411.63,29423600,411.63
2011-09-16,395.54,400.50,395.03,400.50,24946900,400.50
2011-09-15,391.43,393.66,389.90,392.96,14922100,392.96
2011-09-14,387.02,392.21,385.76,389.30,19097300,389.30
2011-09-13,382.14,386.21,380.25,384.62,15734300,384.62
2011-09-12,373.00,380.88,371.90,379.94,16708300,379.94
2011-09-09,383.93,386.00,375.02,377.48,20171900,377.48
2011-09-08,382.40,388.61,382.31,384.14,14862800,384.14
2011-09-07,385.56,385.60,382.00,383.93,12520600,383.93
2011-09-06,367.37,380.33,366.48,379.74,18173500,379.74
2011-09-02,374.74,378.00,371.83,374.05,15676400,374.05
2011-09-01,385.82,387.34,380.72,381.03,12262500,381.03
2011-08-31,390.57,392.08,381.86,384.83,18663800,384.83
2011-08-30,388.25,391.84,386.21,389.99,14908500,389.99
2011-08-29,388.18,391.50,388.00,389.97,14453300,389.97
2011-08-26,371.17,383.80,370.80,383.58,22892600,383.58
2011-08-25,365.08,375.45,365.00,373.72,31098800,373.72
2011-08-24,373.47,378.96,370.60,376.18,20914300,376.18
2011-08-23,360.30,373.64,357.00,373.60,23444500,373.60
2011-08-22,364.51,364.88,355.09,356.44,19091100,356.44
2011-08-19,362.17,367.00,356.00,356.03,27697100,356.03
2011-08-18,370.84,372.65,361.37,366.05,30385000,366.05
2011-08-17,382.31,384.52,378.00,380.44,15733200,380.44
2011-08-16,381.52,383.37,376.06,380.48,17812500,380.48
2011-08-15,379.63,384.97,378.09,383.41,16436700,383.41
2011-08-12,378.07,379.64,374.23,376.99,18879800,376.99
2011-08-11,370.52,375.45,364.72,373.70,26482900,373.70
2011-08-10,371.15,374.65,362.50,363.69,31358700,363.69
2011-08-09,361.30,374.61,355.00,374.01,38629400,374.01
2011-08-08,361.69,367.77,353.02,353.21,40810600,353.21
2011-08-05,380.44,383.50,362.57,373.62,42992200,373.62
2011-08-04,389.41,391.32,377.35,377.37,31083700,377.37
2011-08-03,390.98,393.55,382.24,392.57,26388200,392.57
2011-08-02,397.65,397.90,388.35,388.91,22810100,388.91
2011-08-01,397.78,399.50,392.37,396.75,21829000,396.75
2011-07-29,387.64,395.15,384.00,390.48,22568800,390.48
2011-07-28,391.62,396.99,388.13,391.82,21200200,391.82
2011-07-27,400.59,402.64,392.15,392.59,23523900,392.59
2011-07-26,400.00,404.50,399.68,403.41,17006300,403.41
2011-07-25,390.35,400.00,389.62,398.50,21045000,398.50
2011-07-22,388.32,395.05,387.75,393.30,18395400,393.30
2011-07-21,386.95,390.06,383.90,387.29,18787700,387.29
2011-07-20,396.12,396.27,386.00,386.90,33590100,386.90
2011-07-19,378.00,378.65,373.32,376.85,29140700,376.85
2011-07-18,365.43,374.65,365.28,373.80,20419100,373.80
2011-07-15,361.17,365.00,359.17,364.92,17265800,364.92
2011-07-14,361.01,361.61,356.34,357.77,15346300,357.77
2011-07-13,358.33,360.00,356.38,358.02,13973300,358.02
2011-07-12,353.53,357.68,348.62,353.75,16113400,353.75
2011-07-11,356.34,359.77,352.82,354.00,15809800,354.00
2011-07-08,353.34,360.00,352.20,359.71,17486900,359.71
2011-07-07,354.67,358.00,354.00,357.20,14260500,357.20
2011-07-06,348.95,354.10,346.71,351.76,15868100,351.76
2011-07-05,343.00,349.83,342.50,349.43,12680500,349.43
2011-07-01,335.95,343.50,334.20,343.26,15732300,343.26
2011-06-30,334.70,336.13,332.84,335.67,11534100,335.67
2011-06-29,336.04,336.37,331.88,334.04,12590900,334.04
2011-06-28,333.65,336.70,333.44,335.26,10496800,335.26
2011-06-27,327.59,333.90,327.25,332.04,12136200,332.04
2011-06-24,331.37,333.15,325.09,326.35,15707400,326.35
2011-06-23,318.94,331.69,318.12,331.23,19964300,331.23
2011-06-22,325.16,328.90,322.38,322.61,13933100,322.61
2011-06-21,316.68,325.80,315.20,325.30,17610000,325.30
2011-06-20,317.36,317.70,310.50,315.32,22867200,315.32
2011-06-17,328.99,329.25,319.36,320.26,21965000,320.26
2011-06-16,326.90,328.68,318.33,325.16,18220500,325.16
2011-06-15,329.75,330.30,324.88,326.75,14257000,326.75
2011-06-14,330.00,333.25,329.31,332.44,11938400,332.44
2011-06-13,327.20,328.31,325.07,326.60,11766900,326.60
2011-06-10,330.55,331.66,325.51,325.90,15498400,325.90
2011-06-09,333.25,333.67,330.75,331.49,9824600,331.49
2011-06-08,331.78,334.80,330.65,332.24,11918700,332.24
2011-06-07,338.17,338.22,331.90,332.04,18920900,332.04
2011-06-06,345.70,347.05,337.81,338.04,16485800,338.04
2011-06-03,343.18,345.33,342.01,343.44,11187500,343.44
2011-06-02,346.50,347.98,344.30,346.10,12099400,346.10
2011-06-01,348.87,352.13,344.65,345.51,19786900,345.51
2011-05-31,341.10,347.83,341.00,347.83,14892600,347.83
2011-05-27,334.80,337.63,334.31,337.41,7271400,337.41
2011-05-26,335.97,336.89,334.43,335.00,7948600,335.00
2011-05-25,333.43,338.56,332.85,336.78,10500200,336.78
2011-05-24,335.50,335.90,331.34,332.19,11497400,332.19
2011-05-23,329.97,335.98,329.42,334.40,13651700,334.40
2011-05-20,339.56,340.95,335.02,335.22,12070300,335.22
2011-05-19,342.08,342.41,338.67,340.53,9308100,340.53
2011-05-18,336.47,341.05,336.00,339.87,11931800,339.87
2011-05-17,332.00,336.14,330.73,336.14,16154800,336.14
2011-05-16,339.20,341.22,332.60,333.30,16063400,333.30
2011-05-13,345.66,346.25,340.35,340.50,11647000,340.50
2011-05-12,346.12,347.12,342.27,346.57,11400000,346.57
2011-05-11,349.02,350.00,345.24,347.23,11952700,347.23
2011-05-10,348.89,349.69,346.66,349.45,10191300,349.45
2011-05-09,347.86,349.20,346.53,347.60,7312400,347.60
2011-05-06,349.69,350.00,346.21,346.66,10004800,346.66
2011-05-05,348.40,350.95,346.05,346.75,11998900,346.75
2011-05-04,348.26,351.83,346.88,349.57,13956600,349.57
2011-05-03,347.99,349.89,345.62,348.20,11191000,348.20
2011-05-02,349.74,350.47,345.50,346.28,15779900,346.28
2011-04-29,346.78,353.95,346.67,350.13,35900000,350.13
2011-04-28,346.19,349.75,345.52,346.75,12891400,346.75
2011-04-27,352.24,352.35,347.10,350.15,12696100,350.15
2011-04-26,353.62,354.99,349.35,350.42,12065100,350.42
2011-04-25,350.34,353.75,350.30,353.01,9497500,353.01
2011-04-21,355.00,355.13,348.52,350.70,26921800,350.70
2011-04-20,343.51,345.75,341.50,342.41,25023800,342.41
2011-04-19,333.10,337.98,331.71,337.86,14977800,337.86
2011-04-18,326.10,332.23,320.16,331.85,21782100,331.85
2011-04-15,333.30,333.64,326.80,327.46,16200200,327.46
2011-04-14,334.80,336.00,332.06,332.42,10778600,332.42
2011-04-13,335.02,336.14,332.52,336.13,12365000,336.13
2011-04-12,330.49,333.73,330.20,332.40,15201400,332.40
2011-04-11,334.06,335.67,330.02,330.80,14248100,330.80
2011-04-08,339.92,340.15,333.95,335.06,13483400,335.06
2011-04-07,338.10,340.43,336.03,338.08,13337400,338.08
2011-04-06,341.22,343.90,337.14,338.04,14376400,338.04
2011-04-05,336.99,342.25,336.00,338.89,17240400,338.89
2011-04-04,344.31,344.60,338.40,341.19,16431600,341.19
2011-04-01,351.11,351.59,343.30,344.56,14952200,344.56
2011-03-31,346.36,349.80,346.06,348.51,9786400,348.51
2011-03-30,350.64,350.88,347.44,348.63,11764500,348.63
2011-03-29,347.66,350.96,346.06,350.96,12603600,350.96
2011-03-28,353.15,354.32,350.44,350.44,11048400,350.44
2011-03-25,348.07,352.06,347.02,351.54,16032500,351.54
2011-03-24,341.85,346.00,338.86,344.97,14454000,344.97
2011-03-23,339.28,340.22,335.95,339.19,13321300,339.19
2011-03-22,342.56,342.62,339.14,341.20,11640100,341.20
2011-03-21,335.99,339.74,335.26,339.30,14621500,339.30
2011-03-18,337.13,338.20,330.00,330.67,26900500,330.67
2011-03-17,336.83,339.61,330.66,334.64,23550800,334.64
2011-03-16,342.00,343.00,326.26,330.01,41500400,330.01
2011-03-15,342.10,347.84,340.10,345.43,25752900,345.43
2011-03-14,353.18,356.48,351.31,353.56,15569900,353.56
2011-03-11,345.33,352.32,345.00,351.99,16824300,351.99
2011-03-10,349.12,349.77,344.90,346.67,18126400,346.67
2011-03-09,354.69,354.76,350.60,352.47,16189500,352.47
2011-03-08,354.91,357.40,352.25,355.76,12725600,355.76
2011-03-07,361.40,361.67,351.31,355.36,19504400,355.36
2011-03-04,360.07,360.29,357.75,360.00,16188100,360.00
2011-03-03,357.19,359.79,355.92,359.56,17885300,359.56
2011-03-02,349.96,354.35,348.40,352.12,21521100,352.12
2011-03-01,355.47,355.72,347.68,349.31,16290600,349.31
2011-02-28,351.24,355.05,351.12,353.21,14395500,353.21
2011-02-25,345.26,348.43,344.80,348.16,13572100,348.16
2011-02-24,344.02,345.15,338.37,342.88,17853600,342.88
2011-02-23,338.77,344.64,338.61,342.62,23994800,342.62
2011-02-22,342.15,345.40,337.72,338.61,31162700,338.61
2011-02-18,358.71,359.50,349.52,350.56,29144900,350.56
2011-02-17,357.25,360.27,356.52,358.30,18949400,358.30
2011-02-16,360.80,364.90,360.50,363.13,17184200,363.13
2011-02-15,359.19,359.97,357.55,359.90,10149100,359.90
2011-02-14,356.79,359.48,356.71,359.18,11086300,359.18
2011-02-11,354.75,357.80,353.54,356.85,13127600,356.85
2011-02-10,357.39,360.00,348.00,354.54,33162500,354.54
2011-02-09,355.19,359.00,354.87,358.16,17240900,358.16
2011-02-08,353.68,355.52,352.15,355.20,13608600,355.20
2011-02-07,347.89,353.25,347.64,351.88,17322200,351.88
2011-02-04,343.64,346.70,343.51,346.50,11494300,346.50
2011-02-03,343.80,344.24,338.55,343.44,14064200,343.44
2011-02-02,344.45,345.25,343.55,344.32,9248400,344.32
2011-02-01,341.30,345.65,340.98,345.03,15236900,345.03
2011-01-31,335.80,340.04,334.30,339.32,13473100,339.32
2011-01-28,344.17,344.40,333.53,336.10,21144900,336.10
2011-01-27,343.78,344.69,342.83,343.21,10179500,343.21
2011-01-26,342.96,345.60,341.50,343.85,18102700,343.85
2011-01-25,336.33,341.44,334.57,341.40,19531000,341.40
2011-01-24,326.87,337.45,326.72,337.45,20524400,337.45
2011-01-21,333.77,334.88,326.63,326.72,26942900,326.72
2011-01-20,336.43,338.30,330.12,332.68,27313900,332.68
2011-01-19,348.35,348.60,336.88,338.84,40557600,338.84
2011-01-18,329.52,344.76,326.00,340.65,67178500,340.65
