	acura	alpina	aston-martin	audi	bentley	bmw	bugatti	buick	cadillac	chevrolet	chrysler	dodge	ferrari	ford	gmc	honda	hummer	hyundai	infiniti	jaguar	jeep	kia	koenigsegg	lamborghini	land-rover	lexus	lincoln	lotus	maserati	maybach	mazda	mercedes-benz	mercury	mini	mitsubishi	nissan	pagani	pontiac	porsche	rolls-royce	saab	saturn	scion	smart	ssc	subaru	suzuki	tesla	toyota	volkswagen	volvo	zenvo
dodge	4	8	6	6	6	6	6	4	4	4	4	0	6	4	4	6	4	6	6	6	4	6	6	6	6	6	4	6	6	6	6	6	4	6	6	6	6	4	6	6	6	4	6	6	4	6	6	4	6	6	6	8	
ferrari	6	8	6	6	6	6	4	6	6	6	6	6	0	6	6	6	6	6	6	6	6	6	6	4	6	6	6	6	4	6	6	6	6	6	6	6	4	6	6	6	6	6	6	6	6	6	6	6	6	6	6	8	
ford	4	8	6	6	6	6	6	4	4	4	4	4	6	0	4	6	4	6	6	6	4	6	6	6	6	6	4	6	6	6	6	6	4	6	6	6	6	4	6	6	6	4	6	6	4	6	6	4	6	6	6	8	
gmc	4	8	6	6	6	6	6	4	4	4	4	4	6	4	0	6	4	6	6	6	4	6	6	6	6	6	4	6	6	6	6	6	4	6	6	6	6	4	6	6	6	4	6	6	4	6	6	4	6	6	6	8	
honda	6	8	6	6	6	6	6	6	6	6	6	6	6	6	6	0	6	6	4	6	6	6	6	6	6	4	6	6	6	6	4	6	6	6	4	4	6	6	6	6	6	6	4	6	6	4	4	6	4	6	6	8	
hummer	4	8	6	6	6	6	6	4	4	4	4	4	6	4	4	6	0	6	6	6	4	6	6	6	6	6	4	6	6	6	6	6	4	6	6	6	6	4	6	6	6	4	6	6	4	6	6	4	6	6	6	8	
hyundai	6	8	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0	6	6	6	4	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	8	
infiniti	6	8	6	6	6	6	6	6	6	6	6	6	6	6	6	4	6	6	0	6	6	6	6	6	6	4	6	6	6	6	4	6	6	6	4	4	6	6	6	6	6	6	4	6	6	4	4	6	4	6	6	8	
jaguar	6	6	4	6	4	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0	6	6	6	6	4	6	6	4	6	6	6	6	6	4	6	6	6	6	6	4	6	6	6	6	6	6	6	6	6	6	6	8	
jeep	4	8	6	6	6	6	6	4	4	4	4	4	6	4	4	6	4	6	6	6	0	6	6	6	6	6	4	6	6	6	6	6	4	6	6	6	6	4	6	6	6	4	6	6	4	6	6	4	6	6	6	8	
kia	6	8	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	4	6	6	6	0	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	8	
koenigsegg	6	8	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	4	6	6	6	6	6	6	6	6	6	4	8	
lamborghini	6	8	6	6	6	6	4	6	6	6	6	6	4	6	6	6	6	6	6	6	6	6	6	0	6	6	6	6	4	6	6	6	6	6	6	6	4	6	6	6	6	6	6	6	6	6	6	6	6	6	6	8	
land-rover	6	6	4	6	4	6	6	6	6	6	6	6	6	6	6	6	6	6	6	4	6	6	6	6	0	6	6	4	6	6	6	6	6	4	6	6	6	6	6	4	6	6	6	6	6	6	6	6	6	6	6	8	
lexus	6	8	6	6	6	6	6	6	6	6	6	6	6	6	6	4	6	6	4	6	6	6	6	6	6	0	6	6	6	6	4	6	6	6	4	4	6	6	6	6	6	6	4	6	6	4	4	6	4	6	6	8	
lincoln	4	8	6	6	6	6	6	4	4	4	4	4	6	4	4	6	4	6	6	6	4	6	6	6	6	6	0	6	6	6	6	6	4	6	6	6	6	4	6	6	6	4	6	6	4	6	6	4	6	6	6	8	
lotus	6	6	4	6	4	6	6	6	6	6	6	6	6	6	6	6	6	6	6	4	6	6	6	6	4	6	6	0	6	6	6	6	6	4	6	6	6	6	6	4	6	6	6	6	6	6	6	6	6	6	6	8	
maserati	6	8	6	6	6	6	4	6	6	6	6	6	4	6	6	6	6	6	6	6	6	6	6	4	6	6	6	6	0	6	6	6	6	6	6	6	4	6	6	6	6	6	6	6	6	6	6	6	6	6	6	8	
maybach	6	8	6	4	6	4	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0	6	4	6	6	6	6	6	6	4	6	6	6	6	6	6	6	6	6	6	4	6	8	
mazda	6	8	6	6	6	6	6	6	6	6	6	6	6	6	6	4	6	6	4	6	6	6	6	6	6	4	6	6	6	6	0	6	6	6	4	4	6	6	6	6	6	6	4	6	6	4	4	6	4	6	6	8	
mercedes-benz	6	8	6	4	6	4	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	4	6	0	6	6	6	6	6	6	4	6	6	6	6	6	6	6	6	6	6	4	6	8	
mercury	4	8	6	6	6	6	6	4	4	4	4	4	6	4	4	6	4	6	6	6	4	6	6	6	6	6	4	6	6	6	6	6	0	6	6	6	6	4	6	6	6	4	6	6	4	6	6	4	6	6	6	8	
mini	6	6	4	6	4	6	6	6	6	6	6	6	6	6	6	6	6	6	6	4	6	6	6	6	4	6	6	4	6	6	6	6	6	0	6	6	6	6	6	4	6	6	6	6	6	6	6	6	6	6	6	8	
mitsubishi	6	8	6	6	6	6	6	6	6	6	6	6	6	6	6	4	6	6	4	6	6	6	6	6	6	4	6	6	6	6	4	6	6	6	0	4	6	6	6	6	6	6	4	6	6	4	4	6	4	6	6	8	
nissan	6	8	6	6	6	6	6	6	6	6	6	6	6	6	6	4	6	6	4	6	6	6	6	6	6	4	6	6	6	6	4	6	6	6	4	0	6	6	6	6	6	6	4	6	6	4	4	6	4	6	6	8	
pagani	6	8	6	6	6	6	4	6	6	6	6	6	4	6	6	6	6	6	6	6	6	6	6	4	6	6	6	6	4	6	6	6	6	6	6	6	0	6	6	6	6	6	6	6	6	6	6	6	6	6	6	8	
pontiac	4	8	6	6	6	6	6	4	4	4	4	4	6	4	4	6	4	6	6	6	4	6	6	6	6	6	4	6	6	6	6	6	4	6	6	6	6	0	6	6	6	4	6	6	4	6	6	4	6	6	6	8	
porsche	6	8	6	4	6	4	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	4	6	4	6	6	6	6	6	6	0	6	6	6	6	6	6	6	6	6	6	4	6	8	
rolls-royce	6	6	4	6	4	6	6	6	6	6	6	6	6	6	6	6	6	6	6	4	6	6	6	6	4	6	6	4	6	6	6	6	6	4	6	6	6	6	6	0	6	6	6	6	6	6	6	6	6	6	6	8	
saab	6	8	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	4	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0	6	6	6	6	6	6	6	6	6	4	8	
saturn	4	8	6	6	6	6	6	4	4	4	4	4	6	4	4	6	4	6	6	6	4	6	6	6	6	6	4	6	6	6	6	6	4	6	6	6	6	4	6	6	6	0	6	6	4	6	6	4	6	6	6	8	
scion	6	8	6	6	6	6	6	6	6	6	6	6	6	6	6	4	6	6	4	6	6	6	6	6	6	4	6	6	6	6	4	6	6	6	4	4	6	6	6	6	6	6	0	6	6	4	4	6	4	6	6	8	
smart	6	8	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0	6	6	6	6	6	6	6	8	
ssc	4	8	6	6	6	6	6	4	4	4	4	4	6	4	4	6	4	6	6	6	4	6	6	6	6	6	4	6	6	6	6	6	4	6	6	6	6	4	6	6	6	4	6	6	0	6	6	4	6	6	6	8	
subaru	6	8	6	6	6	6	6	6	6	6	6	6	6	6	6	4	6	6	4	6	6	6	6	6	6	4	6	6	6	6	4	6	6	6	4	4	6	6	6	6	6	6	4	6	6	0	4	6	4	6	6	8	
suzuki	6	8	6	6	6	6	6	6	6	6	6	6	6	6	6	4	6	6	4	6	6	6	6	6	6	4	6	6	6	6	4	6	6	6	4	4	6	6	6	6	6	6	4	6	6	4	0	6	4	6	6	8	
tesla	4	8	6	6	6	6	6	4	4	4	4	4	6	4	4	6	4	6	6	6	4	6	6	6	6	6	4	6	6	6	6	6	4	6	6	6	6	4	6	6	6	4	6	6	4	6	6	0	6	6	6	8	
toyota	6	8	6	6	6	6	6	6	6	6	6	6	6	6	6	4	6	6	4	6	6	6	6	6	6	4	6	6	6	6	4	6	6	6	4	4	6	6	6	6	6	6	4	6	6	4	4	6	0	6	6	8	
volkswagen	6	8	6	4	6	4	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	4	6	4	6	6	6	6	6	6	4	6	6	6	6	6	6	6	6	6	6	0	6	8	
volvo	6	8	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	4	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	4	6	6	6	6	6	6	6	6	6	0	8	
zenvo	8	6	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	0	
