AGAF|Afutara Airport|Afutara
BGJH|Qaqortoq Heliport (Julianehab Heliport)|Qaqortoq (Julianehab)
BGJN|Ilulissat Airport (Jakobshavn Airport)|Ilulissat (Jakobshavn)
BGKA|Kangaatsiaq Heliport|Kangaatsiaq
BGKK|Kulusuk Airport|Kulusuk
BGKL|Upernavik Kujalleq Heliport|Upernavik Kujalleq
BGKM|Kuummiut Heliport|Kuummiut
BGKQ|Kullorsuaq Heliport|Kullorsuaq
BGKS|Kangersuatsiaq Heliport|Kangersuatsiaq
BGKT|Kitsissuarsuit Heliport|Kitsissuarsuit
BGLL|Illorsuit Heliport|Illorsuit
BGMO|Moriussaq Heliport|Moriusaq
BGMQ|Maniitsoq Airport|Maniitsoq (Sukkertoppen)
BGNK|Niaqornaarsuk Heliport|Niaqornaarsuk
BGNL|Nalunaq Heliport|Nalunaq
BGNN|Nanortalik Heliport|Nanortalik
BGNQ|Nuugaatsiaq Heliport|Nuugaatsiaq
BGNS|Narsaq Heliport|Narsaq
BGNT|Niaqornat Heliport|Niaqornat
BGNU|Nuussuaq Heliport|Nuussuaq
BGPT|Paamiut Airport|Paamiut (Frederikshåb)
BGQE|Qeqertaq Heliport|Qeqertaq
BGQQ|Qaanaaq Airport|Qaanaaq
BGQT|Qassimiut Heliport|Qassimiut
BGSC|Ittoqqortoormiit Heliport (Scoresbysund Heliport)|Ittoqqortoormiit (Scoresbysund)
BGSF|Kangerlussuaq Airport (Søndre Strømfjord Airport)|Kangerlussuaq (Søndre Strømfjord)
BGSG|Sermiligaaq Heliport|Sermiligaaq
BGSI|Siorapaluk Heliport|Siorapaluk
BGSQ|Saqqaq Heliport|Saqqaq
BGSS|Sisimiut Airport (Holsteinsborg Airport)|Sisimiut (Holsteinsborg)
BGST|Saattut Heliport|Saattut
BGSV|Savissivik Heliport|Savissivik
BGTA|Tasiusaq (Qaasuitsup) Heliport|Tasiusaq, Qaasuitsup
BGTL|Thule Air Base|Pituffik, Qaanaaq
BGTN|Tiniteqilaaq Heliport|Tiniteqilaaq
BGTQ|Tasiusaq (Kujalleq) Heliport|Tasiusaq, Kujalleq
BGUK|Upernavik Airport|Upernavik
BGUM|Uummannaq Heliport|Uummannaq
BGUQ|Qaarsut Airport|Qaarsut
BGUT|Ukkusissat Heliport|Ukkusissat
BIAR|Akureyri Airport|Akureyri
BIBK|Bakkafjordur Airport|Bakkafjörður
BIBL|Blönduós Airport|Blönduós
BIDV|Djupivogur Airport|Djupivogur
BIEG|Egilsstaðir Airport|Egilsstaðir
BIGR|Grímsey Airport|Grímsey
BIHN|Hornafjörður Airport|Höfn
BIHU|Húsavík Airport|Húsavík
BIIS|Ísafjörður Airport|Ísafjörður
BIKF|Keflavík International Airport (Flugstöð Leifs Eiríkssonar)|Keflavík
BIKP|Kopasker Airport|Kópasker
BIKR|Sauðárkrókur Airport|Sauðárkrókur
BINF|Nordfjordur Airport|Nordfjordur
BIPA|Patreksfjörður Airport|Patreksfjörður
BIRF|Rif Airport|Ólafsvík
BIRG|Raufarhofn Airport|Raufarhofn
BIRK|Reykjavík Airport|Reykjavík
BISI|Siglufjörður Airport|Siglufjörður
BIST|Stykkishólmur Airport|Stykkishólmur
BITE|Thingeyri Airport|Þingeyri
BITN|Thorshofn Airport|Þórshöfn
BIVM|Vestmannaeyjar Airport|Vestmannaeyjar
BIVO|Vopnafjörður Airport|Vopnafjörður
BKPR|Pristina International Airport|Pristina
CYAC|Cat Lake Airport|Cat Lake, Ontario
CYAD|La Grande-3 Airport|La Grande-3 generating station, Quebec
CYAG|Fort Frances Municipal Airport|Fort Frances, Ontario
CYAH|La Grande-4 Airport|La Grande-4 generating station, Quebec
CYAL|Alert Bay Airport|Alert Bay, British Columbia
CYAM|Sault Ste. Marie Airport|Sault Ste. Marie, Ontario
CYAQ|Kasabonika Airport|Kasabonika, Ontario
CYAS|Kangirsuk Airport|Kangirsuk, Quebec
CYAT|Attawapiskat Airport|Attawapiskat, Ontario
CYAU|Liverpool/South Shore Regional Airport|Liverpool, Nova Scotia
CYAV|Winnipeg/St. Andrews Airport|St. Andrews, Manitoba
CYAW|CFB Shearwater (Halifax/Shearwater Airport)|Shearwater, Nova Scotia
CYAX|Lac Du Bonnet Airport|Lac Du Bonnet, Manitoba
CYAY|St. Anthony Airport|St. Anthony, Newfoundland and Labrador
CYAZ|Tofino Airport|Tofino, British Columbia
CYBA|Banff Airport|Banff, Alberta
CYBB|Kugaaruk Airport|Kugaaruk, Nunavut
CYBC|Baie-Comeau Airport|Baie-Comeau, Quebec
CYBD|Bella Coola Airport|Bella Coola, British Columbia
CYBE|Uranium City Airport|Uranium City, Saskatchewan
CYBF|Bonnyville Airport|Bonnyville, Alberta
CYBG|CFB Bagotville (Bagotville Airport)|Bagotville, Quebec
CYBK|Baker Lake Airport|Baker Lake, Nunavut
CYBL|Campbell River Airport|Campbell River, British Columbia
CYBN|Borden Heliport|Borden, Ontario
CYBP|Brooks Airport|Brooks, Alberta
CYBQ|Tadoule Lake Airport|Tadoule Lake, Manitoba
CYBR|Brandon Airport (Brandon Municipal Airport, McGill Field)|Brandon, Manitoba
CYBT|Brochet Airport|Brochet, Manitoba
CYBU|Nipawin Airport|Nipawin, Saskatchewan
CYBV|Berens River Airport|Berens River, Manitoba
CYBW|Calgary/Springbank Airport (Springbank Airport)|Calgary, Alberta
CYBX|Lourdes-de-Blanc-Sablon Airport|Blanc-Sablon, Quebec
CYCA|Cartwright Airport|Cartwright, Newfoundland and Labrador
CYCB|Cambridge Bay Airport|Cambridge Bay, Nunavut
CYCC|Cornwall Regional Airport|Cornwall, Ontario
CYCD|Nanaimo Airport|Nanaimo, British Columbia
CYCE|Centralia/James T. Field Memorial Aerodrome|Centralia, Ontario
CYCG|Castlegar Airport|Castlegar, British Columbia
CYCH|Miramichi Airport|Miramichi, New Brunswick
CYCL|Charlo Airport|Charlo, New Brunswick
CYCN|Cochrane Airport|Cochrane, Ontario
CYCO|Kugluktuk Airport|Kugluktuk, Nunavut
CYCP|Blue River Airport|Blue River, British Columbia
CYCQ|Chetwynd Airport|Chetwynd, British Columbia
CYCR|Cross Lake (Charlie Sinclair Memorial) Airport|Cross Lake, Manitoba
CYCS|Chesterfield Inlet Airport|Chesterfield Inlet, Nunavut
CYCT|Coronation Airport|Coronation, Alberta
CYCW|Chilliwack Airport|Chilliwack, British Columbia
CYCX|Gagetown Heliport|Oromocto, New Brunswick (CFB Gagetown)
CYCY|Clyde River Airport|Clyde River, Nunavut
CYCZ|Fairmont Hot Springs Airport|Fairmont Hot Springs, British Columbia
CYDA|Dawson City Airport|Dawson City, Yukon
CYDB|Burwash Airport|Burwash Landing, Yukon
CYDC|Princeton Airport (British Columbia)|Princeton, British Columbia
CYDF|Deer Lake Airport (Newfoundland) (Deer Lake Regional Airport)|Deer Lake, Newfoundland and Labrador
CYDH|Ottawa/Dwyer Hill Heliport|Ottawa, Ontario
CYDL|Dease Lake Airport|Dease Lake, British Columbia
CYDM|Ross River Airport|Ross River, Yukon
CYDN|Dauphin (Lt. Col W.G. (Billy) Barker VC Airport)|Dauphin, Manitoba
CYDO|Dolbeau-Saint-Félicien Airport|Dolbeau-Mistassini, Quebec
CYDP|Nain Airport|Nain, Newfoundland and Labrador
CYDQ|Dawson Creek Airport|Dawson Creek, British Columbia
CYEA|Empress Airport|Empress, Alberta
CYED|Edmonton/Namao Heliport|Edmonton, Alberta
CYEE|Midland/Huronia Airport|Midland, Ontario
CYEG|Edmonton International Airport|Edmonton Capital Region, Alberta
CYEK|Arviat Airport|Arviat, Nunavut
CYEL|Elliot Lake Municipal Airport|Elliot Lake, Ontario
CYEM|Manitowaning/Manitoulin East Municipal Airport|Manitowaning, Ontario
CYEN|Estevan Airport|Estevan, Saskatchewan
CYER|Fort Severn Airport|Fort Severn, Ontario
CYES|Edmundston Airport|Edmundston, New Brunswick
CYET|Edson Airport|Edson, Alberta
CYEU|Eureka Airport (Canada)|Eureka, Nunavut
CYEV|Inuvik (Mike Zubko) Airport|Inuvik, Northwest Territories
CYEY|Amos/Magny Airport|Amos, Quebec
CYFA|Fort Albany Airport|Fort Albany, Ontario
CYFB|Iqaluit Airport|Iqaluit, Nunavut
CYFC|Greater Fredericton Airport (Fredericton International Airport)|Fredericton, New Brunswick
CYFD|Brantford Airport|Brantford, Ontario
CYFE|Forestville Airport|Forestville, Quebec
CYFH|Fort Hope Airport|Fort Hope, Ontario
CYFJ|Rivière Rouge/Mont-Tremblant International Inc Airport|Mont-Tremblant, Quebec
CYFO|Flin Flon Airport|Flin Flon, Manitoba
CYFR|Fort Resolution Airport|Fort Resolution, Northwest Territories
CYFS|Fort Simpson Airport|Fort Simpson, Northwest Territories
CYFT|Makkovik Airport|Makkovik, Newfoundland and Labrador
CYGB|Texada/Gillies Bay Airport|Texada Island, British Columbia
CYGD|Goderich Airport (Goderich Municipal Airport)|Goderich, Ontario
CYGE|Golden Airport|Golden, British Columbia
CYGH|Fort Good Hope Airport|Fort Good Hope, Northwest Territories
CYGK|Kingston/Norman Rogers Airport (Kingston Airport)|Kingston, Ontario
CYGL|La Grande Rivière Airport|Radisson, Quebec
CYGM|Gimli Industrial Park Airport|Gimli, Manitoba
CYGO|Gods Lake Narrows Airport|Gods Lake Narrows, Manitoba
CYGP|Gaspé Airport|Gaspé, Quebec
CYGQ|Geraldton (Greenstone Regional) Airport|Geraldton, Ontario
CYGR|Îles-de-la-Madeleine Airport|Magdalen Islands, Quebec
CYGT|Igloolik Airport|Igloolik, Nunavut
CYGV|Havre Saint-Pierre Airport|Havre-Saint-Pierre, Quebec
CYGW|Kuujjuarapik Airport|Kuujjuarapik, Quebec
CYGX|Gillam Airport|Gillam, Manitoba
CYGZ|Grise Fiord Airport|Grise Fiord, Nunavut
CYHA|Quaqtaq Airport|Quaqtaq, Quebec
CYHB|Hudson Bay Airport|Hudson Bay, Saskatchewan
CYHC|Vancouver Harbour Water Airport (Vancouver Coal Harbour Seaplane Base)|Vancouver, British Columbia
CYHD|Dryden Regional Airport|Dryden, Ontario
CYHE|Hope Airport (British Columbia)|Hope, British Columbia
CYHF|Hearst (René Fontaine) Municipal Airport|Hearst, Ontario
CYHH|Nemiscau Airport|Nemaska, Quebec
CYHI|Ulukhaktok/Holman Airport|Ulukhaktok, Northwest Territories
CYHK|Gjoa Haven Airport|Gjoa Haven, Nunavut
CYHM|Hamilton/John C. Munro International Airport (Hamilton International, John C. Munro Hamilton International Airport)|Hamilton, Ontario
CYHN|Hornepayne Municipal Airport|Hornepayne, Ontario
CYHO|Hopedale Airport|Hopedale, Newfoundland and Labrador
CYHR|Chevery Airport|Chevry, Quebec
CYHT|Haines Junction Airport|Haines Junction, Yukon
CYHU|Montréal/Saint-Hubert Airport|Longueuil, Quebec
CYHY|Hay River Airport|Hay River, Northwest Territories
CYHZ|Halifax International Airport|Halifax Regional Municipality, Nova Scotia
CYIB|Atikokan Municipal Airport|Atikokan, Ontario
CYID|Digby Airport|Digby, Nova Scotia
CYIF|Saint-Augustin Airport|Saint-Augustin, Quebec
CYIK|Ivujivik Airport|Ivujivik, Quebec
CYIO|Pond Inlet Airport|Pond Inlet, Nunavut
CYIV|Island Lake Airport|Island Lake, Manitoba
CYJA|Jasper Airport|Jasper, Alberta
CYJF|Fort Liard Airport|Fort Liard, Northwest Territories
CYJM|Fort St. James (Perison) Airport|Fort St. James, British Columbia
CYJN|Saint-Jean Airport (Saint-Jean-sur-Richelieu Airport)|Saint-Jean-sur-Richelieu, Quebec
CYJP|Fort Providence Airport|Fort Providence, Northwest Territories
CYJQ|Bella Bella (Denny Island) Airport|Bella Bella, British Columbia
CYJT|Stephenville International Airport (Stephenville Airport)|Stephenville, Newfoundland and Labrador
CYKA|Kamloops Airport|Kamloops, British Columbia
CYKC|Collins Bay Airport|Collins Bay, Saskatchewan
CYKD|Aklavik/Freddie Carmichael Airport|Aklavik, Northwest Territories
CYKF|Region of Waterloo International Airport (Kitchener/Waterloo Regional Airport)|Regional Municipality of Waterloo, Ontario
CYKG|Kangiqsujuaq (Wakeham Bay) Airport|Kangiqsujuaq, Quebec
CYKJ|Key Lake Airport|Key Lake, Saskatchewan
CYKL|Schefferville Airport|Schefferville, Quebec
CYKO|Akulivik Airport|Akulivik, Quebec
CYKQ|Waskaganish Airport|Waskaganish, Quebec
CYKX|Kirkland Lake Airport|Kirkland Lake, Ontario
CYKY|Kindersley Airport|Kindersley, Saskatchewan
CYKZ|Toronto/Buttonville Municipal Airport (Buttonville Municipal Airport)|Buttonville, Ontario
CYLA|Aupaluk Airport|Aupaluk, Quebec
CYLB|Lac La Biche Airport|Lac La Biche, Alberta
CYLC|Kimmirut Airport|Kimmirut, Nunavut
CYLD|Chapleau Airport|Chapleau, Ontario
CYLH|Lansdowne House Airport|Lansdowne House, Ontario
CYLJ|Meadow Lake Airport (Saskatchewan)|Meadow Lake, Saskatchewan
CYLK|Lutselk'e Airport|Lutselk'e, Northwest Territories
CYLL|Lloydminster Airport|Lloydminster, Alberta/Saskatchewan
CYLQ|La Tuque Airport|La Tuque, Quebec
CYLR|Leaf Rapids Airport|Leaf Rapids, Manitoba
CYLT|Alert Airport|Alert, Nunavut
CYLU|Kangiqsualujjuaq (Georges River) Airport|Kangiqsualujjuaq, Quebec
CYLW|Kelowna International Airport|Kelowna, British Columbia
CYMA|Mayo Airport|Mayo, Yukon
CYME|Matane Airport|Matane, Quebec
CYMG|Manitouwadge Airport|Manitouwadge, Ontario
CYMH|Mary's Harbour Airport|Mary's Harbour, Newfoundland and Labrador
CYMJ|CFB Moose Jaw (Moose Jaw/Air Vice Marshal C.M. McEwen Airport)|Moose Jaw, Saskatchewan
CYML|Charlevoix Airport|Charlevoix, Quebec
CYMM|Fort McMurray Airport|Fort McMurray, Alberta
CYMO|Moosonee Airport|Moosonee, Ontario
CYMT|Chibougamau/Chapais Airport|Chibougamau, Quebec
CYMU|Umiujaq Airport|Umiujaq, Quebec
CYMW|Maniwaki Airport|Maniwaki, Quebec
CYMX|Montréal-Mirabel International Airport (Montréal International (Mirabel) Airport)|Montreal, Quebec
CYNA|Natashquan Airport|Natashquan, Quebec
CYNC|Wemindji Airport|Wemindji, Quebec
CYND|Gatineau-Ottawa Executive Airport (Ottawa/Gatineau Airport)|atineau, Quebec
CYNE|Norway House Airport|Norway House, Manitoba
CYNH|Hudson's Hope Airport|Hudson's Hope, British Columbia
CYNJ|Langley Regional Airport (Langley Airport)|Langley, British Columbia
CYNL|Points North Landing Airport|Points North Landing, Saskatchewan
CYNM|Matagami Airport|Matagami, Quebec
CYNN|Nejanilini Lake Airport|Nejanilini Lake, Manitoba
CYNR|Fort MacKay/Horizon Airport|Fort MacKay, Alberta
CYOA|Ekati Airport|Ekati Diamond Mine, Northwest Territories
CYOC|Old Crow Airport|Old Crow, Yukon
CYOD|CFB Cold Lake (Cold Lake/Group Captain R.W. McNair Airport)|Cold Lake, Alberta
CYOH|Oxford House Airport|Oxford House, Manitoba
CYOJ|High Level Airport|High Level, Alberta
CYOO|Oshawa Airport|Oshawa, Ontario
CYOP|Rainbow Lake Airport|Rainbow Lake, Alberta
CYOS|Owen Sound/Billy Bishop Regional Airport (Billy Bishop Regional Airport)|Owen Sound, Ontario
CYOW|Ottawa Macdonald-Cartier International Airport (Macdonald-Cartier International Airport)|Ottawa, Ontario
CYOY|Valcartier (W/C J.H.L. (Joe) Lecomte) Heliport|Valcartier, Quebec
CYPA|Prince Albert (Glass Field) Airport|Prince Albert, Saskatchewan
CYPC|Paulatuk Airport|Paulatuk, Northwest Territories
CYPD|Port Hawkesbury Airport|Port Hawkesbury, Nova Scotia
CYPE|Peace River Airport|Peace River, Alberta
CYPG|Portage La Prairie/Southport Airport|Portage la Prairie, Manitoba
CYPH|Inukjuak Airport|Inukjuak, Quebec
CYPK|Pitt Meadows Airport (Pitt Meadows Regional Airport)|Pitt Meadows, British Columbia
CYPL|Pickle Lake Airport|Pickle Lake, Ontario
CYPM|Pikangikum Airport|Pikangikum, Ontario
CYPN|Port-Menier Airport|Port-Menier, Quebec
CYPO|Peawanuck Airport|Peawanuck, Ontario
CYPP|Parent Airport|Parent, Quebec
CYPQ|Peterborough Airport|Peterborough, Ontario
CYPR|Prince Rupert Airport|Prince Rupert, British Columbia
CYPS|Pemberton Airport|Pemberton, British Columbia
CYPT|Pelee Island Airport|Pelee, Ontario
CYPU|Puntzi Mountain Airport|Puntzi Mountain, British Columbia
CYPW|Powell River Airport|Powell River, British Columbia
CYPX|Puvirnituq Airport|Puvirnituq, Quebec
CYPY|Fort Chipewyan Airport|Fort Chipewyan, Alberta
CYPZ|Burns Lake Airport|Burns Lake, British Columbia
CYQA|Muskoka Airport|Muskoka, Ontario
CYQB|Québec/Jean Lesage International Airport (Jean Lesage International Airport)|Quebec City, Quebec
CYQD|The Pas Airport|The Pas, Manitoba
CYQF|Red Deer Regional Airport|Red Deer, Alberta
CYQG|Windsor Airport|Windsor, Ontario
CYQH|Watson Lake Airport|Watson Lake, Yukon
CYQI|Yarmouth Airport|Yarmouth, Nova Scotia
CYQK|Kenora Airport|Kenora, Ontario
CYQL|Lethbridge County Airport (Lethbridge Airport)|Lethbridge, Alberta
CYQM|Greater Moncton International Airport (Moncton/Greater Moncton International Airport)|Moncton, New Brunswick
CYQN|Nakina Airport|Nakina, Ontario
CYQQ|CFB Comox (Comox Airport)|Comox, British Columbia
CYQR|Regina International Airport|Regina, Saskatchewan
CYQS|St. Thomas Airport (St. Thomas Municipal Airport)|St. Thomas, Ontario
CYQT|Thunder Bay International Airport (Thunder Bay Airport)|Thunder Bay, Ontario
CYQU|Grande Prairie Airport|Grande Prairie, Alberta
CYQV|Yorkton Municipal Airport|Yorkton, Saskatchewan
CYQW|North Battleford (Cameron McIntosh) Airport|North Battleford, Saskatchewan
CYQX|Gander International Airport|Gander, Newfoundland and Labrador
CYQY|J.A. Douglas McCurdy Sydney Airport|Sydney, Nova Scotia
CYQZ|Quesnel Airport|Quesnel, British Columbia
CYRA|Gamètì/Rae Lakes Airport|Gameti, Northwest Territories
CYRB|Resolute Bay Airport|Resolute, Nunavut
CYRC|Chicoutimi/Saint-Honore Aerodrome|Chicoutimi, Quebec
CYRI|Rivière-du-Loup Airport|Rivière-du-Loup, Quebec
CYRJ|Roberval Airport|Roberval, Quebec
CYRL|Red Lake Airport|Red Lake, Ontario
CYRM|Rocky Mountain House Airport|Rocky Mountain House, Alberta
CYRO|Ottawa/Rockcliffe Airport (Rockcliffe Airport)|Ottawa, Ontario
CYRP|Ottawa/Carp Airport (Carp Airport)|Carp, Ontario
CYRQ|Trois-Rivières Airport|Trois-Rivières, Quebec
CYRS|Red Sucker Lake Airport|Red Sucker Lake, Manitoba
CYRT|Rankin Inlet Airport|Rankin Inlet, Nunavut
CYRV|Revelstoke Airport|Revelstoke, British Columbia
CYSB|Sudbury Airport (Greater Sudbury Airport)|Greater Sudbury, Ontario
CYSC|Sherbrooke Airport|Sherbrooke, Quebec
CYSD|Suffield Heliport|Suffield, Alberta
CYSE|Squamish Airport|Squamish, British Columbia
CYSF|Stony Rapids Airport|Stony Rapids, Saskatchewan
CYSG|Saint-Georges Aerodrome|Saint-Georges, Quebec
CYSH|Smiths Falls-Montague Airport (Smiths Falls-Montague (Russ Beach) Airport)|Smiths Falls, Ontario
CYSJ|Saint John Airport|Saint John, New Brunswick
CYSK|Sanikiluaq Airport|Sanikiluaq, Nunavut
CYSL|Saint-Léonard Aerodrome|St. Leonard, New Brunswick
CYSM|Fort Smith Airport|Fort Smith, Northwest Territories
CYSN|St. Catharines/Niagara District Airport|St. Catharines, Ontario
CYSP|Marathon Airport (Canada)|Marathon, Ontario
CYSQ|Atlin Airport|Atlin, British Columbia
CYSR|Nanisivik Airport|Nanisivik, Nunavut
CYST|St. Theresa Point Airport|St. Theresa Point, Manitoba
CYSU|Summerside Airport|Summerside, Prince Edward Island
CYSW|Sparwood/Elk Valley Airport|Sparwood, British Columbia
CYSY|Sachs Harbour Airport|Sachs Harbour, Northwest Territories
CYSZ|Sainte-Anne-des-Monts Aerodrome|Sainte-Anne-des-Monts, Quebec
CYTA|Pembroke Airport|Pembroke, Ontario
CYTE|Cape Dorset Airport|Cape Dorset, Nunavut
CYTF|Alma Airport|Alma, Quebec
CYTH|Thompson Airport|Thompson, Manitoba
CYTL|Big Trout Lake Airport|Big Trout Lake, Ontario
CYTN|Trenton Airport (Nova Scotia)|Trenton, Nova Scotia
CYTQ|Tasiujaq Airport|Tasiujaq, Quebec
CYTR|CFB Trenton (Trenton Airport)|Trenton, Ontario
CYTS|Timmins Airport|Timmins, Ontario
CYTZ|Billy Bishop Toronto City Airport|Toronto, Ontario
CYUB|Tuktoyaktuk/James Gruben Airport|Tuktoyaktuk, Northwest Territories
CYUL|Montréal-Pierre Elliott Trudeau International Airport|Montreal, Quebec
CYUT|Repulse Bay Airport|Repulse Bay, Nunavut
CYUX|Hall Beach Airport|Hall Beach, Nunavut
CYUY|Rouyn-Noranda Airport|Rouyn-Noranda, Quebec
CYVB|Bonaventure Airport|Bonaventure, Quebec
CYVC|La Ronge (Barber Field) Airport|La Ronge, Saskatchewan
CYVD|Virden/R.J. (Bob) Andrew Field Regional Aerodrome|Virden, Manitoba
CYVG|Vermilion Airport|Vermilion, Alberta
CYVK|Vernon Regional Airport|Vernon, British Columbia
CYVM|Qikiqtarjuaq Airport|Qikiqtarjuaq, Nunavut
CYVO|Val-d'Or Airport|Val-d'Or, Quebec
CYVP|Kuujjuaq Airport|Kuujjuaq, Quebec
CYVQ|Norman Wells Airport|Norman Wells, Northwest Territories
CYVR|Vancouver International Airport|Vancouver, British Columbia
CYVT|Buffalo Narrows Airport|Buffalo Narrows, Saskatchewan
CYVV|Wiarton Airport|Wiarton, Ontario
CYVZ|Deer Lake Airport (Ontario)|Deer Lake, Ontario
CYWA|Petawawa Airport|Petawawa, Ontario
CYWG|Winnipeg James Armstrong Richardson International Airport (Winnipeg International Airport)|Winnipeg, Manitoba
CYWH|Victoria Inner Harbour Airport (Victoria Harbour Water Airport)|Victoria, British Columbia
CYWJ|Déline Airport|Deline, Northwest Territories
CYWK|Wabush Airport|Wabush, Newfoundland and Labrador
CYWL|Williams Lake Airport (Williams Lake Regional Airport)|Williams Lake, British Columbia
CYWM|Athabasca Airport|Athabasca, Alberta
CYWP|Webequie Airport|Webequie, Ontario
CYWV|Wainwright Airport (Alberta)|Wainwright, Alberta
CYWY|Wrigley Airport|Wrigley, Northwest Territories
CYXC|Cranbrook/Canadian Rockies International Airport|Cranbrook, British Columbia
CYXD|Edmonton City Centre (Blatchford Field) Airport (Edmonton City Centre Airport)|Edmonton, Alberta
CYXE|Saskatoon/John G. Diefenbaker International Airport (Saskatoon International Airport)|Saskatoon, Saskatchewan
CYXH|Medicine Hat Airport|Medicine Hat, Alberta
CYXJ|Fort St. John Airport (North Peace Airport)|Fort St. John, British Columbia
CYXK|Rimouski Airport|Rimouski, Quebec
CYXL|Sioux Lookout Airport|Sioux Lookout, Ontario
CYXN|Whale Cove Airport|Whale Cove, Nunavut
CYXP|Pangnirtung Airport|Pangnirtung, Nunavut
CYXQ|Beaver Creek Airport|Beaver Creek, Yukon
CYXR|Earlton (Timiskaming Regional) Airport|Earlton, Ontario
CYXS|Prince George Airport|Prince George, British Columbia
