Symbol|Security Name|Market Category|Test Issue|Financial Status|Round Lot Size
AGYS|Agilysys, Inc. - Common Stock|Q|N|N|100
AHGP|Alliance Holdings GP, L.P. - Common Units Representing Limited Partner Interests|Q|N|N|100
AHPI|Allied Healthcare Products, Inc. - Common Stock|G|N|N|100
AIMC|Altra Holdings, Inc. - Common Stock|Q|N|N|100
AINV|Apollo Investment Corporation - Closed End Fund|Q|N|N|100
AIRM|Air Methods Corporation - Common Stock|Q|N|N|100
AIRT|Air T, Inc. - Common Stock|S|N|N|100
AIXG|Aixtron SE - American Depositary Shares, each representing one Ordinary Share|Q|N|N|100
AKAM|Akamai Technologies, Inc. - Common Stock|Q|N|N|100
AKRX|Akorn, Inc. - Common Stock|Q|N|N|100
ALCO|Alico, Inc. - Common Stock|Q|N|N|100
ALGN|Align Technology, Inc. - Common Stock|Q|N|N|100
ALGT|Allegiant Travel Company - Common Stock|Q|N|N|100
ALIM|Alimera Sciences, Inc. - Common Stock|G|N|N|100
ALKS|Alkermes plc - Common Stock|Q|N|N|100
ALLB|Alliance Bancorp, Inc. of Pennsylvania - Common Stock|G|N|N|100
ALLT|Allot Communications Ltd. - Ordinary Shares|Q|N|N|100
ALNC|Alliance Financial Corporation - Common Stock|Q|N|N|100
ALNY|Alnylam Pharmaceuticals, Inc. - Common Stock|Q|N|N|100
ALOG|Analogic Corporation - Common Stock|Q|N|N|100
ALOT|Astro-Med, Inc. - Common Stock|G|N|N|100
ALRN|American Learning Corporation - Common Stock|S|N|N|100
ALSK|Alaska Communications Systems Group, Inc. - Common Stock|Q|N|N|100
ALTE|Alterra Capital Holdings Limited - Common Stock|Q|N|N|100
ALTH|Allos Therapeutics, Inc. - Common Stock|Q|N|D|100
ALTI|Altair Nanotechnologies Inc. - Common Stock|S|N|D|100
ALTR|Altera Corporation - Common Stock|Q|N|N|100
ALVR|Alvarion Ltd. - Ordinary Shares|Q|N|N|100
ALXA|Alexza Pharmaceuticals, Inc. - Common Stock|G|N|D|100
ALXN|Alexion Pharmaceuticals, Inc. - Common Stock|Q|N|N|100
AMAG|AMAG Pharmaceuticals, Inc. - Common Stock|Q|N|N|100
AMAP|AutoNavi Holdings Limited - ADS representing 4 shares of Common Stock|Q|N|N|100
AMAT|Applied Materials, Inc. - Common Stock|Q|N|N|100
AMBT|Ambient Corporation - Common Stock|S|N|N|100
AMCC|Applied Micro Circuits Corporation - Common Stock|Q|N|N|100
AMCF|Andatee China Marine Fuel Services Corporation - Common Stock|G|N|N|100
AMCN|AirMedia Group Inc - American Depositary Shares, each representing two ordinary shares|Q|N|N|100
AMCX|AMC Networks Inc. - Class A Common Stock When Issued|Q|N|N|100
AMED|Amedisys Inc - Common Stock|Q|N|N|100
AMGN|Amgen Inc. - Common Stock|Q|N|N|100
AMIC|American Independence Corp. - Common Stock|G|N|N|100
AMKR|Amkor Technology, Inc. - Common Stock|Q|N|N|100
AMLN|Amylin Pharmaceuticals, Inc. - Common Stock|Q|N|N|100
AMNB|American National Bankshares, Inc. - Common Stock|Q|N|N|100
AMOT|Allied Motion Technologies, Inc. - Common Stock|G|N|N|100
AMOV|America Movil, S.A.B. de C.V. - American Depositary Shares, each representing 20 A Shares|Q|N|N|100
AMPE|Ampio Pharmaceuticals, Inc. - Common Stock|S|N|N|100
AMPL|Ampal-American Israel Corporation - Common Stock|S|N|D|100
AMRB|American River Bankshares - Common Stock|Q|N|N|100
AMRI|Albany Molecular Research, Inc. - Common Stock|Q|N|N|100
AMRN|Amarin Corporation plc - American Depositary Shares, each representing one Ordinary Share|G|N|N|100
AMRS|Amyris, Inc. - Common Stock|Q|N|N|100
AMSC|American Superconductor Corporation - Common Stock|Q|N|N|100
AMSF|AMERISAFE, Inc. - Common Stock|Q|N|N|100
AMSG|Amsurg Corp. - Common Stock|Q|N|N|100
AMSWA|American Software, Inc. - Class A Common Stock|Q|N|N|100
AMTC|Ameritrans Capital Corporation - Common Stock|S|N|D|100
AMTCP|Ameritrans Capital Corporation - 9.375% participating Preferred Stock|S|N|D|100
AMTD|TD Ameritrade Holding Corporation - Common Stock|Q|N|N|100
AMWD|American Woodmark Corporation - Common Stock|Q|N|N|100
AMZN|Amazon.com, Inc. - Common Stock|Q|N|N|100
ANAC|Anacor Pharmaceuticals, Inc. - Common Stock|G|N|N|100
ANAD|ANADIGICS, Inc. - Common Stock|Q|N|N|100
ANAT|American National Insurance Company - Common Stock|Q|N|N|100
ANCB|Anchor Bancorp - Common Stock|G|N|N|100
ANCI|American Caresource Holdings Inc - Common Stock|S|N|D|100
ANCX|Access National Corporation - Common Stock|G|N|N|100
ANDE|The Andersons, Inc. - Common Stock|Q|N|N|100
ANEN|Anaren, Inc. - Common Stock|Q|N|N|100
ANGI|Angie's List, Inc. - Common Stock|G|N|N|100
ANGN|Angeion Corporation - Common Stock|S|N|N|100
ANGO|AngioDynamics, Inc. - Common Stock|Q|N|N|100
ANIK|Anika Therapeutics Inc. - Common Stock|Q|N|N|100
ANLY|Analysts International Corporation - Common Stock|G|N|N|100
ANNB|Annapolis Bancorp Inc. - Common Stock|S|N|N|100
ANSS|ANSYS, Inc. - Common Stock|Q|N|N|100
ANTH|Anthera Pharmaceuticals, Inc. - Common Stock|G|N|N|100
ANTP|PHAZAR CORP - Common Stock|S|N|N|100
AONE|A123 Systems, Inc. - Common Stock|Q|N|N|100
AOSL|Alpha and Omega Semiconductor Limited - Common Shares|Q|N|N|100
APAGF|Apco Oil and Gas International Inc. - Ordinary Shares|S|N|N|100
APEI|American Public Education, Inc. - Common Stock|Q|N|N|100
APFC|American Pacific Corporation - Common Stock|G|N|N|100
APKT|Acme Packet, Inc. - Common Stock|Q|N|N|100
APOG|Apogee Enterprises, Inc. - Common Stock|Q|N|N|100
APOL|Apollo Group, Inc. - Class A Common Stock|Q|N|N|100
APPY|AspenBio Pharma, Inc. - Common Stock|S|N|N|100
APRI|Apricus Biosciences, Inc - Common Stock|S|N|N|100
APSA|Alto Palermo S.A. - American Depository Shares, each representing forty shares of Common Stock|Q|N|N|100
APWC|Asia Pacific Wire & Cable Corporation Limited - Ordinary Shares (Bermuda)|S|N|N|100
ARAY|Accuray Incorporated - Common Stock|Q|N|N|100
ARBA|Ariba, Inc. - Common Stock|Q|N|N|100
ARCC|Ares Capital Corporation - Closed End Fund|Q|N|N|100
ARCI|Appliance Recycling Centers of America, Inc. - Common Stock|S|N|N|100
ARCL|Archipelago Learning, Inc. - Common Stock|Q|N|N|100
ARCP|American Realty Capital Properties, Inc. - Common Stock|S|N|N|100
ARCW|Arc Wireless Solutions, Inc. - Common Stock|S|N|N|100
ARDNA|Arden Group, Inc. - Class A Common Stock|G|N|N|100
AREX|Approach Resources Inc. - Common Stock|Q|N|N|100
ARGN|Amerigon Incorporated - Common Stock|Q|N|N|100
ARIA|ARIAD Pharmaceuticals, Inc. - Common Stock|Q|N|N|100
ARII|American Railcar Industries, Inc. - Common Stock|Q|N|N|100
ARKR|Ark Restaurants Corp. - Common Stock|G|N|N|100
ARLP|Alliance Resource Partners, L.P. - Common Units Representing Limited Partnership Interests|Q|N|N|100
ARMH|ARM Holdings, plc - American Depositary Shares each representing 3 Ordinary Shares|Q|N|N|100
ARNA|Arena Pharmaceuticals, Inc. - Common Stock|Q|N|N|100
AROW|Arrow Financial Corporation - Common Stock|Q|N|N|100
ARQL|ArQule, Inc. - Common Stock|G|N|N|100
ARRS|Arris Group Inc - Common Stock|Q|N|N|100
ARRY|Array BioPharma Inc. - Common Stock|G|N|N|100
ARSD|Arabian American Development Company - Common Stock|Q|N|N|100
ARTC|ArthroCare Corporation - Common Stock|Q|N|N|100
ARTNA|Artesian Resources Corporation - Class A Non-Voting Common Stock|Q|N|N|100
ARTW|Art's-Way Manufacturing Co., Inc. - Common Stock|S|N|N|100
ARTX|Arotech Corporation - Common Stock|G|N|N|100
ARUN|Aruba Networks, Inc. - Common Stock|Q|N|N|100
ARWR|Arrowhead Research Corporation - Common Stock|S|N|N|100
ASBB|ASB Bancorp, Inc. - Common Stock|G|N|N|100
ASBC|Associated Banc-Corp - Common Stock|Q|N|N|100
ASBCW|Associated Banc-Corp - Warrants|Q|N|N|100
ASBI|Ameriana Bancorp - Common Stock|S|N|N|100
ASCA|Ameristar Casinos, Inc. - Common Stock|Q|N|N|100
ASCMA|Ascent Capital Group, Inc. - Series A Common Stock|Q|N|N|100
ASEI|American Science and Engineering, Inc. - Common Stock|Q|N|N|100
ASFI|Asta Funding, Inc. - Common Stock|Q|N|N|100
ASGN|On Assignment, Inc. - Common Stock|Q|N|N|100
ASIA|AsiaInfo-Linkage, Inc. - Common Stock|Q|N|N|100
ASMI|ASM International N.V. - Common Shares|Q|N|N|100
ASML|ASML Holding N.V. - ADS represents 1 ordinary share|Q|N|N|100
ASNA|Ascena Retail Group, Inc. - Common Stock|Q|N|N|100
ASPS|Altisource Portfolio Solutions S.A. - Common Stock|Q|N|N|100
ASRV|AmeriServ Financial Inc. - Common Stock|G|N|N|100
ASRVP|AmeriServ Financial Inc. - AmeriServ Financial Trust I - 8.45% Beneficial Unsecured Securities, Series A|G|N|N|100
ASTC|Astrotech Corporation - Common Stock|S|N|D|100
ASTE|Astec Industries, Inc. - Common Stock|Q|N|N|100
ASTI|Ascent Solar Technologies, Inc. - Common Stock|G|N|D|100
ASTM|Aastrom Biosciences, Inc. - Common Stock|S|N|N|100
ASTX|Astex Pharmaceuticals, Inc. - Common Stock|Q|N|N|100
ASUR|Asure Software Inc - Common Stock|S|N|N|100
ASYS|Amtech Systems, Inc. - Common Stock|Q|N|N|100
ATAI|ATA Inc. - American Depositary Shares, each representing two common shares|G|N|N|100
ATAX|America First Tax Exempt Investors, L.P. - Beneficial Unit Certificates (BUCs) representing Limited Partnership Interests|Q|N|N|100
ATEA|Astea International, Inc. - Common Stock|S|N|N|100
ATEC|Alphatec Holdings, Inc. - Common Stock|Q|N|N|100
ATHN|athenahealth, Inc. - Common Stock|Q|N|N|100
ATHX|Athersys, Inc. - Common Stock|S|N|N|100
ATLO|Ames National Corporation - Common Stock|S|N|N|100
ATMI|ATMI Inc. - Common Stock|Q|N|N|100
ATML|Atmel Corporation - Common Stock|Q|N|N|100
ATNI|Atlantic Tele-Network, Inc. - Common Stock|Q|N|D|100
ATNY|API Technologies Corp. - Common Stock|S|N|N|100
ATPG|ATP Oil & Gas Corporation - Common Stock|Q|N|N|100
ATRC|AtriCure, Inc. - Common Stock|G|N|N|100
ATRI|ATRION Corporation - Common Stock|Q|N|N|100
ATRM|Aetrium Incorporated - Common Stock|G|N|D|100
ATRO|Astronics Corporation - Common Stock|Q|N|N|100
ATSG|Air Transport Services Group, Inc - Common Stock|Q|N|N|100
ATVI|Activision Blizzard, Inc - Common Stock|Q|N|N|100
ATX|Cross (A.T.) Company - Class A Common Stock|G|N|N|100
AUBN|Auburn National Bancorporation, Inc. - Common Stock|G|N|N|100
AUDC|AudioCodes Ltd. - Ordinary Shares|Q|N|N|100
AUTH|AuthenTec, Inc. - Common Stock|G|N|N|100
AUXL|Auxilium Pharmaceuticals, Inc. - Common Stock|Q|N|N|100
AVAV|AeroVironment, Inc. - Common Stock|Q|N|N|100
AVCA|Advocat, Inc. - Common Stock|S|N|N|100
AVEO|AVEO Pharmaceuticals, Inc. - Common Stock|Q|N|N|100
AVGO|Avago Technologies Limited - Ordinary Shares|Q|N|N|100
AVHI|A V Homes, Inc. - Common Stock|Q|N|N|100
AVID|Avid Technology, Inc. - Common Stock|Q|N|N|100
AVII|AVI BioPharma, Inc. - Common Stock|G|N|D|100
AVNR|Avanir Pharmaceuticals, Inc. - Class A Common Stock|Q|N|N|100
AVNW|Aviat Networks, Inc. - Common Stock|Q|N|N|100
AWAY|HomeAway, Inc. - Common Stock|Q|N|N|100
AWRE|Aware, Inc. - Common Stock|G|N|N|100
AXAS|Abraxas Petroleum Corporation - Common Stock|S|N|N|100
AXFN|iShares MSCI ACWI ex US Financials Sector Index Fund|G|N|N|100
AXJS|iShares MSCI All Country Asia ex Japan Small Cap Index Fund|G|N|N|100
AXTI|AXT Inc - Common Stock|Q|N|N|100
AZPN|Aspen Technology, Inc. - Common Stock|Q|N|N|100
BABY|Natus Medical Incorporated - Common Stock|Q|N|N|100
BAGL|Einstein Noah Restaurant Group, Inc. - Common Stock|G|N|N|100
BAMM|Books-A-Million, Inc. - Common Stock|Q|N|N|100
BANC|First PacTrust Bancorp, Inc. - Common Stock|G|N|N|100
BANF|BancFirst Corporation - Common Stock|Q|N|N|100
BANFP|BancFirst Corporation - 7.2% Cumulative Trust Preferred Securities|Q|N|N|100
BANR|Banner Corporation - Common Stock|Q|N|N|100
BASI|Bioanalytical Systems, Inc. - Common Stock|S|N|N|100
BBBY|Bed Bath & Beyond Inc. - Common Stock|Q|N|N|100
BBCN|BBCN Bancorp, Inc. - Common Stock|Q|N|N|100
BBEP|BreitBurn Energy Partners, L.P. - Common Units Representing Limited Partnership|Q|N|N|100
BBGI|Beasley Broadcast Group, Inc. - Class A Common Stock|G|N|N|100
BBNK|Bridge Capital Holdings - Common Stock|Q|N|N|100
BBOX|Black Box Corporation - Common Stock|Q|N|N|100
BBRG|Bravo Brio Restaurant Group, Inc. - Common Stock|Q|N|N|100
BBSI|Barrett Business Services, Inc. - Common Stock|Q|N|N|100
BBXT|BankAtlantic Bancorp, Inc. - BankAtlantic Bancorp, Inc - BBC Capital Trust II 8.50% Trust Preferred Securities|G|N|N|100
BCAR|Bank of the Carolinas Corporation - Common Stock|G|N|D|100
BCBP|BCB Bancorp, Inc. (NJ) - Common Stock|G|N|N|100
BCDS|BCD Semiconductor Manufacturing Limited - American Depositary Shares|Q|N|N|100
BCOM|B Communications Ltd. - Ordinary Shares|Q|N|N|100
BCPC|Balchem Corporation - Common Stock|Q|N|N|100
BCRX|BioCryst Pharmaceuticals, Inc. - Common Stock|Q|N|N|100
BCSB|BCSB Bancorp, Inc. - Common Stock|G|N|N|100
BDCO|Blue Dolphin Energy Company - Common Stock|S|N|D|100
BDE|Black Diamond, Inc. - Common Stock|Q|N|N|100
BDGE|Bridge Bancorp, Inc. - Common Stock|Q|N|N|100
BDMS|Birner Dental Management Services, Inc. - Common Stock|S|N|N|100
BDSI|BioDelivery Sciences International, Inc. - Common Stock|S|N|N|100
BEAT|CardioNet, Inc. - Common Stock|G|N|N|100
BEAV|BE Aerospace, Inc. - Common Stock|Q|N|N|100
BEBE|bebe stores, inc. - Common Stock|Q|N|N|100
BECN|Beacon Roofing Supply, Inc. - Common Stock|Q|N|N|100
BELFA|Bel Fuse Inc. - Class A Common Stock|Q|N|N|100
BELFB|Bel Fuse Inc. - Class B Common Stock|Q|N|N|100
BERK|Berkshire Bancorp, Inc. - Common Stock|G|N|N|100
BEST|Shiner International, Inc. - Common Stock|S|N|D|100
BFED|Beacon Federal Bancorp, Inc. - Common Stock|G|N|N|100
BFIN|BankFinancial Corporation - Common Stock|Q|N|N|100
BFLY|Bluefly, Inc. - Common Stock|S|N|N|100
BGCP|BGC Partners, Inc. - Class A Common Stock|Q|N|N|100
BGFV|Big 5 Sporting Goods Corporation - Common Stock|Q|N|N|100
BGMD|BG Medicine, Inc. - Common Stock|G|N|N|100
BHLB|Berkshire Hills Bancorp, Inc. - Common Stock|Q|N|N|100
BIB|ProShares Ultra Nasdaq Biotechnology|G|N|N|100
BICK|First Trust BICK Index Fund|G|N|N|100
BIDU|Baidu, Inc. - American Depositary Shares, each representing one tenth Class A ordinary share|Q|N|N|100
BIDZ|Bidz.com, Inc. - Common Stock|S|N|D|100
BIIB|Biogen Idec Inc - Common Stock|Q|N|N|100
BIOC|BioClinica, Inc - Common Stock|G|N|N|100
BIOD|Biodel Inc. - Common Stock|G|N|D|100
BIOF|BioFuel Energy Corp. - Common Stock|S|N|D|100
BIOS|BioScrip, Inc. - Common Stock|Q|N|N|100
BIRT|Actuate Corporation - Common Stock|Q|N|N|100
BIS|ProShares UltraShort Nasdaq Biotechnology|G|N|N|100
BITS|Bitstream Inc. - Common Stock|S|N|N|100
BJRI|BJ's Restaurants, Inc. - Common Stock|Q|N|N|100
BKBK|Britton & Koontz Capital Corporation - Common Stock|S|N|N|100
BKCC|BlackRock Kelso Capital Corporation - Common Stock|Q|N|N|100
BKEP|Blueknight Energy Partners L.P., L.L.C. - Common Units representing Limited Partner Interests|G|N|N|100
BKEPP|Blueknight Energy Partners L.P., L.L.C. - Series A Preferred Units|G|N|N|100
BKMU|Bank Mutual Corporation - Common Stock|Q|N|N|100
BKOR|Oak Ridge Financial Services, Inc. - Common Stock|S|N|N|100
BKSC|Bank of South Carolina Corp. - Common Stock|S|N|N|100
BKYF|The Bank of Kentucky Financial Corp. - Common Stock|Q|N|N|100
BLDP|Ballard Power Systems, Inc. - Common Shares|G|N|N|100
BLDR|Builders FirstSource, Inc. - Common Stock|Q|N|N|100
BLIN|Bridgeline Digital, Inc. - Common Stock|S|N|D|100
BLKB|Blackbaud, Inc. - Common Stock|Q|N|N|100
BLMT|BSB Bancorp, Inc. - Common Stock|S|N|N|100
BLRX|BioLineRx Ltd. - American Depositary Shares|S|N|N|100
BLTI|BioLase Technology, Inc. - Common Stock|S|N|N|100
BMC|BMC Software, Inc. - Common Stock|Q|N|N|100
BMRC|Bank of Marin Bancorp - Common Stock|S|N|N|100
BMRN|BioMarin Pharmaceutical Inc. - Common Stock|Q|N|N|100
BMTC|Bryn Mawr Bank Corporation - Common Stock|Q|N|N|100
BMTI|BioMimetic Therapeutics, Inc. - Common Stock|Q|N|N|100
BNCL|Beneficial Mutual Bancorp, Inc. - Common Stock|Q|N|N|100
BNCN|BNC Bancorp - Common Stock|S|N|N|100
BNHN|Benihana Inc. - Common Stock|Q|N|N|100
BNSO|Bonso Electronics International, Inc. - Common Stock|S|N|N|100
BOBE|Bob Evans Farms, Inc. - Common Stock|Q|N|N|100
BOCH|Bank of Commerce Holdings (CA) - Common Stock|G|N|N|100
BODY|Body Central Corp. - Common Stock|Q|N|N|100
BOFI|BofI Holding, Inc. - Common Stock|Q|N|N|100
BOKF|BOK Financial Corporation - Common Stock|Q|N|N|100
BOLT|Bolt Technology Corporation - Common Stock|Q|N|N|100
BONA|Bona Film Group Limited - American Depositary Shares|G|N|N|100
BONT|The Bon-Ton Stores, Inc. - Common Stock|Q|N|N|100
BOOM|Dynamic Materials Corporation - Common Stock|Q|N|N|100
BOOT|LaCrosse Footwear, Inc. - Common Stock|G|N|N|100
BOSC|B.O.S. Better Online Solutions - Ordinary Shares|S|N|D|100
BOTJ|Bank of the James Financial Group, Inc. - Common Stock|S|N|N|100
BOVA|Bank Of Virginia - Common Stock|S|N|D|100
BPAX|BioSante Pharmaceuticals, Inc. - Common Stock|G|N|D|100
BPFH|Boston Private Financial Holdings, Inc. - Common Stock|Q|N|N|100
BPFHW|Boston Private Financial Holdings, Inc. - Warrants to purchase 1 share of common stock @ $8.00/share|Q|N|N|100
BPHX|BluePhoenix Solutions, Ltd. - Ordinary Shares|G|N|N|100
BPOP|Popular, Inc. - Common Stock|Q|N|N|100
BPOPM|Popular, Inc. - Popular Capital Trust II - 6.125% Cumulative Monthly Income Trust Preferred Securities|Q|N|N|100
BPOPN|Popular, Inc. - Popular Capital Trust I -6.70% Cumulative Monthly Income Trust Preferred Securities|Q|N|N|100
BRCD|Brocade Communications Systems, Inc. - Common Stock|Q|N|N|100
BRCM|Broadcom Corporation - Class A Common Stock|Q|N|N|100
BRID|Bridgford Foods Corporation - Common Stock|G|N|N|100
BRKL|Brookline Bancorp, Inc. - Common Stock|Q|N|N|100
BRKR|Bruker Corporation - Common Stock|Q|N|N|100
BRKS|Brooks Automation, Inc. - Common Stock|Q|N|N|100
BRLI|Bio-Reference Laboratories, Inc. - Common Stock|Q|N|N|100
BSDM|BSD Medical Corporation - Common Stock|G|N|N|100
BSET|Bassett Furniture Industries, Incorporated - Common Stock|Q|N|N|100
BSFT|BroadSoft, Inc. - Common Stock|Q|N|N|100
BSPM|Biostar Pharmaceuticals, Inc. - Common Stock|G|N|D|100
BSQR|BSQUARE Corporation - Common Stock|G|N|N|100
BSRR|Sierra Bancorp - Common Stock|Q|N|N|100
BSTC|BioSpecifics Technologies Corp - Common Stock|G|N|N|100
BTFG|BancTrust Financial Group, Inc. - Common Stock|Q|N|N|100
BTUI|BTU International, Inc. - Common Stock|G|N|N|100
BUR|Burcon NutraScience Corp - Ordinary Shares|G|N|N|100
BUSE|First Busey Corporation - Common Stock|Q|N|N|100
BVSN|BroadVision, Inc. - Common Stock|G|N|N|100
BWEN|Broadwind Energy, Inc. - Common Stock|S|N|D|100
BWINA|Baldwin & Lyons, Inc. - Class A (voting) Common Stock|G|N|N|100
BWINB|Baldwin & Lyons, Inc. - Class B (nonvoting) Common Stock|G|N|N|100
BWLD|Buffalo Wild Wings, Inc. - Common Stock|Q|N|N|100
BWOW|Wowjoint Holdings Limited - Common Shares|G|N|D|100
BWOWU|Wowjoint Holdings Limited - Unit|G|N|N|100
BWOWW|Wowjoint Holdings Limited - Warrant 5/31/2012|G|N|N|100
BYFC|Broadway Financial Corporation - Common Stock|S|N|N|100
CA|CA Inc. - Common Stock|Q|N|N|100
CAAS|China Automotive Systems, Inc. - Common Stock|S|N|N|100
CAC|Camden National Corporation - Common Stock|Q|N|N|100
CACB|Cascade Bancorp - Common Stock|S|N|N|100
CACC|Credit Acceptance Corporation - Common Stock|Q|N|N|100
CACH|Cache, Inc. - Common Stock|Q|N|N|100
CADC|China Advanced Construction Materials Group, Inc. - Common Stock|G|N|N|100
CADX|Cadence Pharmaceuticals, Inc. - Common Stock|Q|N|N|100
CAFI|Camco Financial Corporation - Common Stock|G|N|N|100
CAKE|The Cheesecake Factory Incorporated - Common Stock|Q|N|N|100
CALD|Callidus Software, Inc. - Common Stock|G|N|N|100
CALI|China Auto Logistics Inc. - Common Stock|G|N|N|100
CALL|magicJack VocalTec Ltd - Ordinary Shares|G|N|N|100
CALM|Cal-Maine Foods, Inc. - Common Stock|Q|N|N|100
CAMP|CalAmp Corp. - Common Stock|Q|N|N|100
CAMT|Camtek Ltd. - Ordinary Shares|G|N|N|100
CAR|Avis Budget Group, Inc. - Common Stock|Q|N|N|100
CARB|Carbonite, Inc. - Common Stock|G|N|N|100
CART|Carolina Trust Bank - Common Stock|S|N|N|100
CARV|Carver Bancorp, Inc. - Common Stock|S|N|N|100
CARZ|First Trust NASDAQ Global Auto Index Fund|G|N|N|100
CASH|Meta Financial Group, Inc. - Common Stock|G|N|N|100
CASM|CAS Medical Systems, Inc. - Common Stock|G|N|N|100
CASS|Cass Information Systems, Inc - Common Stock|Q|N|N|100
CAST|ChinaCast Education Corporation - Common Stock|Q|N|D|100
