symbol	name	safename
ABY	ArtByte	artbyte
BTM	Bitmark	bitmark
PIX	Lampix	lampix
1337	1337	1337coin
CSNO	BitDice	bitdice
FRST	FirstCoin	firstcoin
CAT	BlockCAT	blockcat
CURE	Curecoin	curecoin
DICE	Etheroll	etheroll
BCY	Bitcrystals	bitcrystals
XVC	Vcash	vcash
ICOS	ICOS	icos
ALQO	ALQO	alqo
NTRN	Neutron	neutron
BRK	Breakout	breakout
DOPE	DopeCoin	dopecoin
WISH	MyWish	mywish
UFR	Upfiring	upfiring
RMC	Russian Miner...	russian-mining-coin
CANN	CannabisCoin	cannabiscoin
TX	TransferCoin	transfercoin
SPHR	Sphere	sphere
OXY	Oxycoin	oxycoin
NVST	NVO	nvo
UNO	Unobtanium	unobtanium
SUMO	Sumokoin	sumokoin
OBITS	OBITS	obits
BWK	Bulwark	bulwark
WILD	Wild Crypto	wild-crypto
XUC	Exchange Union	exchange-union
SSS	Sharechain	sharechain
LEO	LEOcoin	leocoin
BUZZ	BuzzCoin	buzzcoin
PLU	Pluton	pluton
ETT	EncryptoTel [...	encryptotel
PFR	Payfair	payfair
SNRG	Synergy	synergy
PTC	Pesetacoin	pesetacoin
FYP	FlypMe	flypme
CRC	CrowdCoin	crowdcoin
STAK	STRAKS	straks
DRP	DCORP	dcorp
DOT	Dotcoin	dotcoin
VSX	Vsync	vsync-vsx
XMCC	Monoeci	monacocoin
INXT	Internxt	internxt
HYP	HyperStake	hyperstake
PRIX	Privatix	privatix
GLD	GoldCoin	goldcoin
XAUR	Xaurum	xaurum
SYNX	Syndicate	syndicate
MEME	Memetic / Pep...	memetic
ALT	Altcoin	altcoin-alt
LUX	LUXCoin	luxcoin
BELA	Bela	belacoin
2GIVE	2GIVE	2give
CRB	Creditbit	creditbit
BLITZ	Blitzcash	blitzcash
ITNS	IntenseCoin	intensecoin
ATMS	Atmos	atmos
ZNY	Bitzeny	bitzeny
HBT	Hubii Network	hubii-network
NOTE	DNotes	dnotes
SEND	Social Send	social-send
XBC	Bitcoin Plus	bitcoin-plus
RKC	Royal Kingdom...	royal-kingdom-coin
BRX	Breakout Stake	breakout-stake
SXC	Sexcoin	sexcoin
EBST	eBoost	eboostcoin
START	Startcoin	startcoin
GBX	GoByte	gobyte
TCC	The ChampCoin	the-champcoin
BDL	Bitdeal	bitdeal
AUR	Auroracoin	auroracoin
B2B	B2B	b2bx
VRM	VeriumReserve	veriumreserve
UNIT	Universal Cur...	universal-currency
QRK	Quark	quark
PIRL	Pirl	pirl
ARC	Arcade Token	arcade-token
AC	AsiaCoin	asiacoin
KORE	Kore	korecoin
NVC	Novacoin	novacoin
APX	APX	apx
SCL	Social	social
USNBT	NuBits	nubits
INN	Innova	innova
RUP	Rupee	rupee
IND	Indorse Token	indorse-token
HGT	HelloGold	hellogold
IXC	Ixcoin	ixcoin
QVT	Qvolta	qvolta
TZC	TrezarCoin	trezarcoin
HWC	HollyWoodCoin	hollywoodcoin
RIC	Riecoin	riecoin
PURE	Pure	pure
UFO	UFO Coin	ufo-coin
TOA	ToaCoin	toacoin
EXCL	ExclusiveCoin	exclusivecoin
BBT	BitBoost	bitboost
MTNC	Masternodecoin	masternodecoin
BTDX	Bitcloud	bitcloud
REAL	REAL	real
REX	REX	real-estate-tokens
PKB	ParkByte	parkbyte
ZEPH	Zephyr	zephyr
CHC	ChainCoin	chaincoin
DFS	DFSCoin	dfscoin
CMPCO	CampusCoin	campuscoin
ERO	Eroscoin	eroscoin
ADST	AdShares	adshares
VTR	vTorrent	vtorrent
EDR	E-Dinar Coin	e-dinar-coin
PGL	Prospectors Gold	prospectors-gold
VSL	vSlice	vslice
PDC	Project Decorum	project-decorum
BUN	BunnyCoin	bunnycoin
ANC	Anoncoin	anoncoin
BTCZ	BitcoinZ	bitcoinz
XMG	Magi	magi
ASTRO	Astro	astro
TRUST	TrustPlus	trustplus
VIVO	VIVO	vivo
ERC	EuropeCoin	europecoin
BPL	Blockpool	blockpool
PUT	PutinCoin	putincoin
PZM	PRIZM	prizm
MAG	Magnet	magnet
UNIFY	Unify	unify
FOR	FORCE	force
ELLA	Ellaism	ellaism
DYN	Dynamic	dynamic
DGPT	DigiPulse	digipulse
STU	bitJob	student-coin
CRAVE	Crave	crave
DCY	Dinastycoin	dinastycoin
ELTCOIN	ELTCOIN	eltcoin
XGOX	XGOX	xgox
GRE	Greencoin	greencoin
EGC	EverGreenCoin	evergreencoin
ADC	AudioCoin	audiocoin
BON	Bonpay	bonpay
FRD	Farad	farad
CREA	Creativecoin	creativecoin
TRC	Terracoin	terracoin
HOLD	Interstellar ...	interstellar-holdings
MZC	MazaCoin	mazacoin
PING	CryptoPing	cryptoping
WDC	WorldCoin	worldcoin
CHIPS	CHIPS	chips
EQT	EquiTrader	equitrader
DNR	Denarius	denarius-dnr
LDOGE	LiteDoge	litedoge
ATL	ATLANT	atlant
ZRC	ZrCoin	zrcoin
TKS	Tokes	tokes
HUC	HunterCoin	huntercoin
GOOD	Goodomy	goodomy
KRB	Karbo	karbowanec
SWIFT	Bitswift	bitswift
ONG	onG.social	ongsocial
XFT	Footy Cash	footy-cash
AHT	Bowhead	bowhead
EBTC	eBitcoin	ebtcnew
MXT	MarteXcoin	martexcoin
MBRS	Embers	embers
XCN	Cryptonite	cryptonite
B3	B3Coin	b3coin
BLU	BlueCoin	bluecoin
REC	Regalcoin	regalcoin
FJC	FujiCoin	fujicoin
SMART	SmartBillions	smartbillions
NDC	NEVERDIE	neverdie
YOC	Yocoin	yocoin
ERC20	ERC20	erc20
ARC	ArcticCoin	arcticcoin
FLT	FlutterCoin	fluttercoin
GIM	Gimli	gimli
EPY	Emphy	emphy
FUNK	The Cypherfunks	the-cypherfunks
EFYT	Ergo	ergo
LINX	Linx	linx
OTX	Octanox	octanox
EFL	e-Gulden	e-gulden
CFT	CryptoForecast	cryptoforecast
MCAP	MCAP	mcap
EBET	EthBet	ethbet
CTX	CarTaxi Token	cartaxi-token
NET	NetCoin	netcoin
HAT	Hawala.Today	hawala-today
DP	DigitalPrice	digitalprice
GCC	TheGCCcoin	thegcccoin
MOIN	Moin	moin
CBX	Crypto Bullion	cryptogenic-bullion
FLIK	FLiK	flik
ETBS	Ethbits	ethbits
BYC	Bytecent	bytecent
GUN	Guncoin	guncoin
MRT	Miners&#39; Rewar...	miners-reward-token
XCPO	Copico	copico
PBT	Primalbase Token	primalbase
DFT	DraftCoin	draftcoin
DAR	Darcrus	darcrus
PROC	ProCurrency	procurrency
MEC	Megacoin	megacoin
RAIN	Condensate	condensate
STA	Starta	starta
GRWI	Growers Inter...	growers-international
IFLT	InflationCoin	inflationcoin
OCL	Oceanlab	oceanlab
SMC	SmartCoin	smartcoin
ENT	Eternity	eternity
FST	Fastcoin	fastcoin
KLN	Kolion	kolion
ZER	Zero	zero
ADZ	Adzcoin	adzcoin
RNS	Renos	renos
MNE	Minereum	minereum
FYN	FundYourselfNow	fundyourselfnow
BASH	LuckChain	luckchain
SKIN	SkinCoin	skincoin
ATS	Authorship	authorship
V	Version	version
ADL	Adelphoi	adelphoi
DAXX	DaxxCoin	daxxcoin
ELE	Elementrem	elementrem
TTC	TittieCoin	tittiecoin
UNB	UnbreakableCoin	unbreakablecoin
XPD	PetroDollar	petrodollar
UIS	Unitus	unitus
BRO	Bitradio	bitradio
FC2	FuelCoin	fuelcoin
INFX	Influxcoin	influxcoin
INSN	InsaneCoin	insanecoin-insn
BTA	Bata	bata
PIPL	PiplCoin	piplcoin
NETKO	Netko	netko
TRUMP	TrumpCoin	trumpcoin
CNT	Centurion	centurion
NUKO	Nekonium	nekonium
XLC	LeviarCoin	leviarcoin
CDN	Canada eCoin	canada-ecoin
ZET	Zetacoin	zetacoin
LGD	Legends Room	legends-room
DSR	Desire	desire
ZENI	Zennies	zennies
KEK	KekCoin	kekcoin
SGR	Sugar Exchange	sugar-exchange
CFD	Confido	confido
XCXT	CoinonatX	coinonatx
DAI	Dai	dai
CCT	Crystal Clear 	crystal-clear
TES	TeslaCoin	teslacoin
KURT	Kurrent	kurrent
CRM	Cream	cream
TRCT	Tracto	tracto
PIGGY	Piggycoin	piggycoin
HTC	HitCoin	hitcoin
LANA	LanaCoin	lanacoin
ARI	Aricoin	aricoin
TROLL	Trollcoin	trollcoin
VISIO	Visio	visio
ICOO	ICO OpenLedger	ico-openledger
ATOM	Atomic Coin	atomic-coin
RC	RussiaCoin	russiacoin
XBL	Billionaire T...	billionaire-token
BBP	BiblePay	biblepay
RBT	Rimbit	rimbit
TIT	Titcoin	titcoin
DGC	Digitalcoin	digitalcoin
SMLY	SmileyCoin	smileycoin
FCN	Fantomcoin	fantomcoin
ACC	Accelerator N...	accelerator-network
DRXNE	DROXNE	droxne
KOBO	Kobocoin	kobocoin
ZCG	Zlancer	zcash-gold
I0C	I0Coin	i0coin
MAC	Machinecoin	machinecoin
UTC	UltraCoin	ultracoin
NYAN	Nyancoin	nyancoin
WHL	WhaleCoin	whalecoin
TRI	Triangles	triangles
LOG	Woodcoin	woodcoin
WGO	WavesGo	wavesgo
Q2C	QubitCoin	qubitcoin
FUCK	FuckToken	fucktoken
CPC	Capricoin	capricoin
STRC	StarCredits	starcredits
PASL	Pascal Lite	pascal-lite
CJ	Cryptojacks	cryptojacks
XIOS	Xios	xios
BTCS	Bitcoin Scrypt	bitcoin-scrypt
HBN	HoboNickels	hobonickels
TOKEN	SwapToken	swaptoken
SAGA	SagaCoin	sagacoin
BRIT	BritCoin	britcoin
NTO	Fujinto	fujinto
42	42-coin	42-coin
XPTX	PlatinumBAR	platinumbar
BITS	Bitstar	bitstar
KLC	KiloCoin	kilocoin
BLAS	BlakeStar	blakestar
BPC	Bitpark Coin	bitpark-coin
LNK	Link Platform	link-platform
ROC	Rasputin Onli...	rasputin-online-coin
HPC	Happycoin	happycoin
BTB	BitBar	bitbar
POS	PoSToken	postoken
OPAL	Opal	opal
BLOCKPAY	BlockPay	blockpay
MBI	Monster Byte	monster-byte
DEM	Deutsche eMark	deutsche-emark
HODL	HOdlcoin	hodlcoin
ORB	Orbitcoin	orbitcoin
AU	AurumCoin	aurumcoin
COAL	BitCoal	bitcoal
BIGUP	BigUp	bigup
MAX	MaxCoin	maxcoin
GB	GoldBlocks	goldblocks
TRK	Truckcoin	truckcoin
RIYA	Etheriya	etheriya
SIGT	Signatum	signatum
RED	RedCoin	redcoin
BOLI	Bolivarcoin	bolivarcoin
SOON	SoonCoin	sooncoin
PXC	Phoenixcoin	phoenixcoin
ALTCOM	AltCommunity ...	altcommunity-coin
CCN	CannaCoin	cannacoin
CORG	CorgiCoin	corgicoin
ONX	Onix	onix
XJO	Joulecoin	joulecoin
LBTC	LiteBitcoin	litebitcoin
TRDT	Trident Group	trident
KUSH	KushCoin	kushcoin
DDF	DigitalDevelo...	digital-developers-fund
XPY	PayCoin	paycoin2
SDRN	Senderon	senderon
XCT	C-Bit	c-bit
YTN	YENTEN	yenten
SUPER	SuperCoin	supercoin
XHI	HiCoin	hicoin
8BIT	8Bit	8bit
VIDZ	PureVidz	purevidz
BXT	BitTokens	bittokens
TKR	CryptoInsight	trackr
BTCRED	Bitcoin Red	bitcoin-red
USC	Ultimate Secu...	ultimate-secure-cash
AMS	AmsterdamCoin	amsterdamcoin
C2	Coin2.1	coin2-1
CV2	Colossuscoin V2	colossuscoin-v2
HAL	Halcyon	halcyon
4CHN	ChanCoin	chancoin
XRA	Ratecoin	ratecoin
DSH	Dashcoin	dashcoin
FNC	FinCoin	fincoin
WTT	Giga Watt Token	giga-watt-token
CCO	Ccore	ccore
UNI	Universe	universe
ETG	Ethereum Gold	ethereum-gold
AMBER	AmberCoin	ambercoin
VLT	Veltor	veltor
MNM	Mineum	mineum
GAIA	GAIA	gaia
888	OctoCoin	octocoin
PCOIN	Pioneer Coin	pioneer-coin
PAK	Pakcoin	pakcoin
BUCKS	SwagBucks	swagbucks
EVIL	Evil Coin	evil-coin
BCF	Bitcoin Fast	bitcoinfast
GTC	Global Tour Coin	global-tour-coin
DIX	Dix Asset	dix-asset
ABJ	Abjcoin	abjcoin
JET	Jetcoin	jetcoin
CNO	Coin(O)	coin
MONK	Monkey Project	monkey-project
RLT	RouletteToken	roulettetoken
STARS	StarCash Network	starcash-network
HONEY	Honey	honey
TAG	TagCoin	tagcoin
UNY	Unity Ingot	unity-ingot
LCP	Litecoin Plus	litecoin-plus
STS	Stress	stress
HERO	Sovereign Hero	sovereign-hero
KAYI	Kayicoin	kayicoin
TEK	TEKcoin	tekcoin
ITI	iTicoin	iticoin
EMD	Emerald Crypto	emerald
MCRN	MACRON	macron
SPACE	SpaceCoin	spacecoin
BTSR	BTSR	btsr
LTB	LiteBar	litebar
VOT	VoteCoin	votecoin
MARS	Marscoin	marscoin
RBX	Ripto Bux	ripto-bux
UNIC	UniCoin	unicoin
GAP	Gapcoin	gapcoin
BITBTC	bitBTC	bitbtc
XGR	GoldReserve	goldreserve
CCRB	CryptoCarbon	cryptocarbon
PR	Prototanium	prototanium
AMMO	Ammo Reloaded	ammo-rewards
TSE	Tattoocoin (S...	tattoocoin
BERN	BERNcash	berncash
NTWK	Network Token	network-token
EOT	EOT Token	eot-token
BLC	Blakecoin	blakecoin
MAD	SatoshiMadness	satoshimadness
MOJO	MojoCoin	mojocoin
SWING	Swing	swing
CAT	Catcoin	catcoin
CHESS	ChessCoin	chesscoin
ZZC	ZoZoCoin	zozocoin
POST	PostCoin	postcoin
VAL	Valorbit	valorbit
BTCR	Bitcurrency	bitcurrency
EBCH	eBitcoinCash	ebitcoin-cash
TGC	Tigercoin	tigercoin
XRE	RevolverCoin	revolvercoin
BTWTY	Bit20	bit20
MOTO	Motocoin	motocoin
DALC	Dalecoin	dalecoin
GRIM	Grimcoin	grimcoin
EL	Elcoin	elcoin-el
BSTY	GlobalBoost-Y	globalboost-y
GLC	GlobalCoin	globalcoin
KED	Darsek	darsek
SLG	Sterlingcoin	sterlingcoin
CUBE	DigiCube	digicube
KRONE	Kronecoin	kronecoin
ICOB	ICOBID	icobid
QTL	Quatloo	quatloo
NRO	Neuro	neuro
VUC	Virta Unique ...	virta-unique-coin
SRC	SecureCoin	securecoin
GRT	Grantcoin	grantcoin
SOIL	SOILcoin	soilcoin
STV	Sativacoin	sativacoin
ICN	iCoin	icoin
ZUR	Zurcoin	zurcoin
ARG	Argentum	argentum
ETHD	Ethereum Dark	ethereum-dark
EGAS	ETHGAS	ethgas
ECASH	Ethereum Cash	ethereumcash
DUO	ParallelCoin	parallelcoin
ERY	Eryllium	eryllium
EUC	Eurocoin	eurocoin
EREAL	eREAL	ereal
AIB	Advanced Inte...	advanced-internet-blocks
CRX	Chronos	chronos
IETH	iEthereum	iethereum
CACH	CacheCoin	cachecoin
PXI	Prime-XI	prime-xi
PX	PX	px
SHDW	Shadow Token	shadow-token
MAR	Marijuanacoin	marijuanacoin
HNC	Helleniccoin	helleniccoin
BAS	BitAsean	bitasean
BNX	BnrtxCoin	bnrtxcoin
BRAT	BROTHER	brat
CON	PayCon	paycon
IMS	Independent M...	independent-money-system
UNITS	GameUnits	gameunits
PHS	Philosopher S...	philosopher-stones
HXX	Hexx	hexx
BTG	Bitgem	bitgem
CNNC	Cannation	cannation
MTLMC3	Metal Music Coin	metal-music-coin
XVP	Virtacoinplus	virtacoinplus
EVO	Evotion	evotion
CMT	Comet	comet
ECO	EcoCoin	ecocoin
EAGLE	EagleCoin	eaglecoin
ICE	iDice	idice
CXT	Coinonat	coinonat
XCO	X-Coin	x-coin
JIN	Jin Coin	jin-coin
BUMBA	BumbaCoin	bumbacoin
SPEX	SproutsExtreme	sproutsextreme
VLTC	Vault Coin	vault-coin
FUNC	FUNCoin	funcoin
$$$	Money	money
GP	GoldPieces	goldpieces
HMP	HempCoin	hempcoin-hmp
XCRE	Creatio	creatio
ARCO	AquariusCoin	aquariuscoin
BITSILVER	bitSilver	bitsilver
RPC	RonPaulCoin	ronpaulcoin
VC	VirtualCoin	virtualcoin
REE	ReeCoin	reecoin
BOAT	BOAT	doubloon
GLT	GlobalToken	globaltoken
ZMC	ZetaMicron	zetamicron
GPU	GPU Coin	gpu-coin
ACOIN	Acoin	acoin
SCORE	Scorecoin	scorecoin
TAJ	TajCoin	tajcoin
611	SixEleven	sixeleven
CPN	CompuCoin	compucoin
RUPX	Rupaya	rupaya
FUZZ	FuzzBalls	fuzzballs
GPL	Gold Pressed ...	gold-pressed-latinum
ALL	Allion	allion
FLAX	Flaxscript	flaxscript
