"release","date","author","status","maturity","version","first","distribution","abstract"
"App-CPAN-Search-0.07","2022-01-06T10:04:35","SKIM","latest","released","0.07","","App-CPAN-Search","Base class and script for CPAN searching."
"File-MimeInfo-0.31","2022-01-06T10:54:03","MICHIELB","latest","released","0.31","","File-MimeInfo","Determine file types"
"Device-Chip-Adapter-LinuxKernel-0.00005","2022-01-06T12:43:00","SIMCOP","cpan","released","0.00005","","Device-Chip-Adapter-LinuxKernel","A Device::Chip::Adapter implementation"
"App-HL7-Dump-0.05","2022-01-06T13:50:06","SKIM","cpan","released","0.05","","App-HL7-Dump","Distribution for hl7dump script."
"App-HL7-Send-0.03","2022-01-06T14:06:49","SKIM","latest","released","0.03","","App-HL7-Send","Distribution for hl7send script."
"CallBackery-0.41.2","2022-01-06T14:08:16","OETIKER","cpan","released","v0.41.2","","CallBackery","CallBackery is a Mojolicious+Qoodoo Framework for building Web Applications"
"App-Image-Generator-0.04","2022-01-06T14:13:22","SKIM","latest","released","0.04","","App-Image-Generator","Script to generate image."
"App-Images-To-DjVu-0.02","2022-01-06T14:23:47","SKIM","latest","released","0.02","","App-Images-To-DjVu","Base class and script for composing DjVu files from images."
"MRO-Compat-0.15","2022-01-06T15:22:06","HAARG","latest","released","0.15","","MRO-Compat","mro::* interface compatibility for Perls < 5.9.5"
"CGI-Simple-1.27","2022-01-06T16:00:18","MANWAR","cpan","released","1.27","","CGI-Simple","A Simple totally OO CGI interface that is CGI.pm compliant"
"IP-Geolocation-MMDB-0.007","2022-01-06T17:41:45","VOEGELAS","backpan","released","0.007","","IP-Geolocation-MMDB","Read MaxMind DB files"
"Term-Activity-1.21","2022-01-06T18:42:37","BENNIE","latest","released","1.21","","Term-Activity","Process Activity Display Module"
"Text-Delimited-2.12","2022-01-06T18:56:46","BENNIE","latest","released","2.12","","Text-Delimited","Delimited Text Processing"
"Log-Dispatch-Email-Sendmail-0.03","2022-01-06T20:12:43","NHORNE","latest","released","0.03","","Log-Dispatch-Email-Sendmail","Subclass of Log::Dispatch::Email that sends e-mail using Sendmail"
"Alien-Meson-0.01_02","2022-01-06T20:16:48","ZMUGHAL","cpan","developer","0.01_02","","Alien-Meson","Find or build meson build tool"
"DBD-SQLite-1.71_02","2022-01-06T20:51:05","ISHIGAKI","cpan","developer","1.71_02","","DBD-SQLite","Self Contained SQLite RDBMS in a DBI Driver"
"Tk-JThumbnail-2.3","2022-01-06T21:51:51","TURNERJW","cpan","released","2.3","","Tk-JThumbnail","Present a list of files in a directory as a grid of icons with or without text."
"Tk-HListbox-2.4","2022-01-06T22:00:58","TURNERJW","cpan","released","2.4","","Tk-HListbox","Tk Listbox widget supporting images and text entries, Tk::HList based drop-in replacement for Tk::Listbox."
"Tk-HMListbox-3.20","2022-01-06T22:06:19","TURNERJW","cpan","released","3.20","","Tk-HMListbox","Sortable Multicolumn HListbox (allowing icons, along with text) with arrows in headers indicating sort order."
"App-pl-v0.63.0","2022-01-06T22:58:29","PFEIFFER","latest","released","v0.63.0","","App-pl","Swiss Army Knife of Perl One-Liners"
"ExtUtils-ParseXS-3.44","2022-01-06T23:02:34","XSAWYERX","latest","released","3.44","","ExtUtils-ParseXS","converts Perl XS code into C code"
"Tk-HListbox-2.41","2022-01-06T23:59:15","TURNERJW","cpan","released","2.41","","Tk-HListbox","Tk Listbox widget supporting images and text entries, Tk::HList based drop-in replacement for Tk::Listbox."
"Tk-HMListbox-3.21","2022-01-06T23:59:27","TURNERJW","cpan","released","3.21","","Tk-HMListbox","Sortable Multicolumn HListbox (allowing icons, along with text) with arrows in headers indicating sort order."
"Bencher-Scenario-ArraySamplePartition-0.002","2022-01-07T00:06:13","PERLANCAR","latest","released","0.002","","Bencher-Scenario-ArraySamplePartition","Benchmark Array::Sample::Partition hash"
"Sah-Schemas-Math-0.003","2022-01-07T00:06:24","PERLANCAR","latest","released","0.003","","Sah-Schemas-Math","Math-related Sah schemas"
"SPVM-0.9111","2022-01-07T01:23:51","KIMOTO","cpan","released","0.9111","","SPVM","Static Perl Virtual Machine. Fast Calculation, Fast Array Operation, and Easy C/C++ Binding."
"Future-IO-0.11","2022-01-07T01:47:26","PEVANS","latest","released","0.11","","Future-IO","Future-returning IO methods"
"Future-IO-Impl-UV-0.03","2022-01-07T01:55:26","PEVANS","latest","released","0.03","","Future-IO-Impl-UV","implement Future::IO using UV"
"Hash-Wrap-0.19","2022-01-07T03:58:02","DJERIUS","cpan","released","0.19","","Hash-Wrap","create on-the-fly objects from hashes"
"Acme-KeyboardMarathon-1.26","2022-01-07T06:05:39","BENNIE","cpan","released","1.26","","Acme-KeyboardMarathon","How far have your fingers ran?"
"SPVM-0.9112","2022-01-07T07:01:25","KIMOTO","cpan","released","0.9112","","SPVM","Static Perl Virtual Machine. Fast Calculation, Fast Array Operation, and Easy C/C++ Binding."
"Minilla-v3.1.13","2022-01-07T09:19:41","SYOHEX","cpan","released","v3.1.13","","Minilla","CPAN module authoring tool"
"Thread-Csp-0.005","2022-01-07T13:47:13","LEONT","latest","released","0.005","","Thread-Csp","Communicating sequential processes threading for Perl"
"Crypt-Bcrypt-0.003","2022-01-07T13:51:25","LEONT","cpan","released","0.003","","Crypt-Bcrypt","A modern bcrypt implementation"
"Math-Polynomial-Multivariate-0.007","2022-01-07T14:24:30","MHASCH","latest","released","0.007","","Math-Polynomial-Multivariate","Perl class for multivariate polynomials"
"Captcha-reCAPTCHA-V3-0.04","2022-01-07T14:34:55","WORTHMINE","cpan","released","0.04","","Captcha-reCAPTCHA-V3","A Perl implementation of reCAPTCHA API version v3"
"File-Fetch-1.02","2022-01-07T14:49:05","BINGOS","cpan","released","1.02","","File-Fetch","Generic file fetching code"
"Minilla-v3.1.14","2022-01-07T14:57:02","SYOHEX","cpan","released","v3.1.14","","Minilla","CPAN module authoring tool"
"IO-Socket-SSL-2.074","2022-01-07T15:09:53","SULLR","latest","released","2.074","","IO-Socket-SSL","Nearly transparent SSL encapsulation for IO::Socket::INET."
"Net-Prometheus-0.12","2022-01-07T15:41:12","PEVANS","latest","released","0.12","","Net-Prometheus","export monitoring metrics for prometheus"
"Config-Model-Itself-2.023","2022-01-07T17:06:45","DDUMONT","latest","released","2.023","","Config-Model-Itself","Model (or schema) editor for Config::Model"
"HealthCheck-v1.8.0","2022-01-07T17:43:52","GSG","latest","released","v1.8.0","","HealthCheck","A health check for your code"
"Net-Z3950-FOLIO-v2.5.0","2022-01-07T18:22:02","MIRK","latest","released","v2.5.0","","Net-Z3950-FOLIO","Z39.50 server for FOLIO bibliographic data"
"CPANPLUS-Dist-Debora-0.008","2022-01-07T19:37:12","VOEGELAS","backpan","released","0.008","","CPANPLUS-Dist-Debora","Create Debian or RPM packages from Perl modules"
"HarfBuzz-Shaper-0.026","2022-01-07T19:55:32","JV","latest","released","0.026","","HarfBuzz-Shaper","Use HarfBuzz for text shaping"
"CryptX-0.076","2022-01-07T20:55:06","MIK","latest","released","0.076","","CryptX","Cryptographic toolkit"
"Acme-KeyboardMarathon-1.27","2022-01-07T20:59:04","BENNIE","latest","released","1.27","","Acme-KeyboardMarathon","How far have your fingers ran?"
"Test-Differences-0.69","2022-01-07T20:59:16","DCANTRELL","latest","released","0.69","","Test-Differences","Test strings and data structures and show differences if not ok"
"Scalar-Type-0.3.0","2022-01-07T21:46:55","DCANTRELL","cpan","released","v0.3.0","","Scalar-Type",""
"PDL-2.063_04","2022-01-07T21:49:46","ETJ","backpan","developer","2.063_04","","PDL","Perl Data Language"
"Test2-Harness-1.000095","2022-01-07T22:51:48","EXODIST","backpan","released","1.000095","","Test2-Harness","A new and improved test harness with better Test2 integration."
"Scalar-Type-0.3.1","2022-01-08T00:02:22","DCANTRELL","latest","released","v0.3.1","","Scalar-Type",""
"Unicode-Unihan-0.042_01","2022-01-08T00:03:49","BDFOY","cpan","developer","0.042_01","","Unicode-Unihan","The Unihan Data Base 5.1.0"
"App-ListPerlReleases-0.004","2022-01-08T00:05:29","PERLANCAR","latest","released","0.004","","App-ListPerlReleases","List Perl releases"
"Bencher-Scenario-BagComparison-0.005","2022-01-08T00:05:40","PERLANCAR","latest","released","0.005","","Bencher-Scenario-BagComparison","Benchmark bag comparison"
"Tk-HListbox-2.42","2022-01-08T02:13:25","TURNERJW","cpan","released","2.42","","Tk-HListbox","Tk Listbox widget supporting images and text entries, Tk::HList based drop-in replacement for Tk::Listbox."
"ReturnValue-0.902","2022-01-08T02:49:01","BDFOY","cpan","released","0.902","","ReturnValue","A structured return value for failure or success"
"PDL-2.063_05","2022-01-08T03:37:21","ETJ","backpan","developer","2.063_05","","PDL","Perl Data Language"
"App-Module-Lister-0.155","2022-01-08T03:40:07","BDFOY","latest","released","0.155","","App-Module-Lister","List the Perl modules in @INC"
"WebService-WsScreenshot-0.002","2022-01-08T04:30:50","SYMKAT","latest","released","0.002","","WebService-WsScreenshot","API client For ws-screenshot"
"App-Licensecheck-v3.3.0","2022-01-08T04:41:14","JONASS","latest","released","v3.3.0","","App-Licensecheck","simple license checker for source files"
"Crypt-Bcrypt-0.004","2022-01-08T13:17:11","LEONT","cpan","released","0.004","","Crypt-Bcrypt","A modern bcrypt implementation"
"Sim-OPT-0.636","2022-01-08T15:13:29","GLBRUNE","backpan","released","0.636","","Sim-OPT","Sim::OPT is a optimization and parametric exploration program that can mix sequential and parallel block search methods."
"Amazon-Credentials-1.0.11","2022-01-08T15:50:50","BIGFOOT","cpan","released","v1.0.11","","Amazon-Credentials","AWS credentials discoverer"
"Path-Tiny-0.121-TRIAL","2022-01-08T16:07:31","DAGOLDEN","cpan","developer","0.121","","Path-Tiny","File path utility"
"PerlIO-utf8_strict-0.009","2022-01-08T16:26:42","LEONT","latest","released","0.009","","PerlIO-utf8_strict","Fast and correct UTF-8 IO"
"YAML-PP-0.031_001","2022-01-08T18:05:22","TINITA","cpan","developer","0.031_001","","YAML-PP","YAML 1.2 Processor"
"YAML-PP-Ref-0.01_001","2022-01-08T18:09:23","TINITA","cpan","developer","0.01_001","","YAML-PP-Ref","Generated Reference Parser backend for YAML::PP"
"Data-CompactReadonly-0.1.0","2022-01-08T19:56:46","DCANTRELL","latest","released","v0.1.0","","Data-CompactReadonly","a description of CompactReadonly data format, version 0."
"Dist-Zilla-Plugin-Git-Checkout-0.004","2022-01-08T20:20:37","SKIRMESS","latest","released","0.004","","Dist-Zilla-Plugin-Git-Checkout","clone and checkout a Git repository"
"Git-Background-0.004","2022-01-08T21:21:26","SKIRMESS","latest","released","0.004","","Git-Background","use Git commands with Future"
"Module-Extract-Use-1.049","2022-01-08T21:25:33","BDFOY","cpan","released","1.049","","Module-Extract-Use","Discover the modules a module explicitly uses"
"Tie-Cycle-1.227","2022-01-08T21:25:44","BDFOY","latest","released","1.227","","Tie-Cycle","Cycle through a list of values via a scalar."
"Roman-Unicode-1.034","2022-01-08T21:48:48","BDFOY","latest","released","1.034","","Roman-Unicode","Make roman numerals, using the Unicode characters for them"
