dayhour,state,somehead,key,value
2011-05-19d 08h,中国,test,rank,77
2011-05-19d 08h,中国,test,cxr,1001
2011-05-19d 08h,中国,test,cnt,13
2011-05-19d 08h,中国,test,rank,77
2011-05-19d 08h,中国,test,cxr,1001
2011-05-19d 08h,中国,test,cnt,813
2011-05-19d 08h,中国,test,rank,77
2011-05-19d 08h,中国,test,cxr,62601
2011-05-19d 08h,中国,test,cnt,32
2011-05-19d 08h,中国,test,rank,77
2011-05-19d 08h,中国,test,cxr,2464
2011-05-19d 08h,中国,test,cnt,16
2011-05-19d 08h,中国,test,rank,10
2011-05-19d 08h,中国,test,cxr,160
2011-05-19d 08h,中国,test,cnt,12
2011-05-19d 08h,中国,test,rank,10
2011-05-19d 08h,中国,test,cxr,120
2011-05-19d 12h,中国,test,cnt,355
2011-05-19d 12h,中国,test,rank,10
2011-05-19d 12h,中国,test,cxr,3550
2011-05-19d 12h,中国,test,cnt,856
2011-05-19d 12h,中国,test,rank,10
2011-05-19d 12h,中国,test,cxr,8560
2011-05-19d 12h,中国,test,cnt,50
2011-05-19d 12h,中国,test,rank,47
2011-05-19d 12h,中国,test,cxr,2350
2011-05-19d 12h,中国,test,cnt,296
2011-05-19d 12h,中国,test,rank,47
2011-05-19d 12h,中国,test,cxr,13912
2011-05-19d 12h,中国,test,cnt,52
2011-05-19d 12h,中国,test,rank,47
2011-05-19d 12h,中国,test,cxr,2444
2011-05-19d 12h,中国,test,cnt,48
2011-05-19d 12h,中国,test,rank,47
2011-05-19d 12h,中国,test,cxr,2256
2011-05-19d 12h,中国,test,cnt,80
2011-05-19d 12h,中国,test,rank,10
2011-05-19d 12h,中国,test,cxr,800
2011-05-19d 12h,中国,test,cnt,47
2011-05-19d 12h,中国,test,rank,10
2011-05-19d 12h,中国,test,cxr,470
2011-05-19d 12h,中国,test,cnt,50
2011-05-19d 12h,中国,test,rank,10
2011-05-19d 12h,中国,test,cxr,500
2011-05-19d 12h,中国,test,cnt,49
2011-05-19d 12h,中国,test,rank,10
2011-05-19d 12h,中国,test,cxr,490
2011-05-19d 12h,中国,test,cnt,50
2011-05-19d 12h,中国,test,rank,10
2011-05-19d 12h,中国,test,cxr,500
2011-05-19d 12h,中国,test,cnt,49
2011-05-19d 12h,中国,test,rank,10
2011-05-19d 12h,中国,test,cxr,490
2011-05-19d 12h,中国,test,cnt,51
2011-05-19d 12h,中国,test,rank,10
2011-05-19d 12h,中国,test,cxr,510
2011-05-19d 12h,中国,test,cnt,52
2011-05-19d 12h,中国,test,rank,10
2011-05-19d 12h,中国,test,cxr,520
2011-05-19d 12h,中国,test,cnt,849
2011-05-19d 12h,中国,test,rank,10
2011-05-19d 12h,中国,test,cxr,8490
2011-05-19d 12h,中国,test,cnt,5
2011-05-19d 12h,中国,test,rank,10
2011-05-19d 12h,中国,test,cxr,50
2011-05-19d 12h,中国,test,cnt,49
2011-05-19d 12h,中国,test,rank,10
2011-05-19d 12h,中国,test,cxr,490
2011-05-19d 12h,中国,test,cnt,48
2011-05-19d 12h,中国,test,rank,10
2011-05-19d 12h,中国,test,cxr,480
2011-05-19d 12h,中国,test,cnt,74
2011-05-19d 12h,中国,test,rank,10
2011-05-19d 12h,中国,test,cxr,740
2011-05-19d 12h,中国,test,cnt,52
2011-05-19d 12h,中国,test,rank,10
2011-05-19d 12h,中国,test,cxr,520
2011-05-19d 12h,中国,test,cnt,7
2011-05-19d 12h,中国,test,rank,10
2011-05-19d 12h,中国,test,cxr,70
2011-05-19d 12h,中国,test,cnt,53
2011-05-19d 12h,中国,test,rank,10
2011-05-19d 12h,中国,test,cxr,530
2011-05-19d 12h,中国,test,cnt,60
2011-05-19d 12h,中国,test,rank,10
2011-05-19d 12h,中国,test,cxr,600
2011-05-19d 11h,中国,test,cnt,852
2011-05-19d 11h,中国,test,rank,10
2011-05-19d 11h,中国,test,cxr,8520
2011-05-19d 11h,中国,test,cnt,47
2011-05-19d 11h,中国,test,rank,10
2011-05-19d 11h,中国,test,cxr,470
2011-05-19d 11h,中国,test,cnt,41
2011-05-19d 11h,中国,test,rank,10
2011-05-19d 11h,中国,test,cxr,410
2011-05-19d 11h,中国,test,cnt,1661
2011-05-19d 11h,中国,test,rank,10
2011-05-19d 11h,中国,test,cxr,16610
2011-05-19d 11h,中国,test,cnt,48
2011-05-19d 11h,中国,test,rank,10
2011-05-19d 11h,中国,test,cxr,480
2011-05-19d 11h,中国,test,cnt,50
2011-05-19d 11h,中国,test,rank,10
2011-05-19d 11h,中国,test,cxr,500
2011-05-19d 11h,中国,test,cnt,48
2011-05-19d 11h,中国,test,rank,10
2011-05-19d 11h,中国,test,cxr,480
2011-05-19d 11h,中国,test,cnt,2541
2011-05-19d 11h,中国,test,rank,10
2011-05-19d 11h,中国,test,cxr,25410
2011-05-19d 11h,中国,test,cnt,2499
2011-05-19d 11h,中国,test,rank,10
2011-05-19d 11h,中国,test,cxr,24990
2011-05-19d 11h,中国,test,cnt,2513
2011-05-19d 11h,中国,test,rank,10
2011-05-19d 11h,中国,test,cxr,25130
2011-05-19d 11h,中国,test,cnt,859
2011-05-19d 11h,中国,test,rank,10
2011-05-19d 11h,中国,test,cxr,8590
2011-05-19d 11h,中国,test,cnt,48
2011-05-19d 11h,中国,test,rank,10
2011-05-19d 11h,中国,test,cxr,480
2011-05-19d 11h,中国,test,cnt,84
2011-05-19d 11h,中国,test,rank,10
2011-05-19d 11h,中国,test,cxr,840
2011-05-19d 11h,中国,test,cnt,52
2011-05-19d 11h,中国,test,rank,10
2011-05-19d 11h,中国,test,cxr,520
2011-05-19d 11h,中国,test,cnt,48
2011-05-19d 11h,中国,test,rank,10
2011-05-19d 11h,中国,test,cxr,480
2011-05-19d 11h,中国,test,cnt,51
2011-05-19d 11h,中国,test,rank,10
2011-05-19d 11h,中国,test,cxr,510
2011-05-19d 11h,中国,test,cnt,50
2011-05-19d 11h,中国,test,rank,10
2011-05-19d 11h,中国,test,cxr,500
2011-05-19d 11h,中国,test,cnt,48
2011-05-19d 11h,中国,test,rank,10
2011-05-19d 11h,中国,test,cxr,480
2011-05-19d 11h,中国,test,cnt,48
2011-05-19d 11h,中国,test,rank,10
2011-05-19d 11h,中国,test,cxr,480
2011-05-19d 11h,中国,test,cnt,49
2011-05-19d 11h,中国,test,rank,10
2011-05-19d 11h,中国,test,cxr,490
2011-05-19d 11h,中国,test,cnt,13
2011-05-19d 11h,中国,test,rank,10
2011-05-19d 11h,中国,test,cxr,130
2011-05-19d 01h,中国,test,cnt,30006
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,300060
2011-05-19d 01h,中国,test,cnt,7195
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,71950
2011-05-19d 01h,中国,test,cnt,4243
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,42430
2011-05-19d 01h,中国,test,cnt,17428
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,174280
2011-05-19d 01h,中国,test,cnt,10954
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,109540
2011-05-19d 01h,中国,test,cnt,30000
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,300000
2011-05-19d 01h,中国,test,cnt,7247
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,72470
2011-05-19d 01h,中国,test,cnt,9026
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,90260
2011-05-19d 01h,中国,test,cnt,9987
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,99870
2011-05-19d 01h,中国,test,cnt,17494
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,174940
2011-05-19d 01h,中国,test,cnt,24231
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,242310
2011-05-19d 01h,中国,test,cnt,26229
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,262290
2011-05-19d 01h,中国,test,cnt,27220
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,272200
2011-05-19d 01h,中国,test,cnt,30006
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,300060
2011-05-19d 01h,中国,test,cnt,29965
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,299650
2011-05-19d 01h,中国,test,cnt,30000
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,300000
2011-05-19d 01h,中国,test,cnt,29981
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,299810
2011-05-19d 01h,中国,test,cnt,28565
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,285650
2011-05-19d 01h,中国,test,cnt,8011
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,80110
2011-05-19d 01h,中国,test,cnt,9239
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,92390
2011-05-19d 01h,中国,test,cnt,2307
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,23070
2011-05-19d 01h,中国,test,cnt,9280
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,92800
2011-05-19d 01h,中国,test,cnt,24941
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,249410
2011-05-19d 01h,中国,test,cnt,30000
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,300000
2011-05-19d 01h,中国,test,cnt,16024
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,160240
2011-05-19d 01h,中国,test,cnt,24050
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,240500
2011-05-19d 01h,中国,test,cnt,5003
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,50030
2011-05-19d 01h,中国,test,cnt,12770
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,127700
2011-05-19d 01h,中国,test,cnt,30001
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,300010
2011-05-19d 01h,中国,test,cnt,10306
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,103060
2011-05-19d 01h,中国,test,cnt,101
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,1010
2011-05-19d 01h,中国,test,cnt,16760
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,167600
2011-05-19d 01h,中国,test,cnt,19307
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,193070
2011-05-19d 01h,中国,test,cnt,29806
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,298060
2011-05-19d 01h,中国,test,cnt,30000
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,300000
2011-05-19d 01h,中国,test,cnt,17394
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,173940
2011-05-19d 01h,中国,test,cnt,30010
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,300100
2011-05-19d 01h,中国,test,cnt,3865
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,38650
2011-05-19d 01h,中国,test,cnt,26190
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,261900
2011-05-19d 01h,中国,test,cnt,30004
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,300040
2011-05-19d 01h,中国,test,cnt,27760
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,277600
2011-05-19d 01h,中国,test,cnt,24084
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,240840
2011-05-19d 01h,中国,test,cnt,21828
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,218280
2011-05-19d 01h,中国,test,cnt,12776
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,127760
2011-05-19d 01h,中国,test,cnt,1564
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,15640
2011-05-19d 01h,中国,test,cnt,1421
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,14210
2011-05-19d 01h,中国,test,cnt,6527
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,65270
2011-05-19d 01h,中国,test,cnt,9867
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,98670
2011-05-19d 01h,中国,test,cnt,16567
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,165670
2011-05-19d 01h,中国,test,cnt,24626
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,246260
2011-05-19d 01h,中国,test,cnt,30001
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,300010
2011-05-19d 01h,中国,test,cnt,19410
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,194100
2011-05-19d 01h,中国,test,cnt,30009
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,300090
2011-05-19d 01h,中国,test,cnt,29067
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,290670
2011-05-19d 01h,中国,test,cnt,27621
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,276210
2011-05-19d 01h,中国,test,cnt,14729
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,147290
2011-05-19d 01h,中国,test,cnt,6132
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,61320
2011-05-19d 01h,中国,test,cnt,2546
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,25460
2011-05-19d 01h,中国,test,cnt,450
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,4500
2011-05-19d 01h,中国,test,cnt,4603
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,46030
2011-05-19d 01h,中国,test,cnt,2677
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,26770
2011-05-19d 01h,中国,test,cnt,13474
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,134740
2011-05-19d 01h,中国,test,cnt,15823
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,158230
2011-05-19d 01h,中国,test,cnt,20116
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,201160
2011-05-19d 01h,中国,test,cnt,25130
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,251300
2011-05-19d 01h,中国,test,cnt,26620
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,266200
2011-05-19d 01h,中国,test,cnt,27166
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,271660
2011-05-19d 01h,中国,test,cnt,30001
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,300010
2011-05-19d 01h,中国,test,cnt,17493
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,174930
2011-05-19d 01h,中国,test,cnt,12456
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,124560
2011-05-19d 01h,中国,test,cnt,9759
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,97590
2011-05-19d 01h,中国,test,cnt,4570
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,45700
2011-05-19d 01h,中国,test,cnt,30010
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,300100
2011-05-19d 01h,中国,test,cnt,29500
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,295000
2011-05-19d 01h,中国,test,cnt,28880
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,288800
2011-05-19d 01h,中国,test,cnt,7765
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,77650
2011-05-19d 01h,中国,test,cnt,23034
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,230340
2011-05-19d 01h,中国,test,cnt,23919
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,239190
2011-05-19d 01h,中国,test,cnt,26599
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,265990
2011-05-19d 01h,中国,test,cnt,29317
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,293170
2011-05-19d 01h,中国,test,cnt,30009
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,300090
2011-05-19d 01h,中国,test,cnt,24757
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,247570
2011-05-19d 01h,中国,test,cnt,23606
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,236060
2011-05-19d 01h,中国,test,cnt,7690
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,76900
2011-05-19d 01h,中国,test,cnt,1695
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,16950
2011-05-19d 01h,中国,test,cnt,4337
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,43370
2011-05-19d 01h,中国,test,cnt,12948
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,129480
2011-05-19d 01h,中国,test,cnt,30007
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,300070
2011-05-19d 01h,中国,test,cnt,24411
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,244110
2011-05-19d 01h,中国,test,cnt,16152
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,161520
2011-05-19d 01h,中国,test,cnt,2746
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,27460
2011-05-19d 01h,中国,test,cnt,4292
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,42920
2011-05-19d 01h,中国,test,cnt,7943
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,79430
2011-05-19d 01h,中国,test,cnt,24513
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,245130
2011-05-19d 01h,中国,test,cnt,9313
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,93130
2011-05-19d 01h,中国,test,cnt,30000
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,300000
2011-05-19d 01h,中国,test,cnt,21891
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,218910
2011-05-19d 01h,中国,test,cnt,20245
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,202450
2011-05-19d 01h,中国,test,cnt,15886
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,158860
2011-05-19d 01h,中国,test,cnt,10885
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,108850
2011-05-19d 01h,中国,test,cnt,2985
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,29850
2011-05-19d 01h,中国,test,cnt,4282
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,42820
2011-05-19d 01h,中国,test,cnt,14536
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,145360
2011-05-19d 01h,中国,test,cnt,26747
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,267470
2011-05-19d 01h,中国,test,cnt,27753
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,277530
2011-05-19d 01h,中国,test,cnt,30000
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,300000
2011-05-19d 01h,中国,test,cnt,27642
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,276420
2011-05-19d 01h,中国,test,cnt,22715
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,227150
2011-05-19d 01h,中国,test,cnt,20202
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,202020
2011-05-19d 01h,中国,test,cnt,7636
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,76360
2011-05-19d 01h,中国,test,cnt,7508
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,75080
2011-05-19d 01h,中国,test,cnt,668
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,6680
2011-05-19d 01h,中国,test,cnt,2697
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,26970
2011-05-19d 01h,中国,test,cnt,5663
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,56630
2011-05-19d 01h,中国,test,cnt,8602
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,86020
2011-05-19d 01h,中国,test,cnt,11078
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,110780
2011-05-19d 01h,中国,test,cnt,26493
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,264930
2011-05-19d 01h,中国,test,cnt,15720
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,157200
2011-05-19d 01h,中国,test,cnt,26667
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,266670
2011-05-19d 01h,中国,test,cnt,17929
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,179290
2011-05-19d 01h,中国,test,cnt,16961
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,169610
2011-05-19d 01h,中国,test,cnt,28735
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,287350
2011-05-19d 01h,中国,test,cnt,27591
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,275910
2011-05-19d 01h,中国,test,cnt,30000
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,300000
2011-05-19d 01h,中国,test,cnt,30005
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,300050
2011-05-19d 01h,中国,test,cnt,29730
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,297300
2011-05-19d 01h,中国,test,cnt,27517
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,275170
2011-05-19d 01h,中国,test,cnt,19435
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,194350
2011-05-19d 01h,中国,test,cnt,17099
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,170990
2011-05-19d 01h,中国,test,cnt,29117
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,291170
2011-05-19d 01h,中国,test,cnt,8468
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,84680
2011-05-19d 01h,中国,test,cnt,3440
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,34400
2011-05-19d 01h,中国,test,cnt,23618
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,236180
2011-05-19d 01h,中国,test,cnt,30000
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,300000
2011-05-19d 01h,中国,test,cnt,30007
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,300070
2011-05-19d 01h,中国,test,cnt,29639
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,296390
2011-05-19d 01h,中国,test,cnt,22878
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,228780
2011-05-19d 01h,中国,test,cnt,6031
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,60310
2011-05-19d 01h,中国,test,cnt,17068
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,170680
2011-05-19d 01h,中国,test,cnt,30000
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,300000
2011-05-19d 01h,中国,test,cnt,3227
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,32270
2011-05-19d 01h,中国,test,cnt,30000
2011-05-19d 01h,中国,test,rank,10
2011-05-19d 01h,中国,test,cxr,300000
