kind,scientific_name,common_name,aliases,planted,thumbnail
Plant,"Asparagus setaceus","Asparagus Fern","Common Asparagus Fern, Climbing Asparagus, <br>Ferny Asparagus, Lace Fern",2018-11-12,"<a href='http://savage.net.au/Flowers/Asparagus.setaceus.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Asparagus.setaceus.0.jpg' alt = ""Asparagus setaceus""></a>"
Plant,"Azalea 1","Rosa Belton",,2018-11-12,"<a href='http://savage.net.au/Flowers/Azalea.1.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Azalea.1.0.jpg' alt = ""Azalea 1""></a>"
Plant,"Azalea 2","Azalea 2",-,2018-11-12,"<a href='http://savage.net.au/Flowers/Azalea.2.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Azalea.2.0.jpg' alt = ""Azalea 2""></a>"
Plant,"Azalea 3","Azalea 3",-,2018-11-12,"<a href='http://savage.net.au/Flowers/Azalea.3.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Azalea.3.0.jpg' alt = ""Azalea 3""></a>"
Plant,"Banksia blechnifolia","Prostrate Banksia",,2018-11-12,"<a href='http://savage.net.au/Flowers/Banksia.blechnifolia.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Banksia.blechnifolia.0.jpg' alt = ""Banksia blechnifolia""></a>"
Plant,"Banksia spinulosa","Cherry Candles",,2018-11-12,"<a href='http://savage.net.au/Flowers/Banksia.spinulosa.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Banksia.spinulosa.0.jpg' alt = ""Banksia spinulosa""></a>"
Herb,"Barbarea verna","Land cress","American cress, bank cress, <br>black wood cress, Belle Isle cress, <br>Bermuda cress, creasy greens, <br>early wintercress, early yellowrocket, <br>scurvy cress and upland cress",2018-11-12,"<a href='http://savage.net.au/Flowers/Barbarea.verna.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Barbarea.verna.0.jpg' alt = ""Barbarea verna""></a>"
Tree,"Begonia hybrid","White Cane Begonia",-,2018-11-12,"<a href='http://savage.net.au/Flowers/Begonia.hybrid.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Begonia.hybrid.0.jpg' alt = ""Begonia hybrid""></a>"
Vegetable,"Beta vulgaris 1","Rainbow Chard",Silverbeet,2018-11-12,"<a href='http://savage.net.au/Flowers/Beta.vulgaris.1.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Beta.vulgaris.1.0.jpg' alt = ""Beta vulgaris 1""></a>"
Plant,"Beta vulgaris 2","Spinach Beet","Perpetual Spinach",2018-11-12,"<a href='http://savage.net.au/Flowers/Beta.vulgaris.2.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Beta.vulgaris.2.0.jpg' alt = ""Beta vulgaris 2""></a>"
Plant,Bracteantha,Bracteantha,"'Mohave Orange', Xerochrysum",2018-11-12,"<a href='http://savage.net.au/Flowers/Bracteantha.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Bracteantha.0.jpg' alt = ""Bracteantha""></a>"
Plant,"Brassica rapa var. perviridis 'Red'","Red Japanese Spinach","Red Komatsuma",2018-11-12,"<a href='http://savage.net.au/Flowers/Brassica.rapa.var.perviridis.red.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Brassica.rapa.var.perviridis.red.0.jpg' alt = ""Brassica rapa var. perviridis 'Red'""></a>"
Plant,"Callistemon citrinus","White Anzac",-,2018-12-16,"<a href='http://savage.net.au/Flowers/Callistemon.citrinus.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Callistemon.citrinus.0.jpg' alt = ""Callistemon citrinus""></a>"
Plant,"Callistemon viminalis hybrid",Bottlebrush,"'Little John'",2018-11-12,"<a href='http://savage.net.au/Flowers/Callistemon.viminalis.hybrid.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Callistemon.viminalis.hybrid.0.jpg' alt = ""Callistemon viminalis hybrid""></a>"
Plant,Camellia,Camellia,-,2018-11-12,"<a href='http://savage.net.au/Flowers/Camellia.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Camellia.0.jpg' alt = ""Camellia""></a>"
Plant,"Campanula garganica","Adriatic bellflower",,2018-11-12,"<a href='http://savage.net.au/Flowers/Campanula.garganica.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Campanula.garganica.0.jpg' alt = ""Campanula garganica""></a>"
Plant,"Campanula poscharskyana","Serbian bellflower",,2018-11-12,"<a href='http://savage.net.au/Flowers/Campanula.poscharskyana.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Campanula.poscharskyana.0.jpg' alt = ""Campanula poscharskyana""></a>"
Plant,Celosia,Celosia,"Plumed cockscomb, Silver cock's comb",2018-11-12,"<a href='http://savage.net.au/Flowers/Celosia.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Celosia.0.jpg' alt = ""Celosia""></a>"
Plant,"Centella asiatica",Pennywort,"Arthritis Herb, Asiatic pennywort, <br>centella, Gotu Kola, Indian pennywort",2018-11-12,"<a href='http://savage.net.au/Flowers/Centella.asiatica.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Centella.asiatica.0.jpg' alt = ""Centella asiatica""></a>"
Plant,"Cercis canadensis","Forest Pansy","Eastern redbud",2018-11-12,"<a href='http://savage.net.au/Flowers/Cercis.canadensis.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Cercis.canadensis.0.jpg' alt = ""Cercis canadensis""></a>"
Plant,"Chorizema cordatum","Heart-Leaf Flame Pea",,2018-11-12,"<a href='http://savage.net.au/Flowers/Chorizema.cordatum.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Chorizema.cordatum.0.jpg' alt = ""Chorizema cordatum""></a>"
Plant,"Chorizema varium","Flame Pea",,2018-11-12,"<a href='http://savage.net.au/Flowers/Chorizema.varium.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Chorizema.varium.0.jpg' alt = ""Chorizema varium""></a>"
Tree,"Citrus japonica",Cumquat,-,2018-11-12,"<a href='http://savage.net.au/Flowers/Citrus.japonica.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Citrus.japonica.0.jpg' alt = ""Citrus japonica""></a>"
Tree,"Citrus limon","Lisbon lemon",-,2018-11-12,"<a href='http://savage.net.au/Flowers/Citrus.limon.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Citrus.limon.0.jpg' alt = ""Citrus limon""></a>"
Tree,"Citrus x latifolia","Tahiti Lime","Bearss lime, seedless lime",2018-11-12,"<a href='http://savage.net.au/Flowers/Citrus.x.latifolia.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Citrus.x.latifolia.0.jpg' alt = ""Citrus x latifolia""></a>"
Tree,"Citrus x meyeri","Meyer lemon","Meyer 'Improved'",2018-11-12,"<a href='http://savage.net.au/Flowers/Citrus.x.meyeri.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Citrus.x.meyeri.0.jpg' alt = ""Citrus x meyeri""></a>"
Tree,"Citrus x sinensis","Washington Navel Orange",-,2018-11-12,"<a href='http://savage.net.au/Flowers/Citrus.x.sinensis.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Citrus.x.sinensis.0.jpg' alt = ""Citrus x sinensis""></a>"
Plant,Colocasia,Elephant-ear,"Chembu, Cocoyam, Dasheen, Eddoe, <br>Karala ko ganu, Taro, Tarul",2018-11-12,"<a href='http://savage.net.au/Flowers/Colocasia.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Colocasia.0.jpg' alt = ""Colocasia""></a>"
Plant,"Convolvulus cneorum","Convolvulus 1","Silver Bush",2018-11-12,"<a href='http://savage.net.au/Flowers/Convolvulus.cneorum.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Convolvulus.cneorum.0.jpg' alt = ""Convolvulus cneorum""></a>"
Plant,"Convolvulus sabatius","Convolvulus 2","Trailing Convolvulus",2018-11-12,"<a href='http://savage.net.au/Flowers/Convolvulus.sabatius.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Convolvulus.sabatius.0.jpg' alt = ""Convolvulus sabatius""></a>"
Herb,"Coriandrum sativum",Coriander,"Chinese parsley, cilantro, <br>Coriander Slow Bolting",2018-11-12,"<a href='http://savage.net.au/Flowers/Coriandrum.sativum.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Coriandrum.sativum.0.jpg' alt = ""Coriandrum sativum""></a>"
Plant,"Correa glabra","Correa glabra","Rock Correa",2018-11-12,"<a href='http://savage.net.au/Flowers/Correa.glabra.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Correa.glabra.0.jpg' alt = ""Correa glabra""></a>"
Plant,"Correa pulchella","Correa - Orange form","Autumn Blaze",2018-11-12,"<a href='http://savage.net.au/Flowers/Correa.pulchella.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Correa.pulchella.0.jpg' alt = ""Correa pulchella""></a>"
Plant,"Correa reflexa nummulariifolia","Correa reflexa nummulariifolia","Common correa",2018-11-26,"<a href='http://savage.net.au/Flowers/Correa.reflexa.nummulariifolia.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Correa.reflexa.nummulariifolia.0.jpg' alt = ""Correa reflexa nummulariifolia""></a>"
Tree,"Corymbia ficifolia","Corymbia ficifolia","'Mini Orange'",2018-11-12,"<a href='http://savage.net.au/Flowers/Corymbia.ficifolia.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Corymbia.ficifolia.0.jpg' alt = ""Corymbia ficifolia""></a>"
Tree,"Cotinus coggygria","Smoke Tree","Smoke bush",2018-11-12,"<a href='http://savage.net.au/Flowers/Cotinus.coggygria.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Cotinus.coggygria.0.jpg' alt = ""Cotinus coggygria""></a>"
Plant,"Crowea saligna",Crowea,"Willow-leaved crowea",2018-11-12,"<a href='http://savage.net.au/Flowers/Crowea.saligna.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Crowea.saligna.0.jpg' alt = ""Crowea saligna""></a>"
Herb,"Curcuma longa",Turmeric,"Part of the ginger family",2018-11-12,"<a href='http://savage.net.au/Flowers/Curcuma.longa.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Curcuma.longa.0.jpg' alt = ""Curcuma longa""></a>"
Plant,"Dampiera trigona","Dampiera trigona",-,2018-11-12,"<a href='http://savage.net.au/Flowers/Dampiera.trigona.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Dampiera.trigona.0.jpg' alt = ""Dampiera trigona""></a>"
Plant,"Daphne bholua",Daphne,"Nepalese paper plant",2018-11-12,"<a href='http://savage.net.au/Flowers/Daphne.bholua.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Daphne.bholua.0.jpg' alt = ""Daphne bholua""></a>"
Plant,Delphinium,Delphinium,"'Blue Sensation', Larkspur",2018-11-12,"<a href='http://savage.net.au/Flowers/Delphinium.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Delphinium.0.jpg' alt = ""Delphinium""></a>"
Plant,"Dianella prunina DP303","Dianella prunina","Blue Purple Flax, Utopia",2018-11-12,"<a href='http://savage.net.au/Flowers/Dianella.prunina.dp303.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Dianella.prunina.dp303.0.jpg' alt = ""Dianella prunina DP303""></a>"
Plant,Dianthus,Carnation,-,2018-11-12,"<a href='http://savage.net.au/Flowers/Dianthus.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Dianthus.0.jpg' alt = ""Dianthus""></a>"
Plant,"Dichopogon strictus","Chocolate Lily","Arthropodium strictum, Chocolate lily",2018-11-12,"<a href='http://savage.net.au/Flowers/Dichopogon.strictus.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Dichopogon.strictus.0.jpg' alt = ""Dichopogon strictus""></a>"
Plant,"Dicliptera suberecta","Hummingbird Plant","Uruguayan Firecracker Plant",2018-11-12,"<a href='http://savage.net.au/Flowers/Dicliptera.suberecta.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Dicliptera.suberecta.0.jpg' alt = ""Dicliptera suberecta""></a>"
Plant,Dietes,"Butterfly Iris","African iris, Butterfly iris, <br>Fortnight lily, Japanese iris, Wood iris",2018-11-12,"<a href='http://savage.net.au/Flowers/Dietes.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Dietes.0.jpg' alt = ""Dietes""></a>"
Plant,"Diplarrena latifolia","Diplarrena latifolia",-,2018-11-12,"<a href='http://savage.net.au/Flowers/Diplarrena.latifolia.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Diplarrena.latifolia.0.jpg' alt = ""Diplarrena latifolia""></a>"
Plant,"Dodonaea viscosa",Purpurea,-,2018-11-12,"<a href='http://savage.net.au/Flowers/Dodonaea.viscosa.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Dodonaea.viscosa.0.jpg' alt = ""Dodonaea viscosa""></a>"
Tree,"Elaeocarpus reticulatus","Blueberry Ash","'Prima Donna'",2018-11-12,"<a href='http://savage.net.au/Flowers/Elaeocarpus.reticulatus.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Elaeocarpus.reticulatus.0.jpg' alt = ""Elaeocarpus reticulatus""></a>"
Plant,"Eremorphila glabra","Eremorphila glabra","Yellow Form",2018-11-12,"<a href='http://savage.net.au/Flowers/Eremorphila.glabra.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Eremorphila.glabra.0.jpg' alt = ""Eremorphila glabra""></a>"
Plant,"Eremorphila nivea","Eremorphila nivea","'Blue Velvet'",2018-11-12,"<a href='http://savage.net.au/Flowers/Eremorphila.nivea.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Eremorphila.nivea.0.jpg' alt = ""Eremorphila nivea""></a>"
Plant,"Euphorbia characias subsp. wulfenii","Wulfen Spurge","Albanian spurge, Mediterranean Spurge",2018-11-12,"<a href='http://savage.net.au/Flowers/Euphorbia.characias.subsp.wulfenii.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Euphorbia.characias.subsp.wulfenii.0.jpg' alt = ""Euphorbia characias subsp. wulfenii""></a>"
Plant,"Euphorbia milii","Dwarf Crown of Thorns",-,2018-11-12,"<a href='http://savage.net.au/Flowers/Euphorbia.milii.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Euphorbia.milii.0.jpg' alt = ""Euphorbia milii""></a>"
Plant,"Eutaxia obovata nana",Eutaxia,"'Egg and Bacon Plant'",2018-11-12,"<a href='http://savage.net.au/Flowers/Eutaxia.obovata.nana.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Eutaxia.obovata.nana.0.jpg' alt = ""Eutaxia obovata nana""></a>"
Tree,"Ficus carica",Fig,"Common Fig",2018-11-12,"<a href='http://savage.net.au/Flowers/Ficus.carica.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Ficus.carica.0.jpg' alt = ""Ficus carica""></a>"
Plant,"Fuchsia 1",Fuchsia,-,2018-11-12,"<a href='http://savage.net.au/Flowers/Fuchsia.1.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Fuchsia.1.0.jpg' alt = ""Fuchsia 1""></a>"
Plant,"Fuchsia 2",'Coralle',,2018-11-12,"<a href='http://savage.net.au/Flowers/Fuchsia.2.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Fuchsia.2.0.jpg' alt = ""Fuchsia 2""></a>"
Plant,Gazania,Gazania,"'Sunseeker Mix'",2018-11-12,"<a href='http://savage.net.au/Flowers/Gazania.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Gazania.0.jpg' alt = ""Gazania""></a>"
Plant,"Goodenia ovata","Hop Goodenia","Prostrate form",2018-12-16,"<a href='http://savage.net.au/Flowers/Goodenia.ovata.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Goodenia.ovata.0.jpg' alt = ""Goodenia ovata""></a>"
Plant,"Grevillea 1",'Goldfever',,2018-11-12,"<a href='http://savage.net.au/Flowers/Grevillea.1.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Grevillea.1.0.jpg' alt = ""Grevillea 1""></a>"
Plant,"Grevillea 2","Lady 'O'",,2018-11-12,"<a href='http://savage.net.au/Flowers/Grevillea.2.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Grevillea.2.0.jpg' alt = ""Grevillea 2""></a>"
Plant,"Grevillea 3","'Lemon Daze'",,2018-11-12,"<a href='http://savage.net.au/Flowers/Grevillea.3.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Grevillea.3.0.jpg' alt = ""Grevillea 3""></a>"
Plant,"Grevillea 4",'Fireworks',,2018-11-12,"<a href='http://savage.net.au/Flowers/Grevillea.4.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Grevillea.4.0.jpg' alt = ""Grevillea 4""></a>"
Plant,"Grevillea lanigera","'Honeyeater Heaven'",,2018-11-12,"<a href='http://savage.net.au/Flowers/Grevillea.lanigera.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Grevillea.lanigera.0.jpg' alt = ""Grevillea lanigera""></a>"
Plant,"Hardenbergia violacea","False sarsaparilla","Happy wanderer, Lilac vine, 'Mini Haha', <br>Native lilac, Purple coral pea, Vine lilac, <br>Waraburra",2018-11-12,"<a href='http://savage.net.au/Flowers/Hardenbergia.violacea.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Hardenbergia.violacea.0.jpg' alt = ""Hardenbergia violacea""></a>"
Plant,Hedera,Ivy,-,2018-11-12,"<a href='http://savage.net.au/Flowers/Hedera.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Hedera.0.jpg' alt = ""Hedera""></a>"
Plant,"Heliotropium arborescens","Garden heliotrope","Cherry pie, Common heliotrope, <br>'Lord Roberts'",2018-11-12,"<a href='http://savage.net.au/Flowers/Heliotropium.arborescens.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Heliotropium.arborescens.0.jpg' alt = ""Heliotropium arborescens""></a>"
Plant,"Helleborus argutifolius","Christmas rose","H. corsicus, Christmas rose, Lenten rose, <br>Winter Rose",2018-11-12,"<a href='http://savage.net.au/Flowers/Helleborus.argutifolius.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Helleborus.argutifolius.0.jpg' alt = ""Helleborus argutifolius""></a>"
Plant,"Helleborus foetidus","Hellebore 2","Bear's foot, dungwort, setterwort, <br>Stinking Hellebore",2018-11-12,"<a href='http://savage.net.au/Flowers/Helleborus.foetidus.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Helleborus.foetidus.0.jpg' alt = ""Helleborus foetidus""></a>"
Plant,"Heuchera 1",'Obsidian',Alumroot,2018-11-12,"<a href='http://savage.net.au/Flowers/Heuchera.1.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Heuchera.1.0.jpg' alt = ""Heuchera 1""></a>"
Plant,"Heuchera 2","Coral bells","Alumroot, 'Peach Flambé'",2018-11-12,"<a href='http://savage.net.au/Flowers/Heuchera.2.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Heuchera.2.0.jpg' alt = ""Heuchera 2""></a>"
Plant,"Hibbertia obtusifolia","Hoary Guinea Flower",,2018-11-12,"<a href='http://savage.net.au/Flowers/Hibbertia.obtusifolia.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Hibbertia.obtusifolia.0.jpg' alt = ""Hibbertia obtusifolia""></a>"
Plant,"Hibbertia scandens","Climbing Guinea Flower","Climbing Guinea Flower, Golden Guinea Vine, <br>Snake Vine",2018-11-12,"<a href='http://savage.net.au/Flowers/Hibbertia.scandens.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Hibbertia.scandens.0.jpg' alt = ""Hibbertia scandens""></a>"
Plant,Hibiscus,"Rose mallow",,2018-11-12,"<a href='http://savage.net.au/Flowers/Hibiscus.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Hibiscus.0.jpg' alt = ""Hibiscus""></a>"
Plant,Hydrangea,Hydrangea,-,2018-11-12,"<a href='http://savage.net.au/Flowers/Hydrangea.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Hydrangea.0.jpg' alt = ""Hydrangea""></a>"
Plant,"Hymenosporum Flavum","Hymenosporum Flavum","'Golden Nugget', Native frangipani",2018-11-12,"<a href='http://savage.net.au/Flowers/Hymenosporum.flavum.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Hymenosporum.flavum.0.jpg' alt = ""Hymenosporum Flavum""></a>"
Plant,"Ipomoea lacunosa","Morning Glory","Pitted morningglory, Whitestar potato",2018-11-12,"<a href='http://savage.net.au/Flowers/Ipomoea.lacunosa.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Ipomoea.lacunosa.0.jpg' alt = ""Ipomoea lacunosa""></a>"
