common_name,url
"Long-leaf Wax Flower",https://en.wikipedia.org/wiki/Philotheca_myoporoides
"Marmalade Bush",https://en.wikipedia.org/wiki/Streptosolen_jamesonii
"Mexican Mock Orange",https://en.wikipedia.org/wiki/Philadelphus_mexicanus
Monstera,https://en.wikipedia.org/wiki/Monstera_deliciosa
"Morning Glory",https://en.wikipedia.org/wiki/Ipomoea_lacunosa
Mugwort,https://en.wikipedia.org/wiki/Mugwort
Narcissus,https://en.wikipedia.org/wiki/Narcissus_papyraceus
Nasturtium,http://scotsburn.biz
Nasturtium,https://en.wikipedia.org/wiki/Tropaeolum
Oregano,https://en.wikipedia.org/wiki/Oregano
Parsley,https://en.wikipedia.org/wiki/Parsley
"Passionfruit Daisy",http://www.herbherbert.com/pdf/passionfruit_daisy.pdf
Pennywort,https://en.wikipedia.org/wiki/Tagetes
"Perezii Blue",http://pga.com.au
"Perezii Blue",https://en.wikipedia.org/wiki/Limonium_perezii
"Dogsbane",https://en.wikipedia.org/wiki/Plectranthus_caninus
"Plectranthus ecklonii 1",https://en.wikipedia.org/wiki/Plectranthus
"Plectranthus ecklonii 2",https://en.wikipedia.org/wiki/Plectranthus
"Plectranthus saccatus",https://en.wikipedia.org/wiki/Plectranthus
"Red Japanese Spinach",https://en.wikipedia.org/wiki/Brassica_rapa
"Red Japanese Spinach",http://renaissanceherbs.com.au/
"Rice Flower 'Cosmic'",http://aussiecolours.com.au
"Pale Pink Rice Flower",http://www.kuranga.com.au/
"Rose 1",https://en.wikipedia.org/wiki/Rose
"Rose 2",https://en.wikipedia.org/wiki/Rose
"Rose 3",https://en.wikipedia.org/wiki/Rose
"Rose 4",https://en.wikipedia.org/wiki/Rose
"Common sage",https://en.wikipedia.org/wiki/Salvia_officinalis
Bethellii,https://www.rhs.org.uk/plants/details?plantid=5348
Bethellii,https://en.wikipedia.org/wiki/Salvia_involucrata
Sage,https://www.rhs.org.uk/plants/details?plantid=5348
Sage,https://en.wikipedia.org/wiki/Salvia_involucrata
"Bee sage",https://en.wikipedia.org/wiki/Salvia_apiana
"Siegfredia darwinioides",http://touchofclassplants.com
"Silver lace bush",https://en.wikipedia.org/wiki/Tanacetum_ptarmiciflorum
"Silver lace bush",https://en.wikipedia.org/wiki/Tanacetum
"Smoke Tree",https://en.wikipedia.org/wiki/Cotinus
"Snake bean",https://en.wikipedia.org/wiki/Vigna_unguiculata_subsp._sesquipedalis
"Snake bean",http://scotsburn.biz
Spearmint,https://en.wikipedia.org/wiki/Spearmint
Spearmint,http://renaissanceherbs.com.au/
"Spiked mint-bush",https://en.wikipedia.org/wiki/Prostanthera_phylicifolia
"Spinach Beet",https://en.wikipedia.org/wiki/Beta_vulgaris
"Spinach Beet",http://renaissanceherbs.com.au/
"Sweet Lilli",https://en.wikipedia.org/wiki/Agastache
"Tamarix aphylla",https://en.wikipedia.org/wiki/Tamarix_aphylla
Tansy,https://en.wikipedia.org/wiki/Tansy
Tansy,http://renaissanceherbs.com.au/
"Tea Tree 1",http://austraflora.com
"Thelionema caespitosum",http://www.kuranga.com.au/
"Vietnamese Mint",https://en.wikipedia.org/wiki/Persicaria_odorata
"Vietnamese Mint",http://scotsburn.biz
"Viola 1",https://en.wikipedia.org/wiki/Viola_tricolor
"Viola 1",https://commons.wikimedia.org/wiki/Viola_%C3%97_wittrockiana
"Viola 1",https://en.wikipedia.org/wiki/Viola_(plant)
"Viola 2",https://en.wikipedia.org/wiki/Viola_tricolor
"Viola 2",https://commons.wikimedia.org/wiki/Viola_%C3%97_wittrockiana
"Viola 2",https://en.wikipedia.org/wiki/Viola_(plant)
"Viola 3",https://en.wikipedia.org/wiki/Viola_tricolor
"Viola 3",https://commons.wikimedia.org/wiki/Viola_%C3%97_wittrockiana
"Viola 3",https://en.wikipedia.org/wiki/Viola_(plant)
"Woolly Bush",https://en.wikipedia.org/wiki/Adenanthos_sericeus
"Woolly Bush",http://touchofclassplants.com
Wormwood,https://en.wikipedia.org/wiki/Artemisia_(genus)
Yarrow,https://en.wikipedia.org/wiki/Achillea_millefolium
"Zion Red",http://ballaustralia.com
"Zion Red",https://en.wikipedia.org/wiki/Dimorphotheca_ecklonis
