"","class_name","gdp","return_on_invest"
"141",recession,49.652,31.166
"142",goodtimes,50.682,62.623
"143",goodtimes,49.330,63.380
"144",recession,47.392,23.076
"145",goodtimes,50.540,60.935
"146",goodtimes,48.471,58.381
"147",recession,48.664,24.119
"148",recession,51.401,31.921
"149",recession,50.064,25.511
"150",recession,48.367,37.078
"151",recession,49.760,27.158
"152",goodtimes,50.374,57.263
"153",recession,50.282,31.651
"154",recession,47.410,32.124
"155",goodtimes,48.041,61.162
"156",goodtimes,49.564,56.677
"157",recession,51.793,25.901
"158",recession,51.369,19.521
"159",recession,52.095,28.340
"160",goodtimes,49.339,60.374
"161",goodtimes,49.423,65.334
"162",goodtimes,49.170,58.847
"163",recession,50.143,31.755
"164",recession,48.564,30.231
"165",recession,50.047,36.296
"166",goodtimes,51.428,57.101
"167",goodtimes,50.564,58.933
"168",goodtimes,50.731,64.692
"169",goodtimes,50.157,52.466
"170",goodtimes,51.029,48.209
"171",goodtimes,48.406,61.763
"172",goodtimes,49.696,60.002
"173",goodtimes,50.037,58.078
"174",recession,52.376,28.768
"175",goodtimes,51.401,64.094
"176",recession,50.076,20.570
"177",recession,48.809,30.623
"178",goodtimes,49.595,59.627
"179",goodtimes,51.549,61.567
"180",goodtimes,49.549,63.562
"181",recession,50.030,27.887
"182",goodtimes,49.909,50.749
"183",goodtimes,48.247,59.332
"184",recession,50.054,34.706
"185",goodtimes,48.969,59.528
"186",goodtimes,51.092,53.215
"187",goodtimes,49.632,62.401
"188",recession,50.509,36.543
"189",recession,51.208,31.356
"190",goodtimes,51.190,60.404
"191",goodtimes,51.276,56.109
"192",goodtimes,51.141,63.906
"193",goodtimes,49.650,71.202
"194",goodtimes,51.117,48.112
"195",goodtimes,50.084,65.131
"196",goodtimes,49.732,56.861
"197",goodtimes,49.584,62.156
"198",recession,49.829,27.467
"199",recession,49.914,19.638
"200",goodtimes,50.309,57.126
