code,title,description
01121,"PERTANIAN PADI HIBRIDA","Kelompok ini mencakup usaha pertanian padi hibrida mulai dari kegiatan pengolahan lahan, penyemaian, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan sampai dengan dihasilkan komoditas gabah kering panen (GKP). Termasuk kegiatan pembibitan dan pembenihan tanaman padi hibrida. Padi hibrida adalah keturunan pertama (F1) yang dihasilkan dari persilangan antara dua galur atau lebih tetua pembentuknya dan/atau galur/inbrida homozigot. Contohnya: Bernas Super, Bernas Prima, Sembada B3, SL 11 SHS. Turunan dari padi hibrida tidak termasuk sebagai padi hibrida."
01122,"PERTANIAN PADI INBRIDA","Kelompok ini mencakup usaha pertanian inbrida (bukan hibrida) mulai dari kegiatan pengolahan lahan, penyemaian, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan sampai dengan dihasilkan komoditas gabah kering panen (GKP). Termasuk kegiatan pembibitan dan pembenihan tanaman padi in hibrida. Padi in hibrida adalah padi yang produksi benihnya dilakukan melalui penyerbukan sendiri atau terjadi secara alami. Terdiri dari Padi varietas Unggul Non Hibrida seperti Memberamo, Menkongga, Ciherang, IR-6, Inpari, Inpara, Inpago dan Padi Varietas Lokas yang telah ada dan dibudidayakan secara turun temurun oleh petani."
0113,"PERTANIAN SAYURAN, BUAH DAN ANEKA UMBI","Subgolongan ini mencakup :- Pertanian hortikultura sayuran seperti asparagus, kol, kembang kol dan brokoli, selada dan chicory, bayam, tumbuhan yang bunganya dimakan sebagai sayur, dan sayuran daun dan batang lainnya- Pertanian hortikultura buah, seperti semangka, blewah, labu buah, melon dan sejenisnya- Pertanian aneka umbi hortikultura, seperti kentang, kentang manis, wortel, lobak cina, bawang putih, bawang bombay atau bawang merah, bawang perai dan sayuran alliaceous lainnya- Perrtanian tanaman aneka umbi palawija, seperti ubi kayu, ubi jalar, talas, ganyong, irut, gembili dan tanaman aneka umbi palawija lainnya- Pertanian buah yang dipakai sebagai sayuran, seperti mentimun, terung, tomat, belimbing sayur dan labu sayur dan lainnya- Pertanian jamur dan truffle- Pertanian bibit sayuran, kecuali bibit tanaman bit - Pertanian bit gula- Pertanian sayuran lainnyaSubgolongan ini tidak mencakup :- Pertanian spawn jamur, lihat 0130- Pertanian cabai dan merica (capsicum spp) dan tanaman bumbu lainnnya, lihat 0128"
01131,"PERTANIAN HORTIKULTURA SAYURAN DAUN","Kelompok ini mencakup usaha pertanian hortikultura dan sayuran daun mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, dan juga pemanenan, dan pasca panen jika menjadi satu kesatuan kegiatan tanaman hortikultura sayuran yang dipanen sekali, seperti petsai/sawi, asparagus, kubis/kol, kembang kol dan brokoli, selada dan seledri/chicory, daun bawang, bayam, kangkung, tumbuhan yang bunganya dimakan sebagai sayur dan sayuran daun dan batang lainnya. Bayam dan kangkung yang dipanen dengan akarnya juga dimasukkan dalam kelompok ini. Termasuk kegiatan pembibitan dan pembenihan tanaman hortikultura sayuran daun."
01132,"PERTANIAN HORTIKULTURA BUAH","Kelompok ini mencakup usaha pertanian hortikultura buah mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman hortikultura buah, seperti semangka, belewah, melon, timun suri dan sejenisnya. Termasuk kegiatan pembibitan dan pembenihan tanaman hortikultura buah."
01133,"PERTANIAN HORTIKULTURA SAYURAN BUAH","Kelompok ini mencakup usaha pertanian hortikultura sayuran buah mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman hortikultura buah yang dipakai sebagai sayuran (labu), seperti mentimun, terung, tomat, belimbing sayur dan labu sayur (siam), waluh/labu kuning, gambas/oyong dan sejenisnya. Termasuk kegiatan pembibitan dan pembenihan tanaman hortikultura sayuran buah."
01134,"PERTANIAN HORTIKULTURA SAYURAN UMBI","Kelompok ini mencakup usaha pertanian hortikultura sayuran umbi mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan pasca panen jika menjadi satu kesatuan kegiatan tanaman umbi- umbian hortikultura, seperti kentang, kentang manis, wortel, lobak cina, rebung, bawang putih, bawang bombay atau bawang merah, bawang perai dan sayuran alliaceous lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman hortikultura sayuran umbi."
01135,"PERTANIAN ANEKA UMBI PALAWIJA","Kelompok ini mencakup usaha pertanian aneka umbi palawija mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman aneka umbi palawija, seperti ubi kayu, ubi jalar, talas, ganyong dan irut, gembili dan tanaman palawija, iles-iles, porang dan umbi-umbian palawija lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman aneka umbi palawija."
01136,"PERTANIAN JAMUR","Kelompok ini mencakup usaha pertanian jamur mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman jamur dan truffle, seperti jamur merang, jamur tiram, jamur shitake, jamur kuping dan sejenisnya. Termasuk kegiatan pembibitan dan pembenihan tanaman jamur."
01137,"PERTANIAN BIT GULA DAN TANAMAN PEMANIS BUKAN TEBU","Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman bit gula dan tanaman pemanis lainnya bukan tebu, seperti stevia dan sorgum manis. Termasuk kegiatan pembibitan dan pembenihan tanaman bit gula dan tanaman pemanis bukan tebu."
01139,"PERTANIAN SAYURAN, BUAH DAN ANEKA UMBI LAINNYA","Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman sayuran, buah dan aneka umbi lainnya yang dipanen lebih dari sekali; dan pertanian sayuran lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman sayuran lainnya, kecuali bibit tanaman bit."
0114,"PERKEBUNAN TEBU","Subgolongan ini mencakup :- Perkebunan tebuSubgolongan ini tidak mencakup : - Pertanian bit gula, lihat 0113"
01140,"PERKEBUNAN TEBU","Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan jika menjadi satu kesatuan kegiatan tanaman tebu. Termasuk kegiatan pembibitan dan pembenihan tebu."
0115,"PERKEBUNAN TEMBAKAU","Subgolongan ini mencakup :- Perkebunan tembakau (bukan industri), termasuk kegiatan pembersihan dan perajangan tembakau yang tidak dapat dipisahkan dari kegiatan perkebunannya"
01150,"PERKEBUNAN TEMBAKAU","Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan jika menjadi satu kesatuan kegiatan tanaman tembakau. Termasuk kegiatan pembersihan dan perajangan tembakau yang tidak dapat dipisahkan dari kegiatan perkebunannya. Kegiatan pembibitan dan pembenihan tanaman tembakau juga tercakup dalam kelompok ini."
0116,"PERTANIAN TANAMAN BERSERAT","Subgolongan ini mencakup :- Pertanian kapas- Pertanian yute, kenaf- Pertanian batang lenan dan rami- Pertanian sisal dan tanaman bahan baku tekstil lainnya termasuk genus agave- Pertanian abaca, rami dan tanaman bahan baku tekstil lainnya- Pertanian tanaman serat lainnya"
01160,"PERTANIAN TANAMAN BERSERAT","Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan, dan pemanenan jika menjadi satu kesatuan kegiatan tanaman berserat sebagai bahan baku tekstil, seperti kapuk, kapas, rosela, rami, yute, linen, agave, abaca dan kenaf, pertanian sisal dan tanaman bahan baku tekstil lainnya termasuk genus agave dan pertanian tanaman serat lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman berserat."
0119,"PERTANIAN TANAMAN SEMUSIM LAINNYA","Subgolongan ini mencakup pertanian tanaman semusim yang lain :- Pertanian sewede, mangold, akar-akaran untuk makanan hewan, semanggi, alfalfa, saifoin, tanaman jagung (maize) dan rumput-rumputan lainnya, makanan ternak dan sejenisnya- Pembibitan bit (tidak termasuk bit gula) dan bibit tanaman untuk makanan ternak- Pertanian bunga, termasuk produksi bunga potong dan kuncup bunga- Pembibitan bungaSub golongan ini tidak mencakup :- Pertanian tanaman semusim, seperti tanaman rempah-rempah, aromatik, narkotika dan tanaman obat-obatan, lihat 0128"
01191,"PERTANIAN TANAMAN PAKAN TERNAK","Kelompok ini mencakup bidang usaha produksi hijauan pakan ternak mulai dari kegiatan penyiapan dan pengolahan lahan, penyemaian, penanaman, pemeliharaan, pemanenan dan pengolahan pasca panen. Meliputi rumput pakan ternak dan leguminosa/kacang-kacangan tanaman pakan ternak seperti Rumput Gajah, Rumput Raja, Rumput Odot, Rumput Setaria, Alfalfa, Kaliandra, Gamal, Lamtoro, Indigofera Zollingeriana dll."
01192,"PERBENIHAN TANAMAN PAKAN TERNAK DAN PEMBIBITAN BIT (BUKAN BIT GULA)","Kelompok ini mencakup usaha pertanian mulai dari kegiatan penyiapan dan pengolahan lahan, penyemaian, penanaman, pemeliharaan, pemanenan dan pengolahan pascapanen, perbenihan tanaman pakan ternak dan pembibitan bit (bukan bit gula). Perbenihan tanaman pakan ternak meliputi rumput pakan ternak dan leguminosa/kacang-kacangan tanaman pakan ternak seperti Rumput Gajah, Rumput Raja, Rumput Odot, Rumput Setaria, Alfalfa, Kaliandra, Gamal, Lamtoro, Indigofera Zollingeriana dll."
01193,"PERTANIAN TANAMAN BUNGA","Kelompok ini mencakup pertanian tanaman bunga, yang produksinya adalah bunga potong dan kuncup bunga. Tanaman bunga pada kelompok ini misalnya anggrek, anyelir, gerbera/hebras, gladiol, krisan, mawar, melati, sedap malam dan tanaman bunga lainnya. Termasuk tanaman bunga lainnya yang diambil bunganya. Pertanian tanaman bunga yang hasilnya adalah tanaman bunga hidup masuk ke golongan 013."
01194,"PERTANIAN PEMBIBITAN TANAMAN BUNGA","Kelompok ini mencakup usaha pertanian pembibitan tanaman bunga."
01199,"PERTANIAN TANAMAN SEMUSIM LAINNYA YTDL","Kelompok ini mencakup pertanian tanaman semusim lainnya yang belum terklasifikasi di tempat lain dan kegiatan pembibitannya."
012,"PERTANIAN TANAMAN TAHUNAN","Golongan ini mencakup penanaman tanaman yang berlangsung lebih dari dua musim tanam, baik tanaman yang setiap musim mati atau tanaman yang tumbuh terus menerus. Termasuk penanaman tanaman untuk keperluan pembibitan dan pembenihan. Golongan ini juga mencakup kegiatan penanaman tanaman ini di area atau lokasi hutan."
0121,"PERTANIAN BUAH ANGGUR","Subgolongan ini mencakup :- Pertanian buah anggur untuk bahan minuman (wine) dan buah anggur di kebun anggurSubgolongan ini tidak mencakup :- Industri minuman anggur (wine), lihat 1102"
01210,"PERTANIAN BUAH ANGGUR","Kelompok ini mencakup usaha pertanian mulai dari kegiatan penyiapan atau pelaksanaan, penanaman, pembibitan, pemeliharaan, pemanenan dan pasca panen buah anggur. Termasuk kegiatan pembibitan dan pembenihan tanaman buah anggur."
0122,"PERTANIAN BUAH-BUAHAN TROPIS DAN SUBTROPIS","Subgolongan ini mencakup :- Pertanian buah tropis dan subtropis, seperti alpukat, pisang dan pisang raja, kurma, buah ara, mangga, pepaya, nanas dan buah tropis dan subtropis lainnya"
01220,"PERTANIAN BUAH-BUAHAN TROPIS DAN SUBTROPIS","Kelompok ini mencakup usaha pertanian mulai dari kegiatan penyiapan/pelaksanaan, penanaman, pembibitan, pemeliharaan, pemanenan dan pasca panen buah-buahan tropis dan subtropis, seperti rambutan, alpukat, durian, duku, pisang dan pisang raja, kurma, buah ara, pepaya, jambu biji, jambu air, lengkeng, nangka, nenas, mangga, manggis, sawo, belimbing, salak, sirsak, buah naga dan sejenisnya. Termasuk kegiatan pembibitan dan pembenihan tanaman buat tropis dan subtropis."
0123,"PERTANIAN BUAH JERUK","Subgolongan ini mencakup :- Pertanian buah jeruk, seperti jeruk bali, jeruk lemon dan limau, jeruk orange, tangerin, mandarin dan clementine, dan buah jeruk lainnya"
01230,"PERTANIAN BUAH JERUK","Kelompok ini mencakup usaha pertanian mulai dari kegiatan penyiapan/pelaksanaan, penanaman, pembibitan, pemeliharaan, pemanenan dan pasca panen buah jeruk besar dan jeruk keprok atau jeruk siam, seperti jeruk bali, jeruk lemon dan limau, jeruk orange, jeruk keprok, jeruk tangerin, jeruk mandarin dan clementine, dan buah jeruk lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman buah jeruk."
0124,"PERTANIAN BUAH APEL DAN BUAH BATU (POME AND STONE FRUITS)","Subgolongan ini mencakup :- Pertanian buah apel dan buah batu, seperti apel, aprikot, cherry, peach dan nectarine, pear dan quince, plum dan sloe, markisa dan buah delima, dan buah batu lainnya"
01240,"PERTANIAN BUAH APEL DAN BUAH BATU (POME AND STONE FRUITS)","Kelompok ini mencakup usaha pertanian mulai dari kegiatan penyiapan/pelaksanaan, penanaman, pembibitan, pemeliharaan, pemanenan dan pasca panen buah apel dan buah batu, seperti apel, aprikot, cherry, peach dan nectarine, pear dan quince, plum dan sloe, markisa, kepel, terong Belanda dan buah delima, dan buah batu lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman buah apel dan buah batu."
0125,"PERTANIAN SAYURAN DAN BUAH SEMAK DAN BUAH BIJI KACANG- KACANGAN LAINNYA","Subgolongan ini mencakup :- Pertanian buah beri, seperti blueberry, kismis, gooseberry, kiwi, raspberry, strawberry dan beri lainnya- Pembibitan buah- Pertanian tanaman buah biji kacang-kacangan yang dapat dimakan, seperti almond, kacang mede, chestnut, kenari, walnut dan kacang- kacangan yang lain- Pertanian pohon dan tanaman buah semak lainnya- Locust beansSubgolongan ini tidak mencakup : - Perkebunan kelapa, lihat 0126"
01251,"PERTANIAN BUAH BERI","Kelompok ini mencakup usaha pertanian mulai dari kegiatan penyiapan atau pelaksanaan, penanaman, pembibitan, pemeliharaan, pemanenan dan pasca panen buah beri, seperti blueberry, gooseberry, kiwi, raspberry, strawberry dan beri lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman buah beri."
01252,"PERTANIAN BUAH BIJI KACANG-KACANGAN","Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan, dan pemanenan tanaman buah biji kacang-kacangan yang dapat dimakan, seperti almond, kacang mede, chestnut, kenari, walnut dan kacang- kacangan yang lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman buah biji kacang-kacangan."
01253,"PERTANIAN SAYURAN TAHUNAN","Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan tanaman sayuran tahunan, seperti kluwih atau timbul, sukun, nangka sayur, petai, jengkol, melinjo dan sejenisnya. Kegiatan pembibitan dan pembenihan tanaman sayuran tahunan."
01259,"PERTANIAN BUAH SEMAK LAINNYA","Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan tanaman buah semak lainnya, termasuk locust beans. Termasuk kegiatan pembibitan dan pembenihan tanaman buah semak lainnya."
0126,"PERKEBUNAN BUAH-BUAHAN PENGHASIL MINYAK (OLEAGINOUS)","Subgolongan ini mencakup :- Perkebunan buah oleaginous, seperti kelapa, buah zaitun, kelapa sawit dan buah oleaginous lainSubgolongan ini tidak mencakup :- Pertanian kedelai, kacang tanah, dan biji penghasil minyak lainnya, lihat 0111"
01261,"PERKEBUNAN BUAH KELAPA","Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan buah kelapa. Termasuk kegiatan pembibitan dan pembenihan tanaman buah kelapa."
01262,"PERKEBUNAN BUAH KELAPA SAWIT","Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan buah kelapa sawit. Termasuk kegiatan pembibitan dan pembenihan tanaman buah kelapa sawit."
01269,"PERKEBUNAN BUAH OLEAGINOUS LAINNYA","Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan tanaman buah oleaginous lain, seperti buah zaitun dan lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman buah oleoginous lainnya."
0127,"PERTANIAN TANAMAN UNTUK BAHAN MINUMAN","Subgolongan ini mencakup :- Pertanian tanaman untuk bahan minuman, seperti kopi, teh, mate, kakao dan tanaman untuk bahan minuman lainnya"
01270,"PERTANIAN TANAMAN UNTUK BAHAN MINUMAN","Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan tanaman untuk bahan minuman, seperti tanaman kopi, teh, mate dan kakao. Termasuk kegiatan pembibitan dan pembenihan tanaman untuk bahan minuman."
0128,"PERKEBUNAN TANAMAN REMPAH-REMPAH, AROMATIK/PENYEGAR, NARKOTIK DAN OBAT","Subgolongan ini mencakup :- Perkebunan tanaman rempah-rempah dan aromatik semusim dan tahunan, seperti merica atau lada (piper spp), cabe (capsicum spp), pala, bunga pala dan kapulaga, minyak adas manis, badian dan adas, kayu manis (canella), cengkeh, jahe, vanilla dan tanaman rempah dan aromatik lainnya- Perkebunan tanaman obat dan narkotika- Perkebunan tanaman yang digunakan untuk parfum, keperluan kedokteran/farmasi atau untuk insektisida, fungisida dan sejenisnya"
01281,"PERKEBUNAN LADA","Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan lada atau merica (piper spp). Termasuk kegiatan pembibitan dan pembenihan tanaman lada."
01282,"PERKEBUNAN CENGKEH","Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan cengkeh. Termasuk kegiatan pembibitan dan pembenihan tanaman cengkeh."
01283,"PERTANIAN CABAI","Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan, pemanenan dan pasca panen sayuran cabai (capsicum spp), seperti cabai besar, cabai rawit dan paprika. Termasuk kegiatan pembibitan dan pembenihan tanaman cabai."
01284,"PERKEBUNAN TANAMAN AROMATIK/PENYEGAR","Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan tanaman perkebunan minyak atsiri, seperti sereh wangi, nilam, menthol, kenanga, ilang-ilang, gandapura, lawang. Termasuk kegiatan pembibitan dan pembenihan tanaman aromatik/penyegar."
01285,"PERTANIAN TANAMAN OBAT ATAU BIOFARMAKA RIMPANG","Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan, dan pemanenan tanaman obat atau biofarmaka rimpang (termasuk pula tanaman bahan insektisida dan fungisida dan yang sejenis), seperti jahe, kunyit, temulawak, temugiring, temuireng, temukunci, kencur, lengkuas, lempuyang, dlingo dan sejenisnya. Termasuk kegiatan pembibitan dan pembenihan tanaman obat atau biofarmaka rimpang."
01286,"PERTANIAN TANAMAN OBAT ATAU BIOFARMAKA NON RIMPANG","Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan, dan pemanenan tanaman obat atau biofarmaka non rimpang (termasuk pula tanaman bahan insektisida dan fungisida dan yang sejenis), seperti kina, adas, kapulaga, orang-aring, iles-iles, pinang, gambir, lidah buaya, kejibeling, sambiloto, kumis kucing, mengkudu atau pace, mahkota dewa dan sejenisnya. Termasuk kegiatan pembibitan dan pembenihan tanaman obat atau biofarmaka non rimpang."
01287,"PERTANIAN TANAMAN NARKOTIKA DAN TANAMAN OBAT TERLARANG","Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan, dan pemanenan tanaman narkotika dan tanaman obat terlarang."
01289,"PERTANIAN TANAMAN REMPAH-REMPAH, AROMATIK/PENYEGAR, DAN OBAT LAINNYA","Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan, dan pemanenan tanaman rempah lainnya, seperti kemiri, panili, kayu manis dan pala. Termasuk kegiatan pembibitan dan pembenihannya."
0129,"PERKEBUNAN TANAMAN TAHUNAN LAINNYA","Subgolongan ini mencakup :- Perkebunan pohon karet- Perkebunan pohon cemara- Perkebunan pohon penghasil getahSubgolongan ini tidak mencakup :- Pengumpulan getah pohon atau getah karet liar, lihat 0230"
01291,"PERKEBUNAN KARET DAN TANAMAN PENGHASIL GETAH LAINNYA","Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan tanaman karet dan tanaman penghasil getah lainnya, seperti getah perca dan kemenyan. Termasuk pengolahan hasil tanaman karet yang tidak dapat dipisahkan dari kegiatan perkebunan. Termasuk kegiatan pembibitan dan pembenihan tanaman karet dan tanaman penghasil getah lainnya."
