code,name,description
K,"Aktivitas Keuangan dan Asuransi","Kategori ini mencakup aktivitas keuangan, termasuk asuransi, reasuransi dan kegiatan dana pensiun dan jasa penunjang keuangan. Kategori ini juga mencakup kegiatan dari pemegang aset, seperti kegiatan perusahaan holding dan kegiatan dari lembaga penjaminan atau pendanaan dan lembaga keuangan sejenis."
L,"Real Estat","Kategori ini mencakup kegiatan orang yang menyewakan, agen dan atau broker/perantara dalam penjualan atau pembelian real estat, penyewaan real estat dan penyediaan jasa real estat lainnya, seperti jasa penaksir real estat atau bertindak sebagai agen pemegang wasiat real estat. Kegiatan dalam kategori ini bisa dilakukan atas milik sendiri atau milik orang lain yang disewa dan bisa dilakukan atas dasar balas jasa atau kontrak. Termasuk kegiatan pembangunan gedung, yang disatukan dengan pemeliharaan atau penyewaan bangunan tersebut. Kategori ini mencakup pengelola bangunan real estat. Real estat adalah properti berupa tanah dan bangunan."
M,"Aktivitas Profesional, Ilmiah Dan Teknis","Kategori ini mencakup khususnya kegiatan profesional, ilmu pengetahuan dan teknik, kegiatan ini membutuhkan suatu tingkat pelatihan yang tinggi dan menghasilkan ilmu pengetahuan dan ketrampilan khusus yang tersedia untuk pengguna."
N,"Aktivitas Penyewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya","Kategori ini mencakup berbagai macam kegiatan yang mendukung operasional usaha atau bisnis secara umum. Kegiatan ini berbeda dari kegiatan yang termasuk dalam kategori M, karena tujuan utamanya bukanlah transfer ilmu pengetahuan khusus."
O,"Administrasi Pemerintahan, Pertahanan Dan Jaminan Sosial Wajib","Kategori ini mencakup kegiatan yang sifatnya pemerintahan, yang umumnya dilakukan oleh administrasi pemerintahan. Kategori ini juga mencakup perundang-undangan dan penerjemahan hukum yang berkaitan dengan pengadilan dan menurut peraturannya, seperti halnya administrasi program berdasarkan peraturan perundangan-undangan, kegiatan legislatif, perpajakan, pertahanan negara, keamanan dan keselatan negara, pelayanan imigrasi, hubungan luar negeri dan administrasi program pemerintah. Kategori ini juga mencakup kegiatan jaminan sosial wajib. Status hukum atau institusi bukanlah, (termasuk didalamnya) faktor penentu bagi suatu kegiatan termasuk kategori ini dari pada kegiatan yang sudah disebutkan sebelumnya. Hal ini dimaksudkan bahwa kegiatan yang diklasifikasikan di tempat lain dalam KBLI tidak termasuk pada kategori ini, meskipun juga dilakukan oleh Badan pemerintahan. Sebagai contoh, administrasi sistem sekolah (peraturan, pemeriksaan, dan kurikulum) termasuk pada kategori ini, tetapi pengajaran itu sendiri tidak (kategori P), dan rumah sakit penjara atau militer diklasifikasikan pada kategori kesehatan (Q). Demikian pula, beberapa kegiatan yang disebutkan pada kategori ini mungkin saja dilakukan oleh selain badan pemerintah."
P,"Pendidikan","Kategori ini mencakup kegiatan pendidikan pada berbagai tingkatan dan untuk berbagai pekerjaan, baik secara lisan atau tertulis seperti halnya dengan berbagai cara komunikasi. Kategori ini juga mencakup pendidikan yang diselenggarakan oleh institusi yang berbeda dalam sistem sekolah umum pada tingkat yang berbeda-beda seperti halnya pendidikan untuk usia dewasa, program literasi dan lain-lain. Juga mencakup akademi dan sekolah militer, sekolah penjara, lembaga pemasyarakatan dan lain-lain sesuai dengan tingkatan masing-masing. Untuk setiap tingkat pendidikan pertama, kelompok ini mencakup pendidikan khusus dan layanan khusus termasuk siswa cacat baik mental atau fisik. Kategori ini mencakup pendidikan negeri dan swasta juga mencakup pengajaran yang terutama mengenai kegiatan olahraga dan hiburan dan kegiatan penunjang pendidikan. Pendidikan dapat disediakan dalam ruangan, melalui penyiaran radio dan televisi, internet dan surat menyurat."
Q,"Aktivitas Kesehatan Manusia Dan Aktivitas Sosial","Kategori ini mencakup kegiatan penyediaan jasa kesehatan dan aktivitas sosial. Kegiatan yang termasuk dalam kategori ini cukup luas cakupannya, dimulai dari pelayanan kesehatan yang diberikan oleh tenaga profesional terlatih di rumah sakit dan fasilitas kesehatan lain, hingga kegiatan perawatan di rumah yang melibatkan tingkatan kegiatan pelayanan kesehatan dan kegiatan sosial yang tidak melibatkan tenaga kesehatan profesional."
R,"Kesenian, Hiburan Dan Rekreasi","Kategori ini mencakup kegiatan yang cukup luas untuk memenuhi kebutuhan kesenian/kebudayaan, hiburan dan rekreasi masyarakat umum, termasuk pertunjukan langsung, pengoperasian tempat bersejarah, tempat perjudian, olahraga dan rekreasi."
S,"Aktivitas Jasa Lainnya","Kategori ini mencakup kegiatan dari keanggotaan organisasi, reparasi komputer dan barang-barang rumah tangga dan barang pribadi, berbagai kegiatan jasa perorangan yang tidak dicakup di tempat lain dalam klasifikasi ini."
T,"Aktivitas Rumah Tangga Sebagai Pemberi Kerja; Aktivitas Yang Menghasilkan Barang Dan Jasa Oleh Rumah Tangga yang Digunakan untuk Memenuhi Kebutuhan Sendiri","Kategori ini mencakup kegiatan rumah tangga sebagai pemberi kerja dan kegiatan yang menghasilkan barang dan jasa oleh rumah tangga yang digunakan untuk memenuhi kebutuhan sendiri."
U,"Aktivitas Badan Internasional Dan Badan Ekstra Internasional Lainnya","Kategori ini mencakup kegiatan Badan Internasional, seperti Perserikatan Bangsa-Bangsa dan perwakilan Perserikatan Bangsa-Bangsa, Badan Regional dan lain-lain, termasuk The International Monetary Fund, The World Bank, The World Customs Organization (WHO), the Organization for Economic Co-operation and Development (OECD), the Organization of Petroleum Exporting Countries (OPEC), the European Communities, the European Free Trade Association dan lain-lain. Kategori ini mencakup kegiatan perwakilan diplomatik dan konsulat (Kedutaan Besar) yang ditentukan oleh negara dimana berada daripada negara yang diwakilinya."
