"",class_name,gdp,return_on_invest
67,recession,55.746,46.249
68,goodtimes,55.183,57.097
69,recession,41.332,46.343
70,riproaringtimes,53.873,60.867
71,recession,50.514,46.953
72,riproaringtimes,53.55,60.927
73,goodtimes,50.699,57.857
74,riproaringtimes,55.835,65.18
75,goodtimes,54.443,47.149
76,goodtimes,61.197,56.569
77,recession,45.666,43.189
78,riproaringtimes,43.965,61.454
79,goodtimes,51.151,52.949
80,goodtimes,49.245,54.027
81,goodtimes,51.792,61.213
82,recession,45.427,49.939
83,riproaringtimes,51.005,72.332
84,recession,41.173,48.208
85,recession,52.395,40.92
86,riproaringtimes,45.336,70.791
87,goodtimes,52.165,57.585
88,recession,42.628,51.989
89,recession,48.508,44.545
90,recession,42.523,43.729
91,recession,47.291,42.953
92,goodtimes,59.915,57.215
93,goodtimes,60.19,57.019
94,goodtimes,49.9,55.651
95,recession,47.244,48.245
96,recession,46.838,53.827
97,riproaringtimes,41.957,62.382
98,goodtimes,58.402,56.811
99,recession,46.775,39.752
100,goodtimes,51.06,54.591
101,riproaringtimes,43.343,68.28
102,goodtimes,53.326,60.048
103,recession,46.401,45.735
104,riproaringtimes,53.293,66.126
105,riproaringtimes,49.622,62.085
106,riproaringtimes,40.743,64.617
107,goodtimes,51.372,47.964
108,riproaringtimes,45.622,68.425
109,riproaringtimes,59.954,63.616
110,riproaringtimes,52.059,57.947
111,recession,46.918,50.464
112,recession,46.84,47.692
113,goodtimes,50.9,57.608
114,riproaringtimes,46.839,69.158
115,recession,41.809,39.707
116,recession,55.572,40.734
117,recession,52.987,38.966
118,goodtimes,53.496,48.914
119,riproaringtimes,50.09,67.881
120,riproaringtimes,48.374,60.478
121,riproaringtimes,49.848,58.727
122,goodtimes,60.802,60.05
123,riproaringtimes,51.873,62.674
124,recession,45.843,45.034
125,riproaringtimes,44.781,75.762
126,goodtimes,53.621,50.731
127,riproaringtimes,50.411,60.05
128,recession,49.0,42.95
129,recession,43.151,45.187
130,recession,49.716,44.218
131,goodtimes,49.546,47.258
132,goodtimes,51.833,51.643
133,goodtimes,50.266,60.625
134,goodtimes,54.206,52.901
135,recession,47.023,49.929
136,riproaringtimes,48.624,61.118
137,goodtimes,50.592,57.858
138,recession,40.651,49.556
139,riproaringtimes,49.775,62.498
140,recession,42.732,50.605
141,recession,51.367,50.436
142,goodtimes,57.338,53.257
143,goodtimes,52.078,54.598
144,goodtimes,63.17,63.452
145,goodtimes,54.898,57.68
146,riproaringtimes,47.845,62.637
147,riproaringtimes,54.865,70.758
148,recession,42.079,44.48
149,riproaringtimes,60.093,63.361
150,riproaringtimes,46.847,65.205
151,recession,47.17,49.359
152,goodtimes,49.22,51.301
153,riproaringtimes,52.92,66.194
154,recession,40.917,55.265
155,goodtimes,42.769,52.863
156,riproaringtimes,59.196,68.081
157,recession,48.097,46.932
158,riproaringtimes,58.576,68.988
159,riproaringtimes,48.084,58.665
160,goodtimes,46.817,54.051
161,recession,51.442,47.074
162,recession,38.235,39.271
163,riproaringtimes,54.919,65.138
164,riproaringtimes,49.478,59.746
165,goodtimes,61.713,51.028
166,riproaringtimes,52.784,70.871
167,recession,41.869,44.21
168,riproaringtimes,48.516,77.414
169,recession,41.807,39.902
170,riproaringtimes,52.529,61.319
171,recession,48.862,47.548
172,riproaringtimes,55.555,62.572
173,recession,39.354,48.589
174,goodtimes,48.203,53.49
175,recession,41.754,49.469
176,riproaringtimes,50.403,57.877
177,riproaringtimes,55.664,69.766
178,goodtimes,47.839,58.27
179,goodtimes,52.787,55.612
180,riproaringtimes,54.751,66.362
181,riproaringtimes,47.128,58.981
182,riproaringtimes,53.115,72.647
183,recession,49.514,42.513
184,riproaringtimes,53.756,69.131
185,goodtimes,54.89,55.826
186,riproaringtimes,49.082,64.126
187,recession,38.179,39.792
188,goodtimes,55.479,57.368
189,goodtimes,61.171,56.023
190,riproaringtimes,43.589,56.944
191,recession,45.017,51.945
192,goodtimes,56.773,54.621
193,goodtimes,65.975,53.573
194,riproaringtimes,50.844,64.08
195,riproaringtimes,60.242,63.946
196,recession,48.431,37.981
197,goodtimes,58.219,58.677
198,recession,30.875,44.484
199,recession,40.103,47.622
200,goodtimes,58.833,55.782
201,goodtimes,59.289,57.034
202,recession,43.401,50.572
203,goodtimes,47.421,56.365
204,goodtimes,51.77,58.526
205,riproaringtimes,54.154,59.409
206,goodtimes,52.941,56.948
207,recession,47.326,45.82
208,recession,38.179,42.28
209,riproaringtimes,54.207,66.49
210,goodtimes,58.034,51.368
211,recession,46.469,47.654
212,goodtimes,55.914,57.551
213,goodtimes,56.109,55.268
214,goodtimes,44.49,50.303
215,recession,51.831,50.447
216,recession,42.733,44.718
217,riproaringtimes,39.201,66.553
218,goodtimes,54.245,60.894
219,recession,51.146,49.6
220,riproaringtimes,50.955,58.538
221,recession,53.819,43.027
222,riproaringtimes,44.98,64.169
223,recession,49.343,48.741
224,goodtimes,52.711,54.998
225,riproaringtimes,56.349,62.012
226,goodtimes,52.8,47.646
227,recession,40.767,52.027
228,goodtimes,62.676,50.306
229,riproaringtimes,46.656,74.243
230,goodtimes,50.033,56.18
231,riproaringtimes,45.69,63.702
232,riproaringtimes,49.781,68.123
233,riproaringtimes,56.926,67.953
234,riproaringtimes,40.801,56.037
235,riproaringtimes,57.113,55.853
236,riproaringtimes,58.148,57.472
237,recession,43.896,51.796
238,riproaringtimes,42.18,60.462
239,recession,44.935,43.75
240,goodtimes,56.197,57.186
241,goodtimes,55.666,53.364
242,riproaringtimes,55.309,71.985
243,riproaringtimes,54.125,64.631
244,goodtimes,60.879,50.904
245,goodtimes,56.372,55.205
246,recession,43.887,42.006
247,riproaringtimes,51.243,64.693
248,recession,46.051,42.187
249,goodtimes,51.902,55.326
250,recession,49.631,41.812
251,goodtimes,56.194,53.431
252,riproaringtimes,46.533,63.168
253,goodtimes,55.279,51.576
254,riproaringtimes,52.544,58.881
255,goodtimes,61.681,49.084
256,recession,44.854,47.616
257,riproaringtimes,51.275,59.249
258,goodtimes,54.501,55.357
259,recession,44.426,41.021
260,riproaringtimes,45.075,59.757
261,recession,49.541,41.744
262,riproaringtimes,48.57,66.482
263,recession,48.332,45.663
264,riproaringtimes,47.158,67.72
265,goodtimes,55.578,57.796
266,riproaringtimes,55.42,57.516
267,recession,46.122,48.36
268,riproaringtimes,40.974,67.391
269,recession,53.829,52.64
270,recession,44.041,45.576
271,recession,43.674,45.442
272,goodtimes,42.949,51.029
273,recession,42.127,46.78
274,recession,50.789,42.263
275,recession,43.908,47.686
276,riproaringtimes,51.811,67.254
277,goodtimes,57.036,51.952
278,recession,45.643,46.0
279,goodtimes,44.556,55.194
280,recession,50.997,44.154
281,goodtimes,58.987,58.749
282,goodtimes,64.032,50.17
283,recession,40.853,46.035
284,recession,51.7,43.164
285,recession,45.237,52.137
286,goodtimes,54.514,57.306
287,recession,47.015,46.339
288,recession,39.769,45.1
289,recession,45.881,50.396
290,recession,41.141,44.314
291,riproaringtimes,45.877,67.31
292,riproaringtimes,57.188,60.615
293,recession,44.937,45.633
294,recession,40.706,47.574
295,goodtimes,57.93,52.424
296,recession,40.806,41.74
297,recession,42.444,35.09
298,recession,35.067,42.813
299,goodtimes,65.596,51.742
300,riproaringtimes,42.944,68.588
301,riproaringtimes,50.062,60.732
302,goodtimes,54.579,45.526
303,goodtimes,52.433,59.081
304,goodtimes,54.4,47.972
305,recession,55.494,42.306
306,recession,46.719,38.878
307,goodtimes,48.51,47.569
308,goodtimes,49.666,62.04
309,recession,40.338,47.025
310,riproaringtimes,41.272,62.928
311,riproaringtimes,41.878,61.269
312,recession,44.208,39.23
313,goodtimes,45.88,50.391
314,goodtimes,47.741,56.802
315,recession,49.076,46.536
316,riproaringtimes,45.256,67.355
317,riproaringtimes,47.914,60.794
318,goodtimes,60.804,60.478
319,goodtimes,51.928,54.929
320,recession,48.506,42.249
321,goodtimes,51.617,55.736
322,recession,40.878,41.07
323,riproaringtimes,49.533,59.673
324,recession,39.155,51.681
325,riproaringtimes,53.056,62.228
326,goodtimes,59.259,54.13
327,goodtimes,57.672,53.043
328,recession,45.398,42.772
329,recession,46.71,50.391
330,recession,43.124,38.768
331,recession,48.904,49.588
332,riproaringtimes,51.224,59.285
333,goodtimes,52.077,55.692
334,recession,50.279,46.638
335,goodtimes,55.048,55.635
336,goodtimes,50.994,55.56
337,riproaringtimes,55.95,68.527
338,goodtimes,55.384,54.176
339,goodtimes,50.504,54.237
340,riproaringtimes,49.563,60.751
341,riproaringtimes,51.453,63.068
342,goodtimes,59.279,51.071
343,goodtimes,50.377,55.356
344,recession,43.871,50.634
345,recession,46.291,48.28
346,riproaringtimes,45.407,64.224
347,recession,47.429,44.894
348,riproaringtimes,49.918,68.239
349,goodtimes,49.964,61.005
350,goodtimes,52.183,58.058
351,goodtimes,47.876,56.638
352,recession,50.858,54.181
353,recession,38.607,44.787
354,recession,50.178,40.994
355,recession,41.565,50.384
356,riproaringtimes,50.016,64.379
357,riproaringtimes,48.481,63.285
358,goodtimes,54.149,51.231
359,goodtimes,58.746,57.77
360,riproaringtimes,47.384,65.024
361,riproaringtimes,51.99,64.741
362,recession,43.043,46.805
363,recession,36.422,44.505
364,recession,48.108,41.752
365,recession,44.297,42.037
366,goodtimes,55.788,63.03
367,riproaringtimes,50.236,61.682
368,goodtimes,54.81,54.62
369,riproaringtimes,53.27,66.867
370,recession,40.601,43.027
371,riproaringtimes,56.257,60.687
372,goodtimes,51.645,53.561
373,recession,45.507,44.403
374,goodtimes,50.943,55.382
375,goodtimes,57.326,47.443
376,goodtimes,58.62,62.584
377,riproaringtimes,50.975,65.384
378,riproaringtimes,43.628,62.775
379,riproaringtimes,52.255,72.353
380,recession,49.333,41.252
381,goodtimes,55.094,49.79
382,goodtimes,57.96,54.718
383,goodtimes,51.63,55.676
384,recession,41.947,52.409
385,goodtimes,51.435,61.77
386,goodtimes,58.587,53.713
387,riproaringtimes,55.661,61.303
388,recession,35.739,46.496
389,goodtimes,53.387,60.341
390,recession,44.139,38.666
391,goodtimes,49.892,54.341
392,goodtimes,59.465,55.289
393,recession,41.313,45.048
394,recession,45.08,37.932
395,riproaringtimes,42.416,59.645
396,riproaringtimes,54.733,62.08
397,recession,54.792,44.114
398,goodtimes,54.787,54.492
399,riproaringtimes,51.874,70.105
400,goodtimes,57.484,56.131
401,riproaringtimes,54.276,63.438
402,recession,40.882,53.665
403,goodtimes,58.989,59.667
404,goodtimes,55.786,55.666
405,recession,42.719,48.665
406,recession,51.075,45.802
407,riproaringtimes,54.362,65.462
408,riproaringtimes,53.106,68.07
409,recession,36.751,41.463
410,recession,51.667,51.065
411,riproaringtimes,45.697,66.774
412,riproaringtimes,50.568,71.119
413,goodtimes,62.661,57.216
414,recession,53.694,47.687
415,recession,55.899,43.637
416,recession,39.586,42.798
417,goodtimes,59.943,61.631
418,recession,40.765,51.262
419,riproaringtimes,55.114,65.653
420,recession,52.346,43.362
421,goodtimes,60.37,62.493
422,riproaringtimes,51.827,62.86
423,riproaringtimes,49.325,64.044
424,goodtimes,52.272,54.861
425,recession,38.771,43.724
426,riproaringtimes,44.542,65.636
427,riproaringtimes,49.379,60.357
428,recession,42.373,52.377
429,recession,43.907,43.706
430,recession,48.43,40.775
431,recession,45.68,47.46
432,recession,39.781,45.73
433,recession,34.443,44.499
434,recession,43.329,48.094
435,riproaringtimes,47.662,60.548
436,goodtimes,59.19,52.204
437,riproaringtimes,44.858,67.69
438,recession,46.276,44.711
439,goodtimes,54.756,51.325
440,riproaringtimes,51.15,65.461
441,riproaringtimes,42.836,65.565
442,recession,38.046,42.55
443,riproaringtimes,56.457,63.283
444,goodtimes,46.072,57.172
445,goodtimes,47.725,61.952
446,goodtimes,51.506,54.849
447,riproaringtimes,50.383,70.455
448,riproaringtimes,45.157,60.261
449,goodtimes,51.743,57.282
450,riproaringtimes,38.415,65.462
451,recession,48.624,45.803
452,recession,42.008,40.573
453,riproaringtimes,48.998,64.558
454,riproaringtimes,60.248,64.542
455,recession,40.12,46.13
456,riproaringtimes,49.765,67.469
457,goodtimes,55.973,50.581
458,goodtimes,53.827,63.054
459,riproaringtimes,47.675,69.609
460,goodtimes,52.658,52.522
461,riproaringtimes,52.045,67.941
462,riproaringtimes,50.285,70.573
463,riproaringtimes,54.894,64.383
464,goodtimes,51.279,52.754
465,recession,45.536,51.174
466,recession,42.938,39.812
467,riproaringtimes,38.501,59.605
468,recession,48.169,47.047
469,riproaringtimes,50.597,66.349
470,recession,47.456,45.912
471,goodtimes,63.37,52.463
472,riproaringtimes,46.124,61.881
473,goodtimes,53.704,51.779
474,goodtimes,56.966,55.272
475,riproaringtimes,47.235,64.822
476,goodtimes,59.212,57.976
477,recession,51.361,44.428
478,riproaringtimes,54.769,61.904
479,goodtimes,53.938,56.214
480,recession,44.173,40.754
481,recession,35.263,49.248
482,goodtimes,50.803,53.699
483,recession,37.585,47.539
484,riproaringtimes,53.573,65.162
485,goodtimes,54.853,50.461
486,riproaringtimes,52.792,69.974
487,recession,39.54,45.676
488,goodtimes,58.512,49.561
489,recession,49.818,44.287
490,recession,54.303,50.081
491,riproaringtimes,50.299,64.208
492,riproaringtimes,51.367,62.873
493,goodtimes,54.07,56.71
494,riproaringtimes,50.911,67.455
495,riproaringtimes,56.023,61.582
496,goodtimes,54.234,50.871
497,goodtimes,45.559,64.132
498,riproaringtimes,45.078,58.227
499,goodtimes,64.327,57.453
500,goodtimes,56.041,47.84
501,riproaringtimes,49.896,59.072
502,goodtimes,60.403,60.636
503,riproaringtimes,53.612,59.721
504,riproaringtimes,51.452,57.377
505,goodtimes,61.105,58.542
506,goodtimes,52.255,58.441
507,riproaringtimes,43.796,75.414
508,riproaringtimes,48.376,67.1
509,recession,42.095,48.201
510,recession,47.474,42.224
511,recession,40.519,48.758
512,riproaringtimes,48.504,65.495
513,riproaringtimes,52.487,65.663
514,goodtimes,53.193,55.197
515,recession,47.583,50.968
516,riproaringtimes,47.234,60.559
517,goodtimes,56.567,57.89
518,goodtimes,55.795,52.273
519,recession,42.862,45.964
520,recession,50.305,45.088
521,recession,53.084,33.003
522,goodtimes,61.86,57.254
523,riproaringtimes,52.676,75.73
524,recession,40.564,45.624
525,goodtimes,52.469,55.823
526,goodtimes,52.011,54.053
527,recession,43.002,45.909
528,riproaringtimes,42.591,69.453
529,recession,41.566,55.5
530,riproaringtimes,49.686,55.656
531,recession,45.535,47.524
532,goodtimes,50.963,51.363
533,recession,44.024,38.903
534,riproaringtimes,49.137,62.414
535,riproaringtimes,53.153,67.581
536,goodtimes,56.429,55.52
537,goodtimes,55.363,47.803
538,riproaringtimes,48.209,62.971
539,riproaringtimes,48.017,69.242
540,riproaringtimes,49.668,63.279
541,goodtimes,64.398,53.057
542,riproaringtimes,50.041,63.612
543,recession,43.757,52.205
544,recession,51.034,36.576
545,riproaringtimes,46.095,70.014
546,riproaringtimes,47.77,61.441
547,recession,54.648,47.318
548,riproaringtimes,47.804,67.809
549,riproaringtimes,51.57,63.109
550,riproaringtimes,48.444,65.072
551,goodtimes,49.947,62.388
552,riproaringtimes,51.745,66.159
553,recession,39.219,38.46
554,goodtimes,59.651,57.336
555,goodtimes,58.547,53.015
556,recession,46.372,45.957
557,goodtimes,58.545,57.142
558,riproaringtimes,44.597,65.407
559,goodtimes,61.078,56.32
560,riproaringtimes,50.919,67.945
561,goodtimes,59.863,56.659
562,goodtimes,56.806,53.804
563,recession,42.374,41.64
564,riproaringtimes,48.144,67.07
565,goodtimes,56.065,55.183
566,goodtimes,51.534,50.385
567,riproaringtimes,52.791,59.322
568,goodtimes,55.161,60.73
569,goodtimes,54.544,52.621
570,riproaringtimes,57.172,65.525
571,riproaringtimes,55.025,66.446
572,goodtimes,55.573,50.777
573,recession,44.645,43.242
574,riproaringtimes,42.449,74.631
575,riproaringtimes,48.121,67.594
576,recession,46.399,41.298
577,riproaringtimes,56.475,61.028
578,goodtimes,51.58,47.778
579,goodtimes,52.072,55.086
580,recession,54.844,42.66
581,recession,51.306,41.208
582,riproaringtimes,49.916,64.263
583,riproaringtimes,49.54,70.521
584,recession,46.74,40.251
585,recession,49.329,52.616
586,goodtimes,58.108,68.711
587,riproaringtimes,57.719,66.94
588,riproaringtimes,50.378,71.431
589,riproaringtimes,54.938,70.884
590,recession,46.994,46.567
591,goodtimes,56.452,59.001
592,goodtimes,61.214,50.124
593,goodtimes,52.397,47.596
594,riproaringtimes,46.675,68.752
595,riproaringtimes,51.952,65.643
596,goodtimes,60.322,59.969
597,riproaringtimes,52.153,64.917
598,riproaringtimes,48.836,58.569
599,riproaringtimes,49.471,66.507
600,goodtimes,47.354,59.133
601,goodtimes,51.623,59.681
602,goodtimes,57.122,56.882
603,goodtimes,60.321,47.733
604,riproaringtimes,46.773,68.142
605,riproaringtimes,50.179,73.508
606,goodtimes,52.488,53.745
607,goodtimes,56.73,57.034
608,goodtimes,46.807,49.096
609,riproaringtimes,52.56,63.369
610,goodtimes,50.428,50.855
611,recession,38.717,42.858
612,recession,53.589,47.069
613,recession,42.314,42.793
614,recession,54.283,43.33
615,riproaringtimes,47.744,60.205
616,recession,42.105,44.232
617,recession,40.248,47.358
618,riproaringtimes,46.882,58.318
619,goodtimes,57.176,57.372
620,goodtimes,55.237,43.628
621,goodtimes,63.913,57.796
622,goodtimes,57.98,50.155
623,riproaringtimes,58.344,63.524
624,riproaringtimes,43.498,58.104
625,recession,45.915,31.079
626,recession,46.475,56.377
627,goodtimes,56.869,53.214
628,recession,47.488,45.956
629,goodtimes,56.978,56.463
630,goodtimes,56.793,50.379
631,riproaringtimes,44.217,61.892
632,goodtimes,55.808,45.922
633,goodtimes,55.497,61.679
634,goodtimes,59.724,50.047
635,riproaringtimes,45.687,67.958
636,riproaringtimes,55.628,71.698
637,recession,51.882,33.438
638,riproaringtimes,49.929,68.033
639,goodtimes,50.218,54.205
640,goodtimes,59.642,58.644
641,recession,39.559,46.569
642,goodtimes,64.673,56.373
643,riproaringtimes,55.898,70.135
644,recession,46.016,50.308
645,goodtimes,46.983,57.448
646,riproaringtimes,52.975,70.612
647,goodtimes,62.508,58.033
648,riproaringtimes,53.126,66.674
649,riproaringtimes,46.873,61.161
650,riproaringtimes,42.724,67.824
651,recession,41.37,43.362
652,recession,45.795,45.823
653,riproaringtimes,53.895,63.921
654,goodtimes,56.455,62.398
655,riproaringtimes,45.575,63.062
656,riproaringtimes,55.309,64.709
657,riproaringtimes,46.882,60.65
658,riproaringtimes,48.186,66.437
659,riproaringtimes,52.313,64.859
660,recession,46.54,42.193
661,riproaringtimes,48.385,74.858
662,goodtimes,57.446,51.297
663,riproaringtimes,52.918,71.433
664,riproaringtimes,53.709,66.235
665,recession,51.422,41.8
666,goodtimes,46.704,51.267
667,goodtimes,51.156,55.785
668,recession,45.091,43.654
669,riproaringtimes,54.707,64.253
670,riproaringtimes,47.954,72.271
671,recession,47.771,44.967
672,recession,46.776,43.902
673,riproaringtimes,48.723,72.193
674,recession,45.246,44.945
675,recession,45.045,49.207
676,recession,43.375,48.187
677,riproaringtimes,53.033,71.27
678,recession,47.785,48.92
679,recession,49.991,48.103
680,goodtimes,55.006,55.274
681,recession,48.756,43.005
682,goodtimes,44.125,56.56
683,riproaringtimes,40.666,63.491
684,goodtimes,57.677,54.333
685,riproaringtimes,52.511,67.554
686,riproaringtimes,52.149,62.398
687,goodtimes,52.71,64.357
688,riproaringtimes,59.864,62.056
689,riproaringtimes,54.95,50.617
690,goodtimes,49.205,52.622
691,riproaringtimes,52.548,64.78
692,recession,32.921,45.064
693,goodtimes,52.294,57.617
694,riproaringtimes,47.633,61.488
695,goodtimes,49.991,50.839
696,goodtimes,54.831,57.47
697,goodtimes,51.973,49.872
698,riproaringtimes,55.293,63.279
699,riproaringtimes,45.008,63.742
700,goodtimes,51.634,55.85
701,riproaringtimes,43.401,65.364
702,recession,40.161,46.479
703,goodtimes,53.267,64.958
704,recession,50.738,42.442
705,riproaringtimes,47.262,62.201
706,goodtimes,55.66,55.616
707,riproaringtimes,49.551,67.575
708,recession,51.995,43.331
709,riproaringtimes,54.319,62.204
710,riproaringtimes,51.415,68.98
711,recession,42.678,40.562
712,recession,44.869,54.608
713,riproaringtimes,51.805,72.821
714,riproaringtimes,50.656,74.158
715,riproaringtimes,52.301,65.22
716,riproaringtimes,47.7,68.344
717,recession,43.969,47.477
718,recession,45.342,41.089
719,recession,39.683,46.126
720,goodtimes,56.516,52.18
721,goodtimes,59.52,60.609
722,riproaringtimes,52.624,67.164
723,goodtimes,61.517,56.718
724,goodtimes,59.1,54.39
725,recession,45.382,48.903
726,riproaringtimes,48.502,67.732
727,riproaringtimes,54.267,57.668
728,riproaringtimes,48.709,66.784
729,riproaringtimes,46.762,66.766
730,riproaringtimes,49.56,69.609
731,goodtimes,56.281,54.749
732,riproaringtimes,55.03,66.986
733,riproaringtimes,49.59,59.295
734,goodtimes,55.633,52.727
735,recession,37.233,47.263
736,riproaringtimes,49.747,70.394
737,goodtimes,54.017,58.614
738,goodtimes,53.485,59.957
739,riproaringtimes,52.827,65.881
740,recession,49.42,42.178
741,recession,45.808,40.147
742,riproaringtimes,63.672,67.865
743,goodtimes,49.685,56.366
744,riproaringtimes,48.042,66.993
745,goodtimes,50.704,55.104
746,recession,43.751,43.202
747,riproaringtimes,48.283,69.197
748,recession,41.514,46.612
749,riproaringtimes,45.181,57.921
750,recession,46.724,39.31
751,riproaringtimes,46.986,69.969
752,recession,54.171,54.036
753,recession,48.424,43.414
754,riproaringtimes,47.223,71.386
755,recession,37.502,37.07
756,goodtimes,57.702,56.888
757,recession,44.37,38.563
758,goodtimes,61.992,58.385
759,recession,47.938,48.533
760,riproaringtimes,44.334,60.703
761,goodtimes,61.087,67.595
762,recession,47.872,46.807
763,riproaringtimes,47.439,68.218
764,riproaringtimes,52.799,70.576
765,riproaringtimes,58.181,66.392
766,recession,42.012,43.942
767,riproaringtimes,49.122,61.797
768,riproaringtimes,54.953,70.235
769,recession,51.861,45.231
770,recession,51.615,54.289
771,riproaringtimes,51.981,66.31
772,riproaringtimes,47.691,63.878
773,goodtimes,53.062,57.624
774,goodtimes,55.048,57.269
775,recession,42.275,43.299
776,goodtimes,51.506,54.422
777,recession,49.268,44.15
778,recession,50.625,46.33
779,goodtimes,58.683,54.328
780,goodtimes,53.628,55.01
781,goodtimes,59.19,63.77
782,recession,52.091,49.851
783,recession,43.244,42.118
784,riproaringtimes,58.391,64.035
785,goodtimes,62.537,56.247
786,recession,50.455,48.55
787,riproaringtimes,48.706,75.622
788,goodtimes,58.604,59.903
789,recession,47.647,40.785
790,recession,39.387,41.014
791,goodtimes,56.117,55.998
792,riproaringtimes,44.657,61.825
793,goodtimes,54.424,49.808
794,goodtimes,52.588,52.739
795,goodtimes,58.309,64.664
796,recession,44.592,55.601
797,goodtimes,53.605,58.761
798,riproaringtimes,48.505,64.294
799,riproaringtimes,47.502,62.936
800,recession,47.653,39.41
801,recession,46.336,46.43
802,goodtimes,60.875,55.478
803,recession,46.169,43.7
804,recession,42.914,44.799
805,goodtimes,52.691,54.104
806,recession,47.148,49.426
807,goodtimes,51.008,54.112
808,recession,40.938,40.263
809,goodtimes,53.558,62.358
810,goodtimes,60.057,57.877
811,recession,48.159,45.284
812,riproaringtimes,54.438,60.006
813,goodtimes,56.088,50.865
814,riproaringtimes,47.959,74.489
815,goodtimes,62.397,51.308
816,recession,37.704,45.196
817,recession,39.197,43.946
818,riproaringtimes,50.161,57.32
819,recession,49.319,44.602
820,goodtimes,59.776,53.866
821,riproaringtimes,48.346,65.845
822,riproaringtimes,53.827,61.683
823,goodtimes,52.155,57.579
824,recession,44.822,46.735
825,riproaringtimes,55.977,66.915
826,goodtimes,52.381,60.882
827,riproaringtimes,52.192,67.693
828,recession,56.415,51.08
829,recession,44.18,45.815
830,riproaringtimes,51.469,62.994
831,recession,47.943,40.337
832,goodtimes,50.512,55.87
833,goodtimes,56.165,53.152
834,riproaringtimes,47.731,77.17
835,riproaringtimes,45.507,65.25
836,goodtimes,56.95,46.72
837,recession,48.151,45.251
838,recession,48.395,46.302
839,riproaringtimes,50.692,59.75
840,riproaringtimes,53.2,67.457
841,recession,48.141,41.618
842,goodtimes,63.979,47.235
843,recession,39.774,46.028
844,riproaringtimes,51.504,67.77
845,goodtimes,54.089,61.581
846,goodtimes,49.12,53.123
847,recession,41.709,46.048
848,recession,46.529,41.026
849,goodtimes,56.404,58.849
850,riproaringtimes,41.879,59.102
851,riproaringtimes,49.216,64.716
852,riproaringtimes,48.292,59.455
853,recession,40.286,56.559
854,goodtimes,57.725,53.442
855,recession,49.181,48.078
856,riproaringtimes,51.728,72.644
857,recession,42.342,50.246
858,recession,40.406,41.06
859,riproaringtimes,51.313,69.299
860,recession,43.824,40.38
861,riproaringtimes,49.47,73.715
862,recession,51.283,43.57
863,recession,41.047,41.312
864,recession,48.016,43.064
865,riproaringtimes,49.946,67.447
866,riproaringtimes,47.812,68.144
867,recession,44.06,44.841
868,riproaringtimes,55.768,67.864
869,recession,42.011,51.535
870,recession,41.017,48.971
871,riproaringtimes,51.986,66.356
872,recession,39.686,42.629
873,goodtimes,49.647,58.279
874,riproaringtimes,55.484,66.116
875,recession,47.998,43.287
876,riproaringtimes,48.331,69.994
877,recession,41.437,50.109
878,recession,41.57,44.019
879,goodtimes,51.811,61.495
880,recession,41.645,40.546
881,recession,47.529,47.3
882,goodtimes,56.824,59.034
883,recession,48.613,37.747
884,riproaringtimes,46.005,61.909
885,goodtimes,62.091,51.58
886,riproaringtimes,51.577,61.975
887,riproaringtimes,49.629,64.557
888,riproaringtimes,47.808,64.117
889,goodtimes,58.92,52.034
