"Atomic Number","Element","Symbol","Atomic Weight","Period","Group","Phase","Most Stable Crystal","Type","Ionic Radius","Atomic Radius","Electronegativity","First Ionization Potential","Density","Melting Point (K)","Boiling Point (K)","Isotopes","Specific Heat Capacity","Electron Configuration","Origin","Display Row","Display Column"
12,"Magnesium","Mg",24.305,3,2,"solid","hex","Alkaline Earth Metal",0.72,1.7,1.31,7.6462,1.738,923.15,1363,8,1.023,"[Ne] 3s2","Dying high-mass stars",3,2
13,"Aluminum","Al",26.9815386,3,13,"solid","fcc","Post-transition Metal",0.54,1.8,1.61,5.9858,2.698,933.4,2792,8,0.897,"[Ne] 3s2 3p1","Dying high-mass stars",3,13
14,"Silicon","Si",28.0855,3,14,"solid","fcc","Metalloid",0.4,1.5,1.9,8.1517,2.3296,1683.15,3538,8,0.705,"[Ne] 3s2 3p2","Dying high-mass stars",3,14
15,"Phosphorus","P",30.973762,3,15,"solid","cub","Reactive Nonmetal",0.38,1.2,2.19,10.4867,1.82,317.25,553,7,0.769,"[Ne] 3s2 3p3","Dying high-mass stars",3,15
16,"Sulfur","S",32.065,3,16,"solid","orth","Reactive Nonmetal",0.37,1.1,2.58,10.36,2.067,388.51,717.8,10,0.71,"[Ne] 3s2 3p4","Dying high-mass stars / White dwarf supernovae",3,16
17,"Chlorine","Cl",35.453,3,17,"gas",,"Reactive Nonmetal",1.8,0.97,3.16,12.9676,0.003214,172.31,239.11,11,0.479,"[Ne] 3s2 3p5","Dying high-mass stars",3,17
18,"Argon","Ar",39.948,3,18,"gas",,"Noble Gas",,0.88,,15.7596,0.0017837,83.96,87.3,8,0.52,"[Ne] 3s2 3p6","Dying high-mass stars / White dwarf supernovae",3,18
19,"Potassium","K",39.0983,4,1,"solid","bcc","Alkali Metal",1.4,2.8,0.82,4.3407,0.862,336.5,1032,10,0.757,"[Ar] 4s1","Dying high-mass stars",4,1
20,"Calcium","Ca",40.078,4,2,"solid","fcc","Alkaline Earth Metal",0.99,2.2,1,6.1132,1.54,1112.15,1757,14,0.647,"[Ar] 4s2","Dying high-mass stars / White dwarf supernovae",4,2
21,"Scandium","Sc",44.955912,4,3,"solid","hex","Transition Metal",0.75,2.1,1.36,6.5615,2.989,1812.15,3109,15,0.568,"[Ar] 3d1 4s2","Dying high-mass stars",4,3
22,"Titanium","Ti",47.867,4,4,"solid","hex","Transition Metal",0.61,2,1.54,6.8281,4.54,1933.15,3560,9,0.523,"[Ar] 3d2 4s2","White dwarf supernovae",4,4
23,"Vanadium","V",50.9415,4,5,"solid","bcc","Transition Metal",0.59,1.9,1.63,6.7462,6.11,2175.15,3680,9,0.489,"[Ar] 3d3 4s2","White dwarf supernovae",4,5
24,"Chromium","Cr",51.9961,4,6,"solid","bcc","Transition Metal",0.52,1.9,1.66,6.7665,7.15,2130.15,2944,9,0.449,"[Ar] 3d5 4s1","White dwarf supernovae",4,6
25,"Manganese","Mn",54.938045,4,7,"solid","bcc","Transition Metal",0.46,1.8,1.55,7.434,7.44,1519.15,2334,11,0.479,"[Ar] 3d5 4s2","White dwarf supernovae",4,7
26,"Iron","Fe",55.845,4,8,"solid","bcc","Transition Metal",0.65,1.7,1.83,7.9024,7.874,1808.15,3134,10,0.449,"[Ar] 3d6 4s2","White dwarf supernovae",4,8
27,"Cobalt","Co",58.933195,4,9,"solid","hex","Transition Metal",0.75,1.7,1.88,7.881,8.86,1768.15,3200,14,0.421,"[Ar] 3d7 4s2","White dwarf supernovae",4,9
28,"Nickel","Ni",58.6934,4,10,"solid","fcc","Transition Metal",0.69,1.6,1.91,7.6398,8.912,1726.15,3186,11,0.444,"[Ar] 3d8 4s2","White dwarf supernovae",4,10
29,"Copper","Cu",63.546,4,11,"solid","fcc","Transition Metal",0.73,1.6,1.9,7.7264,8.96,1357.75,2835,11,0.385,"[Ar] 3d10 4s1","Dying high-mass stars / White dwarf supernovae",4,11
30,"Zinc","Zn",65.38,4,12,"solid","hex","Transition Metal",0.74,1.5,1.65,9.3942,7.134,692.88,1180,15,0.388,"[Ar] 3d10 4s2","Dying high-mass stars / White dwarf supernovae",4,12
31,"Gallium","Ga",69.723,4,13,"solid","orth","Post-transition Metal",0.62,1.8,1.81,5.9993,5.907,302.91,2477,14,0.371,"[Ar] 3d10 4s2 4p1","Dying high-mass stars",4,13
32,"Germanium","Ge",72.64,4,14,"solid","fcc","Metalloid",0.53,1.5,2.01,7.8994,5.323,1211.45,3106,17,0.32,"[Ar] 3d10 4s2 4p2","Dying high-mass stars",4,14
33,"Arsenic","As",74.9216,4,15,"solid","rho","Metalloid",0.58,1.3,2.18,9.7886,5.776,1090.15,887,14,0.329,"[Ar] 3d10 4s2 4p3","Dying high-mass stars",4,15
34,"Selenium","Se",78.96,4,16,"solid","hex","Reactive Nonmetal",0.5,1.2,2.55,9.7524,4.809,494.15,958,20,0.321,"[Ar] 3d10 4s2 4p4","Dying high-mass stars",4,16
35,"Bromine","Br",79.904,4,17,"liquid",,"Reactive Nonmetal",2,1.1,2.96,11.8138,3.122,266.05,332,19,0.474,"[Ar] 3d10 4s2 4p5","Dying high-mass stars",4,17
36,"Krypton","Kr",83.798,4,18,"gas",,"Noble Gas",,1,,13.9996,0.003733,115.93,119.93,23,0.248,"[Ar] 3d10 4s2 4p6","Dying high-mass stars",4,18
37,"Rubidium","Rb",85.4678,5,1,"solid","bcc","Alkali Metal",1.5,3,0.82,4.1771,1.532,312.79,961,20,0.363,"[Kr] 5s1","Dying high-mass stars",5,1
38,"Strontium","Sr",87.62,5,2,"solid","fcc","Alkaline Earth Metal",1.1,2.5,0.95,5.6949,2.64,1042.15,1655,18,0.301,"[Kr] 5s2","Dying low-mass stars",5,2
39,"Yttrium","Y",88.90585,5,3,"solid","hex","Transition Metal",0.9,2.3,1.22,6.2173,4.469,1799.15,3609,21,0.298,"[Kr] 4d1 5s2","Dying low-mass stars",5,3
40,"Zirconium","Zr",91.224,5,4,"solid","hex","Transition Metal",0.72,2.2,1.33,6.6339,6.506,2125.15,4682,20,0.278,"[Kr] 4d2 5s2","Dying low-mass stars",5,4
41,"Niobium","Nb",92.90638,5,5,"solid","bcc","Transition Metal",0.69,2.1,1.6,6.7589,8.57,2741.15,5017,24,0.265,"[Kr] 4d4 5s1","Dying low-mass stars",5,5
42,"Molybdenum","Mo",95.96,5,6,"solid","bcc","Transition Metal",0.65,2,2.16,7.0924,10.22,2890.15,4912,20,0.251,"[Kr] 4d5 5s1","Merging neutron stars / Dying low-mass stars",5,6
43,"Technetium","Tc",98,5,7,"solid","hex","Transition Metal",0.56,2,1.9,7.28,11.5,2473.15,5150,23,,"[Kr] 4d5 5s2","Radioactive decay",5,7
44,"Ruthenium","Ru",101.07,5,8,"solid","hex","Transition Metal",0.68,1.9,2.2,7.3605,12.37,2523.15,4423,16,0.238,"[Kr] 4d7 5s1","Merging neutron stars",5,8
45,"Rhodium","Rh",102.9055,5,9,"solid","fcc","Transition Metal",0.68,1.8,2.28,7.4589,12.41,2239.15,3968,20,0.243,"[Kr] 4d8 5s1","Merging neutron stars",5,9
46,"Palladium","Pd",106.42,5,10,"solid","fcc","Transition Metal",0.86,1.8,2.2,8.3369,12.02,1825.15,3236,21,0.244,"[Kr] 4d10","Merging neutron stars / Dying low-mass stars",5,10
47,"Silver","Ag",107.8682,5,11,"solid","fcc","Transition Metal",1.3,1.8,1.93,7.5762,10.501,1234.15,2435,27,0.235,"[Kr] 4d10 5s1","Merging neutron stars",5,11
48,"Cadmium","Cd",112.411,5,12,"solid","hex","Transition Metal",0.97,1.7,1.69,8.9938,8.69,594.33,1040,22,0.232,"[Kr] 4d10 5s2","Merging neutron stars / Dying low-mass stars",5,12
49,"Indium","In",114.818,5,13,"solid","tet","Post-transition Metal",0.8,2,1.78,5.7864,7.31,429.91,2345,34,0.233,"[Kr] 4d10 5s2 5p1","Merging neutron stars",5,13
50,"Tin","Sn",118.71,5,14,"solid","tet","Post-transition Metal",0.69,1.7,1.96,7.3439,7.287,505.21,2875,28,0.228,"[Kr] 4d10 5s2 5p2","Merging neutron stars / Dying low-mass stars",5,14
51,"Antimony","Sb",121.76,5,15,"solid","rho","Metalloid",0.76,1.5,2.05,8.6084,6.685,904.05,1860,29,0.207,"[Kr] 4d10 5s2 5p3","Merging neutron stars",5,15
52,"Tellurium","Te",127.6,5,16,"solid","hex","Metalloid",0.97,1.4,2.1,9.0096,6.232,722.8,1261,29,0.202,"[Kr] 4d10 5s2 5p4","Merging neutron stars / Dying low-mass stars",5,16
53,"Iodine","I",126.90447,5,17,"solid","orth","Reactive Nonmetal",2.2,1.3,2.66,10.4513,4.93,386.65,457.4,24,0.214,"[Kr] 4d10 5s2 5p5","Merging neutron stars",5,17
54,"Xenon","Xe",131.293,5,18,"gas","gas","Noble Gas",,1.2,,12.1298,0.005887,161.45,165.03,31,0.158,"[Kr] 4d10 5s2 5p6","Merging neutron stars",5,18
55,"Cesium","Cs",132.9054519,6,1,"solid",,"Alkali Metal",1.7,3.3,0.79,3.8939,1.873,301.7,944,22,0.242,"[Xe] 6s1","Merging neutron stars",6,1
56,"Barium","Ba",137.327,6,2,"solid","bcc","Alkaline Earth Metal",1.4,2.8,0.89,5.2117,3.594,1002.15,2170,25,0.204,"[Xe] 6s2","Dying low-mass stars",6,2
57,"Lanthanum","La",138.90547,6,3,"solid","hex","Lanthanide",1.1,2.7,1.1,5.5769,6.145,1193.15,3737,19,0.195,"[Xe] 5d1 6s2","Merging neutron stars / Dying low-mass stars",8,3
58,"Cerium","Ce",140.116,6,19,"solid","fcc","Lanthanide",1,2.7,1.12,5.5387,6.77,1071.15,3716,19,0.192,"[Xe] 4f1 5d1 6s2","Dying low-mass stars",8,4
59,"Praseodymium","Pr",140.90765,6,20,"solid","hex","Lanthanide",1,2.7,1.13,5.473,6.773,1204.15,3793,15,0.193,"[Xe] 4f3 6s2","Merging neutron stars / Dying low-mass stars",8,5
60,"Neodymium","Nd",144.242,6,21,"solid","hex","Lanthanide",1,2.6,1.14,5.525,7.007,1289.15,3347,16,0.19,"[Xe] 4f4 6s2","Merging neutron stars / Dying low-mass stars",8,6
61,"Promethium","Pm",145,6,22,"solid","hex","Lanthanide",0.98,2.6,1.13,5.582,7.26,1204.15,3273,14,,"[Xe] 4f5 6s2","Radioactive decay",8,7
62,"Samarium","Sm",150.36,6,23,"solid","hex","Lanthanide",0.96,2.6,1.17,5.6437,7.52,1345.15,2067,17,0.197,"[Xe] 4f6 6s2","Merging neutron stars",8,8
63,"Europium","Eu",151.964,6,24,"solid","bcc","Lanthanide",0.95,2.6,1.2,5.6704,5.243,1095.15,1802,21,0.182,"[Xe] 4f7 6s2","Merging neutron stars",8,9
64,"Gadolinium","Gd",157.25,6,25,"solid","hex","Lanthanide",0.94,2.5,1.2,6.1501,7.895,1585.15,3546,17,0.236,"[Xe] 4f7 5d1 6s2","Merging neutron stars",8,10
65,"Terbium","Tb",158.92535,6,26,"solid","hex","Lanthanide",0.92,2.5,1.2,5.8638,8.229,1630.15,3503,24,0.182,"[Xe] 4f9 6s2","Merging neutron stars",8,11
66,"Dysprosium","Dy",162.5,6,27,"solid","hex","Lanthanide",0.91,2.5,1.22,5.9389,8.55,1680.15,2840,21,0.17,"[Xe] 4f10 6s2","Merging neutron stars",8,12
67,"Holmium","Ho",164.93032,6,28,"solid","hex","Lanthanide",0.9,2.5,1.23,6.0215,8.795,1743.15,2993,29,0.165,"[Xe] 4f11 6s2","Merging neutron stars",8,13
68,"Erbium","Er",167.259,6,29,"solid","hex","Lanthanide",0.88,2.5,1.24,6.1077,9.066,1795.15,3503,16,0.168,"[Xe] 4f12 6s2","Merging neutron stars",8,14
69,"Thulium","Tm",168.93421,6,30,"solid","hex","Lanthanide",0.87,2.4,1.25,6.1843,9.321,1818.15,2223,18,0.16,"[Xe] 4f13 6s2","Merging neutron stars",8,15
70,"Ytterbium","Yb",173.054,6,31,"solid","fcc","Lanthanide",0.86,2.4,1.1,6.2542,6.965,1097.15,1469,16,0.155,"[Xe] 4f14 6s2","Merging neutron stars",8,16
71,"Lutetium","Lu",174.9668,6,32,"solid","hex","Lanthanide",0.85,2.3,1.27,5.4259,9.84,1936.15,3675,22,0.154,"[Xe] 4f14 5d1 6s2","Merging neutron stars",8,17
72,"Hafnium","Hf",178.49,6,4,"solid","hex","Transition Metal",0.71,2.2,1.3,6.8251,13.31,2500.15,4876,17,0.144,"[Xe] 4f14 5d2 6s2","Merging neutron stars / Dying low-mass stars",6,4
73,"Tantalum","Ta",180.94788,6,5,"solid","bcc","Transition Metal",0.64,2.1,1.5,7.5496,16.654,3269.15,5731,19,0.14,"[Xe] 4f14 5d3 6s2","Merging neutron stars / Dying low-mass stars",6,5
74,"Tungsten","W",183.84,6,6,"solid","bcc","Transition Metal",0.62,2,2.36,7.864,19.25,3680.15,5828,22,0.132,"[Xe] 4f14 5d4 6s2","Merging neutron stars / Dying low-mass stars",6,6
75,"Rhenium","Re",186.207,6,7,"solid","hex","Transition Metal",0.56,2,1.9,7.8335,21.02,3453.15,5869,21,0.137,"[Xe] 4f14 5d5 6s2","Merging neutron stars",6,7
76,"Osmium","Os",190.23,6,8,"solid","hex","Transition Metal",0.63,1.9,2.2,8.4382,22.61,3300.15,5285,19,0.13,"[Xe] 4f14 5d6 6s2","Merging neutron stars",6,8
77,"Iridium","Ir",192.217,6,9,"solid","fcc","Transition Metal",0.63,1.9,2.2,8.967,22.56,2716.15,4701,25,0.131,"[Xe] 4f14 5d7 6s2","Merging neutron stars",6,9
78,"Platinum","Pt",195.084,6,10,"solid","fcc","Transition Metal",0.63,1.8,2.28,8.9587,21.46,2045.15,4098,32,0.133,"[Xe] 4f14 5d9 6s1","Merging neutron stars",6,10
79,"Gold","Au",196.966569,6,11,"solid","fcc","Transition Metal",0.85,1.8,2.54,9.2255,19.282,1337.73,3129,21,0.129,"[Xe] 4f14 5d10 6s1","Merging neutron stars",6,11
80,"Mercury","Hg",200.59,6,12,"liquid",,"Transition Metal",1,1.8,2,10.4375,13.5336,234.43,630,26,0.14,"[Xe] 4f14 5d10 6s2","Merging neutron stars / Dying low-mass stars",6,12
81,"Thallium","Tl",204.3833,6,13,"solid","hex","Post-transition Metal",1.5,2.1,2.04,6.1082,11.85,577.15,1746,28,0.129,"[Xe] 4f14 5d10 6s2 6p1","Dying low-mass stars",6,13
82,"Lead","Pb",207.2,6,14,"solid","fcc","Post-transition Metal",1.2,1.8,2.33,7.4167,11.342,600.75,2022,29,0.129,"[Xe] 4f14 5d10 6s2 6p2","Merging neutron stars / Dying low-mass stars",6,14
83,"Bismuth","Bi",208.9804,6,15,"solid","rho","Post-transition Metal",1,1.6,2.02,7.2856,9.807,544.67,1837,19,0.122,"[Xe] 4f14 5d10 6s2 6p3","Merging neutron stars",6,15
84,"Polonium","Po",210,6,16,"solid","cub","Post-transition Metal",2.3,1.5,2,8.417,9.32,527.15,1235,34,,"[Xe] 4f14 5d10 6s2 6p4","Radioactive decay",6,16
85,"Astatine","At",210,6,17,"solid",,"Post-transition Metal",,1.4,2.2,9.3,7,575.15,610,21,,"[Xe] 4f14 5d10 6s2 6p5","Radioactive decay",6,17
86,"Radon","Rn",222,6,18,"gas",,"Noble Gas",,1.3,,10.7485,0.00973,202.15,211.3,20,0.094,"[Xe] 4f14 5d10 6s2 6p6","Radioactive decay",6,18
87,"Francium","Fr",223,7,1,"solid","bcc","Alkali Metal",1.8,,0.7,4.0727,1.87,300.15,950,21,,"[Rn] 7s1","Radioactive decay",7,1
88,"Radium","Ra",226,7,2,"solid","bcc","Alkaline Earth Metal",1.4,,0.9,5.2784,5.5,973.15,2010,15,,"[Rn] 7s2","Radioactive decay",7,2
89,"Actinium","Ac",227,7,3,"solid","fcc","Actinide",1.1,,1.1,5.17,10.07,1323.15,3471,11,0.12,"[Rn] 6d1 7s2","Radioactive decay",9,3
90,"Thorium","Th",232.03806,7,19,"solid","fcc","Actinide",0.97,,1.3,6.3067,11.72,2028.15,5061,12,0.113,"[Rn] 6d2 7s2","Merging neutron stars",9,4
91,"Protactinium","Pa",231.03588,7,20,"solid","orth","Actinide",0.78,,1.5,5.89,15.37,1873.15,4300,14,,"[Rn] 5f2 6d1 7s2","Radioactive decay",9,5
92,"Uranium","U",238.02891,7,21,"solid","orth","Actinide",0.52,,1.38,6.1941,18.95,1405.15,4404,15,0.116,"[Rn] 5f3 6d1 7s2","Merging neutron stars",9,6
93,"Neptunium","Np",237,7,22,"solid","orth","Actinide",0.75,,1.36,6.2657,20.45,913.15,4273,153,,"[Rn] 5f4 6d1 7s2","Radioactive decay",9,7
94,"Plutonium","Pu",244,7,23,"solid","mno","Actinide",0.89,,1.28,6.0262,19.84,913.15,3501,163,,"[Rn] 5f6 7s2","Merging neutron stars",9,8
95,"Americium","Am",243,7,24,"solid","hex","Actinide",0.98,,1.3,5.9738,13.69,1267.15,2880,133,,"[Rn] 5f7 7s2","Human-made",9,9
96,"Curium","Cm",247,7,25,"solid","hex","Actinide",0.97,,1.3,5.9915,13.51,1340.15,3383,133,,,"Human-made",9,10
97,"Berkelium","Bk",247,7,26,"solid","hex","Actinide",0.95,,1.3,6.1979,14.79,1259.15,983,83,,,"Human-made",9,11
98,"Californium","Cf",251,7,27,"solid","hex","Actinide",0.93,,1.3,6.2817,15.1,1925.15,1173,123,,,"Human-made",9,12
99,"Einsteinium","Es",252,7,28,"solid","hex","Actinide",,,1.3,6.42,13.5,1133.15,,123,,,"Human-made",9,13
100,"Fermium","Fm",257,7,29,"solid",,"Actinide",,,1.3,6.5,,,,103,,,"Human-made",9,14
101,"Mendelevium","Md",258,7,30,"solid",,"Actinide",,,1.3,6.58,,,,33,,,"Human-made",9,15
102,"Nobelium","No",259,7,31,"solid",,"Actinide",,,1.3,6.65,,,,73,,,"Human-made",9,16
103,"Lawrencium","Lr",262,7,32,"solid",,"Actinide",,,,,,,,203,,,"Human-made",9,17
104,"Rutherfordium","Rf",261,7,4,"unknown",,"Transition Metal",,,,,18.1,,,,,,"Human-made",7,4
105,"Dubnium","Db",262,7,5,"unknown",,"Transition Metal",,,,,39,,,,,,"Human-made",7,5
106,"Seaborgium","Sg",266,7,6,"unknown",,"Transition Metal",,,,,35,,,,,,"Human-made",7,6
107,"Bohrium","Bh",264,7,7,"unknown",,"Transition Metal",,,,,37,,,,,,"Human-made",7,7
108,"Hassium","Hs",267,7,8,"unknown",,"Transition Metal",,,,,41,,,,,,"Human-made",7,8
109,"Meitnerium","Mt",268,7,9,"unknown",,,,,,,35,,,,,,"Human-made",7,9
110,"Darmstadtium","Ds",271,7,10,"unknown",,,,,,,,,,,,,"Human-made",7,10
111,"Roentgenium","Rg",272,7,11,"unknown",,,,,,,,,,,,,"Human-made",7,11
112,"Copernicium","Cn",285,7,12,"unknown",,,,,,,,,,,,,"Human-made",7,12
113,"Nihonium","Nh",284,7,13,"unknown",,,,,,,,,,,,,"Human-made",7,13
114,"Flerovium","Fl",289,7,14,"unknown",,,,,,,,,,,,,"Human-made",7,14
115,"Moscovium","Mc",288,7,15,"unknown",,,,,,,,,,,,,"Human-made",7,15
116,"Livermorium","Lv",292,7,16,"unknown",,,,,,,,,,,,,"Human-made",7,16
117,"Tennessine","Ts",295,7,17,"unknown",,,,,,,,,,,,,"Human-made",7,17
118,"Oganesson","Og",294,7,18,"unknown",,,,,,,,,,,,,"Human-made",7,18
