"Variable / Field Name";"Form Name";"Section Header";"Field Type";"Field Label";"Choices, Calculations, OR Slider Labels";"Field Note";"Text Validation Type OR Show Slider Number";"Text Validation Min";"Text Validation Max";Identifier?;"Branching Logic (Show field only if...)";"Required Field?";"Custom Alignment";"Question Number (surveys only)";"Matrix Group Name";"Matrix Ranking?";"Field Annotation"
starting_date_info;anamnesis;;descriptive;"<div class=""rich-text-field-label""><p>Starting date: Please use format MM/YYYY. <br /><span style=""font-weight: normal;"">If the month is unknown, please type XX/YYYY. </span><br /><span style=""font-weight: normal;"">If the year is unknown, please type XX/XXXX.</span></p></div>";;;;;;;;;;;;;
ibd_drugs;anamnesis;;descriptive;"<div class=""rich-text-field-label""><p>Â </p> <table style=""width: 100%; height: 189px; border-collapse: collapse;"" border=""1""> <tbody> <tr style=""height: 21px;""> <td style=""width: 17.9421%; height: 21px;"">IBD-related drugs</td> <td style=""width: 23.3106%; height: 21px;"">Status of medication</td> <td style=""width: 18.8664%; height: 21px;"">Dosage</td> <td style=""width: 15.7605%; height: 21px;"">If active: since when?</td> <td style=""width: 15.7605%;"">If active: starting date?</td> </tr> <tr style=""height: 21px;""> <td style=""width: 17.9421%; height: 21px;""><span style=""font-weight: normal;"">Prednisolone or equivalent</span></td> <td style=""width: 23.3106%; height: 21px;""><span style=""font-weight: normal;"">{prednisolone_status}</span></td> <td style=""width: 18.8664%; height: 21px;""> <p><span style=""font-weight: normal;"">{prednisolone_dose} </span></p> <p><span style=""font-weight: normal;"">mg/d</span></p> </td> <td style=""width: 15.7605%; height: 21px;""><span style=""font-weight: normal;"">{prednisolone_duration} weeks</span></td> <td style=""width: 15.7605%;""><span style=""font-weight: normal;"">{prednisolone_start}</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 17.9421%; height: 21px;""><span style=""font-weight: normal;"">Budesonid oral</span></td> <td style=""width: 23.3106%; height: 21px;""><span style=""font-weight: normal;"">{budesonide_oral_status}</span></td> <td style=""width: 18.8664%; height: 21px;""> <p><span style=""font-weight: normal;"">{budesonide_oral_dose} </span></p> <p><span style=""font-weight: normal;"">mg/d</span></p> </td> <td style=""width: 15.7605%; height: 21px;""><span style=""font-weight: normal;"">{budesonide_oral_duration} weeks</span></td> <td style=""width: 15.7605%;""><span style=""font-weight: normal;"">Â {budesonide_oral_start}</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 17.9421%; height: 21px;""><span style=""font-weight: normal;"">Budesonid rectal</span></td> <td style=""width: 23.3106%; height: 21px;""><span style=""font-weight: normal;"">{budesonide_rectal_status}</span></td> <td style=""width: 18.8664%; height: 21px;""> <p><span style=""font-weight: normal;"">{budesonide_rectal_dose} </span></p> <p><span style=""font-weight: normal;"">mg/d</span></p> </td> <td style=""width: 15.7605%; height: 21px;""><span style=""font-weight: normal;"">{budesonide_rectal_duration} weeks</span></td> <td style=""width: 15.7605%;""><span style=""font-weight: normal;"">Â {budesonide_rectal_start}</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 17.9421%; height: 21px;""><span style=""font-weight: normal;"">5-ASA oral</span></td> <td style=""width: 23.3106%; height: 21px;""><span style=""font-weight: normal;"">{asa_oral_status}</span></td> <td style=""width: 18.8664%; height: 21px;""> <p><span style=""font-weight: normal;"">{asa_oral_dose} </span></p> <p><span style=""font-weight: normal;"">mg/d</span></p> </td> <td style=""width: 15.7605%; height: 21px;""><span style=""font-weight: normal;"">{asa_oral_duration} weeks</span></td> <td style=""width: 15.7605%;""><span style=""font-weight: normal;"">Â {asa_oral_start}</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 17.9421%; height: 21px;""><span style=""font-weight: normal;"">5-ASA rectal</span></td> <td style=""width: 23.3106%; height: 21px;""><span style=""font-weight: normal;"">{asa_rectal_status}</span></td> <td style=""width: 18.8664%; height: 21px;""> <p><span style=""font-weight: normal;"">{asa_rectal_dose} </span></p> <p><span style=""font-weight: normal;"">mg/d</span></p> </td> <td style=""width: 15.7605%; height: 21px;""><span style=""font-weight: normal;"">{asa_rectal_duration} weeks</span></td> <td style=""width: 15.7605%;""><span style=""font-weight: normal;"">Â {asa_rectal_start}</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 17.9421%; height: 21px;""><span style=""font-weight: normal;"">MTX</span></td> <td style=""width: 23.3106%; height: 21px;""><span style=""font-weight: normal;"">{mtx_status}</span></td> <td style=""width: 18.8664%; height: 21px;""> <p><span style=""font-weight: normal;"">{mtx_dose} </span></p> <p><span style=""font-weight: normal;"">mg/weeks</span></p> </td> <td style=""width: 15.7605%; height: 21px;""><span style=""font-weight: normal;"">{mtx_duration} weeks</span></td> <td style=""width: 15.7605%;""><span style=""font-weight: normal;"">Â {mtx_start}</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 17.9421%; height: 21px;""><span style=""font-weight: normal;"">AZA</span></td> <td style=""width: 23.3106%; height: 21px;""><span style=""font-weight: normal;"">{aza_status}</span></td> <td style=""width: 18.8664%; height: 21px;""> <p><span style=""font-weight: normal;"">{aza_dose} </span></p> <p><span style=""font-weight: normal;"">mg/d</span></p> </td> <td style=""width: 15.7605%; height: 21px;""><span style=""font-weight: normal;"">{aza_duration} weeks</span></td> <td style=""width: 15.7605%;""><span style=""font-weight: normal;"">Â {aza_start}</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 17.9421%; height: 21px;""><span style=""font-weight: normal;"">6-MP</span></td> <td style=""width: 23.3106%; height: 21px;""><span style=""font-weight: normal;"">{mp_status}</span></td> <td style=""width: 18.8664%; height: 21px;""> <p><span style=""font-weight: normal;"">{mp_dose} </span></p> <p><span style=""font-weight: normal;"">mg/d</span></p> </td> <td style=""width: 15.7605%; height: 21px;""><span style=""font-weight: normal;"">{mp_duration} weeks</span></td> <td style=""width: 15.7605%;""><span style=""font-weight: normal;"">Â {mp_start}</span></td> </tr> </tbody> </table> <p>Â </p></div>";;;;;;;;;;;;;
prior_biologics;anamnesis;;checkbox;"Prior exposure to another biological drug?";"1, Infliximab|2, Adalimumab|3, Certolizumab pegol|4, Golimumab|5, Vedolizumab|6, Ustekinumab|7, Tofacitinib|8, Phase II/III drug (no placebo)|9, None of the above";;;;;;;y;;;;;
prednisolone_status;anamnesis;;dropdown;"Prednisolone status";"1, never treated|2, former treatment|3, current treatment";;;;;;;y;;;;;
prednisolone_dose;anamnesis;;text;"Prednisolone dose";;mg/d;number;;;;"[prednisolone_status] = '3'";y;;;;;
prednisolone_duration;anamnesis;;text;"Prednisolone duration";;weeks;integer;;;;"[prednisolone_status] = '3'";y;;;;;
prednisolone_start;anamnesis;;text;"Prednisolone starting date";;;;;;;"[prednisolone_status] = '3'";;;;;;
budesonide_oral_status;anamnesis;;dropdown;"Budesonide oral status";"1, never treated|2, former treatment|3, current treatment";;;;;;;y;;;;;
budesonide_oral_dose;anamnesis;;text;"Budesonide oral dose";;;number;;;;"[budesonide_oral_status] = '3'";y;;;;;
budesonide_oral_duration;anamnesis;;text;"Budesonide oral duration";;weeks;integer;;;;"[budesonide_oral_status] = '3'";y;;;;;
budesonide_oral_start;anamnesis;;text;"Budesonide oral starting date";;;;;;;"[budesonide_oral_status] = '3'";;;;;;
budesonide_rectal_status;anamnesis;;dropdown;"Budesonide rectal status";"1, never treated|2, former treatment|3, current treatment";;;;;;;y;;;;;
budesonide_rectal_dose;anamnesis;;text;"Budesonide rectal dose";;mg/d;number;;;;"[budesonide_rectal_status] = '3'";y;;;;;
budesonide_rectal_duration;anamnesis;;text;"Budesonide rectal duration";;weeks;integer;;;;"[budesonide_rectal_status] = '3'";y;;;;;
budesonide_rectal_start;anamnesis;;text;"Budesonide rectal starting date";;;;;;;"[budesonide_rectal_status] = '3'";;;;;;
asa_oral_status;anamnesis;;dropdown;"5-ASA oral status";"1, never treated|2, former treatment|3, current treatment";;;;;;;y;;;;;
asa_oral_dose;anamnesis;;text;"5-ASA oral dose";;;number;;;;"[asa_oral_status] = '3'";y;;;;;
asa_oral_duration;anamnesis;;text;"5-ASA oral duration";;;integer;;;;"[asa_oral_status] = '3'";y;;;;;
asa_oral_start;anamnesis;;text;"5-ASA oral starting date";;;;;;;"[asa_oral_status] = '3'";;;;;;
asa_rectal_status;anamnesis;;dropdown;"5-ASA rectal status";"1, never treated|2, former treatment|3, current treatment";;;;;;;y;;;;;
asa_rectal_dose;anamnesis;;text;"5-ASA dose";;;number;;;;"[asa_rectal_status] = '3'";y;;;;;
asa_rectal_duration;anamnesis;;text;"5-ASA duration";;;integer;;;;"[asa_rectal_status] = '3'";y;;;;;
asa_rectal_start;anamnesis;;text;"5-ASA starting date";;;;;;;"[asa_rectal_status] = '3'";;;;;;
mtx_status;anamnesis;;dropdown;"MTX status";"1, never treated|2, former treatment|3, current treatment";;;;;;;y;;;;;
mtx_dose;anamnesis;;text;"MTX dose";;;number;;;;"[mtx_status] = '3'";y;;;;;
mtx_duration;anamnesis;;text;"MTX duration";;;integer;;;;"[mtx_status] = '3'";y;;;;;
mtx_start;anamnesis;;text;"MTX starting date";;;;;;;"[mtx_status] = '3'";;;;;;
aza_status;anamnesis;;dropdown;"AZA status";"1, never treated|2, former treatment|3, current treatment";;;;;;;y;;;;;
aza_dose;anamnesis;;text;"AZA dose";;;number;;;;"[aza_status] = '3'";y;;;;;
aza_duration;anamnesis;;text;"AZA duration";;;integer;;;;"[aza_status] = '3'";y;;;;;
aza_start;anamnesis;;text;"AZA starting date";;;;;;;"[aza_status] = '3'";;;;;;
mp_status;anamnesis;;dropdown;"6-MP status";"1, never treated|2, former treatment|3, current treatment";;;;;;;y;;;;;
mp_dose;anamnesis;;text;"6-MP dose";;;number;;;;"[mp_status] = '3'";y;;;;;
mp_duration;anamnesis;;text;"6-MP duration";;;integer;;;;"[mp_status] = '3'";y;;;;;
mp_start;anamnesis;;text;"6-MP starting date";;;;;;;"[mp_status] = '3'";;;;;;
covid_questions;covid19;;yesno;"Did the patient return COVID-19 questionnaire or is he/she willing to take questions on COVID-19?";;;;;;;;y;;;;;
covid_diagnosis;covid19;;yesno;"Have you been diagnosed with COVID-19?";;;;;;;"[covid_questions] = '1'";y;;;;;
covid_diagnostic_test;covid19;;yesno;"Has your diagnosis been confirmed by a test (e.g. PCR or swab test, antigen test, autoantibody levels)?";;;;;;;"[covid_questions] = '1' and [covid_diagnosis] = '1'";;;;;;
covid_hospitalised;covid19;;yesno;"Have you been hospitalised due to COVID-19?";;;;;;;"[covid_questions] = '1' and [covid_diagnosis] = '1'";;;;;;
covid_vaccine;covid19;;yesno;"Have you been vaccinated against COVID-19?";;;;;;;"[covid_questions] = '1'";y;;;;;
covid_vaccine_doses;covid19;;radio;"How many doses have you received?";"1, 1 shot | 2, 2 shots | 3, 3 shots | 4, 4 shots";;;;;;"[covid_questions] = '1' and [covid_vaccine] = '1'";;;;;;
covid_vaccine_first;covid19;;radio;"Which vaccine did you receive the first time?";"1, Pfizer/Biontech vaccine (Comirnaty) | 2, Moderna vaccine | 3, AstraZeneca vaccine | 4, Johnson&Johnson vaccine | 5, SputnikV | 9, other";;;;;;"[covid_questions] = '1' and [covid_vaccine_doses] >= '1'";;;;;;
covid_vaccine_second;covid19;;radio;"Which vaccine did you receive the second time?";"1, Pfizer/Biontech vaccine (Comirnaty) | 2, Moderna vaccine | 3, AstraZeneca vaccine | 4, Johnson&Johnson vaccine | 5, SputnikV | 9, other";;;;;;"[covid_questions] = '1' and [covid_vaccine_doses] >= '2'";;;;;;
covid_vaccine_third;covid19;;radio;"Which vaccine did you receive the third time?";"1, Pfizer/Biontech vaccine (Comirnaty) | 2, Moderna vaccine | 3, AstraZeneca vaccine | 4, Johnson&Johnson vaccine | 5, SputnikV | 9, other";;;;;;"[covid_questions] = '1' and [covid_vaccine_doses] >= '3'";;;;;;
covid_vaccine_forth;covid19;;radio;"Which vaccine did you receive the forth time?";"1, Pfizer/Biontech vaccine (Comirnaty) | 2, Moderna vaccine | 3, AstraZeneca vaccine | 4, Johnson&Johnson vaccine | 5, SputnikV | 9, other";;;;;;"[covid_questions] = '1' and [covid_vaccine_doses] = '4'";;;;;;
date_visit;clinical_visit;;text;"Date of clinical visit";;;date_dmy;;;;;y;;;;;
height_linked;clinical_visit;;calc;"Body height";[week_0_arm_1][height];cm;;;;;;;;;;;
standard_weight;clinical_visit;;calc;"Standard weight";"round(100*(if([gender] = 2, [week_0_arm_1][height]*[week_0_arm_1][height]/10000*22.1, [week_0_arm_1][height]*[week_0_arm_1][height]/10000*22.1)))/100";;;;;;;;;;;;
current_weight;clinical_visit;;text;"Current weight";;kg;integer;;;;;y;;;;;
bmi;clinical_visit;;calc;BMI;round([current_weight]*1000000/([week_0_arm_1][height]*[week_0_arm_1][height]))/100;kg/mÂ²;;;;;;;;;;;
pga;clinical_visit;;radio;"Physician's global assessment";"0, 0 (normal)|1, 1 (mild disease)|2, 2 (moderate disease)|3, 3 (severe disease)";;;;;;;y;;;;;
wellbeing;clinical_visit;;radio;"Patient well-being";"0, 0 = generally well | 1, 1 = slightly below par | 2, 2 = poor | 3, 3 = very poor | 4, 4 = terrible";;;;;;;y;;;;;
treatment_intensification;clinical_visit;;yesno;"Treatment intensification including introduction of toxic long-term therapies (i.e. systemic glucocorticoids) since last visit?";;;;;;;;y;;;;;
hospitalisation;clinical_visit;;yesno;"Hospitalisation since the last visit?";;;;;;;;y;;;;;
current_infections;clinical_visit;;yesno;"Current infections or infections since the last visit?";;;;;;;;y;;;;;
intestinal_surgery;clinical_visit;;yesno;"Intestinal surgery since the last visit?";;;;;;;;y;;;;;
liver_disease;clinical_visit;;yesno;"New liver disease diagnosed since last visit?";;;;;;;;y;;;;;
psoriasiformic;clinical_visit;;yesno;"New psoriasiformic skin lesions?";;;;;;;;y;;;;;
clinical_symptoms;clinical_visit;;checkbox;"New clinically significant symptoms?";"1, Head/Throat|2, Circulation|3, Respiration|4, Renal|5, Limbs|6, Skin|7, CNS|8, Urogenital|9, None of the above";;;;;;;y;;;;;
stool_frequency;clinical_visit;;radio;"Stool frequency score";"0, 0 (normal number of stools)|1, 1 (1-2 more than normal)|2, 2 (3-4 more than normal)|3, 3 (â¥ 5 more than normal)";;;;;;;y;;;;;
stool_liquid;clinical_visit;;text;"Number of liquid stools per day";;;number;0;40;;;y;;;;;
antidiarrhea_drug;clinical_visit;;yesno;"Antidiarrheal drugs, e.g. Immodium";;;;;;;;y;;;;;
rectal_bleeding;clinical_visit;;radio;"Rectal bleeding score";"0, 0 (none)|1, 1 (streaks of blood with stool in in less than half of the cases)|2, 2 (obvious blood with stools in most cases)|3, 3 (blood alone passes)";;;;;;;y;;;;;
abdominal_pain;clinical_visit;;radio;"Abdominal pain";"0, 0 = none | 1, 1 = mild | 2, 2 = moderate | 3, 3 = severe";;;;;;;y;;;;;
abdominal_mass;clinical_visit;;radio;"Abdominal mass";"5, Definite|2, Questionable|0, No";;;;;;;;;;;;
joints;clinical_visit;"Extraintestinal manifestations";radio;Arthritis/Arthralgia;"1, yes|0, no";;;;;;;y;;;extraintestinal_manifestations;;
eyes;clinical_visit;;radio;Iritis/Uveitis;"1, yes|0, no";;;;;;;y;;;extraintestinal_manifestations;;
skin_ulcer;clinical_visit;;radio;"Erythema nodosum, Pyoderma gangrenosum, aphthous stomatitis";"1, yes|0, no";;;;;;;y;;;extraintestinal_manifestations;;
anal;clinical_visit;;radio;"Anal fissure, fistula or abscess";"1, yes|0, no";;;;;;;y;;;extraintestinal_manifestations;;
other_fistula;clinical_visit;;radio;"Other fistula";"1, yes|0, no";;;;;;;y;;;extraintestinal_manifestations;;
fever;clinical_visit;;radio;"Fever over 37.8Â°C during past 7 days";"1, yes|0, no";;;;;;;y;;;extraintestinal_manifestations;;
cd_pro2;clinical_visit;;calc;"PRO2 (CD)";"if([week_0_arm_1][diagnosis] = 1, [stool_liquid]*2+[abdominal_pain]*5, """")";;;;;;"[week_0_arm_1][diagnosis] = '1'";;;;;;
cd_pro3;clinical_visit;;calc;"PRO3 (CD)";"if([week_0_arm_1][diagnosis] = 1, [stool_liquid]*2+[abdominal_pain]*5+[wellbeing]*7, """")";;;;;;"[week_0_arm_1][diagnosis] = '1'";;;;;;
cdai;clinical_visit;;calc;CDAI;"if([week_0_arm_1][diagnosis] = 1, 
round(
[stool_liquid]*14+
[abdominal_pain]*35+
[wellbeing]*49+
[joints]*20+[eyes]*20+[skin_ulcer]*20+[anal]*20+[other_fistula]*20+[fever]*20+
[abdominal_mass]*10+
[antidiarrhea_drug]*30+
if ( ( if ( [week_0_arm_1][gender] = 2 , 47, 42) - [hematokrit]) < 0 , 0, (if([week_0_arm_1][gender] = 2 , 47, 42)-[hematokrit]))*6+
if ( ( 100*( ( [week_0_arm_1][standard_weight]-[current_weight] ) / [week_0_arm_1][standard_weight] ) ) < -10, -10, 100*( ( [week_0_arm_1][standard_weight]-[current_weight] ) /[week_0_arm_1][standard_weight] ) ) )
, """")";;;;;;"[week_0_arm_1][diagnosis] = '1'";;;;;;
uc_pro2;clinical_visit;;calc;"PRO2 (UC)";"if([week_0_arm_1][diagnosis] = 2, [stool_frequency]+[rectal_bleeding], """")";;;;;;"[week_0_arm_1][diagnosis] = '2'";;;;;;
partial_mayo;clinical_visit;;calc;"Partial Mayo score";"if([week_0_arm_1][diagnosis] = 2, [stool_frequency]+[rectal_bleeding]+[pga], """")";;;;;;"[week_0_arm_1][diagnosis] = '2'";;;;;;
complete_mayo;clinical_visit;;calc;"Complete Mayo score";"if([week_0_arm_1][diagnosis] = 2, [stool_frequency]+[rectal_bleeding]+[pga]+[endo_mayo], """")";;;;;;"[endoscopy_performed] = '1' AND [week_0_arm_1][diagnosis] = '2'";;;;;;
used_drug_2;clinical_visit;;descriptive;"<div class=""rich-text-field-label""><p>Current biologics agent: Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  [week_0_arm_1][used_drug]</p></div>";;;;;;;;;;;;;
current_prednisolon_dose;clinical_visit;;text;"Current prednisolon dose";;mg/d;number;;;;;y;;;;;
current_dose;clinical_visit;;text;"Current dose (incl today's treatment)";;mg;number;;;;;y;;;;;
cumulative_dose;clinical_visit;;text;"Cumulative dose (with today's treatment)";;mg;number;;;;;y;;;;;
response;clinical_visit;;yesno;"Has the patient achieved a satisfactory response to treatment?";;"No at baseline/week 0";;;;;;y;RH;;;;
low_activity;clinical_visit;;yesno;"Is the patient in a low disease activity state?";;;;;;;;y;RH;;;;
remission;clinical_visit;;yesno;"Is the patient in remission?";;;;;;;;y;RH;;;;
phga;clinical_visit;;slider;"Physician's global assessment

How do you rate your patient's current disease
activity?

The bar indicates a scale from 0 to 100.";"0 - complete inactivity |  | 100 - maximal possible activity";;number;;;;;y;RH;;;;
paga;clinical_visit;;slider;"Patient's global assessment

Considering all the ways your disease has affected
you, how active do you feel your disease has been
during the last week?

The bar indicates a scale from 0 to 100. ";"0 - complete inactivity |  | 100 - maximal possible activity";;number;;;;;;RH;;;;
hemoglobin;routine_lab_values;;text;Hemoglobin;;"xx.x g/dl";number;0;20;;;y;;;;;
leucocytes;routine_lab_values;;text;Leucocytes;;"xx.xx /10^-9 l";number;0;200;;;y;;;;;
hematokrit;routine_lab_values;;text;Hematokrit;;"xx.x %";number;0;100;;;y;;;;;
mcv;routine_lab_values;;text;"Mean red cell volume (MCV)";;"xx.x fl";number;0;200;;;y;;;;;
mhc;routine_lab_values;;text;"Mean red cell haemoglobin (MCH)";;"xx.x pg";number;0;100;;;y;;;;;
thrombocytes;routine_lab_values;;text;Thrombocytes;;"xxxx /10^-9 l";number;0;2000;;;y;;;;;
neutrophils;routine_lab_values;;text;Neutrophils;;"x.xx /10^-9 l";number;0;100;;;;;;;;
lymphocytes;routine_lab_values;;text;Lymphocytes;;"x.xx /10^-9 l";number;0;100;;;;;;;;
eosinophils;routine_lab_values;;text;Eosinophils;;"x.xx /10^-9 l";number;0;100;;;;;;;;
creatinine;routine_lab_values;;text;Creatinine;;"xxx Âµmol/l";number;0;10000;;;y;;;;;
gfr;routine_lab_values;;text;"GFR CKD-Epi";;"xxx ml/min/1.73";number;0;200;;;y;;;;;
bilirubin;routine_lab_values;;text;Bilirubin;;"xxx.x Âµmol/l";number;0;10000;;;y;;;;;
