# query_id	rel_n	lca_lineage
NZ_HG326224.1|read54	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae; Peptoniphilus
NZ_HG326224.1|read55	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Clostridium butyricum
NZ_HG326224.1|read56	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read57	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae; Anaerococcus; Anaerococcus lactolyticus
NZ_HG326224.1|read58	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium
NZ_HG326224.1|read59	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae; Peptoniphilus
NZ_HG326224.1|read61	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae; Peptoniphilus
NZ_HG326224.1|read63	2	cellular organisms; Bacteria
NZ_HG326224.1|read65	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read66	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae; Clostridioides; Clostridioides difficile
NZ_HG326224.1|read68	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Anaerostipes; Anaerostipes caccae; Anaerostipes caccae DSM 14662
NZ_HG326224.1|read69	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales
NZ_HG326224.1|read70	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae; Peptoniphilus; unclassified Peptoniphilus
NZ_HG326224.1|read71	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae
NZ_HG326224.1|read72	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae; Clostridioides; Clostridioides difficile
NZ_HG326224.1|read73	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae; Finegoldia; Finegoldia magna
NZ_HG326224.1|read74	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read75	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read76	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales
NZ_HG326224.1|read77	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales
NZ_HG326224.1|read78	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read79	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae; Peptoniphilus
NZ_HG326224.1|read80	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read83	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia
NZ_HG326224.1|read84	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read85	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia
NZ_HG326224.1|read87	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia
NZ_HG326224.1|read88	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae
NZ_HG326224.1|read89	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia
NZ_HG326224.1|read90	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae; Peptoniphilus
NZ_HG326224.1|read91	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae; Peptoniphilus
NZ_HG326224.1|read92	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae
NZ_HG326224.1|read93	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae
NZ_HG326224.1|read94	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae; Anaerococcus; Anaerococcus lactolyticus
NZ_HG326224.1|read95	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae
NZ_HG326224.1|read96	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia
NZ_HG326224.1|read97	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae
NZ_HG326224.1|read98	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read99	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae
NZ_HG326224.1|read100	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read102	2	cellular organisms; Bacteria
NZ_HG326224.1|read103	2	cellular organisms; Bacteria
NZ_HG326224.1|read104	2	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella
NZ_HG326224.1|read106	2	cellular organisms; Bacteria
NZ_HG326224.1|read109	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia
NZ_HG326224.1|read117	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read118	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read119	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae; Finegoldia; Finegoldia magna
NZ_HG326224.1|read120	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae; Peptoniphilus
NZ_HG326224.1|read121	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae; Peptoniphilus
NZ_HG326224.1|read123	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales
NZ_HG326224.1|read124	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales
NZ_HG326224.1|read125	2	cellular organisms; Bacteria; Thermotogae; Thermotogae; Thermotogales; Thermotogaceae; Thermotoga
NZ_HG326224.1|read126	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales
NZ_HG326224.1|read127	2	cellular organisms; Bacteria
NZ_HG326224.1|read129	2	cellular organisms; Bacteria; Thermotogae; Thermotogae; Thermotogales; Thermotogaceae; Thermotoga
NZ_HG326224.1|read132	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read133	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae; Peptoniphilus
NZ_HG326224.1|read135	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Hungateiclostridiaceae; Ruminiclostridium
NZ_HG326224.1|read136	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read139	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae; Parvimonas; Parvimonas micra
NZ_HG326224.1|read140	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales
NZ_HG326224.1|read143	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read147	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Erysipelothrix; Erysipelothrix rhusiopathiae
NZ_HG326224.1|read151	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae; Peptoniphilus
NZ_HG326224.1|read152	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae
NZ_HG326224.1|read154	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae
NZ_HG326224.1|read155	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae; Parvimonas; Parvimonas micra
NZ_HG326224.1|read156	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia
NZ_HG326224.1|read157	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia
NZ_HG326224.1|read158	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales
NZ_HG326224.1|read159	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read160	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read161	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read163	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia
NZ_HG326224.1|read164	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales
NZ_HG326224.1|read165	2	cellular organisms; Bacteria; Spirochaetes; Spirochaetia; Spirochaetales; Spirochaetaceae; Treponema; Treponema denticola
NZ_HG326224.1|read166	2	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Myroides; Myroides odoratus
NZ_HG326224.1|read171	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium
NZ_HG326224.1|read172	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales
NZ_HG326224.1|read173	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales
NZ_HG326224.1|read175	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Clostridium botulinum; Clostridium botulinum E
NZ_HG326224.1|read176	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium
NZ_HG326224.1|read177	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Clostridium kluyveri
NZ_HG326224.1|read178	2	cellular organisms; Bacteria
NZ_HG326224.1|read179	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Oscillospiraceae; Oscillibacter; unclassified Oscillibacter
NZ_HG326224.1|read180	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli
NZ_HG326224.1|read181	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read182	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read183	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae; Peptoniphilus
NZ_HG326224.1|read191	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read194	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae; Anaerococcus; Anaerococcus lactolyticus
NZ_HG326224.1|read199	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read200	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae
NZ_HG326224.1|read207	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read208	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read209	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales
NZ_HG326224.1|read210	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read211	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read213	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae
NZ_HG326224.1|read216	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read217	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read218	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Clostridium botulinum
NZ_HG326224.1|read219	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read220	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read221	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read222	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae
NZ_HG326224.1|read226	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Brevibacillus
NZ_HG326224.1|read227	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read228	2	cellular organisms; Bacteria; Terrabacteria group
NZ_HG326224.1|read229	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read232	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales
NZ_HG326224.1|read233	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Aerococcaceae; Facklamia
NZ_HG326224.1|read234	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read235	2	cellular organisms; Bacteria
NZ_HG326224.1|read236	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales
NZ_HG326224.1|read238	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae; Peptoniphilus
NZ_HG326224.1|read239	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae; Peptoniphilus
NZ_HG326224.1|read240	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae; Peptoniphilus; unclassified Peptoniphilus
NZ_HG326224.1|read241	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read243	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae; Finegoldia; Finegoldia magna
NZ_HG326224.1|read245	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read246	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae; Peptoniphilus
NZ_HG326224.1|read247	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae; Anaerococcus; Anaerococcus lactolyticus
NZ_HG326224.1|read248	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae; Parvimonas; unclassified Parvimonas
NZ_HG326224.1|read251	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read256	2	cellular organisms; Bacteria; Terrabacteria group
NZ_HG326224.1|read258	2	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia
NZ_HG326224.1|read262	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium
NZ_HG326224.1|read264	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae
NZ_HG326224.1|read265	2	cellular organisms; Bacteria
NZ_HG326224.1|read266	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Clostridium tetani
NZ_HG326224.1|read268	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae
NZ_HG326224.1|read269	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium
NZ_HG326224.1|read270	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales
NZ_HG326224.1|read271	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium
NZ_HG326224.1|read272	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium
NZ_HG326224.1|read273	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae
NZ_HG326224.1|read274	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae
NZ_HG326224.1|read275	2	cellular organisms; Bacteria; Fusobacteria; Fusobacteriia; Fusobacteriales; Fusobacteriaceae; Fusobacterium; Fusobacterium ulcerans
NZ_HG326224.1|read276	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales
NZ_HG326224.1|read278	2	cellular organisms; Bacteria
NZ_HG326224.1|read279	2	cellular organisms; Bacteria
NZ_HG326224.1|read281	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales
NZ_HG326224.1|read282	2	cellular organisms; Bacteria; Spirochaetes; Spirochaetia; Spirochaetales; Spirochaetaceae; Treponema; Treponema denticola
NZ_HG326224.1|read283	2	cellular organisms; Bacteria; Spirochaetes; Spirochaetia; Spirochaetales; Spirochaetaceae; Treponema; Treponema denticola
NZ_HG326224.1|read284	2	cellular organisms; Bacteria; Spirochaetes; Spirochaetia; Spirochaetales; Spirochaetaceae; Treponema; Treponema denticola
NZ_HG326224.1|read291	2	cellular organisms; Bacteria; Spirochaetes; Spirochaetia; Spirochaetales; Spirochaetaceae; Treponema
NZ_HG326224.1|read292	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae
NZ_HG326224.1|read293	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae
NZ_HG326224.1|read294	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Clostridium tetani
NZ_HG326224.1|read295	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales
NZ_HG326224.1|read297	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales
NZ_HG326224.1|read299	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae; Anaerococcus; Anaerococcus lactolyticus
NZ_HG326224.1|read300	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales
NZ_HG326224.1|read301	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales
NZ_HG326224.1|read302	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia
NZ_HG326224.1|read303	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia
NZ_HG326224.1|read304	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales
NZ_HG326224.1|read305	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae; Peptoniphilus
NZ_HG326224.1|read306	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae; Peptoniphilus
NZ_HG326224.1|read307	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales
NZ_HG326224.1|read308	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae; Finegoldia; Finegoldia magna
NZ_HG326224.1|read309	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae; Peptoniphilus
NZ_HG326224.1|read310	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Caldanaerobacter; Caldanaerobacter subterraneus
NZ_HG326224.1|read311	2	cellular organisms; Bacteria
NZ_HG326224.1|read312	2	cellular organisms; Bacteria; Thermotogae; Thermotogae
NZ_HG326224.1|read315	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae
NZ_HG326224.1|read316	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read319	2	cellular organisms; Bacteria
NZ_HG326224.1|read320	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia
NZ_HG326224.1|read321	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae
NZ_HG326224.1|read322	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae; Anaerococcus
NZ_HG326224.1|read323	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read328	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Candidatus Arthromitus; unclassified Candidatus Arthromitus
NZ_HG326224.1|read329	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Clostridium perfringens
NZ_HG326224.1|read330	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae
NZ_HG326224.1|read331	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales
NZ_HG326224.1|read333	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read334	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae; Peptoniphilus
NZ_HG326224.1|read335	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae; Peptoniphilus; unclassified Peptoniphilus
NZ_HG326224.1|read336	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Caldanaerobacter; Caldanaerobacter subterraneus
NZ_HG326224.1|read337	2	cellular organisms; Bacteria
NZ_HG326224.1|read338	2	cellular organisms; Bacteria
NZ_HG326224.1|read339	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae
NZ_HG326224.1|read347	2	cellular organisms; Bacteria; Aquificae; Aquificae; Aquificales; Hydrogenothermaceae; Sulfurihydrogenibium
NZ_HG326224.1|read354	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read355	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read356	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae
NZ_HG326224.1|read357	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae; Peptoniphilus
NZ_HG326224.1|read358	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Clostridium butyricum
NZ_HG326224.1|read359	2	cellular organisms; Bacteria
NZ_HG326224.1|read360	2	cellular organisms; Bacteria
NZ_HG326224.1|read364	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read365	2	cellular organisms; Bacteria
NZ_HG326224.1|read366	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read369	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read370	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read372	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Caldanaerobacter; Caldanaerobacter subterraneus
NZ_HG326224.1|read376	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read378	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales
NZ_HG326224.1|read382	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales
NZ_HG326224.1|read387	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Clostridium perfringens
