Prefix,Designation,Date,Whois,Status [1],Note
144/8,Administered by ARIN,1993-05,whois.arin.net,LEGACY,
145/8,Administered by RIPE NCC,1993-05,whois.ripe.net,LEGACY,
146/8,Administered by ARIN,1993-05,whois.arin.net,LEGACY,
147/8,Administered by ARIN,1993-05,whois.arin.net,LEGACY,
148/8,Administered by ARIN,1993-05,whois.arin.net,LEGACY,
149/8,Administered by ARIN,1993-05,whois.arin.net,LEGACY,
150/8,Administered by APNIC,1993-05,whois.apnic.net,LEGACY,
151/8,Administered by RIPE NCC,1993-05,whois.ripe.net,LEGACY,
152/8,Administered by ARIN,1993-05,whois.arin.net,LEGACY,
153/8,Administered by APNIC,1993-05,whois.apnic.net,LEGACY,
154/8,Administered by AFRINIC,1993-05,whois.afrinic.net,LEGACY,
155/8,Administered by ARIN,1993-05,whois.arin.net,LEGACY,
156/8,Administered by ARIN,1993-05,whois.arin.net,LEGACY,
157/8,Administered by ARIN,1993-05,whois.arin.net,LEGACY,
158/8,Administered by ARIN,1993-05,whois.arin.net,LEGACY,
159/8,Administered by ARIN,1993-05,whois.arin.net,LEGACY,
160/8,Administered by ARIN,1993-05,whois.arin.net,LEGACY,
161/8,Administered by ARIN,1993-05,whois.arin.net,LEGACY,
162/8,Administered by ARIN,1993-05,whois.arin.net,LEGACY,
163/8,Administered by APNIC,1993-05,whois.apnic.net,LEGACY,
164/8,Administered by ARIN,1993-05,whois.arin.net,LEGACY,
165/8,Administered by ARIN,1993-05,whois.arin.net,LEGACY,
166/8,Administered by ARIN,1993-05,whois.arin.net,LEGACY,
167/8,Administered by ARIN,1993-05,whois.arin.net,LEGACY,
168/8,Administered by ARIN,1993-05,whois.arin.net,LEGACY,
169/8,Administered by ARIN,1993-05,whois.arin.net,LEGACY,[7]
170/8,Administered by ARIN,1993-05,whois.arin.net,LEGACY,
171/8,Administered by APNIC,1993-05,whois.apnic.net,LEGACY,
172/8,Administered by ARIN,1993-05,whois.arin.net,LEGACY,[8]
173/8,ARIN,2008-02,whois.arin.net,ALLOCATED,
174/8,ARIN,2008-02,whois.arin.net,ALLOCATED,
175/8,APNIC,2009-08,whois.apnic.net,ALLOCATED,
176/8,RIPE NCC,2010-05,whois.ripe.net,ALLOCATED,
177/8,LACNIC,2010-06,whois.lacnic.net,ALLOCATED,
178/8,RIPE NCC,2009-01,whois.ripe.net,ALLOCATED,
179/8,LACNIC,2011-02,whois.lacnic.net,ALLOCATED,
180/8,APNIC,2009-04,whois.apnic.net,ALLOCATED,
181/8,LACNIC,2010-06,whois.lacnic.net,ALLOCATED,
182/8,APNIC,2009-08,whois.apnic.net,ALLOCATED,
183/8,APNIC,2009-04,whois.apnic.net,ALLOCATED,
184/8,ARIN,2008-12,whois.arin.net,ALLOCATED,
185/8,RIPE NCC,2011-02,whois.ripe.net,ALLOCATED,
186/8,LACNIC,2007-09,whois.lacnic.net,ALLOCATED,
187/8,LACNIC,2007-09,whois.lacnic.net,ALLOCATED,
188/8,Administered by RIPE NCC,1993-05,whois.ripe.net,LEGACY,
189/8,LACNIC,1995-06,whois.lacnic.net,ALLOCATED,
190/8,LACNIC,1995-06,whois.lacnic.net,ALLOCATED,
191/8,Administered by LACNIC,1993-05,whois.lacnic.net,LEGACY,
192/8,Administered by ARIN,1993-05,whois.arin.net,LEGACY,[9][10]
193/8,RIPE NCC,1993-05,whois.ripe.net,ALLOCATED,
194/8,RIPE NCC,1993-05,whois.ripe.net,ALLOCATED,
195/8,RIPE NCC,1993-05,whois.ripe.net,ALLOCATED,
196/8,Administered by AFRINIC,1993-05,whois.afrinic.net,LEGACY,
197/8,AFRINIC,2008-10,whois.afrinic.net,ALLOCATED,
198/8,Administered by ARIN,1993-05,whois.arin.net,LEGACY,[11]
199/8,ARIN,1993-05,whois.arin.net,ALLOCATED,
200/8,LACNIC,2002-11,whois.lacnic.net,ALLOCATED,
201/8,LACNIC,2003-04,whois.lacnic.net,ALLOCATED,
202/8,APNIC,1993-05,whois.apnic.net,ALLOCATED,
203/8,APNIC,1993-05,whois.apnic.net,ALLOCATED,[12]
204/8,ARIN,1994-03,whois.arin.net,ALLOCATED,
205/8,ARIN,1994-03,whois.arin.net,ALLOCATED,
206/8,ARIN,1995-04,whois.arin.net,ALLOCATED,
207/8,ARIN,1995-11,whois.arin.net,ALLOCATED,
208/8,ARIN,1996-04,whois.arin.net,ALLOCATED,
209/8,ARIN,1996-06,whois.arin.net,ALLOCATED,
210/8,APNIC,1996-06,whois.apnic.net,ALLOCATED,
211/8,APNIC,1996-06,whois.apnic.net,ALLOCATED,
212/8,RIPE NCC,1997-10,whois.ripe.net,ALLOCATED,
213/8,RIPE NCC,1993-10,whois.ripe.net,ALLOCATED,
214/8,US-DOD,1998-03,,LEGACY,
215/8,US-DOD,1998-03,,LEGACY,
216/8,ARIN,1998-04,whois.arin.net,ALLOCATED,
217/8,RIPE NCC,2000-06,whois.ripe.net,ALLOCATED,
218/8,APNIC,2000-12,whois.apnic.net,ALLOCATED,
219/8,APNIC,2001-09,whois.apnic.net,ALLOCATED,
220/8,APNIC,2001-12,whois.apnic.net,ALLOCATED,
221/8,APNIC,2002-07,whois.apnic.net,ALLOCATED,
222/8,APNIC,2003-02,whois.apnic.net,ALLOCATED,
223/8,APNIC,2010-04,whois.apnic.net,ALLOCATED,
224/8,Multicast,1981-09,,RESERVED,[13]
225/8,Multicast,1981-09,,RESERVED,[13]
226/8,Multicast,1981-09,,RESERVED,[13]
227/8,Multicast,1981-09,,RESERVED,[13]
228/8,Multicast,1981-09,,RESERVED,[13]
229/8,Multicast,1981-09,,RESERVED,[13]
230/8,Multicast,1981-09,,RESERVED,[13]
231/8,Multicast,1981-09,,RESERVED,[13]
232/8,Multicast,1981-09,,RESERVED,[13]
233/8,Multicast,1981-09,,RESERVED,[13]
234/8,Multicast,1981-09,,RESERVED,[13][14]
235/8,Multicast,1981-09,,RESERVED,[13]
236/8,Multicast,1981-09,,RESERVED,[13]
237/8,Multicast,1981-09,,RESERVED,[13]
238/8,Multicast,1981-09,,RESERVED,[13]
239/8,Multicast,1981-09,,RESERVED,[13][15]
240/8,Future use,1981-09,,RESERVED,[16]
241/8,Future use,1981-09,,RESERVED,[16]
242/8,Future use,1981-09,,RESERVED,[16]
243/8,Future use,1981-09,,RESERVED,[16]
244/8,Future use,1981-09,,RESERVED,[16]
245/8,Future use,1981-09,,RESERVED,[16]
246/8,Future use,1981-09,,RESERVED,[16]
247/8,Future use,1981-09,,RESERVED,[16]
248/8,Future use,1981-09,,RESERVED,[16]
249/8,Future use,1981-09,,RESERVED,[16]
250/8,Future use,1981-09,,RESERVED,[16]
251/8,Future use,1981-09,,RESERVED,[16]
252/8,Future use,1981-09,,RESERVED,[16]
253/8,Future use,1981-09,,RESERVED,[16]
254/8,Future use,1981-09,,RESERVED,[16]
255/8,Future use,1981-09,,RESERVED,[16][17]
