"name	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	sample	blanc	isotopes	adduct	pcgroup	fold	tstat	pvalue	norm"	"b1	CV"	"samp	CV"	"pool	CV"	"ind	sample_mean	sample_sd	sample_CV	pool_mean	pool_sd	pool_CV	poolCV_over_sampleCV"	_MESURED_MONOISOTOPIC_MASS_	_PPM_ERROR_	_COMPUTED_MONOISOTOPIC_MASS_	_ANNOTATION_NAME_	_ANNOTATION_TYPE_	_ANNOTATION_IN_NEG_MODE_	_ANNOTATION_IN_POS_MODE_	_ANNOTATION_FORMULA_	_ID_	_ANNOTATIONS_
"M556T1438	91.0535	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	944.3164912	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					91.0535	0	91.0535	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 91.0535 hva - homovanillic acid"
"M556T1439	103.0533	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	659.2398146	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					103.0533	0	103.0533	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 103.0533 hva - homovanillic acid"
"M556T1440	104.0612	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	1680.764572	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					104.0612	0	104.0612	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 104.0612 hva - homovanillic acid"
"M556T1441	105.0307	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	546.3969635	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					105.0307	0	105.0307	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 105.0307 hva - homovanillic acid"
"M556T1442	105.0662	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	611.7270352	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					105.0662	0	105.0662	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 105.0662 hva - homovanillic acid"
"M556T1443	107.0468	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	302.8939689	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					107.0468	0	107.0468	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 107.0468 hva - homovanillic acid"
"M556T1444	117.0672	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	320.7112612	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					117.0672	0	117.0672	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 117.0672 hva - homovanillic acid"
"M556T1445	119.0829	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	380.1022355	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					119.0829	0	119.0829	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 119.0829 hva - homovanillic acid"
"M556T1446	131.0362	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	391.9804303	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					131.0362	0	131.0362	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 131.0362 hva - homovanillic acid"
"M556T1447	133.0215	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	944.3164912	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					133.0215	0	133.0215	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 133.0215 hva - homovanillic acid"
"M556T1448	135.0316	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	1740.155547	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					135.0316	0	135.0316	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 135.0316 hva - homovanillic acid"
"M556T1449	140.5326	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	3064.574273	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					140.5326	0	140.5326	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 140.5326 hva - homovanillic acid"
"M556T1450	141.0336	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	742.3871786	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					141.0336	0	141.0336	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 141.0336 hva - homovanillic acid"
"M556T1451	147.0613	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	1455.07887	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					147.0613	0	147.0613	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 147.0613 hva - homovanillic acid"
"M556T1452	148.0458	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	2043.049516	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					148.0458	0	148.0458	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 148.0458 hva - homovanillic acid"
"M556T1453	148.5454	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	451.3714046	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					148.5454	0	148.5454	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 148.5454 hva - homovanillic acid"
"M556T1454	149.0276	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	4026.708057	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					149.0276	0	149.0276	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 149.0276 hva - homovanillic acid"
"M556T1455	150.0389	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	778.0217632	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					150.0389	0	150.0389	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 150.0389 hva - homovanillic acid"
"M556T1456	151.0417	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	415.73682	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					151.0417	0	151.0417	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 151.0417 hva - homovanillic acid"
"M556T1457	161.0414	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	1585.739014	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					161.0414	0	161.0414	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 161.0414 hva - homovanillic acid"
"M556T1458	162.049	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	3717.874991	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					162.049	0	162.049	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.000 162.049 hva - homovanillic acid"
"M556T1459	163.0563	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	5727.191349	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					163.0563	0	163.0563	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 163.0563 hva - homovanillic acid"
"M556T1460	164.0618	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	2037.110418	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					164.0618	0	164.0618	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 164.0618 hva - homovanillic acid"
"M556T1461	165.0565	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	682.9962043	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					165.0565	0	165.0565	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 165.0565 hva - homovanillic acid"
"M556T1462	177.0694	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	1746.094644	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					177.0694	0	177.0694	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 177.0694 hva - homovanillic acid"
"M556T1463	178.0475	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	3082.391566	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					178.0475	0	178.0475	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 178.0475 hva - homovanillic acid"
"M556T1464	179.0527	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	31584.12013	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					179.0527	0	179.0527	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 179.0527 hva - homovanillic acid"
"M556T1465	180.0547	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	5155.136568	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					180.0547	0	180.0547	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 180.0547 hva - homovanillic acid"
"M556T1466	181.0517	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	1461.017968	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					181.0517	0	181.0517	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 181.0517 hva - homovanillic acid"
"M556T1467	192.0596	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	1300.662337	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					192.0596	0	192.0596	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 192.0596 hva - homovanillic acid"
"M556T1468	193.0669	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	3224.929904	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					193.0669	0	193.0669	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 193.0669 hva - homovanillic acid"
"M556T1469	194.0696	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	896.8037118	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					194.0696	0	194.0696	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 194.0696 hva - homovanillic acid"
"M556T1470	195.0675	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	320.7112612	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					195.0675	0	195.0675	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 195.0675 hva - homovanillic acid"
"M556T1471	206.0395	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	8290.980011	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					206.0395	0	206.0395	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 206.0395 hva - homovanillic acid"
"M556T1472	207.0721	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	2862.644961	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					207.0721	0	207.0721	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 207.0721 hva - homovanillic acid"
"M556T1473	208.0612	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	617.6661326	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					208.0612	0	208.0612	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 208.0612 hva - homovanillic acid"
"M556T1474	209.0996	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	44014.65105	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					209.0996	0	209.0996	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 209.0996 hva - homovanillic acid"
"M556T1475	210.1015	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	7518.897345	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					210.1015	0	210.1015	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 210.1015 hva - homovanillic acid"
"M556T1476	211.0984	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	2084.623198	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					211.0984	0	211.0984	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 211.0984 hva - homovanillic acid"
"M556T1477	221.0614	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	944.3164912	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					221.0614	0	221.0614	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 221.0614 hva - homovanillic acid"
"M556T1478	236.0826	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	849.2909324	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					236.0826	0	236.0826	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 236.0826 hva - homovanillic acid"
"M556T1479	237.0763	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	10084.58743	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					237.0763	0	237.0763	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 237.0763 hva - homovanillic acid"
"M556T1480	238.0779	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	1983.658541	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					238.0779	0	238.0779	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 238.0779 hva - homovanillic acid"
"M556T1481	239.0739	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	968.0728809	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					239.0739	0	239.0739	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 239.0739 hva - homovanillic acid"
"M556T1482	251.0901	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	558.2751583	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					251.0901	0	251.0901	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 251.0901 hva - homovanillic acid"
"M556T1483	252.0996	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	9074.940872	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					252.0996	0	252.0996	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 252.0996 hva - homovanillic acid"
"M556T1484	253.0987	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	2262.79612	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					253.0987	0	253.0987	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 253.0987 hva - homovanillic acid"
"M556T1485	254.0968	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	968.0728809	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					254.0968	0	254.0968	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 254.0968 hva - homovanillic acid"
"M556T1486	255.09	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	540.457866	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					255.09	0	255.09	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.00 255.09 hva - homovanillic acid"
"M556T1487	267.1236	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	31946.40507	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					267.1236	0	267.1236	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 267.1236 hva - homovanillic acid"
"M556T1488	268.1248	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	7916.816873	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					268.1248	0	268.1248	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 268.1248 hva - homovanillic acid"
"M556T1489	269.122	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	2922.035935	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					269.122	0	269.122	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.000 269.122 hva - homovanillic acid"
"M556T1490	270.1219	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	492.9450866	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					270.1219	0	270.1219	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 270.1219 hva - homovanillic acid"
"M556T1491	278.916	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	320.7112612	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					278.916	0	278.916	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.000 278.916 hva - homovanillic acid"
