debian_pkg, CPAN_dist, CPAN_vers, N_bugs, N_patches
"libclass-data-inheritable-perl", "Class-Data-Inheritable", "0.08", "0", "0"
"libclass-date-perl", "Class-Date", "1.1.9", "0", "0"
"libclass-dbi-abstractsearch-perl", "Class-DBI-AbstractSearch", "0.07", "0", "0"
"libclass-dbi-asform-perl", "Class-DBI-AsForm", "2.42", "0", "0"
"libclass-dbi-fromcgi-perl", "Class-DBI-FromCGI", "1.00", "0", "0"
"libclass-dbi-fromform-perl", "Class-DBI-FromForm", "0.04", "1", "0"
"libclass-dbi-loader-perl", "Class-DBI-Loader", "0.34", "0", "0"
"libclass-dbi-loader-relationship-perl", "Class-DBI-Loader-Relationship", "1.3", "0", "1"
"libclass-dbi-mysql-perl", "Class-DBI-mysql", "1.00", "0", "0"
"libclass-dbi-pager-perl", "Class-DBI-Pager", "0.08", "0", "0"
"libclass-dbi-perl", "Class-DBI", "3.0.17", "2", "0"
"libclass-dbi-pg-perl", "Class-DBI-Pg", "0.09", "0", "0"
"libclass-dbi-plugin-abstractcount-perl", "Class-DBI-Plugin-AbstractCount", "0.08", "0", "0"
"libclass-dbi-plugin-pager-perl", "Class-DBI-Plugin-Pager", "0.561", "0", "0"
"libclass-dbi-plugin-perl", "Class-DBI-Plugin", "0.03", "0", "0"
"libclass-dbi-plugin-retrieveall-perl", "Class-DBI-Plugin-RetrieveAll", "1.04", "0", "0"
"libclass-dbi-plugin-type-perl", "Class-DBI-Plugin-Type", "0.02", "0", "0"
"libclass-dbi-sqlite-perl", "Class-DBI-SQLite", "0.11", "0", "0"
"libclass-dbi-sweet-perl", "Class-DBI-Sweet", "0.09", "0", "0"
"libclass-default-perl", "Class-Default", "1.51", "0", "0"
"libclass-factory-perl", "Class-Factory", "1.06", "0", "0"
"libclass-factory-util-perl", "Class-Factory-Util", "1.7", "0", "0"
"libclass-field-perl", "Class-Field", "0.15", "0", "0"
"libclass-inner-perl", "Class-Inner", "0.200001", "0", "0"
"libclass-insideout-perl", "Class-InsideOut", "1.10", "0", "0"
"libclass-inspector-perl", "Class-Inspector", "1.24", "0", "0"
"libclass-makemethods-perl", "Class-MakeMethods", "1.01", "0", "0"
"libclass-meta-perl", "Class-Meta", "0.63", "0", "0"
"libclass-method-modifiers-perl", "Class-Method-Modifiers", "1.05", "0", "0"
"libclass-methodmaker-perl", "Class-MethodMaker", "2.15", "1", "0"
"libclass-mixinfactory-perl", "Class-MixinFactory", "0.92", "0", "0"
"libclass-mop-perl", "Class-MOP", "0.95", "0", "0"
"libclass-multimethods-perl", "Class-Multimethods", "1.70", "0", "0"
"libclass-objecttemplate-perl", "Class-ObjectTemplate", "0.7", "1", "0"
"libclass-prototyped-perl", "Class-Prototyped", "1.11", "0", "0"
"libclass-returnvalue-perl", "Class-ReturnValue", "0.55", "0", "0"
"libclass-singleton-perl", "Class-Singleton", "1.4", "0", "0"
"libclass-spiffy-perl", "Class-Spiffy", "0.15", "1", "0"
"libclass-std-perl", "Class-Std", "0.0.9", "0", "0"
"libclass-std-utils-perl", "Class-Std-Utils", "0.0.3", "0", "0"
"libclass-throwable-perl", "Class-Throwable", "0.10", "0", "0"
"libclass-unload-perl", "Class-Unload", "0.05", "0", "0"
"libclass-whitehole-perl", "Class-WhiteHole", "0.04", "0", "0"
"libclass-xsaccessor-perl", "Class-XSAccessor", "1.05", "1", "0"
"libclone-perl", "Clone", "0.31", "1", "0"
"libclone-pp-perl", "Clone-PP", "1.02", "0", "0"
"libcoat-perl", "Coat", "0.334", "1", "0"
"libcoat-persistent-perl", "Coat-Persistent", "0.210", "1", "0"
"libcolor-calc-perl", "Color-Calc", "1.05", "0", "0"
"libcommon-sense-perl", "common-sense", "2.01", "0", "0"
"libcompress-bzip2-perl", "Compress-Bzip2", "2.09", "0", "0"
"libcompress-raw-zlib-perl", "Compress-Raw-Zlib", "2.023", "0", "0"
"libconfig-any-perl", "Config-Any", "0.18", "0", "0"
"libconfig-apacheformat-perl", "Config-ApacheFormat", "1.2", "0", "0"
"libconfig-augeas-perl", "Config-Augeas", "0.501", "0", "0"
"libconfig-auto-perl", "Config-Auto", "0.20", "0", "0"
"libconfig-file-perl", "Config-File", "1.50", "0", "0"
"libconfig-gitlike-perl", "Config-GitLike", "1.02", "0", "0"
"libconfig-grammar-perl", "Config-Grammar", "1.10", "0", "0"
"libconfig-ini-simple-perl", "unknown", "0.02", "0", "0"
"libconfig-inihash-perl", "Config-IniHash", "3.01.01", "0", "0"
"libconfig-jfdi-perl", "Config-JFDI", "0.064", "0", "0"
"libconfig-json-perl", "Config-JSON", "1.4.0", "0", "0"
"libconfig-model-approx-perl", "Config-Model-Approx", "1.003", "0", "0"
"libconfig-model-backend-augeas-perl", "Config-Model-Backend-Augeas", "0.107", "0", "0"
"libconfig-model-cursesui-perl", "Config-Model-CursesUI", "1.103", "0", "0"
"libconfig-model-itself-perl", "Config-Model-Itself", "1.211", "0", "0"
"libconfig-model-openssh-perl", "Config-Model-OpenSsh", "1.208", "0", "0"
"libconfig-model-perl", "Config-Model", "0.640", "0", "0"
"libconfig-model-tkui-perl", "Config-Model-TkUI", "1.301", "0", "0"
"libconfig-scoped-perl", "Config-Scoped", "0.12", "0", "0"
"libconfig-std-perl", "Config-Std", "0.007", "0", "0"
"libconfigreader-perl", "ConfigReader", "0.5", "0", "0"
"libconfigreader-simple-perl", "ConfigReader-Simple", "1.28", "0", "0"
"libcontext-preserve-perl", "Context-Preserve", "0.01", "0", "0"
"libcontextual-return-perl", "Contextual-Return", "0.2.1", "0", "0"
"libconvert-asn1-perl", "Convert-ASN1", "0.22", "1", "0"
"libconvert-binary-c-perl", "Convert-Binary-C", "0.74", "0", "0"
"libconvert-binhex-perl", "Convert-BinHex", "1.119", "1", "0"
"libconvert-color-perl", "Convert-Color", "0.05", "0", "0"
"libconvert-pem-perl", "Convert-PEM", "0.07", "1", "0"
"libconvert-uulib-perl", "Convert-UUlib", "1.12", "1", "0"
"libcoro-perl", "Coro", "5.200", "0", "0"
"libcoy-perl", "Coy", "0.06", "0", "0"
"libcpan-checksums-perl", "CPAN-Checksums", "2.03", "0", "0"
"libcpan-distnameinfo-perl", "CPAN-DistnameInfo", "0.08", "0", "0"
"libcpan-inject-perl", "CPAN-Inject", "0.11", "0", "0"
"libcpan-mini-perl", "CPAN-Mini", "0.576", "0", "0"
"libcpandb-perl", "CPANDB", "0.12", "0", "0"
"libcrypt-blowfish-perl", "Crypt-Blowfish", "2.10", "0", "0"
"libcrypt-cbc-perl", "Crypt-CBC", "2.30", "1", "0"
"libcrypt-des-perl", "Crypt-DES", "2.05", "0", "0"
"libcrypt-generatepassword-perl", "Crypt-GeneratePassword", "0.03", "0", "0"
"libcrypt-openssl-bignum-perl", "Crypt-OpenSSL-Bignum", "0.04", "0", "0"
"libcrypt-openssl-dsa-perl", "Crypt-OpenSSL-DSA", "0.13", "0", "0"
"libcrypt-openssl-random-perl", "Crypt-OpenSSL-Random", "0.04", "0", "0"
"libcrypt-openssl-rsa-perl", "Crypt-OpenSSL-RSA", "0.25", "0", "0"
"libcrypt-openssl-x509-perl", "Crypt-OpenSSL-X509", "0.7", "0", "0"
"libcrypt-rijndael-perl", "Crypt-Rijndael", "1.07", "0", "0"
"libcrypt-saltedhash-perl", "Crypt-SaltedHash", "0.05", "0", "0"
"libcrypt-simple-perl", "Crypt-Simple", "0.06", "0", "0"
"libcrypt-twofish-perl", "Crypt-Twofish", "2.12", "0", "0"
"libcss-minifier-xs-perl", "CSS-Minifier-XS", "0.04", "0", "0"
"libcss-packer-perl", "CSS-Packer", "0.2", "0", "0"
"libcss-squish-perl", "CSS-Squish", "0.08", "0", "0"
"libcss-tiny-perl", "CSS-Tiny", "1.15", "1", "0"
"libcurses-forms-perl", "CursesForms", "not-uploaded", "0", "0"
"libcurses-perl", "Curses", "1.27", "0", "0"
"libcurses-ui-perl", "Curses-UI", "0.9607", "2", "0"
"libcurses-ui-poe-perl", "Curses-UI-POE", "not-uploaded", "0", "0"
"libcurses-widgets-perl", "CursesWidgets", "1.997", "0", "0"
"libcvs-perl", "Cvs", "0.07", "0", "0"
"libdanga-socket-perl", "Danga-Socket", "1.61", "1", "0"
"libdata-alias-perl", "Data-Alias", "1.07", "0", "0"
"libdata-dump-perl", "Data-Dump", "1.15", "0", "0"
"libdata-dump-streamer-perl", "Data-Dump-Streamer", "2.09", "1", "0"
"libdata-dumper-concise-perl", "Data-Dumper-Concise", "1.002", "0", "0"
"libdata-dumper-simple-perl", "Data-Dumper-Simple", "0.11", "0", "0"
"libdata-flow-perl", "Data-Flow", "1.02", "0", "0"
"libdata-format-html-perl", "Data-Format-HTML", "0.5", "0", "0"
"libdata-formvalidator-perl", "Data-FormValidator", "4.63", "0", "0"
"libdata-hexdumper-perl", "Data-Hexdumper", "2.01", "0", "0"
"libdata-ical-perl", "Data-ICal", "0.16", "0", "0"
"libdata-integer-perl", "Data-Integer", "0.003", "0", "0"
"libdata-javascript-perl", "Data-JavaScript", "1.13", "0", "0"
"libdata-miscellany-perl", "Data-Miscellany", "0.02", "0", "0"
"libdata-optlist-perl", "Data-OptList", "0.104", "0", "0"
"libdata-pageset-perl", "Data-Pageset", "1.05", "0", "0"
"libdata-password-perl", "Data-Password", "1.07", "0", "0"
"libdata-peek-perl", "Data-Peek", "0.29", "0", "0"
"libdata-random-perl", "Data-Random", "0.05", "0", "0"
"libdata-report-perl", "Data-Report", "0.10", "0", "0"
"libdata-section-perl", "Data-Section", "0.091820", "0", "0"
"libdata-serializer-perl", "Data-Serializer", "0.49", "0", "0"
"libdata-showtable-perl", "Data-ShowTable", "3.3", "0", "0"
"libdata-sorting-perl", "Data-Sorting", "0.9", "0", "0"
"libdata-stag-perl", "Data-Stag", "0.11", "1", "0"
"libdata-structure-util-perl", "Data-Structure-Util", "0.15", "0", "0"
"libdata-transformer-perl", "Data-Transformer", "0.04", "0", "0"
"libdata-treedumper-perl", "Data-TreeDumper", "0.35", "0", "0"
"libdata-treedumper-renderer-dhtml-perl", "Data-TreeDumper-Renderer-DHTML", "0.09", "0", "0"
"libdata-types-perl", "Data-Types", "0.08", "0", "0"
"libdata-uuid-libuuid-perl", "Data-UUID-LibUUID", "0.04", "0", "0"
"libdata-validate-email-perl", "Data-Validate-Email", "0.04", "1", "0"
"libdata-validate-ip-perl", "Data-Validate-IP", "0.10", "0", "0"
"libdata-visitor-perl", "Data-Visitor", "0.24", "0", "0"
"libdata-walk-perl", "Data-Walk", "1.00", "0", "0"
"libdate-calc-perl", "Date-Calc", "6.0", "0", "0"
"libdate-calc-xs-perl", "Date-Calc-XS", "not-uploaded", "0", "0"
"libdate-convert-perl", "DateConvert", "0.16", "0", "0"
"libdate-hijri-perl", "Date_Hijri", "0.02", "0", "0"
"libdate-ical-perl", "Date-ICal", "1.72", "0", "0"
"libdate-leapyear-perl", "Date-Leapyear", "1.71", "0", "0"
"libdate-manip-perl", "Date-Manip", "5.54", "0", "0"
"libdate-pcalc-perl", "Date-Pcalc", "6.1", "0", "0"
"libdate-simple-perl", "Date-Simple", "3.03.03", "1", "0"
"libdatetime-astro-sunrise-perl", "DateTime-Astro-Sunrise", "0.01.01", "1", "0"
"libdatetime-event-ical-perl", "DateTime-Event-ICal", "0.09", "0", "0"
"libdatetime-event-recurrence-perl", "DateTime-Event-Recurrence", "0.16", "0", "0"
"libdatetime-event-sunrise-perl", "DateTime-Event-Sunrise", "0.0501", "0", "0"
"libdatetime-format-builder-perl", "DateTime-Format-Builder", "0.7901", "0", "0"
"libdatetime-format-datemanip-perl", "DateTime-Format-DateManip", "0.04", "0", "0"
"libdatetime-format-dateparse-perl", "DateTime-Format-DateParse", "0.04", "0", "0"
"libdatetime-format-db2-perl", "DateTime-Format-DB2", "0.05", "0", "0"
"libdatetime-format-flexible-perl", "DateTime-Format-Flexible", "0.09", "0", "0"
"libdatetime-format-http-perl", "DateTime-Format-HTTP", "0.37", "0", "0"
"libdatetime-format-ical-perl", "DateTime-Format-ICal", "0.09", "0", "0"
"libdatetime-format-iso8601-perl", "DateTime-Format-ISO8601", "0.06", "0", "0"
"libdatetime-format-mail-perl", "DateTime-Format-Mail", "0.3001", "0", "0"
"libdatetime-format-mysql-perl", "DateTime-Format-MySQL", "0.04", "0", "0"
"libdatetime-format-natural-perl", "DateTime-Format-Natural", "0.80", "0", "0"
"libdatetime-format-pg-perl", "DateTime-Format-Pg", "0.16004", "0", "0"
"libdatetime-format-sqlite-perl", "DateTime-Format-SQLite", "0.10", "0", "0"
"libdatetime-format-strptime-perl", "DateTime-Format-Strptime", "1.1000", "0", "0"
"libdatetime-format-w3cdtf-perl", "DateTime-Format-W3CDTF", "0.05", "0", "0"
"libdatetime-locale-perl", "DateTime-Locale", "0.44", "0", "0"
"libdatetime-perl", "DateTime", "0.5100", "0", "0"
"libdatetime-set-perl", "DateTime-Set", "0.28", "0", "0"
"libdatetime-timezone-perl", "DateTime-TimeZone", "1.05", "1", "0"
"libdatetimex-easy-perl", "DateTimeX-Easy", "0.087", "0", "0"
"libdb-file-lock-perl", "DB_File-Lock", "0.05", "0", "0"
"libdbd-csv-perl", "DBD-CSV", "0.2200", "1", "0"
"libdbd-excel-perl", "DBD-Excel", "0.06", "0", "0"
"libdbd-mock-perl", "DBD-Mock", "1.39", "0", "0"
"libdbd-mysql-perl", "DBD-mysql", "4.012", "5", "0"
"libdbd-odbc-perl", "DBD-ODBC", "1.23", "0", "0"
"libdbd-oracle-perl", "DBD-Oracle", "1.21", "3", "0"
"libdbd-pg-perl", "DBD-Pg", "2.15.1", "1", "0"
"libdbd-sqlite2-perl", "DBD-SQLite2", "0.33", "0", "0"
"libdbd-sqlite3-perl", "DBD-SQLite", "1.25", "0", "0"
"libdbd-xbase-perl", "DBD-XBase", "0.241", "1", "0"
"libdbi-perl", "DBI", "1.609", "5", "0"
"libdbicx-testdatabase-perl", "DBICx-TestDatabase", "0.02", "0", "0"
"libdbix-class-cursor-cached-perl", "DBIx-Class-Cursor-Cached", "1.0.1", "0", "0"
"libdbix-class-datetime-epoch-perl", "DBIx-Class-DateTime-Epoch", "0.05", "0", "0"
"libdbix-class-dynamicdefault-perl", "DBIx-Class-DynamicDefault", "0.03", "0", "0"
"libdbix-class-encodedcolumn-perl", "DBIx-Class-EncodedColumn", "0.00005", "0", "0"
"libdbix-class-perl", "DBIx-Class", "0.08112", "0", "0"
"libdbix-class-schema-loader-perl", "DBIx-Class-Schema-Loader", "0.04006", "0", "0"
"libdbix-class-timestamp-perl", "DBIx-Class-TimeStamp", "0.12", "0", "0"
"libdbix-contextualfetch-perl", "DBIx-ContextualFetch", "1.03", "0", "0"
"libdbix-oo-perl", "DBIx-OO", "0.0.9", "0", "0"
"libdbix-password-perl", "DBIx-Password", "1.9", "0", "0"
"libdbix-recordset-perl", "DBIx-Recordset", "0.26", "0", "0"
"libdbix-safe-perl", "DBIx-Safe", "1.2.5", "0", "0"
"libdbix-searchbuilder-perl", "DBIx-SearchBuilder", "1.56", "1", "0"
