Id;CustomerId;OrderDate;Freight;ProductName;QuantityPerUnit;UnitPriceProduct;Discount;UnitPriceOrder;Quantity;Amount
10260/57;OTTIK;2012-07-19;55.09;Ravioli Angelo;24 - 250 g pkgs.;19.5;0;15.6;50;780
10260/62;OTTIK;2012-07-19;55.09;Tarte au sucre;48 pies;49.3;0.25;39.4;15;591
10260/70;OTTIK;2012-07-19;55.09;Outback Lager;24 - 355 ml bottles;15;0.25;12;21;252
10261/21;QUEDE;2012-07-19;3.05;Sir Rodney's Scones;24 pkgs. x 4 pieces;10;0;8;20;160
10261/35;QUEDE;2012-07-19;3.05;Steeleye Stout;24 - 12 oz bottles;18;0;14.4;20;288
10262/5;RATTC;2012-07-22;48.29;Chef Anton's Gumbo Mix;36 boxes;21.35;0.2;17;12;204
10262/7;RATTC;2012-07-22;48.29;Uncle Bob's Organic Dried Pears;12 - 1 lb pkgs.;30;0;24;15;360
10262/56;RATTC;2012-07-22;48.29;Gnocchi di nonna Alice;24 - 250 g pkgs.;38;0;30.4;2;60.8
10263/16;ERNSH;2012-07-23;146.06;Pavlova;32 - 500 g boxes;17.45;0.25;13.9;60;834
10263/24;ERNSH;2012-07-23;146.06;Guaraná Fantástica;12 - 355 ml cans;4.5;0;3.6;28;100.8
10263/30;ERNSH;2012-07-23;146.06;Nord-Ost Matjeshering;10 - 200 g glasses;25.89;0.25;20.7;60;1242
10263/74;ERNSH;2012-07-23;146.06;Longlife Tofu;5 kg pkg.;10;0.25;8;36;288
10264/2;FOLKO;2012-07-24;3.67;Chang;24 - 12 oz bottles;19;0;15.2;35;532
10264/41;FOLKO;2012-07-24;3.67;Jack's New England Clam Chowder;12 - 12 oz cans;9.65;0.15;7.7;25;192.5
10265/17;BLONP;2012-07-25;55.28;Alice Mutton;20 - 1 kg tins;39;0;31.2;30;936
10265/70;BLONP;2012-07-25;55.28;Outback Lager;24 - 355 ml bottles;15;0;12;20;240
10266/12;WARTH;2012-07-26;25.73;Queso Manchego La Pastora;10 - 500 g pkgs.;38;0.05;30.4;12;364.79999999999995
10267/40;FRANK;2012-07-29;208.58;Boston Crab Meat;24 - 4 oz tins;18.4;0;14.7;50;735
10267/59;FRANK;2012-07-29;208.58;Raclette Courdavault;5 kg pkg.;55;0.15;44;70;3080
10267/76;FRANK;2012-07-29;208.58;Lakkalikööri;500 ml;18;0.15;14.4;15;216
10268/29;GROSR;2012-07-30;66.29;Thüringer Rostbratwurst;50 bags x 30 sausgs.;123.79;0;99;10;990
10268/72;GROSR;2012-07-30;66.29;Mozzarella di Giovanni;24 - 200 g pkgs.;34.8;0;27.8;4;111.2
10269/33;WHITC;2012-07-31;4.56;Geitost;500 g;2.5;0.05;2;60;120
10269/72;WHITC;2012-07-31;4.56;Mozzarella di Giovanni;24 - 200 g pkgs.;34.8;0.05;27.8;20;556
10270/36;WARTH;2012-08-01;136.54;Inlagd Sill;24 - 250 g  jars;19;0;15.2;30;456
10270/43;WARTH;2012-08-01;136.54;Ipoh Coffee;16 - 500 g tins;46;0;36.8;25;919.9999999999999
10271/33;SPLIR;2012-08-01;4.54;Geitost;500 g;2.5;0;2;24;48
10272/20;RATTC;2012-08-02;98.03;Sir Rodney's Marmalade;30 gift boxes;81;0;64.8;6;388.79999999999995
10272/31;RATTC;2012-08-02;98.03;Gorgonzola Telino;12 - 100 g pkgs;12.5;0;10;40;400
10272/72;RATTC;2012-08-02;98.03;Mozzarella di Giovanni;24 - 200 g pkgs.;34.8;0;27.8;24;667.2
10273/10;QUICK;2012-08-05;76.07;Ikura;12 - 200 ml jars;31;0.05;24.8;24;595.2
10273/31;QUICK;2012-08-05;76.07;Gorgonzola Telino;12 - 100 g pkgs;12.5;0.05;10;15;150
10273/33;QUICK;2012-08-05;76.07;Geitost;500 g;2.5;0;2;20;40
10273/40;QUICK;2012-08-05;76.07;Boston Crab Meat;24 - 4 oz tins;18.4;0.05;14.7;60;882
10273/76;QUICK;2012-08-05;76.07;Lakkalikööri;500 ml;18;0.05;14.4;33;475.2
10274/71;VINET;2012-08-06;6.01;Flotemysost;10 - 500 g pkgs.;21.5;0;17.2;20;344
10274/72;VINET;2012-08-06;6.01;Mozzarella di Giovanni;24 - 200 g pkgs.;34.8;0;27.8;7;194.6
10275/24;MAGAA;2012-08-07;26.93;Guaraná Fantástica;12 - 355 ml cans;4.5;0.05;3.6;12;43.2
10275/59;MAGAA;2012-08-07;26.93;Raclette Courdavault;5 kg pkg.;55;0.05;44;6;264
10276/10;TORTU;2012-08-08;13.84;Ikura;12 - 200 ml jars;31;0;24.8;15;372
10276/13;TORTU;2012-08-08;13.84;Konbu;2 kg box;6;0;4.8;10;48
10277/28;MORGK;2012-08-09;125.77;Rössle Sauerkraut;25 - 825 g cans;45.6;0;36.4;20;728
10277/62;MORGK;2012-08-09;125.77;Tarte au sucre;48 pies;49.3;0;39.4;12;472.79999999999995
10278/44;BERGS;2012-08-12;92.69;Gula Malacca;20 - 2 kg bags;19.45;0;15.5;16;248
10278/59;BERGS;2012-08-12;92.69;Raclette Courdavault;5 kg pkg.;55;0;44;15;660
10278/63;BERGS;2012-08-12;92.69;Vegie-spread;15 - 625 g jars;43.9;0;35.1;8;280.8
10278/73;BERGS;2012-08-12;92.69;Röd Kaviar;24 - 150 g jars;15;0;12;25;300
10279/17;LEHMS;2012-08-13;25.83;Alice Mutton;20 - 1 kg tins;39;0.25;31.2;15;468
10280/24;BERGS;2012-08-14;8.98;Guaraná Fantástica;12 - 355 ml cans;4.5;0;3.6;12;43.2
10280/55;BERGS;2012-08-14;8.98;Pâté chinois;24 boxes x 2 pies;24;0;19.2;20;384
10280/75;BERGS;2012-08-14;8.98;Rhönbräu Klosterbier;24 - 0.5 l bottles;7.75;0;6.2;30;186
10281/19;ROMEY;2012-08-14;2.94;Teatime Chocolate Biscuits;10 boxes x 12 pieces;9.2;0;7.3;1;7.3
10281/24;ROMEY;2012-08-14;2.94;Guaraná Fantástica;12 - 355 ml cans;4.5;0;3.6;6;21.6
10281/35;ROMEY;2012-08-14;2.94;Steeleye Stout;24 - 12 oz bottles;18;0;14.4;4;57.6
10282/30;ROMEY;2012-08-15;12.69;Nord-Ost Matjeshering;10 - 200 g glasses;25.89;0;20.7;6;124.19999999999999
10282/57;ROMEY;2012-08-15;12.69;Ravioli Angelo;24 - 250 g pkgs.;19.5;0;15.6;2;31.2
10283/15;LILAS;2012-08-16;84.81;Genen Shouyu;24 - 250 ml bottles;15.5;0;12.4;20;248
10283/19;LILAS;2012-08-16;84.81;Teatime Chocolate Biscuits;10 boxes x 12 pieces;9.2;0;7.3;18;131.4
10283/60;LILAS;2012-08-16;84.81;Camembert Pierrot;15 - 300 g rounds;34;0;27.2;35;952
10283/72;LILAS;2012-08-16;84.81;Mozzarella di Giovanni;24 - 200 g pkgs.;34.8;0;27.8;3;83.4
10284/27;LEHMS;2012-08-19;76.56;Schoggi Schokolade;100 - 100 g pieces;43.9;0.25;35.1;15;526.5
10284/44;LEHMS;2012-08-19;76.56;Gula Malacca;20 - 2 kg bags;19.45;0;15.5;21;325.5
10284/60;LEHMS;2012-08-19;76.56;Camembert Pierrot;15 - 300 g rounds;34;0.25;27.2;20;544
10284/67;LEHMS;2012-08-19;76.56;Laughing Lumberjack Lager;24 - 12 oz bottles;14;0.25;11.2;5;56
10285/1;QUICK;2012-08-20;76.83;Chai;10 boxes x 20 bags;18;0.2;14.4;45;648
10285/40;QUICK;2012-08-20;76.83;Boston Crab Meat;24 - 4 oz tins;18.4;0.2;14.7;40;588
10285/53;QUICK;2012-08-20;76.83;Perth Pasties;48 pieces;32.8;0.2;26.2;36;943.1999999999999
10286/35;QUICK;2012-08-21;229.24;Steeleye Stout;24 - 12 oz bottles;18;0;14.4;100;1440
10286/62;QUICK;2012-08-21;229.24;Tarte au sucre;48 pies;49.3;0;39.4;40;1576
10287/16;RICAR;2012-08-22;12.76;Pavlova;32 - 500 g boxes;17.45;0.15;13.9;40;556
10287/34;RICAR;2012-08-22;12.76;Sasquatch Ale;24 - 12 oz bottles;14;0;11.2;20;224
10287/46;RICAR;2012-08-22;12.76;Spegesild;4 - 450 g glasses;12;0.15;9.6;15;144
10288/54;REGGC;2012-08-23;7.45;Tourtière;16 pies;7.45;0.1;5.9;10;59
10288/68;REGGC;2012-08-23;7.45;Scottish Longbreads;10 boxes x 8 pieces;12.5;0.1;10;3;30
10289/3;BSBEV;2012-08-26;22.77;Aniseed Syrup;12 - 550 ml bottles;10;0;8;30;240
10289/64;BSBEV;2012-08-26;22.77;Wimmers gute Semmelknödel;20 bags x 4 pieces;33.25;0;26.6;9;239.4
10290/5;COMMI;2012-08-27;79.7;Chef Anton's Gumbo Mix;36 boxes;21.35;0;17;20;340
10290/29;COMMI;2012-08-27;79.7;Thüringer Rostbratwurst;50 bags x 30 sausgs.;123.79;0;99;15;1485
10290/49;COMMI;2012-08-27;79.7;Maxilaku;24 - 50 g pkgs.;20;0;16;15;240
10290/77;COMMI;2012-08-27;79.7;Original Frankfurter grüne Soße;12 boxes;13;0;10.4;10;104
10291/13;QUEDE;2012-08-27;6.4;Konbu;2 kg box;6;0.1;4.8;20;96
10291/44;QUEDE;2012-08-27;6.4;Gula Malacca;20 - 2 kg bags;19.45;0.1;15.5;24;372
10291/51;QUEDE;2012-08-27;6.4;Manjimup Dried Apples;50 - 300 g pkgs.;53;0.1;42.4;2;84.8
10292/20;TRADH;2012-08-28;1.35;Sir Rodney's Marmalade;30 gift boxes;81;0;64.8;20;1296
10293/18;TORTU;2012-08-29;21.18;Carnarvon Tigers;16 kg pkg.;62.5;0;50;12;600
10293/24;TORTU;2012-08-29;21.18;Guaraná Fantástica;12 - 355 ml cans;4.5;0;3.6;10;36
10293/63;TORTU;2012-08-29;21.18;Vegie-spread;15 - 625 g jars;43.9;0;35.1;5;175.5
10293/75;TORTU;2012-08-29;21.18;Rhönbräu Klosterbier;24 - 0.5 l bottles;7.75;0;6.2;6;37.2
10294/1;RATTC;2012-08-30;147.26;Chai;10 boxes x 20 bags;18;0;14.4;18;259.2
10294/17;RATTC;2012-08-30;147.26;Alice Mutton;20 - 1 kg tins;39;0;31.2;15;468
10294/43;RATTC;2012-08-30;147.26;Ipoh Coffee;16 - 500 g tins;46;0;36.8;15;552
10294/60;RATTC;2012-08-30;147.26;Camembert Pierrot;15 - 300 g rounds;34;0;27.2;21;571.1999999999999
10294/75;RATTC;2012-08-30;147.26;Rhönbräu Klosterbier;24 - 0.5 l bottles;7.75;0;6.2;6;37.2
10295/56;VINET;2012-09-02;1.15;Gnocchi di nonna Alice;24 - 250 g pkgs.;38;0;30.4;4;121.6
10296/11;LILAS;2012-09-03;0.12;Queso Cabrales;1 kg pkg.;21;0;16.8;12;201.60000000000002
10296/16;LILAS;2012-09-03;0.12;Pavlova;32 - 500 g boxes;17.45;0;13.9;30;417
10296/69;LILAS;2012-09-03;0.12;Gudbrandsdalsost;10 kg pkg.;36;0;28.8;15;432
10297/39;BLONP;2012-09-04;5.74;Chartreuse verte;750 cc per bottle;18;0;14.4;60;864
10297/72;BLONP;2012-09-04;5.74;Mozzarella di Giovanni;24 - 200 g pkgs.;34.8;0;27.8;20;556
10298/2;HUNGO;2012-09-05;168.22;Chang;24 - 12 oz bottles;19;0;15.2;40;608
10298/36;HUNGO;2012-09-05;168.22;Inlagd Sill;24 - 250 g  jars;19;0.25;15.2;40;608
10298/59;HUNGO;2012-09-05;168.22;Raclette Courdavault;5 kg pkg.;55;0.25;44;30;1320
10298/62;HUNGO;2012-09-05;168.22;Tarte au sucre;48 pies;49.3;0;39.4;15;591
10299/19;RICAR;2012-09-06;29.76;Teatime Chocolate Biscuits;10 boxes x 12 pieces;9.2;0;7.3;15;109.5
10299/70;RICAR;2012-09-06;29.76;Outback Lager;24 - 355 ml bottles;15;0;12;20;240
10300/66;MAGAA;2012-09-09;17.68;Louisiana Hot Spiced Okra;24 - 8 oz jars;17;0;13.6;30;408
10300/68;MAGAA;2012-09-09;17.68;Scottish Longbreads;10 boxes x 8 pieces;12.5;0;10;20;200
10301/40;WANDK;2012-09-09;45.08;Boston Crab Meat;24 - 4 oz tins;18.4;0;14.7;10;147
10301/56;WANDK;2012-09-09;45.08;Gnocchi di nonna Alice;24 - 250 g pkgs.;38;0;30.4;20;608
10302/17;SUPRD;2012-09-10;6.27;Alice Mutton;20 - 1 kg tins;39;0;31.2;40;1248
10302/28;SUPRD;2012-09-10;6.27;Rössle Sauerkraut;25 - 825 g cans;45.6;0;36.4;28;1019.1999999999999
10302/43;SUPRD;2012-09-10;6.27;Ipoh Coffee;16 - 500 g tins;46;0;36.8;12;441.59999999999997
10303/40;GODOS;2012-09-11;107.83;Boston Crab Meat;24 - 4 oz tins;18.4;0.1;14.7;40;588
10303/65;GODOS;2012-09-11;107.83;Louisiana Fiery Hot Pepper Sauce;32 - 8 oz bottles;21.05;0.1;16.8;30;504
10303/68;GODOS;2012-09-11;107.83;Scottish Longbreads;10 boxes x 8 pieces;12.5;0.1;10;15;150
10304/49;TORTU;2012-09-12;63.79;Maxilaku;24 - 50 g pkgs.;20;0;16;30;480
10304/59;TORTU;2012-09-12;63.79;Raclette Courdavault;5 kg pkg.;55;0;44;10;440
10304/71;TORTU;2012-09-12;63.79;Flotemysost;10 - 500 g pkgs.;21.5;0;17.2;2;34.4
10305/18;OLDWO;2012-09-13;257.62;Carnarvon Tigers;16 kg pkg.;62.5;0.1;50;25;1250
10305/29;OLDWO;2012-09-13;257.62;Thüringer Rostbratwurst;50 bags x 30 sausgs.;123.79;0.1;99;25;2475
10305/39;OLDWO;2012-09-13;257.62;Chartreuse verte;750 cc per bottle;18;0.1;14.4;30;432
10306/30;ROMEY;2012-09-16;7.56;Nord-Ost Matjeshering;10 - 200 g glasses;25.89;0;20.7;10;207
10306/53;ROMEY;2012-09-16;7.56;Perth Pasties;48 pieces;32.8;0;26.2;10;262
10306/54;ROMEY;2012-09-16;7.56;Tourtière;16 pies;7.45;0;5.9;5;29.5
10307/62;LONEP;2012-09-17;0.56;Tarte au sucre;48 pies;49.3;0;39.4;10;394
10307/68;LONEP;2012-09-17;0.56;Scottish Longbreads;10 boxes x 8 pieces;12.5;0;10;3;30
10308/69;ANATR;2012-09-18;1.61;Gudbrandsdalsost;10 kg pkg.;36;0;28.8;1;28.8
10308/70;ANATR;2012-09-18;1.61;Outback Lager;24 - 355 ml bottles;15;0;12;5;60
10309/4;HUNGO;2012-09-19;47.3;Chef Anton's Cajun Seasoning;48 - 6 oz jars;22;0;17.6;20;352
10309/6;HUNGO;2012-09-19;47.3;Grandma's Boysenberry Spread;12 - 8 oz jars;25;0;20;30;600
10309/42;HUNGO;2012-09-19;47.3;Singaporean Hokkien Fried Mee;32 - 1 kg pkgs.;14;0;11.2;2;22.4
10309/43;HUNGO;2012-09-19;47.3;Ipoh Coffee;16 - 500 g tins;46;0;36.8;20;736
10309/71;HUNGO;2012-09-19;47.3;Flotemysost;10 - 500 g pkgs.;21.5;0;17.2;3;51.599999999999994
10310/16;THEBI;2012-09-20;17.52;Pavlova;32 - 500 g boxes;17.45;0;13.9;10;139
10310/62;THEBI;2012-09-20;17.52;Tarte au sucre;48 pies;49.3;0;39.4;5;197
10311/42;DUMO;2012-09-20;24.69;Singaporean Hokkien Fried Mee;32 - 1 kg pkgs.;14;0;11.2;6;67.19999999999999
10311/69;DUMO;2012-09-20;24.69;Gudbrandsdalsost;10 kg pkg.;36;0;28.8;7;201.6
10312/28;WANDK;2012-09-23;40.26;Rössle Sauerkraut;25 - 825 g cans;45.6;0;36.4;4;145.6
10312/43;WANDK;2012-09-23;40.26;Ipoh Coffee;16 - 500 g tins;46;0;36.8;24;883.1999999999999
10312/53;WANDK;2012-09-23;40.26;Perth Pasties;48 pieces;32.8;0;26.2;20;524
10312/75;WANDK;2012-09-23;40.26;Rhönbräu Klosterbier;24 - 0.5 l bottles;7.75;0;6.2;10;62
10313/36;QUICK;2012-09-24;1.96;Inlagd Sill;24 - 250 g  jars;19;0;15.2;12;182.39999999999998
10314/32;RATTC;2012-09-25;74.16;Mascarpone Fabioli;24 - 200 g pkgs.;32;0.1;25.6;40;1024
10314/58;RATTC;2012-09-25;74.16;Escargots de Bourgogne;24 pieces;13.25;0.1;10.6;30;318
10314/62;RATTC;2012-09-25;74.16;Tarte au sucre;48 pies;49.3;0.1;39.4;25;985
10315/34;ISLAT;2012-09-26;41.76;Sasquatch Ale;24 - 12 oz bottles;14;0;11.2;14;156.79999999999998
10315/70;ISLAT;2012-09-26;41.76;Outback Lager;24 - 355 ml bottles;15;0;12;30;360
10316/41;RATTC;2012-09-27;150.15;Jack's New England Clam Chowder;12 - 12 oz cans;9.65;0;7.7;10;77
10316/62;RATTC;2012-09-27;150.15;Tarte au sucre;48 pies;49.3;0;39.4;70;2758
10317/1;LONEP;2012-09-30;12.69;Chai;10 boxes x 20 bags;18;0;14.4;20;288
10318/41;ISLAT;2012-10-01;4.73;Jack's New England Clam Chowder;12 - 12 oz cans;9.65;0;7.7;20;154
10318/76;ISLAT;2012-10-01;4.73;Lakkalikööri;500 ml;18;0;14.4;6;86.4
10319/17;TORTU;2012-10-02;64.5;Alice Mutton;20 - 1 kg tins;39;0;31.2;8;249.6
10319/28;TORTU;2012-10-02;64.5;Rössle Sauerkraut;25 - 825 g cans;45.6;0;36.4;14;509.59999999999997
10319/76;TORTU;2012-10-02;64.5;Lakkalikööri;500 ml;18;0;14.4;30;432
10320/71;WARTH;2012-10-03;34.57;Flotemysost;10 - 500 g pkgs.;21.5;0;17.2;30;516
10321/35;ISLAT;2012-10-03;3.43;Steeleye Stout;24 - 12 oz bottles;18;0;14.4;10;144
10322/52;PERIC;2012-10-04;0.4;Filo Mix;16 - 2 kg boxes;7;0;5.6;20;112
10323/15;KOENE;2012-10-07;4.88;Genen Shouyu;24 - 250 ml bottles;15.5;0;12.4;5;62
10323/25;KOENE;2012-10-07;4.88;NuNuCa Nuß-Nougat-Creme;20 - 450 g glasses;14;0;11.2;4;44.8
10323/39;KOENE;2012-10-07;4.88;Chartreuse verte;750 cc per bottle;18;0;14.4;4;57.6
10324/16;SAVEA;2012-10-08;214.27;Pavlova;32 - 500 g boxes;17.45;0.15;13.9;21;291.90000000000003
10324/35;SAVEA;2012-10-08;214.27;Steeleye Stout;24 - 12 oz bottles;18;0.15;14.4;70;1008
10324/46;SAVEA;2012-10-08;214.27;Spegesild;4 - 450 g glasses;12;0;9.6;30;288
10324/59;SAVEA;2012-10-08;214.27;Raclette Courdavault;5 kg pkg.;55;0.15;44;40;1760
10324/63;SAVEA;2012-10-08;214.27;Vegie-spread;15 - 625 g jars;43.9;0.15;35.1;80;2808
10325/6;KOENE;2012-10-09;64.86;Grandma's Boysenberry Spread;12 - 8 oz jars;25;0;20;6;120
10325/13;KOENE;2012-10-09;64.86;Konbu;2 kg box;6;0;4.8;12;57.599999999999994
10325/14;KOENE;2012-10-09;64.86;Tofu;40 - 100 g pkgs.;23.25;0;18.6;9;167.4
10325/31;KOENE;2012-10-09;64.86;Gorgonzola Telino;12 - 100 g pkgs;12.5;0;10;4;40
10325/72;KOENE;2012-10-09;64.86;Mozzarella di Giovanni;24 - 200 g pkgs.;34.8;0;27.8;40;1112
10326/4;BOLID;2012-10-10;77.92;Chef Anton's Cajun Seasoning;48 - 6 oz jars;22;0;17.6;24;422.40000000000003
10326/57;BOLID;2012-10-10;77.92;Ravioli Angelo;24 - 250 g pkgs.;19.5;0;15.6;16;249.6
10326/75;BOLID;2012-10-10;77.92;Rhönbräu Klosterbier;24 - 0.5 l bottles;7.75;0;6.2;50;310
10327/2;FOLKO;2012-10-11;63.36;Chang;24 - 12 oz bottles;19;0.2;15.2;25;380
10327/11;FOLKO;2012-10-11;63.36;Queso Cabrales;1 kg pkg.;21;0.2;16.8;50;840
10327/30;FOLKO;2012-10-11;63.36;Nord-Ost Matjeshering;10 - 200 g glasses;25.89;0.2;20.7;35;724.5
10327/58;FOLKO;2012-10-11;63.36;Escargots de Bourgogne;24 pieces;13.25;0.2;10.6;30;318
10328/59;FURIB;2012-10-14;87.03;Raclette Courdavault;5 kg pkg.;55;0;44;9;396
10328/65;FURIB;2012-10-14;87.03;Louisiana Fiery Hot Pepper Sauce;32 - 8 oz bottles;21.05;0;16.8;40;672
10328/68;FURIB;2012-10-14;87.03;Scottish Longbreads;10 boxes x 8 pieces;12.5;0;10;10;100
10329/19;SPLIR;2012-10-15;191.67;Teatime Chocolate Biscuits;10 boxes x 12 pieces;9.2;0.05;7.3;10;73
10329/30;SPLIR;2012-10-15;191.67;Nord-Ost Matjeshering;10 - 200 g glasses;25.89;0.05;20.7;8;165.6
10329/38;SPLIR;2012-10-15;191.67;Côte de Blaye;12 - 75 cl bottles;263.5;0.05;210.8;20;4216
10329/56;SPLIR;2012-10-15;191.67;Gnocchi di nonna Alice;24 - 250 g pkgs.;38;0.05;30.4;12;364.79999999999995
10330/26;LILAS;2012-10-16;12.75;Gumbär Gummibärchen;100 - 250 g bags;31.23;0.15;24.9;50;1245
10330/72;LILAS;2012-10-16;12.75;Mozzarella di Giovanni;24 - 200 g pkgs.;34.8;0.15;27.8;25;695
10331/54;BONAP;2012-10-16;10.19;Tourtière;16 pies;7.45;0;5.9;15;88.5
10332/18;MEREP;2012-10-17;52.84;Carnarvon Tigers;16 kg pkg.;62.5;0.2;50;40;2000
10332/42;MEREP;2012-10-17;52.84;Singaporean Hokkien Fried Mee;32 - 1 kg pkgs.;14;0.2;11.2;10;112
10332/47;MEREP;2012-10-17;52.84;Zaanse koeken;10 - 4 oz boxes;9.5;0.2;7.6;16;121.6
10333/14;WARTH;2012-10-18;0.59;Tofu;40 - 100 g pkgs.;23.25;0;18.6;10;186
10333/21;WARTH;2012-10-18;0.59;Sir Rodney's Scones;24 pkgs. x 4 pieces;10;0.1;8;10;80
10333/71;WARTH;2012-10-18;0.59;Flotemysost;10 - 500 g pkgs.;21.5;0.1;17.2;40;688
10334/52;VICTE;2012-10-21;8.56;Filo Mix;16 - 2 kg boxes;7;0;5.6;8;44.8
10334/68;VICTE;2012-10-21;8.56;Scottish Longbreads;10 boxes x 8 pieces;12.5;0;10;10;100
10335/2;HUNGO;2012-10-22;42.11;Chang;24 - 12 oz bottles;19;0.2;15.2;7;106.39999999999999
10335/31;HUNGO;2012-10-22;42.11;Gorgonzola Telino;12 - 100 g pkgs;12.5;0.2;10;25;250
10335/32;HUNGO;2012-10-22;42.11;Mascarpone Fabioli;24 - 200 g pkgs.;32;0.2;25.6;6;153.60000000000002
10335/51;HUNGO;2012-10-22;42.11;Manjimup Dried Apples;50 - 300 g pkgs.;53;0.2;42.4;48;2035.1999999999998
10336/4;PRINI;2012-10-23;15.51;Chef Anton's Cajun Seasoning;48 - 6 oz jars;22;0.1;17.6;18;316.8
10337/23;FRANK;2012-10-24;108.26;Tunnbröd;12 - 250 g pkgs.;9;0;7.2;40;288
10337/26;FRANK;2012-10-24;108.26;Gumbär Gummibärchen;100 - 250 g bags;31.23;0;24.9;24;597.5999999999999
10337/36;FRANK;2012-10-24;108.26;Inlagd Sill;24 - 250 g  jars;19;0;15.2;20;304
10337/37;FRANK;2012-10-24;108.26;Gravad lax;12 - 500 g pkgs.;26;0;20.8;28;582.4
10337/72;FRANK;2012-10-24;108.26;Mozzarella di Giovanni;24 - 200 g pkgs.;34.8;0;27.8;25;695
10338/17;OLDWO;2012-10-25;84.21;Alice Mutton;20 - 1 kg tins;39;0;31.2;20;624
10338/30;OLDWO;2012-10-25;84.21;Nord-Ost Matjeshering;10 - 200 g glasses;25.89;0;20.7;15;310.5
