use Unicode::Collate::CJK::Zhuyin
overrideCJK Unicode::Collate::CJK::Zhuyin::weightZhuyin
02C9;[.0.0199.2.02C9]
2F85;<81FC>+++?
2F86;<820C>+++?
2F87;<821B>+++?
2F88;<821F>+++?
2F89;<826E>+++?
2F8A;<8272>+++?
2F8B;<8278>+++?
2F8C;<864D>+++?
2F8D;<866B>+++?
2F8E;<8840>+++?
2F8F;<884C>+++?
2F90;<8863>+++?
2F91;<897E>+++?
2F92;<898B>+++?
2F93;<89D2>+++?
1F216;<89E3>+++?
2F94;<8A00>+++?
2F95;<8C37>+++?
2F96;<8C46>+++?
2F97;<8C55>+++?
2F98;<8C78>+++?
2F99;<8C9D>+++?
3296;<8CA1>+++?
1F223;<8CA9>+++?
32AE;<8CC7>+++?
2F9A;<8D64>+++?
2F9B;<8D70>+++?
1F230;<8D70>+++?
2F9C;<8DB3>+++?
2F9D;<8EAB>+++?
2F9E;<8ECA>+++?
2F9F;<8F9B>+++?
2FA0;<8FB0>+++?
2FA1;<8FB5>+++?
1F22B;<904A>+++?
329C;<9069>+++?
2FA2;<9091>+++?
2FA3;<9149>+++?
2FA4;<91C6>+++?
2FA5;<91CC>+++?
2FA6;<91D1>+++?
328E;<91D1>+++?
2FA7;<9577>+++?
2FA8;<9580>+++?
2FA9;<961C>+++?
2FAA;<96B6>+++?
2FAB;<96B9>+++?
2FAC;<96E8>+++?
2FAD;<9751>+++?
2FAE;<975E>+++?
2FAF;<9762>+++?
2FB0;<9769>+++?
2FB1;<97CB>+++?
2FB2;<97ED>+++?
2FB3;<97F3>+++?
2FB4;<9801>+++?
32A0;<9805>+++?
2FB5;<98A8>+++?
2FB6;<98DB>+++?
2FB7;<98DF>+++?
2FB8;<9996>+++?
2FB9;<9999>+++?
2FBA;<99AC>+++?
2FBB;<9AA8>+++?
2FBC;<9AD8>+++?
2FBD;<9ADF>+++?
2FBE;<9B25>+++?
2FBF;<9B2F>+++?
2FC0;<9B32>+++?
2FC1;<9B3C>+++?
2FC2;<9B5A>+++?
2FC3;<9CE5>+++?
2FC4;<9E75>+++?
2FC5;<9E7F>+++?
2FC6;<9EA5>+++?
2FC7;<9EBB>+++?
2FC8;<9EC3>+++?
2FC9;<9ECD>+++?
2FCA;<9ED1>+++?
2FCB;<9EF9>+++?
2FCC;<9EFD>+++?
2FCD;<9F0E>+++?
2FCE;<9F13>+++?
2FCF;<9F20>+++?
2FD0;<9F3B>+++?
2FD1;<9F4A>+++?
2FD2;<9F52>+++?
2FD3;<9F8D>+++?
2FD4;<9F9C>+++?
2EF3;<9F9F>+++?
2FD5;<9FA0>+++?
