# lou-en2kana.csv
# Copyright 2007 Naoki Tomita <tomita@cpan.org>
# License: GPL
#
# This dictionary is based on the following resource. 
# - bep-eng.dic
#   Copyright 1999-2006 Bilingual Emacspeak Project. All rights reserved.
#   Originally created by Jun Ishikawa and GrassRoots users group.
# - General Service List Top 2000 words
# - ALC SVL12000's Level 1,2
# - Brown Corpus 2000 Most Common Words
# - Japanese junior high school English text
# - and, Lou Ohshiba's Blog (http://mycasty.jp/louooshiba/)

ability,アビリティー
collect,コレクト
collection,コレクション
college,カレッジ
color,カラー
colorful,カラフル
column,コラム
combine,コンバイン
come,カム
comedy,コメディー
comfort,コンフォート
comfortable,コンフォタブル
comic,コミック
command,コマンド
comment,コメント
commerce,コマース
commit,コミット
common,コモン
companion,コンパニオン
company,カンパニー
compare,コンペアー
complete,コンプリート
component,コンポーネント
computer,コンピューター
concert,コンサート
condition,コンディション
conference,カンファレンス
conflict,コンフリクト
construction,コンストラクション
contain,コンテイン
content,コンテント
contest,コンテスト
context,コンテキスト
continue,コンティニュー
control,コントロール
convenience,コンビニエンス
conversation,カンバセーション
cook,クック
cookie,クッキー
cooking,クッキング
cool,クール
copy,コピー
corn,コーン
corner,コーナー
corporate,コーポレイト
corporation,コーポレイション
correct,コレクト
cost,コスト
cotton,コットン
could,クッド
count,カウント
counter,カウンター
country,カントリー
couple,カップル
course,コース
court,コート
cousin,カズン
cover,カバー
cow,カウ
cowboy,カウボーイ
crash,クラッシュ
crazy,クレイジー
cream,クリーム
create,クリエイト
creation,クリエイション
crew,クルー
crisis,クライシス
critical,クリティカル
cross,クロス
crowd,クラウド
crowded,クラウディド
crown,クラウン
cry,クライ
crystal,クリスタル
cultural,カルチュラル
culture,カルチャー
cup,カップ
current,カレント
curtain,カーテン
curve,カーブ
custom,カスタム
customer,カスタマー
cut,カット
cycle,サイクル
dad,ダッド
daddy,ダディー
daily,デイリー
damage,ダメージ
dance,ダンス
dancer,ダンサー
dancing,ダンシング
danger,デンジャー
dangerous,デンジャラス
dare,デアー
dark,ダーク
dash,ダッシュ
date,デイト
daughter,ドーター
day,デイ
dead,デッド
deaf,デフ
deal,ディール
dear,ディアー
death,デス
december,ディッセンバー
decide,ディサイド
decision,デシジョン
decorate,デコレート
deep,ディープ
defend,ディフェンド
defense,ディフェンス
degree,ディグリー
delicious,デリシャス
deliver,デリバー
demand,ディマンド
dentist,デンティスト
deny,デニー
depend,ディペンド
depth,デプス
describe,ディスクライブ
desert,デザート
design,デザイン
designer,デザイナー
desk,デスク
destiny,デスティニー
destroy,デストロイ
detail,ディーテイル
develop,デベロップ
dial,ダイアル
diamond,ダイヤモンド
diary,ダイアリー
dictionary,ディクショナリー
did,ディド
die,ダイ
difference,ディッファレンス
different,ディッファレント
difficult,ディッフィカルト
difficulty,ディフィカルティ
dig,ディグ
dinner,ディナー
direct,ダイレクト
direction,ディレクション
dirty,ダーティー
discover,ディスカバー
discuss,ディスカス
discussion,ディスカッション
dish,ディッシュ
disk,ディスク
distance,ディスタンス
distant,ディスタント
dive,ダイブ
diver,ダイバー
do,ドゥ
doctor,ドクター
does,ダズ
dog,ドッグ
doll,ドール
dollar,ダラー
door,ドア
dot,ドット
double,ダブル
doubt,ダウト
down,ダウン
dozen,ダズン
drama,ドラマ
draw,ドロー
dream,ドリーム
dress,ドレス
drill,ドリル
drink,ドリンク
drinking,ドリンキング
drive,ドライブ
driver,ドライバー
drop,ドロップ
drown,ドラウン
drug,ドラッグ
drunk,ドランク
dry,ドライ
during,デュアリング
dust,ダスト
duty,デューティー
each,イーチ
ear,イアー
early,アーリー
earn,アーン
earring,イアリング
earth,アース
easily,イーズリー
east,イースト
easy,イージー
eat,イート
echo,エコー
edge,エッジ
edition,エディション
editor,エディター
educate,エデュケート
education,エデュケーション
effect,エフェクト
effort,エフォート
egg,エッグ
eight,エイト
eighteen,エイティーン
eighteenth,エイティーンス
eightieth,エイティス
eighty,エイティー
either,イーザー
elbow,エルボー
elder,エルダー
electric,エレクトリック
electrical,エレクトリカル
electricity,エレクトリシティー
electronic,エレクトロニック
elephant,エレファント
elevator,エレベーター
eleven,イレブン
eleventh,イレブンス
else,エルス
emergency,エマージェンシー
emperor,エンペラー
empty,エンプティー
end,エンド
ending,エンディング
enemy,エネミー
energy,エナジー
engage,エンゲージ
engine,エンジン
engineer,エンジニア
enjoy,エンジョイ
enough,イナフ
enter,エンター
entrance,エントランス
envelope,エンベロープ
equal,イコール
eraser,イレーザー
error,エラー
escape,エスケープ
especially,エスペシャリー
essence,エッセンス
essentially,エッセンシャリー
even,イーブン
evening,イーブニング
event,イベント
ever,エヴァー
every,エブリ
everybody,エブリバディ
exact,イグザクト
examination,イグザミネーション
examine,イクザミン
example,イグザンプル
excellent,エクセレント
except,エクセプト
exciting,エキサイティング
excuse,エクスキューズ
exercise,エクササイズ
exist,イグジスト
exit,イグジット
expect,エクスペクト
expensive,エクスペンシブ
experience,エクスペリエンス
explain,エクスプレイン
express,エクスプレス
extension,エクステンション
eye,アイ
face,フェイス
fact,ファクト
factor,ファクター
factory,ファクトリー
fade,フェード
fail,フェイル
fair,フェアー
fall,フォール
familiar,ファミリアー
family,ファミリー
famous,フェイマス
fan,ファン
fantastic,ファンタスティック
far,ファー
fare,フェア
farm,ファーム
farmer,ファーマー
fashion,ファッション
fast,ファスト
fat,ファット
father,ファザー
fault,フォールト
favor,フェイヴァー
favorite,フェイヴァリット
fax,ファックス
fear,フィアー
february,フェブラリー
feed,フィード
feel,フィール
feeling,フィーリング
fellow,フェロー
female,フィーメイル
fence,フェンス
festival,フェスティヴァル
few,フュー
fiction,フィクション
field,フィールド
fifteen,フィフティーン
fifteenth,フィフティーンス
fifth,フィフス
fiftieth,フィフティース
fifty,フィフティー
fight,ファイト
figure,フィギュア
fill,フィル
film,フィルム
filter,フィルター
final,ファイナル
finally,ファイナリー
find,ファインド
fine,ファイン
finger,フィンガー
finish,フィニッシュ
fire,ファイヤー
firm,ファーム
first,ファースト
fish,フィッシュ
fishing,フィッシング
fit,フィット
five,ファイブ
fix,フィックス
flag,フラグ
flat,フラット
flesh,フレッシュ
flight,フライト
float,フロート
flood,フラッド
floor,フロアー
flow,フロー
flower,フラワー
fly,フライ
focus,フォーカス
follow,フォロー
following,フォローイング
food,フード
fool,フール
foolish,フーリッシュ
foot,フット
for,フォー
force,フォース
foreign,フォーリン
foreigner,フォーリナー
forest,フォーレスト
forever,フォーエヴァー
forget,フォゲット
fork,フォーク
form,フォーム
formal,フォーマル
formation,フォーメーション
former,フォーマー
fortieth,フォーティース
fortunate,フォーチュネット
forty,フォーティー
forward,フォワード
foundation,ファンデーション
four,フォー
fourteen,フォーティーン
fourteenth,フォーティーンス
fourth,フォース
fox,フォックス
free,フリー
freedom,フリーダム
freeze,フリーズ
fresh,フレッシュ
friday,フライデー
fried,フライド
friend,フレンド
friendly,フレンドリー
friendship,フレンドシップ
frog,フロッグ
from,フロム
front,フロント
frontier,フロンティア
fruit,フルート
fuel,フューエル
full,フル
fun,ファン
funny,ファニー
furniture,ファーニチャー
future,フィーチャー
gain,ゲイン
gallery,ギャラリー
gamble,ギャンブル
game,ゲーム
garage,ガレージ
garden,ガーデン
gas,ガス
gate,ゲート
gather,ギャザー
general,ジェネラル
generally,ジェネラリィ
genius,ジーニアス
gentle,ジェントル
gesture,ジェスチャー
get,ゲット
ghost,ゴースト
giant,ジャイアント
gift,ギフト
ginger,ジンジャー
girl,ガール
give,ギブ
glad,グラッド
glass,グラス
glory,グローリー
glove,グラブ
go,ゴー
goal,ゴール
god,ゴッド
gold,ゴールド
golden,ゴールデン
golf,ゴルフ
gone,ゴーン
good,グッド
goodbye,グッバイ
gorilla,ゴリラ
grade,グレード
grammar,グラマー
grand,グランド
grandma,グランマ
grandpa,グランパ
grandson,グランドサン
grape,グレープ
grapefruit,グレープフルーツ
gray,グレイ
great,グレート
green,グリーン
greeting,グリーティング
ground,グラウンド
group,グループ
grow,グロー
guard,ガード
guess,ゲス
guest,ゲスト
guidance,ガイダンス
guide,ガイド
guitar,ギター
gun,ガン
gym,ジム
habit,ハビット
hair,ヘアー
half,ハーフ
hall,ホール
ham,ハム
hamburger,ハンバーガー
hammer,ハマー
hand,ハンド
handkerchief,ハンカチーフ
handle,ハンドル
handsome,ハンサム
hang,ハング
happen,ハプン
happily,ハピリー
happiness,ハピネス
happy,ハッピー
harbor,ハーバー
hard,ハード
harvest,ハーベスト
has,ハズ
hat,ハット
hate,ヘイト
have,ハブ
he,ヒー
head,ヘッド
headache,ヘデック
health,ヘルス
healthy,ヘルシー
hear,ヒア
heart,ハート
heat,ヒート
heaven,ヘブン
heavy,ヘヴィ
height,ハイト
helicopter,ヘリコプター
hell,ヘル
hello,ハロー
help,ヘルプ
her,ハー
here,ヒア
hero,ヒーロー
hers,ハーズ
herself,ハーセルフ
hey,ヘイ
hi,ハイ
hidden,ヒドゥン
hide,ハイド
high,ハイ
highly,ハイリー
hiking,ハイキング
hill,ヒル
him,ヒム
himself,ヒムセルフ
hire,ハイアー
his,ヒズ
history,ヒストリー
hit,ヒット
hobby,ホビー
hold,ホールド
hole,ホール
holiday,ホリデイ
holy,ホーリー
home,ホーム
honest,オーネスト
honey,ハニー
honeymoon,ハネムーン
hook,フック
hop,ホップ
hope,ホープ
horse,ホース
hospital,ホスピタル
host,ホースト
hot,ホット
hotel,ホテル
hour,アワー
house,ハウス
how,ハウ
however,ハウエヴァ
human,ヒューマン
hundred,ハンドレッド
hungry,ハングリー
hunt,ハント
hurry,ハリー
hurt,ハート
husband,ハズバンド
hut,ハット
ice,アイス
idea,アイディア
identity,アイデンティティ
idle,アイドル
if,イフ
ill,イル
illegal,イリーガル
image,イメージ
imagination,イマジネーション
imagine,イマジン
importance,インポータンス
important,インポータント
impossible,インポッシブル
impression,インプレッション
improve,インプルーブ
in,イン
inch,インチ
include,インクルード
industry,インダストリー
inform,インフォーム
information,インフォメーション
initial,イニシャル
ink,インク
innocent,イノセント
input,インプット
insect,インセクト
inside,インサイド
instead,インステッド
intelligent,インテリジェント
intend,インテンド
interest,インタレスト
interested,インタレスティド
interesting,インタレスティング
into,イントゥ
introduce,イントロデュース
investigation,インベスティゲイション
invitation,インヴィテーション
invite,インバイト
iron,アイアン
is,イズ
island,アイランド
it,イット
its,イッツ
itself,イットセルフ
jacket,ジャケット
jam,ジャム
january,ジャニュアリー
japan,ジャパン
jazz,ジャズ
jet,ジェット
jewelry,ジュエリー
job,ジョブ
join,ジョイン
joke,ジョーク
journalism,ジャーナリズム
journey,ジャーニー
joy,ジョイ
judge,ジャッジ
juice,ジュース
july,ジュライ
jump,ジャンプ
june,ジューン
jungle,ジャングル
junior,ジュニア
just,ジャスト
keep,キープ
key,キー
kick,キック
kid,キッド
kill,キル
kilo,キロ
kilogram,キログラム
kilometer,キロメーター
kind,カインド
king,キング
kiss,キス
kitchen,キッチン
knee,ニー
knife,ナイフ
knight,ナイト
knock,ノック
know,ノウ
knowledge,ナレッジ
lack,ラック
lady,レディー
lake,レイク
lamp,ランプ
land,ランド
language,ランゲージ
large,ラージ
last,ラスト
late,レイト
later,レイター
laugh,ラフ
law,ロー
lawyer,ロイヤー
lay,レイ
lazy,レイジー
lead,リード
leader,リーダー
leaf,リーフ
learn,ラーン
least,リースト
leather,レザー
leave,リーブ
left,レフト
leg,レッグ
lemon,レモン
length,レングス
less,レス
lesson,レッスン
let,レット
letter,レター
level,レベル
library,ライブラリー
lie,ライ
life,ライフ
lift,リフト
light,ライト
like,ライク
limit,リミット
limited,リミティッド
line,ライン
lion,ライオン
lip,リップ
list,リスト
listen,リッスン
little,リトル
live,リブ
load,ロード
local,ローカル
lock,ロック
locker,ロッカー
lonely,ロンリィ
long,ロング
look,ルック
lose,ルーズ
lot,ロット
loud,ラウド
love,ラブ
lovely,ラブリー
low,ロー
luck,ラック
lucky,ラッキー
lunch,ランチ
machine,マシン
mad,マッド
made,メイド
magazine,マガジン
magic,マジック
magical,マジカル
magician,マジシャン
magnet,マグネット
mail,メール
main,メイン
maintenance,メンテナンス
make,メイク
maker,メーカー
making,メイキング
mama,ママ
man,マン
manage,マネージ
manager,マネージャー
mankind,マンカインド
manner,マナー
manual,マニュアル
many,メニー
map,マップ
march,マーチ
mark,マーク
market,マーケット
married,マリード
marry,マリー
marvelous,マーベラス
mass,マス
master,マスター
match,マッチ
mate,メイト
material,マテリアル
matter,マター
maximum,マキシマム
may,メイ
maybe,メイビー
me,ミー
meal,ミール
mean,ミーン
meaning,ミーニング
measure,メジャー
meat,ミート
mechanical,メカニカル
mechanism,メカニズム
medal,メダル
medical,メディカル
medicine,メディスン
meet,ミート
meeting,ミーティング
melon,メロン
melt,メルト
member,メンバー
memory,メモリー
men,メン
mention,メンション
menu,メニュー
merry,メリー
message,メッセージ
messenger,メッセンジャー
metal,メタル
meter,ミーター
method,メソッド
middle,ミドル
midnight,ミッドナイト
might,マイト
mild,マイルド
mile,マイル
milk,ミルク
millimeter,ミリメター
million,ミリオン
mind,マインド
mine,マイン
minimum,ミニマム
minute,ミニット
miracle,ミラクル
mirror,ミラー
miss,ミス
mistake,ミステイク
mix,ミックス
model,モデル
modern,モダン
moment,モーメント
monday,マンデー
money,マネー
monitor,モニター
monkey,モンキー
monster,モンスター
month,マンス
mood,ムード
moon,ムーン
more,モア
morning,モーニング
mosquito,モスキートー
most,モースト
mother,マザー
motor,モーター
mount,マウント
mountain,マウンテン
mouse,マウス
mouth,マウス
move,ムーブ
movie,ムービー
much,マッチ
murder,マーダー
museum,ミュージアム
music,ミュージック
musical,ミュージカル
musician,ミュージシャン
must,マスト
my,マイ
myself,マイセルフ
mystery,ミステリー
nail,ネイル
name,ネーム
narrow,ナロー
nation,ネイション
national,ナショナル
native,ネイティブ
natural,ナチュラル
naturally,ナチュラリー
nature,ネイチャー
navy,ネイヴィー
near,ニヤー
nearly,ニアリー
neat,ニート
necessary,ネセサリー
neck,ネック
necklace,ネックレス
need,ニード
needle,ニードル
negotiation,ネゴシエーション
neighbor,ネイバー
neither,ニーザー
nephew,ネフュー
nervous,ナーバス
nest,ネスト
net,ネット
never,ネバー
new,ニュー
news,ニューズ
next,ネクスト
nice,ナイス
night,ナイト
nine,ナイン
nineteen,ナインティーン
nineteenth,ナインティーンス
ninetieth,ナインティス
ninety,ナインティー
ninth,ナインス
no,ノー
noble,ノーブル
nobody,ノーバディー
noise,ノイズ
noisy,ノイジー
none,ナン
noon,ヌーン
nor,ノア
normal,ノーマル
north,ノース
nose,ノーズ
not,ノット
note,ノート
nothing,ナッシング
notice,ノーティス
november,ノーベンバー
now,ナウ
nowhere,ノーウェア
number,ナンバー
nurse,ナース
nut,ナット
object,オブジェクト
ocean,オーシャン
o'clock,オクロック
october,オクトーバー
of,オブ
off,オフ
offer,オファー
office,オフィス
officer,オフィサー
official,オフィシャル
often,オーフン
oh,オゥ
oil,オイル
ok,オーケー
old,オールド
on,オン
once,ワンス
one,ワン
oneself,ワンセルフ
onion,オニオン
only,オンリー
open,オープン
opera,オペラ
opinion,オピニオン
opposite,オポジット
or,or
orange,オレンジ
order,オーダー
other,アザー
ouch,アゥチ
ought,オート
our,アワー
ourselves,アワーセルブズ
out,アウト
outside,アウトサイド
oven,オーブン
over,オーバー
own,オウン
owner,オーナー
pack,パック
package,パッケージ
page,ペイジ
pain,ペイン
paint,ペイント
painter,ペインター
painting,ペインティング
pair,ペア
palace,パレース
pan,パン
panda,パンダ
panic,パニック
pants,パンツ
paper,ペーパー
parade,パレード
paradise,パラダイス
parallel,パラレル
pardon,パードゥン
parent,ペアレント
park,パーク
part,パート
party,パーティー
pass,パス
passage,パッセージ
passenger,パッセンジャー
past,パースト
path,パス
patient,ペイシェント
pattern,パターン
pause,ポーズ
pay,ペイ
peace,ピース
peach,ピーチ
peak,ピーク
pearl,パール
pen,ペン
pencil,ペンシル
people,ピープル
pepper,ペッパー
percent,パーセント
perfect,パーフェクト
perform,パフォーム
perhaps,パハップス
period,ピリオド
permit,パーミット
person,パースン
personal,パーソナル
pet,ペット
phone,フォン
piano,ピアノ
pick,ピック
picnic,ピクニック
picture,ピクチャー
pie,パイ
piece,ピース
pig,ピッグ
pilot,パイロット
pin,ピン
pineapple,パイナップル
pink,ピンク
pipe,パイプ
pitch,ピッチ
pizza,ピッツァ
place,プレイス
plain,プレーン
plan,プラン
plane,プレイン
planet,プラネット
plant,プラント
plastic,プラスティック
plate,プレート
play,プレイ
player,プレーヤー
pleasant,プレザント
please,プリーズ
pleased,プリーズド
pleasure,プレジャー
pocket,ポケット
poem,ポエム
point,ポイント
poison,ポイズン
pole,ポール
police,ポリース
policy,ポリシー
polish,ポリッシュ
pond,ポンド
pool,プール
poor,プアー
popular,ポピュラー
pork,ポーク
port,ポート
position,ポジション
positive,ポジティブ
possibility,ポッシビリティ
possible,ポッシブル
post,ポスト
postal,ポスタル
pot,ポット
potato,ポテト
pound,パウンド
powder,パウダー
power,パワー
powerful,パワフル
practical,プラクティカル
practice,プラクティス
praise,プレイズ
pray,プレー
precious,プレシャス
prefer,プリファー
prepare,プリペア
present,プレゼント
president,プレジデント
press,プレス
pretty,プリティー
prevent,プリベント
price,プライス
pride,プライド
priest,プリースト
primary,プライマリー
prince,プリンス
princess,プリンセス
print,プリント
prison,プリズン
prisoner,プリズナー
private,プライベート
prize,プライズ
probably,プロバブリー
problem,プロブレム
process,プロセス
produce,プロデュース
product,プロダクト
professional,プロフェッショナル
professor,プロフェッサー
profit,プロフィット
program,プログラム
progress,プログレス
promise,プロミス
proof,プルーフ
proper,プロパー
proportion,プロポーション
protect,プロテクト
protection,プロテクション
proud,プラウド
prove,プルーブ
provide,プロヴァイド
public,パブリック
publish,パブリッシュ
pull,プル
punish,パニッシュ
pure,ピュアー
purple,パープル
purpose,パーパス
purse,パース
push,プッシュ
put,プット
puzzle,パズル
quarter,クオーター
queen,クィーン
question,クェスチョン
quick,クイック
quiet,クワイアット
quite,クワイト
quiz,クイズ
rabbit,ラビット
race,レース
racket,ラケット
radio,レイディオ
rail,レール
rain,レイン
rainbow,レインボー
rainy,レイニー
raise,レイズ
rank,ランク
rapid,ラピッド
rat,ラット
rate,レート
rather,ラザー
raw,ロー
reach,リーチ
read,リード
reader,リーダー
ready,レディ
real,リアル
really,リアリー
reason,リーズン
reasonable,リーズナブル
receive,レシーブ
recommendation,レコメンデーション
record,レコード
recording,レコーディング
recover,リカバー
recovery,リカバリー
red,レッド
reference,リファレンス
regular,レギュラー
remain,リメイン
remember,リメンバー
remove,リムーブ
repair,リペアー
repeat,リピート
reply,リプライ
report,リポート
reporter,リポーター
request,リクエスト
rescue,レスキュー
reserve,リザーブ
resource,リソース
respect,リスペクト
restaurant,レストラン
result,リザルト
return,リターン
ribbon,リボン
rice,ライス
rich,リッチ
ride,ライド
right,ライト
ring,リング
rise,ライズ
river,リバー
road,ロード
robot,ロボット
rock,ロック
rocket,ロケット
role,ロール
roll,ロール
roof,ルーフ
room,ルーム
root,ルート
rope,ロープ
rose,ローズ
rough,ラフ
round,ラウンド
route,ルート
row,ロー
royal,ロイヤル
rule,ルール
ruler,ルーラー
run,ラン
runner,ランナー
rush,ラッシュ
sad,サッド
safe,セーフ
safety,セーフティー
said,セイド
sail,セイル
sailing,セイリング
sailor,セーラー
salad,サラダ
salary,サラリー
sale,セール
salt,ソルト
same,セイム
sand,サンド
sandwich,サンドウィッチ
saturday,サタデー
sauce,ソース
save,セーブ
say,セイ
scene,シーン
school,スクール
science,サイエンス
scientific,サイエンティフィック
scientist,サイエンティスト
score,スコア
scream,スクリーム
sea,シー
season,シーズン
seat,シート
second,セカンド
secret,シークレット
secretary,セクレタリー
see,シー
sell,セル
seller,セラー
send,センド
sense,センス
sentence,センテンス
separate,セパレート
september,セプテンバー
serious,シーリアス
servant,サーヴァント
serve,サーブ
service,サービス
set,セット
seven,セブン
seventeen,セブンティーン
seventeenth,セブンティーンス
seventh,セブンス
seventieth,セブンティース
seventy,セブンティー
several,セベラル
sex,セックス
shade,シェイド
shadow,シャドー
shake,シェイク
shall,シャル
shampoo,シャンプー
shape,シェイプ
share,シェア
sharp,シャープ
she,シー
sheep,シープ
sheet,シート
shift,シフト
shine,シャイン
ship,シップ
shirt,シャート
shock,ショック
shoe,シュー
shoot,シュート
shop,ショップ
shopping,ショッピング
shore,ショア
short,ショート
shot,ショット
should,シュドゥ
shoulder,ショルダー
shout,シャウト
show,ショー
shower,シャワー
shut,シャット
side,サイド
sight,サイト
sign,サイン
signal,シグナル
silence,サイレンス
silent,サイレント
silk,シルク
silver,シルバー
similar,シミラー
simple,シンプル
since,シンス
sing,シング
singer,シンガー
single,シングル
sink,シンク
sir,サー
sister,シスター
sit,シット
six,シックス
sixteen,シックスティーン
sixteenth,シックスティーンス
sixth,シックスス
sixtieth,シックスティース
sixty,シックスティ
size,サイズ
skate,スケート
skating,スケーティング
ski,スキー
skin,スキン
skip,スキップ
skirt,スカート
sky,スカイ
sleep,スリープ
sleepy,スリーピー
slide,スライド
slim,スリム
slip,スリップ
slow,スロー
small,スモール
smell,スメル
smile,スマイル
smoke,スモーク
smoker,スモーカー
smoking,スモーキング
smooth,スムーズ
snake,スネイク
snow,スノー
so,ソー
soap,ソープ
soccer,サッカー
social,ソーシャル
society,ソサエティー
sock,ソック
soda,ソーダ
sofa,ソファ
soft,ソフト
soldier,ソルジャー
solid,ソリッド
solve,ソルブ
some,サム
something,サム 
