"phytohub_id"	"compound_name"	"is_a_precursor"	"is_a_metabolite"	"exact_mass"	"molecular_formula"	"smiles"	"inchikey"
"PHUB000011"	"Asparagoside A"	1	0	578.3818686990	"C33H54O8"	"[H]OC[C@@]1([H])O[C@@]([H])(O[C@@]2([H])CC[C@@]3(C)[C@]([H])(CC[C@@]4([H])[C@]5([H])C[C@]6([H])O[C@]7(CC[C@]([H])(C)CO7)[C@@]([H])(C)[C@]6([H])[C@@]5(C)CC[C@]34[H])C2)[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H]"	"ZNEIIZNXGCIAAL-TXUJEBAWSA-N"
"PHUB000012"	"Betulin"	1	0	442.3810808500	"C30H50O2"	"[H][C@]12[C@@H](CC[C@]1(CO)CC[C@]1(C)[C@]2([H])CC[C@]2([H])[C@@]3(C)CC[C@H](O)C(C)(C)[C@]3([H])CC[C@@]12C)C(C)=C"	"FVWJYYTZTCVBKE-ROUWMTJPSA-N"
"PHUB000013"	"Capsicoside A"	1	0	1422.6514651130	"C63H106O35"	"C[C@H](CC[C@@]1(O)O[C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O[C@@H]7O[C@H](CO)[C@H](O[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O[C@@H]9O[C@H](CO)[C@@H](O)[C@H](O)[C@H]9O)[C@H]8O[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H]6O)[C@H](O)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2[C@@H]1C)CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O"	"WUSQCDWYDVFLMN-CIHABUNJSA-N"
"PHUB000014"	"Cucurbitacin C"	1	0	560.3349185060	"C32H48O8"	"[H][C@@]1([C@H](O)C[C@@]2(C)[C@]3([H])CC=C4[C@@]([H])(CC[C@H](O)C4(C)C)[C@]3(CO)C(=O)C[C@]12C)[C@@](C)(O)C(=O)\\C=C\\C(C)(C)OC(C)=O"	"DGIGXLXLGBAJJN-TUOUHCSQSA-N"
"PHUB000015"	"Nuatigenin"	1	0	430.3083098320	"C27H42O4"	"[H][C@]12C[C@@]3([H])[C@]4([H])CC=C5C[C@@H](O)CC[C@]5(C)[C@@]4([H])CC[C@]3(C)[C@@]1([H])[C@H](C)[C@@]1(CC[C@@](C)(CO)O1)O2"	"NELZMZLNTYWIPD-MLBSDYKWSA-N"
"PHUB000016"	"Officinalisnin I"	1	0	920.4980802270	"C45H76O19"	"C[C@H](CC[C@@]1(O)O[C@H]2C[C@H]3[C@@H]4CC[C@@H]5C[C@H](CC[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2[C@@H]1C)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O"	"SORUXVRKWOHYEO-YGNOLRTQSA-N"
"PHUB000017"	"Sarsasapogenin"	1	0	416.3290452770	"C27H44O3"	"[H][C@]12C[C@@]3([H])[C@]4([H])CC[C@]5([H])C[C@@H](O)CC[C@]5(C)[C@@]4([H])CC[C@]3(C)[C@@]1([H])[C@H](C)[C@@]1(CC[C@H](C)CO1)O2"	"GMBQZIIUCVWOCD-WWASVFFGSA-N"
"PHUB000018"	"Squalene"	1	0	410.3912516100	"C30H50"	"[H]C(=C(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C(=C(/[H])C([H])([H])C([H])([H])C(=C(/[H])C([H])([H])C([H])([H])C(\\[H])=C(/C([H])([H])[H])C([H])([H])C([H])([H])C(\\[H])=C(/C([H])([H])[H])C([H])([H])C([H])([H])C([H])=C(C([H])([H])[H])C([H])([H])[H])\\C([H])([H])[H])\\C([H])([H])[H]"	"YYGNTYWPHWGJRM-AAJYLUCBSA-N"
"PHUB000019"	"Trigonelloside C"	1	0	1048.5454243450	"C51H84O22"	"[H][C@]12C[C@@]3([H])[C@]4([H])CC=C5C[C@H](CC[C@]5(C)[C@@]4([H])CC[C@]3(C)[C@@]1([H])[C@H](C)[C@@](O)(CC[C@H](C)CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)O2)O[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O"	"LVTJOONKWUXEFR-YFQJTNJMSA-N"
"PHUB000020"	"2,2-dimethyl-5-(1-methyl-1-propenyl)-tetrahydrofuran"	1	0	154.1357652000	"C10H18O"	"CC=C(C)C1CCC(C)(C)O1"	"LPEYLSKLVYWOEQ-UHFFFAOYNA-N"
"PHUB000021"	"2-vinyl-2-methyl-tetrahydrofuran-5-one"	1	0	126.0680795620	"C7H10O2"	"CC1(CCC(=O)O1)C=C"	"QESPSAHXYXIGBG-UHFFFAOYNA-N"
"PHUB000022"	"3,7-dimethyloct-1-en-3,6,7-triol"	1	0	188.1412445040	"C10H20O3"	"CC(C)(O)C(O)CCC(C)(O)C=C"	"CNYFGLAROLNGDG-UHFFFAOYNA-N"
"PHUB000023"	"3,7-dimethylocta-1,5-dien-3,7-diol"	1	0	170.1306798200	"C10H18O2"	"CC(C)(O)C=CCC(C)(O)C=C"	"QEOHJVNDENHRCH-UHFFFAOYNA-N"
"PHUB000024"	"3,7-dimethylocta-1,7-dien-3,6-diol"	1	0	170.1306798200	"C10H18O2"	"CC(=C)C(O)CCC(C)(O)C=C"	"HZHJGFRDKJPQPV-UHFFFAOYNA-N"
"PHUB000025"	"3,7-dimethylocta-1-en-3,7-diol"	0	1	172.1463298840	"C10H20O2"	"CC(C)(O)CCCC(C)(O)C=C"	"SRPFYGUVQUDURC-UHFFFAOYNA-N"
"PHUB000026"	"Amarogentin"	1	0	586.1686410260	"C29H30O13"	"[H][C@@]12CCOC(=O)C1=CO[C@@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1OC(=O)C1=C(C=C(O)C=C1O)C1=CC=CC(O)=C1)[C@@H]2C=C"	"DBOVHQOUSDWAPQ-WTONXPSSSA-N"
"PHUB000027"	"Camphene"	1	0	136.1252005150	"C10H16"	"CC1(C)C2CCC(C2)C1=C"	"CRPUJAZIXJMDBK-UHFFFAOYNA-N"
"PHUB000028"	"Camphor"	1	0	152.1201151350	"C10H16O"	"CC1(C)[C@H]2CC[C@@]1(C)C(=O)C2"	"DSSYKIVIOFKYAU-XVKPBYJWSA-N"
"PHUB000029"	"Carane"	1	0	138.1408505800	"C10H18"	"CC1CCC2C(C1)C2(C)C"	"BWRHOYDPVJPXMF-UHFFFAOYNA-N"
"PHUB000030"	"Carene"	1	0	136.1252005150	"C10H16"	"CC1CCC2C(=C1)C2(C)C"	"KALFVDDBBPRATR-UHFFFAOYNA-N"
"PHUB000031"	"Carvacrol"	1	0	150.1044650710	"C10H14O"	"CC(C)C1=CC(O)=C(C)C=C1"	"RECUKUPTGUEGMW-UHFFFAOYSA-N"
"PHUB000032"	"Carvomenthenol (4-)"	1	0	154.1357652000	"C10H18O"	"CC(C)[C@]1(O)CCC(C)=CC1"	"WRYLYDPHFGVWKC-SNVBAGLBSA-N"
"PHUB000033"	"Carvone"	1	1	150.1044650710	"C10H14O"	"CC(=C)C1CC=C(C)C(=O)C1"	"ULDHMXUKGWMISQ-UHFFFAOYNA-N"
"PHUB000034"	"Cineol (1,8-)"	1	0	154.1357652000	"C10H18O"	"CC12CCC(CC1)C(C)(C)O2"	"WEEGYLXZBRQIMU-UHFFFAOYSA-N"
"PHUB000035"	"Citronellal"	1	0	154.1357652000	"C10H18O"	"CC(CCC=C(C)C)CC=O"	"NEHNMFOYXAPHSD-UHFFFAOYNA-N"
"PHUB000036"	"Citronellol"	1	0	156.1514152640	"C10H20O"	"CC(CCO)CCC=C(C)C"	"QMVPMAAFGQKVCJ-UHFFFAOYNA-N"
"PHUB000037"	"Citronellyl acetate"	1	0	198.1619799480	"C12H22O2"	"CC(CCOC(C)=O)CCC=C(C)C"	"JOZKFWLRHCDGJA-UHFFFAOYNA-N"
"PHUB000038"	"Cuminaldehyde"	1	0	148.0888150060	"C10H12O"	"[H]C(=O)C1=CC=C(C=C1)C(C)C"	"WTWBUQJHJGUZCY-UHFFFAOYSA-N"
"PHUB000039"	"Cymene-p"	1	0	134.1095504510	"C10H14"	"CC(C)C1=CC=C(C)C=C1"	"HFPZCAJZSCWRBC-UHFFFAOYSA-N"
"PHUB000040"	"Damascenone-beta"	1	0	190.1357652000	"C13H18O"	"C\\C=C\\C(=O)C1=C(C)C=CCC1(C)C"	"POIARNZEYGURDG-FNORWQNLSA-N"
"PHUB000041"	"Gentiopicrin"	1	0	356.1107322240	"C16H20O9"	"OC[C@H]1O[C@@H](O[C@@H]2OC=C3C(=O)OCC=C3[C@H]2C=C)[C@H](O)[C@@H](O)[C@@H]1O"	"DUAGQYUORDTXOR-GPQRQXLASA-N"
"PHUB000042"	"Geranial"	1	0	152.1201151350	"C10H16O"	"CC(C)=CCC\\C(C)=C\\C=O"	"WTEVQBCEXWBHNA-JXMROGBWSA-N"
"PHUB000043"	"Geranic acid (trans-)"	1	0	168.1150297550	"C10H16O2"	"CC(C)=CCC\\C(C)=C\\C(O)=O"	"ZHYZQXUYZJNEHD-VQHVLOKHSA-N"
"PHUB000044"	"Geraniol"	1	0	154.1357652000	"C10H18O"	"CC(C)=CCC\\C(C)=C\\CO"	"GLZPCOQZEFWAFX-JXMROGBWSA-N"
"PHUB000045"	"Geraniol (Hydroxy-)"	1	0	170.1306798200	"C10H18O2"	"C\\C(CO)=C/CC\\C(C)=C\\CO"	"PREUOUJFXMCMSJ-TXFIJWAUSA-N"
"PHUB000046"	"Geranoate (trans-methyl)"	1	0	182.1306798200	"C11H18O2"	"COC(=O)\\C=C(/C)CCC=C(C)C"	"ACOBBFVLNKYODD-CSKARUKUSA-N"
"PHUB000047"	"Geranyl acetate"	1	0	196.1463298840	"C12H20O2"	"CC(C)=CCC\\C(C)=C\\COC(C)=O"	"HIGQPQRQIQDZMP-DHZHZOJOSA-N"
"PHUB000048"	"Geranyl acetone"	1	0	194.1670653280	"C13H22O"	"CC(C)=CCC\\C(C)=C\\CCC(C)=O"	"HNZUNIKWNYHEJJ-FMIVXFBMSA-N"
"PHUB000049"	"Hotrienol"	1	0	152.1201151350	"C10H16O"	"[H]OC(C)(C\\C=C\\C(C)=C)C=C"	"ZJIQIJIQBTVTDY-VOTSOKGWNA-N"
"PHUB000050"	"Isoestragole"	1	0	148.0888150060	"C10H12O"	"COC1=CC=C(\\C=C\\C)C=C1"	"RUVINXPYWBROJD-ONEGZZNKSA-N"
"PHUB000051"	"Limonene"	1	1	136.1252005150	"C10H16"	"CC(=C)C1CCC(C)=CC1"	"XMGQYMWWDOXHJM-UHFFFAOYNA-N"
"PHUB000052"	"Linalool"	1	0	154.1357652000	"C10H18O"	"CC(C)=CCCC(C)(O)C=C"	"CDOSHBSSFJOMGT-UHFFFAOYNA-N"
"PHUB000053"	"Linalool (8-hydroxydihydro-)"	1	0	172.1463298840	"C10H20O2"	"[H]OCC(C)CCCC(C)(O[H])C=C"	"GFOMTORUAWAGGU-UHFFFAOYNA-N"
"PHUB000054"	"Linalool (cis-8-hydroxy-)"	1	0	170.1306798200	"C10H18O2"	"[H]OC\\C(C)=C/CCC(C)(O[H])C=C"	"NSMIMJYEKVSYMT-TWGQIWQCNA-N"
"PHUB000055"	"Linalool (trans-8-hydroxy-)"	1	0	170.1306798200	"C10H18O2"	"[H]OC\\C(C)=C\\CCC(C)(O[H])C=C"	"NSMIMJYEKVSYMT-RMKNXTFCNA-N"
"PHUB000056"	"linalool oxide (cis-anhydrofuran)"	1	0	166.1357652000	"C11H18O"	"CC(=C)[C@@]1(C)CC[C@](C)(O1)C=C"	"WHAUGOYPBNDJOT-DUJBIPCPNA-N"
"PHUB000057"	"linalool oxide (cis-furan)"	1	0	184.1463298840	"C11H20O2"	"[H]OC(C)(C)[C@@]1(C)CC[C@](C)(O1)C=C"	"SUOCCLKULOHEBG-DUJBIPCPNA-N"
"PHUB000058"	"Linalool oxide (cis-pyran)"	1	0	170.1306798200	"C10H18O2"	"CC1(C)O[C@@](C)(CC[C@@H]1O)C=C"	"BCTBAGTXFYWYMW-MNLQIPBYNA-N"
"PHUB000059"	"linalool oxide (trans-anhydrofuran)"	1	0	152.1201151350	"C10H16O"	"CC(=C)[C@@H]1CC[C@](C)(O1)C=C"	"XIGFNCYVSHOLIF-NLJMKPLXNA-N"
"PHUB000060"	"linalool oxide (trans-furan)"	1	0	184.1463298840	"C11H20O2"	"[H]OC(C)(C)[C@]1(C)CC[C@](C)(O1)C=C"	"SUOCCLKULOHEBG-WIBLRKLZNA-N"
"PHUB000061"	"Linalool oxide (trans-pyran)"	1	0	170.1306798200	"C10H18O2"	"[H]O[C@H]1CC[C@@](C)(OC1(C)C)C=C"	"BCTBAGTXFYWYMW-CSEYRULYNA-N"
"PHUB000062"	"Menthol"	1	0	156.1514152640	"C10H20O"	"CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O"	"NOOLISFMXDJSKH-KXUCPTDWSA-N"
"PHUB000063"	"Menthone"	1	0	154.1357652000	"C10H18O"	"CC(C)[C@@H]1CC[C@@H](C)CC1=O"	"NFLGAXVYCFJBMK-BDAKNGLRSA-N"
"PHUB000064"	"Menthyl acetate"	1	0	198.1619799480	"C12H22O2"	"CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(C)=O"	"XHXUANMFYXWVNG-GMUICDJXNA-N"
"PHUB000065"	"Monotropein"	1	0	390.1162115280	"C16H22O11"	"[H][C@]12C=C[C@](O)(CO)[C@@]1([H])[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)OC=C2C(O)=O"	"HPWWQPXTUDMRBI-NJPMDSMTSA-N"
"PHUB000066"	"Monotropein (6,7-dihydro-)"	1	0	392.1318615930	"C16H24O11"	"[H][C@]12CC[C@](O)(CO)[C@@]1([H])[C@]([H])(O[C@]1([H])O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])O)OC=C2C(O)=O"	"PMUMTYKKCFIWAK-NWGUXATKNA-N"
"PHUB000067"	"Myrcene"	1	0	136.1252005150	"C10H16"	"CC(C)=CCCC(=C)C=C"	"UAHWPYUMFXYFJY-UHFFFAOYSA-N"
"PHUB000068"	"Myrcenol"	1	0	152.1201151350	"C10H16O"	"C\\C(CO)=C\\CCC(=C)C=C"	"IEVYLQISZQFFGA-YFHOEESVSA-N"
"PHUB000069"	"Neral"	1	0	152.1201151350	"C10H16O"	"CC(C)=CCC\\C(C)=C/C=O"	"WTEVQBCEXWBHNA-YFHOEESVSA-N"
"PHUB000070"	"Nerol"	1	0	154.1357652000	"C10H18O"	"CC(C)=CCC\\C(C)=C/CO"	"GLZPCOQZEFWAFX-YFHOEESVSA-N"
"PHUB000071"	"Ocimene-beta"	1	0	136.1252005150	"C10H16"	"CC(=C)CC\\C=C(/C)C=C"	"XJPBRODHZKDRCB-CSKARUKUSA-N"
"PHUB000072"	"Ocimenol-cis"	1	0	154.1357652000	"C10H18O"	"[H]OC(C)(C)CC\\C=C(\\C)C=C"	"IJFKZRMIRAVXRK-CLFYSBASSA-N"
"PHUB000073"	"Ocimenol-trans"	1	0	154.1357652000	"C10H18O"	"[H]OC(C)(C)CC\\C=C(/C)C=C"	"IJFKZRMIRAVXRK-VQHVLOKHSA-N"
"PHUB000074"	"Oleuropein"	1	0	540.1842910900	"C25H32O13"	"COC(=O)C1=CO[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)\\C(=C/C)[C@@H]1CC(=O)OCCC1=CC(O)=C(O)C=C1"	"RFWGABANNQMHMZ-ZCHJGGQASA-N"
"PHUB000075"	"Perillyl alcohol"	0	1	152.1201151350	"C10H16O"	"CC(=C)C1CCC(CO)=CC1"	"NDTYTMIUWGWIMO-UHFFFAOYNA-N"
"PHUB000076"	"Perillyl aldehyde"	1	0	150.1044650710	"C10H14O"	"[H]C(=O)C1=CCC(CC1)C(C)=C"	"RUMOYJJNUMEFDD-UHFFFAOYNA-N"
"PHUB000077"	"Phellandrene-alpha"	1	0	136.1252005150	"C10H16"	"CC(C)C1CC=C(C)C=C1"	"OGLDWXZKYODSOB-UHFFFAOYSA-N"
"PHUB000078"	"Phellandrene-beta"	1	0	136.1252005150	"C10H16"	"CC(C)C1CCC(=C)C=C1"	"LFJQCDVYDGGFCH-UHFFFAOYNA-N"
"PHUB000079"	"Pinene-alpha"	1	0	136.1252005150	"C10H16"	"CC1=CCC2CC1C2(C)C"	"GRWFGVWFFZKLTI-UHFFFAOYSA-N"
"PHUB000080"	"Pinene-beta"	1	0	136.1252005150	"C10H16"	"CC1(C)C2CC1C(=C)CC2"	"WTARULDDTDQWMU-UHFFFAOYNA-N"
"PHUB000081"	"Rose oxide (cis)"	1	0	154.1357652000	"C10H18O"	"C[C@@H]1CCO[C@@H](C1)C=C(C)C"	"CZCBTSFUTPZVKJ-NXEZZACHSA-N"
"PHUB000082"	"Rose oxide (trans)"	1	0	154.1357652000	"C10H18O"	"C[C@@H]1CCO[C@H](C1)C=C(C)C"	"CZCBTSFUTPZVKJ-ZJUUUORDSA-N"
"PHUB000083"	"Sabinene"	1	0	136.1252005150	"C10H16"	"CC(C)[C@@]12C[C@@H]1C(=C)CC2"	"NDVASEGYNIMXJL-NXEZZACHSA-N"
"PHUB000084"	"Sabinene-hydrate (cis)"	1	0	154.1357652000	"C10H18O"	"CC(C)[C@]12C[C@H]1[C@@](C)(O)CC2"	"KXSDPILWMGFJMM-GUBZILKMSA-N"
"PHUB000085"	"Sabinene-hydrate (trans)"	1	0	154.1357652000	"C10H18O"	"CC(C)[C@]12C[C@H]1[C@](C)(O)CC2"	"KXSDPILWMGFJMM-AEJSXWLSSA-N"
"PHUB000086"	"Santolinatriene"	1	0	136.1252005150	"C10H16"	"CC(C)=CC(C=C)C(C)=C"	"ZQGDEJAPCUGBRH-UHFFFAOYNA-N"
"PHUB000087"	"Terpinen-4-ol"	1	0	154.1357652000	"C10H18O"	"CC(C)C1(O)CCC(C)=CC1"	"WRYLYDPHFGVWKC-UHFFFAOYNA-N"
"PHUB000088"	"Terpinene-alpha"	1	0	136.1252005150	"C10H16"	"CC(C)C1=CC=C(C)CC1"	"YHQGMYUVUMAZJR-UHFFFAOYSA-N"
"PHUB000089"	"Terpinene-gamma"	1	0	136.1252005150	"C10H16"	"CC(C)C1=CCC(C)=CC1"	"YKFLAYDHMOASIY-UHFFFAOYSA-N"
"PHUB000090"	"Terpineol-alpha"	1	0	154.1357652000	"C10H18O"	"CC1=CCC(CC1)C(C)(C)O"	"WUOACPNHFRMFPN-UHFFFAOYSA-N"
"PHUB000091"	"Terpineol-gamma"	1	0	154.1357652000	"C10H18O"	"CC(C)=C1CCC(C)(O)CC1"	"NNRLDGQZIVUQTE-UHFFFAOYSA-N"
"PHUB000092"	"Terpinolene"	1	0	136.1252005150	"C10H16"	"CC(C)=C1CCC(C)=CC1"	"MOYAFQVGZZPNRA-UHFFFAOYSA-N"
"PHUB000093"	"Thujan-3-ol"	1	0	154.1357652000	"C10H18O"	"CC(C)C12CC1(O)C(C)CC2"	"IKXCCPWTSIENLL-UHFFFAOYSA-N"
"PHUB000094"	"Thujene-alpha"	1	0	136.1252005150	"C10H16"	"[H][C@]12C[C@]1(CC=C2C)C(C)C"	"KQAZVFVOEIRWHN-NXEZZACHSA-N"
"PHUB000095"	"Thujone"	1	0	152.1201151350	"C10H16O"	"CC(C)C12CC1C(C)C(=O)C2"	"USMNOWBWPHYOEA-UHFFFAOYSA-N"
"PHUB000096"	"Thymol"	1	0	150.1044650710	"C10H14O"	"CC(C)C1=C(O)C=C(C)C=C1"	"MGSRCZKZVOBKFT-UHFFFAOYSA-N"
"PHUB000097"	"Tricyclene"	1	0	136.1252005150	"C10H16"	"CC12C3CC(CC13)C2(C)C"	"RRBYUSWBLVXTQN-UHFFFAOYNA-N"
"PHUB000098"	"Vitispirane"	1	0	192.1514152640	"C13H20O"	"CC1CCC2(O1)C(=C)C=CCC2(C)C"	"DUPDJVDPPBFBPL-UHFFFAOYNA-N"
"PHUB000099"	"Absinthin"	1	0	496.2824890080	"C30H40O6"	"C[C@H]1C2CC[C@](C)(O)C3C4[C@H]5C=C(C)[C@@]6(C7OC(=O)[C@@H](C)C7CC[C@](C)(O)C56)C4C(C)=C3C2OC1=O"	"PZHWYURJZAPXAN-ILOFNVQHSA-N"
"PHUB000100"	"Achillin"	1	0	246.1255944400	"C15H18O3"	"[H][C@@]12CCC(C)=C3C(=O)C=C(C)[C@]3([H])[C@@]1([H])OC(=O)[C@@H]2C"	"BJPSSVHNEGMBDQ-OAACRXHESA-N"
"PHUB000101"	"African-2(6)-ene"	1	0	204.1878007730	"C15H24"	"CC1CCC2=C1CC(C)(C)CC1CC21C"	"OAETXESJELUDBP-UHFFFAOYNA-N"
"PHUB000102"	"Aromadandrene"	1	0	204.1878007730	"C15H24"	"CC1CCC2C1C1C(CCC2=C)C1(C)C"	"ITYNGVSTWVVPIC-UHFFFAOYNA-N"
"PHUB000103"	"Bisabolen-beta"	1	0	204.1878007730	"C15H24"	"CC(C)=CCCC(=C)C1CCC(C)=CC1"	"XZRVRYFILCSYSP-UHFFFAOYNA-N"
"PHUB000104"	"Bourbonene-beta"	1	0	204.1878007730	"C15H24"	"[H][C@]12C(=C)CC[C@@]1([H])[C@]1(C)CC[C@@]([H])(C(C)C)[C@]21[H]"	"YIRAHEODBQONHI-ZQNQSHIBSA-N"
"PHUB000105"	"Cadinene-beta"	1	0	204.1878007730	"C15H24"	"[H][C@@]12CC(C)=CC[C@@]1([H])C(C)=CC[C@H]2C(C)C"	"USDOQCCMRDNVAH-KKUMJFAQSA-N"
"PHUB000106"	"Cadinene-delta"	1	0	204.1878007730	"C15H24"	"[H][C@@]12C=C(C)CCC1=C(C)CC[C@H]2C(C)C"	"FUCYIEXQVQJBKY-ZFWWWQNUSA-N"
"PHUB000107"	"Cadinene-gamma"	1	0	204.1878007730	"C15H24"	"[H][C@]12CCC(C)=C[C@]1([H])[C@H](CCC2=C)C(C)C"	"WRHGORWNJGOVQY-RBSFLKMASA-N"
"PHUB000108"	"Cadinol"	1	0	222.1983654570	"C15H26O"	"CC(C)C1CCC(C)(O)C2CCC(C)=CC12"	"LHYHMMRYTDARSZ-UHFFFAOYNA-N"
"PHUB000109"	"Calamenene"	1	0	202.1721507080	"C15H22"	"CC(C)[C@@H]1CC[C@H](C)C2=CC=C(C)C=C12"	"PGTJIOWQJWHTJJ-STQMWFEESA-N"
"PHUB000110"	"Capsidiol"	1	0	236.1776300130	"C15H24O2"	"C[C@@H]1[C@H](O)C[C@@H](O)C2=CC[C@H](C[C@]12C)C(C)=C"	"BXXSHQYDJWZXPB-OKNSCYNVSA-N"
"PHUB000111"	"Caryophyllen-beta"	1	0	204.1878007730	"C15H24"	"[H][C@]12CC(C)(C)[C@]1([H])CC\\C(C)=C\\CCC2=C"	"NPNUFJAVOOONJE-UNCLKFFANA-N"
"PHUB000112"	"Cedrene-beta"	1	0	204.1878007730	"C15H24"	"[H][C@@]12CC3(CCC1=C)[C@H](C)CC[C@@]3([H])C2(C)C"	"DYLPEFGBWGEFBB-GMVYTJDGNA-N"
"PHUB000113"	"Copaene-alpha"	1	0	204.1878007730	"C15H24"	"[H][C@@]12C3C(C)=CC[C@]1([H])[C@]3(C)CC[C@H]2C(C)C"	"VLXDPFLIRFYIME-XIQJJJERSA-N"
